0	Index      	 *	Score 	Summary	Detail	
1	53212 43363	 * 	179.60	ACR|2VULN|2DMG|1AART|2CDMG	1aDMG|2BEXP|39CDMG|4LIT|5RCR|67VULN|8AART
2	43232 31365	 * 	179.51	DCR|3VULN|2DMG|1AART|1DUR	18LWND|238VULN|4AART|5DUST|6BEXP|78DMG|8BPWR|9DUR|aRCR
3	53321 45323	 * 	177.66	DCR|2VULN|2DMG|1AART|2ASPD	17DMG|2BEXP|3LEGI|47LIT|57ASPD|6RCR|7BPWR|8AART|9aVULN
4	53321 45321	 * 	175.73	DCR|3DMG|1AART|1VULN|2ASPD	17aDMG|2BEXP|3LEGI|47LIT|57ASPD|6RCR|7BPWR|8AART|9VULN
5	51231 13422	 * 	175.63	DCR|2VULN|1AART|3CDMG|1DMG|1ZMB	1DMG|2FEWX|346CDMG|5AART|7ZMB|89VULN|aRCR
6	53231 13422	   	175.63	DCR|2VULN|1AART|3CDMG|1DMG|1ZMB	1DMG|2BEXP|346CDMG|5AART|7ZMB|89VULN|aRCR
7	54326 21122	 * 	174.59	ACR|2VULN|2DMG|1AART|2ZMB	14DMG|234MLV|4BPWR|5RCR|6aZMB|79VULN|8AART
8	55231 62241	 * 	173.78	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	14DMG|2ZMB|3RCVC|5VULN|6RCR|7MBVNT|8CDMG|9AART|aBEXP
9	55231 62242	   	173.78	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	14DMG|2ZMB|3RCVC|5VULN|6RCR|7MBVNT|8CDMG|9AART|aLWND
10	55231 62243	   	173.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	14DMG|2ZMB|3RCVC|5VULN|6RCR|7MBVNT|8CDMG|9AART|aERES
11	55231 62244	   	173.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	14DMG|2ZMB|3RCVC|5VULN|6RCR|7MBVNT|8CDMG|9AART|aDUST
12	62246 33321	 * 	173.28	ACR|4VULN|2CDMG|1FLTHEA|2DUR	1aDUR|2LWND|347aVULN|5RCR|6FLTHEA|8ERES|9aCDMG|aBPWR
13	63231 11422	   	171.57	DCR|2VULN|1AART|3CDMG|1DMG|1DUR	1DUR|2RMIN|346CDMG|5AART|7DMG|89VULN|aRCR
14	53212 43333	 * 	171.35	ACR|3VULN|1AART|1DMG|1CDMG	1DMG|2BEXP|3CDMG|4LIT|5RCR|67aVULN|8AART|9MLV
15	53212 43353	   	171.35	ACR|3VULN|1AART|1DMG|1CDMG	1DMG|2BEXP|3CDMG|4LIT|5RCR|67aVULN|8AART|9RMIN
16	62214 33121	 * 	171.03	ACR|3VULN|1AART|1DMG|2DUR	18DUR|2LWND|38aVULN|48CANHEL|5RCR|6AART|7NUKE|8BPWR|9DMG
17	54621 21323	   	170.82	DCR|3DMG|1AART|1VULN|1DUR	159DMG|2MLV|3DLOT|4AART|6DUR|7RCR|8RCVC|aVULN
18	43332 41353	 * 	170.76	DCR|2AART|2DMG|2VULN	138LWND|28VULN|4aAART|5DUST|6FEWX|78DMG|8BPWR|9RCR
19	53212 43423	   	170.75	ACR|3VULN|1AART|1DMG|1CDMG	1DMG|2BEXP|3CDMG|4LIT|5RCR|67aVULN|8MLV|9AART
20	54326 21123	   	170.74	ACR|2VULN|2DMG|1AART|1ZMB	14DMG|234MLV|4BPWR|5RCR|6ZMB|79VULN|8AART|aRPLT
21	56621 21323	   	170.72	DCR|3DMG|1AART|1VULN|1DUR	159DMG|2ERES|3DLOT|4AART|6DUR|7RCR|8RCVC|aVULN
22	54326 21113	   	170.64	ACR|2VULN|2DMG|1AART|1ZMB	14DMG|234MLV|4BPWR|5RCR|6ZMB|7aVULN|8AART|9DUST
23	54621 32312	   	170.56	DCR|2AART|2VULN|2DMG	15DMG|2MLV|3DLOT|46AART|7CGEN|8aVULN|9RCR
24	55131 62241	   	170.38	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	14DMG|2ZMB|3DMSP|5VULN|6RCR|7MBVNT|8CDMG|9AART|aBEXP
25	55131 62242	   	170.38	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	14DMG|2ZMB|3DMSP|5VULN|6RCR|7MBVNT|8CDMG|9AART|aLWND
26	43332 41351	   	170.32	DCR|2VULN|2DMG|1AART|1ZMB	138LWND|28VULN|4AART|5DUST|6FEWX|78DMG|8BPWR|9RCR|aZMB
27	55131 62243	   	170.28	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	14DMG|2ZMB|3DMSP|5VULN|6RCR|7MBVNT|8CDMG|9AART|aERES
28	55131 62244	   	170.28	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	14DMG|2ZMB|3DMSP|5VULN|6RCR|7MBVNT|8CDMG|9AART|aDUST
29	56123 12135	 * 	168.83	DCR|2AART|2DMG|2CDMG|2ZMB	18DMG|29ERES|34AART|5RCVC|68ZMB|78CDMG|8BPWR|aRCR
30	43233 33351	 * 	168.81	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1LWND|237VULN|4AART|5RPLT|6ZMB|8CDMG|9RCR|aDUR
31	43233 33356	   	168.81	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1LWND|237VULN|4AART|5RPLT|6ZMB|8CDMG|9RCR|aASPD
32	43531 22262	 * 	168.55	DCR|3VULN|2DMG|1CDMG|1ASPD	1LWND|257VULN|3CDMG|48DMG|6ERES|9RCR|aASPD
33	54621 11312	   	168.26	DCR|2VULN|2DMG|1AART|1ASPD	15DMG|2MLV|3DLOT|4AART|6ASPD|7RCVC|8aVULN|9RCR
34	62214 33331	   	167.57	ACR|2VULN|2DMG|1AART|1DUR	1DUR|2LWND|3aVULN|4CANHEL|5RCR|6AART|7NUKE|89DMG
35	55231 62114	   	167.57	DCR|2VULN|2DMG|1CDMG|1ZMB	14DMG|2ZMB|3RCVC|59VULN|6RCR|7MBVNT|8MLV|aCDMG
36	55231 62214	   	167.57	DCR|2VULN|2DMG|1CDMG|1ZMB	14DMG|2ZMB|3RCVC|5aVULN|6RCR|7MBVNT|8CDMG|9MLV
37	51532 41312	   	167.56	DCR|3DMG|1AART|1VULN|1DUR|1ASPD	136DMG|2FEWX|4MLV|5DUR|7ASPD|8VULN|9RCR|aAART
38	53532 41312	   	167.56	DCR|3DMG|1AART|1VULN|1DUR|1ASPD	136DMG|2BEXP|4MLV|5DUR|7ASPD|8VULN|9RCR|aAART
39	62246 32213	 * 	167.53	ACR|3VULN|1DMG|1CDMG|1FLTHEA|1DUR	1DUR|2LWND|349VULN|5RCR|6FLTHEA|7MLV|8DMG|aCDMG
40	53126 62243	 * 	167.46	DCR|2VULN|2DMG|1AART|1CDMG	16DMG|2BEXP|34CGEN|56VULN|6BPWR|7MBVNT|8CDMG|9AART|aRCR
41	53321 45322	   	167.01	DCR|2DMG|1AART|1VULN|2ASPD|1DUR	17DMG|2BEXP|3LEGI|47LIT|57ASPD|6RCR|7BPWR|8AART|9VULN|aDUR
42	52523 63212	 * 	166.42	DCR|3VULN|3DMG	137DMG|2RMIN|37BPWR|47LSRREG|5RCVC|67aVULN|8LSRHEA|9RCR
43	63225 53211	   	166.15	DCR|3VULN|2DMG|1CDMG|1DUR	1DUR|2RMIN|3CDMG|4CANHEL|59DMG|678VULN|aRCR
44	52521 61131	 * 	166.02	DCR|2AART|2DMG|1VULN|1CDMG	13DMG|2RMIN|3BPWR|4LSRREG|56AART|7FEWX|8VULN|9RCR|aCDMG
45	43232 13453	 * 	165.92	DCR|3VULN|2AART|2ZMB	17LWND|237VULN|46AART|57DUST|7BPWR|8RCR|9aZMB
46	63166 33321	 * 	165.69	ACR|3VULN|2CDMG|1DMG|2DUR	1aDUR|2RMIN|3CGEN|47aVULN|5RCR|6LSRICY|8DMG|9aCDMG|aBPWR
47	51212 53741	   	165.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DMG|2FEWX|3CDMG|4LIT|5MBVNT|67VULN|8RCR|9AART|aZMB
48	55522 11321	 * 	165.57	DCR|2DMG|3ZMB|1VULN|2CDMG	13DMG|23aZMB|3aBPWR|4LSRREG|5FEWX|6aTLV|7VULN|8RCR|9aCDMG
49	43223 33451	   	165.31	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1LWND|23VULN|4CGEN|5ZMB|6AART|7DMG|8ASPD|9RCR|aDUR
50	32246 42122	   	165.27	ACR|2VULN|2DMG|1AART|1DUR	1FEWX|2LWND|34VULN|5RCR|6DUR|79DMG|8LEGI|aAART
51	12246 42122	   	165.17	ACR|2VULN|2DMG|1AART|1DUR	1DUST|2LWND|34VULN|5RCR|6DUR|79DMG|8LEGI|aAART
52	43232 13416	 * 	165.17	DCR|4VULN|2AART	17LWND|237aVULN|46AART|57DUST|7BPWR|8RCR|9CGEN
53	51231 16422	   	164.63	DCR|2VULN|1AART|3CDMG|1DMG	1DMG|2FEWX|346CDMG|5AART|7CGEN|89VULN|aRCR
54	33231 11422	   	164.63	DCR|2VULN|1AART|3CDMG|1DMG	1FEWX|2RMIN|346CDMG|5AART|7DMG|89VULN|aRCR
55	43232 13441	 * 	164.61	DCR|3VULN|2AART|1CDMG	17LWND|237VULN|46AART|57DUST|7BPWR|8RCR|9AIRHEA|aCDMG
56	13231 11422	   	164.53	DCR|2VULN|1AART|3CDMG|1DMG	1DUST|2RMIN|346CDMG|5AART|7DMG|89VULN|aRCR
57	51231 15422	   	164.53	DCR|2VULN|1AART|3CDMG|1DMG	1DMG|2FEWX|346CDMG|5AART|7ERES|89VULN|aRCR
58	54326 21112	 * 	164.50	ACR|2DMG|2AART|1VULN|1ZMB	14DMG|234MLV|4BPWR|5RCR|6ZMB|7VULN|8aAART|9DUST
59	43262 15434	   	164.40	DCR|3VULN|1AART|1ZMB|1DUR|1ASPD	1LWND|234VULN|5DUR|6MBVNT|7RCR|8AART|9ZMB|aASPD
60	62211 32562	 * 	164.20	DCR|3VULN|1AART|1CDMG|2DUR	17DUR|2LWND|35aVULN|4CANHEL|6AART|8RCR|9CDMG
61	55231 12243	   	164.18	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	14DMG|2ZMB|3RCVC|5VULN|6BEXP|7MBVNT|8CDMG|9AART|aRCR
62	55131 62114	   	164.16	DCR|2VULN|2DMG|1CDMG|1ZMB	14DMG|2ZMB|3DMSP|59VULN|6RCR|7MBVNT|8MLV|aCDMG
63	55131 62214	   	164.16	DCR|2VULN|2DMG|1CDMG|1ZMB	14DMG|2ZMB|3DMSP|5aVULN|6RCR|7MBVNT|8CDMG|9MLV
64	43261 11125	   	164.11	DCR|3VULN|2DMG|1CDMG	1LWND|234VULN|5CDMG|6RMIN|7BELT|8RCR|9aDMG
65	62211 42521	 * 	164.01	DCR|4VULN|2CDMG|2DUR	1aDUR|2LWND|358aVULN|4CANHEL|6RCR|7MLV|9aCDMG|aBPWR
66	55231 63232	   	163.96	DCR|2DMG|1VULN|1CDMG|1ZMB|1ASPD|1DUR	14DMG|2ZMB|3RCVC|5VULN|6RCR|7BEXP|8CDMG|9DUR|aASPD
67	43233 42363	   	163.95	DCR|2VULN|2DMG|1AART|1DUR	18LWND|23VULN|4AART|5RPLT|68DMG|78BEXP|8BPWR|9DUR|aRCR
68	62211 43321	   	163.91	DCR|4VULN|2CDMG|2DUR	1aDUR|2LWND|357aVULN|4CANHEL|6RCR|8ERES|9aCDMG|aBPWR
69	62536 12133	 * 	163.87	DCR|2DMG|1AART|2CDMG|2DUR|1ZMB	17DUR|2LWND|37CDMG|47DMG|5AART|6RPLT|7BPWR|8RCVC|9ZMB|aRCR
70	55231 62232	   	163.86	DCR|2DMG|1VULN|1CDMG|1ZMB|1ASPD|1DUR	14DMG|2ZMB|3RCVC|5VULN|6RCR|7MBVNT|8CDMG|9DUR|aASPD
71	66211 43321	   	163.81	DCR|4VULN|2CDMG|2DUR	1aDUR|2DUST|357aVULN|4CANHEL|6RCR|8ERES|9aCDMG|aBPWR
72	66241 21223	 * 	163.42	DCR|3VULN|1AART|2CDMG|1DUR	1DUR|2DUST|34aVULN|56CDMG|7LIT|8RCR|9AART
73	36211 22562	   	163.31	DCR|3VULN|2AART|1CDMG	1FEWX|2DUST|35aVULN|4CANHEL|67AART|8RCR|9CDMG
74	51236 22262	 * 	163.28	DCR|2VULN|2DMG|2CDMG|1ZMB	18DMG|2FEWX|34CDMG|57VULN|6ERES|9RCR|aZMB
75	53236 22262	   	163.28	DCR|2VULN|2DMG|2CDMG|1ZMB	18DMG|2BEXP|34CDMG|57VULN|6ERES|9RCR|aZMB
76	43233 33352	   	163.17	DCR|3VULN|1AART|1CDMG|1ZMB	1LWND|237VULN|4AART|5RPLT|6ZMB|8CDMG|9RCR|aRCVC
77	55221 16112	   	163.13	DCR|1AART|1DMG|1VULN|1CDMG|1ZMB|1DUR	1DMG|2ZMB|3RCVC|4LSRREG|5AART|6DUR|7RCR|8CDMG|9LHND|aVULN
78	51532 32622	   	163.02	DCR|3DMG|1AART|1VULN|1DUR	139DMG|2FEWX|4MLV|5DUR|6VULN|7CGEN|8RCR|aAART
79	53532 32622	   	163.02	DCR|3DMG|1AART|1VULN|1DUR	139DMG|2BEXP|4MLV|5DUR|6VULN|7CGEN|8RCR|aAART
80	55521 13132	 * 	162.72	DCR|2DMG|1AART|1VULN|2ZMB|1DUR	13DMG|23ZMB|3BPWR|4LSRREG|5AART|6DUR|7LIT|8TLV|9RCR|aVULN
81	43231 53421	   	162.68	DCR|3VULN|1AART|1DMG	17LWND|237VULN|4AART|5RCVC|679FEWX|7BPWR|8RCR|aDMG
82	62214 22433	   	162.53	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2LWND|3aVULN|4CANHEL|5RCR|6RMIN|7DMG|8AART|9CDMG
83	66241 31223	   	162.40	DCR|3VULN|1AART|1CDMG|2DUR	16DUR|2DUST|34aVULN|5CDMG|7LIT|8RCR|9AART
84	62246 33331	 * 	162.22	ACR|3VULN|1AART|1FLTHEA|2DUR	19DUR|2LWND|347VULN|5RCR|6FLTHEA|8ERES|aAART
85	43232 13413	   	162.07	DCR|3VULN|2AART|1ZMB	17LWND|237VULN|46AART|57DUST|7BPWR|8RCR|9CGEN|aZMB
86	43232 13451	   	162.07	DCR|3VULN|2AART|1ZMB	17LWND|237VULN|46AART|57DUST|7BPWR|8RCR|9ZMB|aRMIN
87	53212 43621	   	162.03	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2BEXP|3CDMG|4LIT|5RCR|67VULN|8DUR|9AART|aRPLT
88	53212 43622	   	162.03	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2BEXP|3CDMG|4LIT|5RCR|67VULN|8DUR|9AART|aFEWX
89	53212 43623	   	162.03	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2BEXP|3CDMG|4aLIT|5RCR|67VULN|8DUR|9AART
90	53212 63521	   	162.03	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	18DMG|2BEXP|3CDMG|4LIT|5RCR|6DUR|7VULN|9AART|aRPLT
91	53212 63522	   	162.03	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	18DMG|2BEXP|3CDMG|4LIT|5RCR|6DUR|7VULN|9AART|aFEWX
92	53212 63523	   	162.03	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	18DMG|2BEXP|3CDMG|4aLIT|5RCR|6DUR|7VULN|9AART
93	53212 42333	   	162.01	ACR|2VULN|1AART|2CDMG|1DMG	1DMG|2BEXP|37CDMG|4LIT|5RCR|6aVULN|8AART|9MLV
94	53212 42353	   	162.01	ACR|2VULN|1AART|1DMG|2CDMG	1DMG|2BEXP|37CDMG|4LIT|5RCR|6aVULN|8AART|9RMIN
95	53212 43336	   	162.01	ACR|2VULN|1AART|2CDMG|1DMG	1DMG|2BEXP|3aCDMG|4LIT|5RCR|67VULN|8AART|9MLV
