0	Index      	 *	Score 	Summary	Detail	
1	31213 56335	 * 	190.70	DCR|2VULN|2DMG|1AART|1FLTHEA|2DUR	1aDUR|2FEWX|3AART|4aDMG|59VULN|6FLTHEA|7RCR|8aCGEN|aBPWR
2	24312 23115	 * 	188.32	ACR|3VULN|2DMG|1AART|2DUR	1RMIN|2aDUR|34aVULN|5RCR|6MGNSTR|7AART|8LWND|9aDMG|aBPWR
3	24312 23415	   	188.32	ACR|3VULN|2DMG|1AART|2DUR	1RMIN|2aDUR|34aVULN|5RCR|6MGNSTR|7AART|8FEWX|9aDMG|aBPWR
4	36325 31152	 * 	187.07	DCR|3VULN|3DMG|3DUR	179DUR|2BEXP|389VULN|49aDMG|5LEGI|6RCR|9BPWR
5	31213 56151	   	185.20	DCR|2VULN|2DMG|1AART|1FLTHEA|1DUR	1DUR|2FEWX|3AART|4aDMG|58VULN|6FLTHEA|7RCR|9CGEN
6	31213 56331	   	185.20	DCR|2VULN|2DMG|1AART|1FLTHEA|1DUR	1DUR|2FEWX|3AART|4aDMG|59VULN|6FLTHEA|7RCR|8CGEN
7	31213 56111	   	185.10	DCR|2VULN|2DMG|1AART|1FLTHEA|1DUR	1DUR|2FEWX|3AART|4aDMG|58VULN|6FLTHEA|7RCR|9NUKE
8	31213 56141	   	185.10	DCR|2VULN|2DMG|1AART|1FLTHEA|1DUR	1DUR|2FEWX|3AART|4aDMG|58VULN|6FLTHEA|7RCR|9TLV
9	31261 21463	 * 	184.41	DCR|2AART|2VULN|1DMG|2DUR|1ZMB	1aDUR|2aFEWX|35AART|4ZMB|6RCVC|7RCR|8DMG|9aVULN|aBPWR
10	36325 31153	   	182.42	DCR|3VULN|2DMG|3DUR|1ZMB	179DUR|2BEXP|389VULN|49DMG|5LEGI|6RCR|9BPWR|aZMB
11	33126 35231	 * 	182.07	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2LWND|3FEWX|4DMG|57aVULN|6RCR|8CDMG|9AART
