0	Index      	 *	Score 	Summary	Detail	
1	21412 32543	 * 	189.01	DCR|3DMG|2VULN|1AART|1DUR	1RMIN|2DUR|38VULN|4AART|59aDMG|6RCR|7RPLT
2	21412 35432	 * 	188.91	DCR|3VULN|2DMG|1AART|1DUR	1RMIN|2DUR|378VULN|4AART|5aDMG|6RCR|9ERES
3	61231 31531	 * 	185.62	DCR|4VULN|1AART|2CDMG|1ASPD	18LWND|289aVULN|3FEWX|4AART|5ASPD|6RCR|78CDMG|8BPWR
4	61631 31531	   	185.62	DCR|4VULN|1AART|2CDMG|1ASPD	18LWND|289aVULN|3BEXP|4AART|5ASPD|6RCR|78CDMG|8BPWR
5	21412 31215	 * 	185.52	DCR|4VULN|1AART|1DMG|1DUR	1RMIN|2DUR|389aVULN|4AART|5DMG|6RCR|7BEXP
6	21412 35215	   	185.52	DCR|4VULN|1AART|1DMG|1DUR	1RMIN|2DUR|379aVULN|4AART|5DMG|6RCR|8BEXP
7	41412 31215	   	185.52	DCR|4VULN|1AART|1DMG|1DUR	1DUR|289aVULN|3RMIN|4AART|5DMG|6RCR|7BEXP
8	61331 31531	   	185.52	DCR|4VULN|1AART|2CDMG|1ASPD	18LWND|289aVULN|3DUST|4AART|5ASPD|6RCR|78CDMG|8BPWR
9	21412 32642	 * 	185.07	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	1RMIN|2DUR|3VULN|4AART|589DMG|6RCR|7RPLT|aCDMG
10	21112 35115	 * 	182.87	DCR|3VULN|2AART|1DMG|1DUR	1RMIN|2DUR|3LWND|48AART|5DMG|6RCR|79aVULN
11	21412 31216	   	182.87	DCR|3VULN|2AART|1DMG|1DUR	1RMIN|2DUR|389VULN|4aAART|5DMG|6RCR|7BEXP
12	21412 35216	   	182.87	DCR|3VULN|2AART|1DMG|1DUR	1RMIN|2DUR|379VULN|4aAART|5DMG|6RCR|8BEXP
13	41412 31216	   	182.87	DCR|3VULN|2AART|1DMG|1DUR	1DUR|289VULN|3RMIN|4aAART|5DMG|6RCR|7BEXP
14	21412 34215	   	182.32	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1RMIN|2DUR|39aVULN|4AART|5DMG|6RCR|7ZMB|8ERES
15	21412 35431	   	182.32	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1RMIN|2DUR|378VULN|4AART|5DMG|6RCR|9ERES|aZMB
16	11412 31216	   	182.17	DCR|3VULN|2DMG|1AART	178BEXP|29aVULN|3RMIN|4AART|5aDMG|6RCR|aBPWR
17	23412 35422	   	181.97	DCR|3VULN|2DMG|1AART	1RMIN|2DUST|378VULN|4AART|5aDMG|6RCR|9CGEN
18	11412 35432	   	181.97	DCR|3VULN|2DMG|1AART	1BEXP|278VULN|3RMIN|4AART|5aDMG|6RCR|9ERES
19	21412 33116	   	180.45	DCR|2VULN|2DMG|1AART|2DUR	1RMIN|28DUR|3aVULN|4AART|58DMG|6RCR|78CGEN|8BPWR|9RCVC
20	41412 33116	   	180.45	DCR|2VULN|2DMG|1AART|2DUR	18DUR|2aVULN|3RMIN|4AART|58DMG|6RCR|78CGEN|8BPWR|9RCVC
21	42141 31533	   	180.05	DCR|3VULN|1AART|2CDMG|2DUR|1ASPD	18DUR|2DLOT|389VULN|4BEXP|5ASPD|6RCR|78CDMG|8BPWR|aAART
