0	Index      	 *	Score 	Summary	Detail	
1	21425 21613	 * 	219.60	DCR|3VULN|2DMG|1AART|1ZMB|1DUR	1DUR|2ZMB|39DMG|4MSLREG|5AART|68aVULN|7RCR
2	41433 12631	 * 	217.23	DCR|2VULN|2DMG|1AART|1NUKE|1ZMB	17VULN|2ZMB|38DMG|4AART|5BELT|6RCR|9RCVC|aNUKE
3	41433 12611	   	215.62	DCR|2VULN|2DMG|1AART|1NUKE|1ZMB	17VULN|2ZMB|38DMG|4AART|5BELT|6RCR|9AELBLL|aNUKE
4	22214 34241	 * 	214.56	DCR|2VULN|2DMG|1MDPS|1AART|2CDMG|2DUR	17DUR|2AELBLL|3AART|47DMG|5MDPS|67CDMG|7BPWR|89VULN|aRCR
5	44423 23123	 * 	214.46	DCR|3ASPD|2DMG|1AART|1VULN|1DUR	1VULN|245ASPD|34DMG|4BPWR|6AART|7MLV|8AELBLL|9RCR|aDUR
6	44423 23321	   	214.46	DCR|3ASPD|2DMG|1VULN|1AART|1DUR	1VULN|245ASPD|34DMG|4BPWR|6AART|7aMLV|8DUR|9RCR
7	44423 23322	   	214.46	DCR|3ASPD|2DMG|1VULN|1AART|1DUR	1VULN|245ASPD|34DMG|4BPWR|6AART|7MLV|8DUR|9RCR|aDMSP
8	44423 21321	   	214.36	DCR|3ASPD|2DMG|1AART|1VULN|1DUR	1VULN|245ASPD|34DMG|4BPWR|6AART|7ERES|8DUR|9RCR|aMLV
9	44423 21323	   	214.36	DCR|3ASPD|2DMG|1VULN|1AART|1DUR	1VULN|245ASPD|34DMG|4BPWR|6AART|7ERES|8DUR|9RCR|aLHND
10	44423 23323	   	214.36	DCR|3ASPD|2DMG|1VULN|1AART|1DUR	1VULN|245ASPD|34DMG|4BPWR|6AART|7MLV|8DUR|9RCR|aDUST
11	44423 21322	   	214.26	DCR|3ASPD|2DMG|1VULN|1AART|1DUR	1VULN|245ASPD|34DMG|4BPWR|6AART|7ERES|8DUR|9RCR|aDUST
12	61327 64134	 * 	213.76	DCR|1SPLARM|2DMG|1MDPS|1VULN|1AART|1ASPD	1SPLARM|2MDPS|3AIRARM|4MBVNT|5VULN|6RCR|7ASPD|89DMG|aAART
13	41433 12211	   	212.95	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1ZMB	17VULN|2ZMB|3DMG|4AART|5BELT|6RCR|8MBVNT|9CDMG|aMDPS
14	22213 12234	   	212.81	DCR|3VULN|2DMG|1AART|2DUR	1aDUR|2aAELBLL|3AART|47DMG|5CGEN|69aVULN|8RCR|aBPWR
15	41431 14121	   	212.12	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	18VULN|2ZMB|38DMG|4AART|5CDMG|6DUR|78ERES|8BPWR|9LWND|aRCR
16	41431 14131	   	212.12	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	18VULN|2ZMB|38DMG|4AART|5CDMG|6DUR|78ERES|8BPWR|9LIT|aRCR
17	44421 32232	 * 	212.06	DCR|3DMG|2VULN|2ASPD	1aVULN|24ASPD|349DMG|4BPWR|5RPLT|67RCVC|8RCR
18	41433 13633	 * 	211.21	DCR|3DMG|2VULN|1AART|1ZMB	1aVULN|2ZMB|378DMG|4AART|5BELT|6RCR|9BEXP
19	41433 13211	   	210.15	DCR|2DMG|1MDPS|1VULN|1AART|1CDMG|1ZMB	1VULN|2ZMB|37DMG|4AART|5BELT|6RCR|8MBVNT|9CDMG|aMDPS
20	41433 12112	   	209.96	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB|1DUR	17VULN|2ZMB|3DMG|4AART|5BELT|6RCR|8DUR|9aCDMG
21	41433 12111	   	209.30	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1ZMB|1DUR	17VULN|2ZMB|3DMG|4AART|5BELT|6RCR|8DUR|9CDMG|aAAC
22	24231 26241	 * 	209.02	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1DUR	1DUR|2ASPD|3MLV|4AART|5CDMG|6CGEN|7RCR|89VULN|aMDPS
23	44421 32233	 * 	207.93	DCR|3DMG|2ASPD|1VULN|1CDMG	1VULN|24ASPD|349DMG|4BPWR|5RPLT|67RCVC|8RCR|aCDMG
24	41433 12115	   	207.77	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	17VULN|2ZMB|3DMG|4AART|5BELT|6RCR|8aDUR|9CDMG
