0	Index      	 *	Score 	Summary	Detail	
1	26324 35322	 * 	222.97	DCR|2VULN|2DMG|1MDPS|1AART|1ASPD	1AART|28VULN|38LIT|4ASPD|5DUST|68DMG|7RCR|8BPWR|9RCVC|aMDPS
2	26324 35312	   	222.12	DCR|2VULN|1MDPS|2DMG|1AART|1ASPD	1AART|28VULN|38LIT|4ASPD|59DUST|68DMG|7RCR|8BPWR|aMDPS
3	33232 51632	   	221.30	DCR|2VULN|2DMG|1AART|1ASPD|2ZMB	19VULN|2ERES|39ZMB|4MBVNT|5RCVC|6RCR|79DMG|8AART|9BPWR|aASPD
4	33232 51633	 * 	221.30	DCR|2VULN|2DMG|1AART|1NUKE|2ZMB	19VULN|2ERES|39ZMB|4MBVNT|5RCVC|6RCR|79DMG|8AART|9BPWR|aNUKE
5	26324 35332	 * 	219.64	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	1AART|28VULN|38LIT|4ASPD|5DUST|68DMG|7RCR|8BPWR|9FEWX|aCDMG
6	33232 51631	 * 	219.07	DCR|3VULN|2DMG|1AART|2ZMB	19aVULN|2ERES|39ZMB|4MBVNT|5RCVC|6RCR|79DMG|8AART|9BPWR
7	33238 51632	   	218.74	DCR|2VULN|2DMG|1AART|1ASPD|2ZMB	19VULN|25ERES|39ZMB|4MBVNT|6RCR|79DMG|8AART|9BPWR|aASPD
8	33238 51633	   	218.74	DCR|2VULN|2DMG|1AART|1NUKE|2ZMB	19VULN|25ERES|39ZMB|4MBVNT|6RCR|79DMG|8AART|9BPWR|aNUKE
9	33238 51631	   	216.51	DCR|3VULN|2DMG|1AART|2ZMB	19aVULN|25ERES|39ZMB|4MBVNT|6RCR|79DMG|8AART|9BPWR
10	21324 36252	 * 	213.90	DCR|2VULN|2AART|1MDPS|2ASPD|1DMG	16AART|29DUST|3RMIN|49ASPD|5MDPS|79VULN|8RCR|9BPWR|aDMG
11	21324 36253	 * 	213.90	DCR|2VULN|2AART|1MDPS|2ASPD|1NUKE	16AART|29DUST|3RMIN|49ASPD|5MDPS|79VULN|8RCR|9BPWR|aNUKE
12	26452 23311	 * 	213.63	DCR|3VULN|2DMG|1AART|1CDMG	1AART|246VULN|34DMG|4BPWR|5ERES|7AME|8CDMG|9RCR|aRCVC
13	26452 23313	   	213.31	DCR|3VULN|2DMG|1AART|1CDMG	1AART|246VULN|34DMG|4BPWR|5ERES|7AME|8CDMG|9RCR|aCGEN
14	26452 23312	   	213.21	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	1AART|246VULN|34DMG|4BPWR|5ERES|7AME|8CDMG|9RCR|aSELL
15	43313 22216	 * 	212.71	DCR|3VULN|2DMG|1MDPS|1AART|2ZMB	1aZMB|2MDPS|34aVULN|5LHND|6AART|7AME|8RCR|9aDMG|aBPWR
16	33235 51631	 * 	211.23	DCR|2VULN|2DMG|3ZMB|1AART	19VULN|2ERES|359ZMB|4MBVNT|6RCR|79DMG|8AART|9BPWR|aMLV
17	33235 51632	   	211.23	DCR|2VULN|2DMG|3ZMB|1AART	19VULN|2ERES|359ZMB|4MBVNT|6RCR|79DMG|8AART|9BPWR|aRMIN
18	33235 51633	   	211.23	DCR|2VULN|2DMG|3ZMB|1AART	19VULN|2ERES|359ZMB|4MBVNT|6RCR|79DMG|8AART|9BPWR|aLWND
19	33235 51634	   	211.23	DCR|2VULN|2DMG|3ZMB|1AART	19VULN|2ERES|359ZMB|4MBVNT|6RCR|79DMG|8AART|9BPWR|aFEWX
20	26452 21113	   	211.21	DCR|3VULN|2DMG|1AART|1CDMG	1AART|246VULN|34DMG|4BPWR|5ERES|7MSLREG|8CDMG|9DMSP|aRCR
21	26322 15351	 * 	210.62	DCR|3VULN|3ASPD|1AART|1AAC	1AART|289VULN|3LIT|489ASPD|5AAC|689DUST|7RCR|89BPWR|aLWND
22	26322 15353	   	210.62	DCR|3VULN|3ASPD|1AART|1AAC	1AART|289VULN|3LIT|489ASPD|5AAC|689DUST|7RCR|89BPWR|aRPLT
23	26322 15352	   	210.52	DCR|3VULN|3ASPD|1AART|1AAC	1AART|289VULN|3LIT|489ASPD|5AAC|689DUST|7RCR|89BPWR|aTLV
24	26421 23611	   	208.06	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|279VULN|3DMG|4CDMG|5FEWX|6RCVC|8RCR|aDUR
25	23131 53613	 * 	208.05	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	1AART|2CDMG|3BEXP|479VULN|5AELBLL|6ZMB|8RCR|aASPD
26	23134 53613	   	208.05	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	1AART|2CDMG|35BEXP|479VULN|6ZMB|8RCR|aASPD
27	23521 53613	   	208.05	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	1AART|2CDMG|379VULN|4FEWX|5AELBLL|6ZMB|8RCR|aASPD
28	26453 22112	   	207.46	DCR|3VULN|2DMG|1AART|1DUR	1AART|24aVULN|34DMG|4BPWR|5FEWX|6LIT|7DUR|8RCR|9LWND
29	26423 23124	 * 	206.16	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG|1DUR	1AART|2aVULN|3DMG|4CDMG|5MDPS|6DUR|7ASPD|8MULARM|9RCR
30	23543 13211	   	206.03	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2CDMG|347VULN|5MULFIG|6DUR|8RCR|9LHND|aDMG
31	23543 13221	   	206.03	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2CDMG|347VULN|5MULFIG|6DUR|8RCR|9BEXP|aDMG
32	23543 13241	   	206.03	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2CDMG|347VULN|5MULFIG|6DUR|8RCR|9LWND|aDMG
