0	Index      	 *	Score 	Summary	Detail	
1	34333 16383	 * 	202.37	DCR|3VULN|2DMG|1AART|3CDMG	17aVULN|2AART|367CDMG|47aLHND|5MBVNT|7aBPWR|8aDMG|9RCR
2	33411 23652	 * 	194.19	ACR|4VULN|1AART|1DMG|1CDMG|1DUR	168aVULN|2DUR|3CDMG|4RCR|5BELT|7DMG|9AART
3	33411 23614	   	193.59	ACR|4VULN|1AART|1DMG|1CDMG|1DUR	1689VULN|2DUR|3CDMG|4RCR|5BELT|7DMG|aAART
4	34113 42231	   	193.30	DCR|3VULN|2DMG|1AART|2DUR	18aVULN|2AART|3MLV|4aDUR|5CGEN|6BEXP|7RCR|9aDMG|aBPWR
5	33121 12554	 * 	193.06	DCR|3DMG|2VULN|1AART|1CDMG|1DUR	13VULN|2DUR|4CDMG|56aDMG|7BEXP|8AART|9RCR
6	33121 12556	   	193.06	DCR|3VULN|2DMG|1AART|1CDMG|1DUR	13aVULN|2DUR|4CDMG|56DMG|7BEXP|8AART|9RCR
7	34363 26444	 * 	190.60	ACR|3VULN|1AART|1DMG|2CDMG|1DUR	167VULN|2AART|37CDMG|4RCR|5MBVNT|7BPWR|8DUR|9MLV|aDMG
8	23336 11146	   	190.40	DCR|3DMG|2VULN|1AART|2DUR	169LWND|29DUR|3AART|4LIT|56aDMG|69BPWR|79VULN|8RCR
9	34462 12212	 * 	188.72	DCR|3DMG|2VULN|1AART|2ZMB	17VULN|2AART|367DMG|4BELT|57ZMB|7BPWR|89FEWX|aRCR
10	34462 12122	   	188.62	DCR|3DMG|2VULN|1AART|2ZMB	17VULN|2AART|367DMG|4BELT|57ZMB|7BPWR|8ERES|9CGEN|aRCR
11	36215 22633	 * 	187.30	DCR|4VULN|3ZMB|3ASPD|1DUR	1789VULN|278ASPD|3LHND|4MLV|578ZMB|6RCR|78BPWR|aDUR
12	34361 22135	 * 	186.12	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	16VULN|2AART|3CDMG|4RCR|5DUR|7DUST|8RPLT|9aDMG
13	34361 23136	   	186.12	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	16VULN|2AART|3CDMG|4RCR|5DUR|7MBVNT|8RPLT|9aDMG
14	34361 62131	   	186.12	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	19VULN|2AART|3CDMG|4RCR|5DUR|6LIT|7AIRHEA|8aDMG
15	23336 11144	   	185.75	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	169LWND|29DUR|3AART|4LIT|56DMG|69BPWR|79VULN|8RCR|aZMB
16	24523 33125	   	185.51	DCR|3VULN|2DMG|1AART|1DUR	1aLWND|2AART|37aVULN|4FEWX|5DLOT|6DUR|8RCR|9aDMG|aBPWR
