0	Index      	 *	Score 	Summary	Detail	
1	43213 41343	 * 	195.60	DCR|2VULN|2DMG|3ZMB|1AART	1DMSP|27DMG|3AART|47aZMB|57LWND|6RCR|7BPWR|89VULN
2	43223 41343	 * 	191.77	DCR|2VULN|2DMG|1AART|2ASPD|1ZMB	1DMSP|27DMG|3AART|47ASPD|57LWND|6RCR|7BPWR|89VULN|aZMB
3	43312 21661	 * 	189.70	DCR|3VULN|2DMG|1AART|2DUR	1DMSP|29DMG|3RPLT|4RCVC|59DUR|69aVULN|7RCR|8AART|9BPWR
4	21513 24432	 * 	183.24	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2RCR|3ZMB|4AART|5RCVC|6CDMG|7ASPD|89VULN|aDMG
5	21234 23453	 * 	182.74	ACR|3DMG|2VULN|1CDMG|1ZMB	1LIT|2RCR|3BELT|47aDMG|58VULN|6CDMG|9ZMB
6	43213 41115	   	182.07	DCR|2VULN|2DMG|1AART|2ZMB	1DMSP|27DMG|3AART|47ZMB|57LWND|6RCR|7BPWR|8RPLT|9aVULN
7	43213 41323	   	182.07	DCR|2VULN|2DMG|1AART|2ZMB	1DMSP|27DMG|3AART|47ZMB|57LWND|6RCR|7BPWR|8aVULN|9LHND
8	43213 41341	   	182.07	DCR|2VULN|2DMG|1AART|2ZMB	1DMSP|27DMG|3AART|47ZMB|57LWND|6RCR|7BPWR|89VULN|aCGEN
9	43213 41342	   	182.07	DCR|2VULN|2DMG|1AART|2ZMB	1DMSP|27DMG|3AART|47ZMB|57LWND|6RCR|7BPWR|89VULN|aMLV
10	43214 41323	   	182.07	DCR|2VULN|2DMG|1AART|2ZMB	1DMSP|27DMG|3AART|47ZMB|57FEWX|6RCR|7BPWR|8aVULN|9LHND
11	21134 36234	 * 	182.04	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1LIT|2RCR|3LWND|4CDMG|5aDMG|6AART|7DUR|8ZMB|9VULN
12	43223 41115	   	180.76	DCR|2VULN|2DMG|1AART|2ASPD	1DMSP|27DMG|3AART|47ASPD|57LWND|6RCR|7BPWR|8RPLT|9aVULN
13	43223 41323	   	180.76	DCR|2VULN|2DMG|1AART|2ASPD	1DMSP|27DMG|3AART|47ASPD|57LWND|6RCR|7BPWR|8aVULN|9LHND
14	43223 41341	   	180.76	DCR|2VULN|2DMG|1AART|2ASPD	1DMSP|27DMG|3AART|47ASPD|57LWND|6RCR|7BPWR|89VULN|aCGEN
15	43223 41342	   	180.76	DCR|2VULN|2DMG|1AART|2ASPD	1DMSP|27DMG|3AART|47ASPD|57LWND|6RCR|7BPWR|89VULN|aMLV
16	43224 41323	   	180.76	DCR|2VULN|2DMG|1AART|2ASPD	1DMSP|27DMG|3AART|47ASPD|57FEWX|6RCR|7BPWR|8aVULN|9LHND
17	43223 41362	 * 	180.49	DCR|2DMG|1AART|3ASPD|1VULN|1ZMB	1DMSP|27DMG|3AART|479ASPD|57LWND|6RCR|7BPWR|8VULN|aZMB
18	43213 41321	 * 	180.14	DCR|3DMG|1AART|1VULN|2ZMB	1DMSP|27aDMG|3AART|47ZMB|57LWND|6RCR|7BPWR|8VULN|9LHND
19	43214 41321	   	180.14	DCR|3DMG|1AART|1VULN|2ZMB	1DMSP|27aDMG|3AART|47ZMB|57FEWX|6RCR|7BPWR|8VULN|9LHND
20	43213 41333	   	180.04	DCR|3DMG|1AART|1VULN|2ZMB	1DMSP|27aDMG|3AART|47ZMB|57LWND|6RCR|7BPWR|8VULN|9ERES
21	43214 41333	   	180.04	DCR|3DMG|1AART|1VULN|2ZMB	1DMSP|27aDMG|3AART|47ZMB|57FEWX|6RCR|7BPWR|8VULN|9ERES
22	21334 36422	 * 	179.81	ACR|3AART|2VULN|1DMG|1CDMG	1LIT|2RCR|3BEXP|4CDMG|5DMG|678AART|9aVULN
23	21234 23225	 * 	179.28	ACR|2VULN|2DMG|1AART|1CDMG	1LIT|2RCR|3BELT|47DMG|59VULN|6CDMG|8BEXP|aAART
24	21234 23435	   	179.28	ACR|2VULN|2DMG|1AART|1CDMG	1LIT|2RCR|3BELT|47DMG|58VULN|6CDMG|9BEXP|aAART
25	21234 23125	   	179.18	ACR|2VULN|2DMG|1AART|1CDMG	1LIT|2RCR|3BELT|47DMG|59VULN|6CDMG|8DUST|aAART
26	43223 41321	 * 	178.83	DCR|3DMG|1AART|1VULN|2ASPD	1DMSP|27aDMG|3AART|47ASPD|57LWND|6RCR|7BPWR|8VULN|9LHND
27	43224 41321	   	178.83	DCR|3DMG|1AART|1VULN|2ASPD	1DMSP|27aDMG|3AART|47ASPD|57FEWX|6RCR|7BPWR|8VULN|9LHND
28	43223 41333	   	178.73	DCR|3DMG|1AART|1VULN|2ASPD	1DMSP|27aDMG|3AART|47ASPD|57LWND|6RCR|7BPWR|8VULN|9ERES
29	43224 41333	   	178.73	DCR|3DMG|1AART|1VULN|2ASPD	1DMSP|27aDMG|3AART|47ASPD|57FEWX|6RCR|7BPWR|8VULN|9ERES
30	21214 41225	   	178.63	ACR|2VULN|2AART|1DMG|1ZMB|1DUR	1LIT|2RCR|3BELT|4ZMB|57VULN|6DMG|8aAART|9DUR
31	32662 23132	 * 	178.61	DCR|4VULN|1AART|1CDMG|1ZMB|1ASPD	1DUST|2569VULN|3CDMG|4ZMB|7AART|8ASPD|aRCR
32	43214 41312	 * 	178.13	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	1DMSP|27DMG|3AART|47ZMB|57FEWX|6RCR|7BPWR|8VULN|9LIT|aCDMG
33	21533 36422	   	177.69	ACR|3AART|2VULN|1CDMG|1ZMB|1DUR	1LIT|2RCR|3ZMB|4DUR|5CDMG|678AART|9aVULN
34	43223 41316	 * 	176.83	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG	1DMSP|27DMG|3AART|47ASPD|57LWND|6RCR|7BPWR|8VULN|9LIT|aCDMG
35	12632 63633	   	176.71	DCR|4VULN|1AART|1CDMG|1DUR	1BEXP|259aVULN|3CDMG|4CGEN|6RCR|7DUR|8AART
36	12622 63631	   	176.61	DCR|4VULN|1AART|1CDMG|1DUR	1BEXP|259aVULN|3CDMG|4TLV|6RCR|7DUR|8AART
37	43116 41321	   	176.31	DCR|3DMG|1AART|1VULN|2DUR	1DMSP|27aDMG|37MLV|47DUR|5AART|6RCR|7BPWR|8VULN|9LHND
38	43116 41333	   	176.21	DCR|3DMG|1AART|1VULN|2DUR	1DMSP|27aDMG|37MLV|47DUR|5AART|6RCR|7BPWR|8VULN|9ERES
