0	Index      	 *	Score 	Summary	Detail	
1	26211 36521	 * 	202.90	ACR|4VULN|2AART|1DMG|1CDMG	1CDMG|2aAART|3589VULN|4RCR|6LHND|7DMG
2	26211 21262	 * 	201.35	ACR|3VULN|2DMG|1AART|2CDMG	1aCDMG|2AART|35aVULN|4RCR|6MGNSTR|7ERES|8aDMG|9RMIN|aBPWR
3	26211 23252	   	194.94	ACR|3VULN|2DMG|1AART|1CDMG	1CDMG|2AART|357VULN|4RCR|6MGNSTR|8aDMG|9CGEN
4	26211 23262	   	194.94	ACR|3VULN|2DMG|1AART|1CDMG	1CDMG|2AART|357VULN|4RCR|6MGNSTR|8aDMG|9RMIN
5	26211 23242	   	194.84	ACR|3VULN|2DMG|1AART|1CDMG	1CDMG|2AART|357VULN|4RCR|6MGNSTR|8aDMG|9ERES
6	26211 35521	   	193.84	ACR|4VULN|2AART|1CDMG|1ZMB	1CDMG|2aAART|3589VULN|4RCR|6LHND|7ZMB
7	26211 25242	   	191.45	ACR|4VULN|1AART|1DMG|1CDMG	1CDMG|2AART|359aVULN|4RCR|6MGNSTR|7LHND|8DMG
8	26211 36522	   	191.45	ACR|4VULN|1AART|1DMG|1CDMG	1CDMG|2AART|3589VULN|4RCR|6LHND|7DMG|aMGNSTR
9	26211 36523	   	191.45	ACR|4VULN|1AART|1DMG|1CDMG	1CDMG|2AART|3589VULN|4RCR|6LHND|7DMG|aLIT
10	26211 36532	   	191.45	ACR|4VULN|1AART|1DMG|1CDMG	1CDMG|2AART|358aVULN|4RCR|6LHND|7DMG|9LIT
11	26213 54823	   	191.25	ACR|4VULN|1AART|1DMG|1CDMG	1CDMG|2AART|379aVULN|4RCR|5DLOT|6MBVNT|8DMG
12	32324 35252	 * 	190.40	ACR|2DMG|3ZMB|1AART|1VULN|2DUR|1ASPD	19DUR|2CGEN|39aZMB|4VULN|5RCR|6ASPD|7AART|89DMG|9BPWR
13	55134 33222	 * 	190.15	DCR|5VULN|2DMG|2ZMB	1aZMB|24FEWX|3458aVULN|4aBPWR|6aDMG|7BELT|9RCR
14	26211 11312	 * 	190.13	ACR|4VULN|1AART|2CDMG|2DUR	19CDMG|2AART|359aVULN|4RCR|6MLV|7LIT|89DUR|9BPWR
15	13651 22613	   	189.98	ACR|2VULN|2DMG|1AART|2CDMG|3RCVC|1SELL	157RCVC|2SELL|3aVULN|4RCR|6aDMG|8aCDMG|9AART|aBPWR
16	26211 63226	 * 	189.22	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1ASPD|1DUR	1CDMG|2AART|35VULN|4RCR|6DUR|7LWND|8FLTHEA|9DMG|aASPD
17	26212 15226	   	189.12	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR|1ASPD	1CDMG|2AART|37VULN|4RCR|5DUR|6DUST|8FLTHEA|9DMG|aASPD
18	25138 14271	 * 	188.94	DCR|4VULN|2DMG|2CDMG|2SELL	1aCDMG|2aDMG|359aVULN|4MBVNT|6RCR|78SELL|aBPWR
19	26211 36221	   	188.80	ACR|3VULN|2AART|1DMG|1CDMG	1CDMG|2aAART|359VULN|4RCR|68LHND|7DMG
20	25138 13436	 * 	188.43	DCR|4VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|3589VULN|4MBVNT|6RCR|7TLV|aAART
21	26211 36533	   	188.35	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2AART|358VULN|4RCR|6LHND|7DMG|9LIT|aZMB
22	25138 16314	 * 	187.97	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1CDMG|2aDMG|35VULN|4MBVNT|6RCR|7ZMB|8LIT|9AART
23	26213 51217	 * 	187.28	ACR|3VULN|2AART|2CDMG|2DUR	18CDMG|29AART|38aVULN|4RCR|5DLOT|6MBVNT|78DUR|8BPWR
24	32362 21512	 * 	187.08	DCR|3VULN|2AART|3ZMB|2DUR	18DUR|2CGEN|389ZMB|46AART|578VULN|8BPWR|aRCR
25	26211 11313	   	187.03	ACR|3VULN|1AART|2CDMG|2DUR|1ZMB	19CDMG|2AART|359VULN|4RCR|6MLV|7LIT|89DUR|9BPWR|aZMB
26	25138 22241	 * 	186.83	DCR|4VULN|2DMG|2CDMG	1aCDMG|2aDMG|356aVULN|4MBVNT|7RCVC|8RCR|9RPLT|aBPWR
27	26222 36513	 * 	186.72	DCR|2VULN|2DMG|1AART|2ZMB|1CDMG	1CDMG|2AART|39VULN|4CGEN|5LIT|69DMG|7BEXP|89ZMB|9BPWR|aRCR
28	25121 14312	   	186.61	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	1CDMG|28DMG|34VULN|5DUR|6ZMB|7AART|9RPLT|aRCR
29	26211 56333	 * 	186.39	ACR|2AART|2VULN|1DMG|2CDMG|1DUR	19CDMG|2aAART|35VULN|4RCR|6FEWX|7DMG|8DUR
30	26211 66233	   	186.39	ACR|2AART|2VULN|1DMG|2CDMG|1DUR	19CDMG|2aAART|35VULN|4RCR|6DUR|7DMG|8LHND
31	26211 66321	   	186.19	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2AART|359VULN|4RCR|6DUR|7DMG|8RCVC|aDMSP
32	26211 66322	   	186.19	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2AART|359VULN|4RCR|6DUR|7DMG|8RCVC|aRMIN
