0	Index      	 *	Score 	Summary	Detail	
1	53521 12153	 * 	190.92	DCR|3DMG|2VULN|1AART|2ASPD	19BEXP|239DMG|4ERES|5aVULN|69ASPD|7RCR|8AART|9BPWR
2	63521 12153	 * 	186.98	DCR|3DMG|1AART|1VULN|2ASPD|1CDMG	19FEWX|239DMG|4ERES|5VULN|69ASPD|7RCR|8AART|9BPWR|aCDMG
3	46263 21213	 * 	185.33	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1ZMB	1LHND|2CDMG|3AART|4FEWX|5aVULN|6DMG|7RCR|8ZMB|9FLTHEA
4	46222 21213	   	185.23	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1ZMB	1LHND|2CDMG|3AART|4DMG|5DUST|6aVULN|7RCR|8ZMB|9FLTHEA
5	16221 21424	 * 	185.10	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUST|2CDMG|3AART|49DMG|5FEWX|6aVULN|7RCR|8DUR
6	66122 16322	 * 	184.99	ACR|3VULN|3DMG|1CDMG	14FEWX|2CDMG|3RCR|578VULN|69aDMG
7	35121 12156	   	183.56	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG|2DUR	1DMSP|29DUR|39DMG|4ERES|5VULN|69ASPD|7RCR|8AART|9BPWR|aCDMG
8	15334 31622	 * 	180.74	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1DUST|2LIT|3RCR|4AART|5ASPD|6DMG|7aVULN|8ZMB|9CDMG
9	13413 22313	 * 	179.72	DCR|3VULN|3DMG|1ZMB	1DUST|29aDMG|3ERES|4ZMB|59aCGEN|6LHND|7RCR|89aVULN|9aBPWR
10	63411 22151	   	179.66	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	169FEWX|29DMG|3ERES|4ZMB|59VULN|7RCR|8AART|9BPWR|aASPD
11	16221 21414	 * 	178.96	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1DUST|2CDMG|39AART|4DMG|5FEWX|6aVULN|7RCR|8DUR
12	66223 51213	   	178.73	DCR|3DMG|1AART|1VULN|1CDMG	1FEWX|2CDMG|3AART|47aDMG|5CGEN|6RCR|8VULN|9MLV
13	46232 14121	   	178.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LHND|2CDMG|3AART|4RPLT|5ASPD|69VULN|7RCR|8DMG|aZMB
14	66232 14121	   	178.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1FEWX|2CDMG|3AART|4RPLT|5ASPD|69VULN|7RCR|8DMG|aZMB
15	16224 51213	   	178.53	DCR|3DMG|1AART|1VULN|1CDMG	1DUST|2CDMG|3AART|47aDMG|5ERES|6RCR|8VULN|9MLV
16	46222 21261	   	178.52	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1LHND|2CDMG|3AART|49DMG|5DUST|6VULN|7RCR|8ZMB|aDUR
17	16232 14121	   	178.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1DUST|2CDMG|3AART|4RPLT|5ASPD|69VULN|7RCR|8DMG|aZMB
18	16234 24121	   	178.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1DUST|2CDMG|3AART|4RPLT|59VULN|6DMG|7RCR|8ASPD|aZMB
19	13541 42123	   	176.82	DCR|3DMG|1AART|1VULN|1ZMB|1ASPD	1DUST|23aDMG|4LEGI|5VULN|6ASPD|7RCR|8ZMB|9AART
20	35121 12154	 * 	176.22	DCR|2DMG|1AART|1VULN|3ASPD|2DUR	1DMSP|29DUR|39DMG|4ERES|5VULN|69aASPD|7RCR|8AART|9BPWR
