0	Index      	 *	Score 	Summary	Detail	
1	12354 53333	 * 	186.73	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1CGEN|235VULN|4CDMG|6RCR|7ZMB|8AART|9RMIN|aDMG
2	13624 52311	 * 	186.25	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	18CGEN|28DUR|3ZMB|4LWND|58DMG|6AART|7RCR|8BPWR|9aVULN
3	16523 14113	 * 	180.84	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CGEN|2BELT|3RCR|4AART|58VULN|6DUR|7DMG|9CDMG|aZMB
4	32116 13112	 * 	180.77	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1BELT|2aBEXP|3AART|4aVULN|5RCR|6ZMB|7DUR|8aDMG|9RMIN|aBPWR
5	16523 24113	 * 	178.45	ACR|3VULN|1AART|1DMG|1CDMG	1CGEN|2BELT|3RCR|4AART|58aVULN|6DUST|7DMG|9CDMG
6	16523 12243	 * 	178.36	ACR|2VULN|3ZMB|1AART|1CDMG|1DUR	19CGEN|2BELT|3RCR|4AART|59VULN|6DUR|7CDMG|89aZMB|9BPWR
7	32112 45152	 * 	178.32	DCR|4VULN|1AART|3CDMG	1BELT|278BEXP|3AART|4678VULN|578CDMG|78BPWR|9RCR|aMLV
8	32112 45153	   	178.32	DCR|4VULN|1AART|3CDMG	1BELT|278BEXP|3AART|4678VULN|578CDMG|78BPWR|9RCR|aLHND
9	32112 45151	   	178.22	DCR|4VULN|1AART|3CDMG	1BELT|278BEXP|3AART|4678VULN|578CDMG|78BPWR|9RCR|aERES
10	12354 53311	 * 	178.12	DCR|3VULN|2AART|1CDMG|1ZMB	1CGEN|235VULN|4CDMG|6RCR|7ZMB|8aAART|9RPLT
11	33112 45152	   	178.02	DCR|4VULN|1AART|3CDMG	1BELT|278DUST|3AART|4678VULN|578CDMG|78BPWR|9RCR|aMLV
