0	Index      	 *	Score 	Summary	Detail	
1	26121 32422	 * 	198.85	ACR|3DMG|2VULN|1AART|2CDMG	18aDMG|2aVULN|3BEXP|4RCR|59CDMG|6AART|7aAIRHEL|aBPWR
2	26125 52232	 * 	192.62	ACR|2DMG|2AART|3ZMB|1VULN|1DUR	19DMG|2VULN|39BEXP|4RCR|579ZMB|68AART|9BPWR|aDUR
3	26123 23113	 * 	191.69	ACR|4VULN|2DMG|1AART	1aDMG|279aVULN|3BEXP|4RCR|5DUST|6aTLV|8AART|aBPWR
4	26123 33113	   	191.69	ACR|4VULN|2DMG|1AART	1aDMG|279aVULN|3BEXP|4RCR|5DUST|6aERES|8AART|aBPWR
5	26331 63423	 * 	190.43	DCR|2VULN|2DMG|1AART|2CDMG|2ZMB	18DMG|25VULN|38CDMG|4BASHEA|6ERES|78ZMB|8BPWR|9RCR|aAART
6	26125 53232	 * 	189.74	ACR|2VULN|2DMG|2AART|2ZMB	19DMG|2aVULN|379BEXP|4RCR|59ZMB|68AART|9BPWR
7	26123 23143	 * 	189.03	ACR|3VULN|2DMG|2AART	1aDMG|27aVULN|3BEXP|4RCR|5DUST|6aTLV|89AART|aBPWR
8	26123 33143	   	189.03	ACR|3VULN|2DMG|2AART	1aDMG|27aVULN|3BEXP|4RCR|5DUST|6aERES|89AART|aBPWR
9	26433 32224	 * 	186.86	DCR|3VULN|3DMG|1ZMB|1DUR	14aDMG|24aVULN|3BELT|4aBPWR|5ZMB|6RCVC|7DUR|8RCR|9aBEXP
10	26433 32234	   	186.86	DCR|3VULN|3DMG|1ZMB|1DUR	14aDMG|24aVULN|3BELT|4aBPWR|5ZMB|6RCVC|7DUR|8RCR|9aLHND
11	26433 26341	 * 	185.97	DCR|3VULN|3DMG|1FLTHEA|1ZMB	146DMG|249VULN|3BELT|4BPWR|5ZMB|7MBVNT|8FLTHEA|aRCR
12	26125 52231	   	185.68	ACR|2DMG|2AART|3ZMB|1VULN	19DMG|2VULN|39BEXP|4RCR|579ZMB|68AART|9BPWR|aFEWX
13	26125 52233	   	185.58	ACR|2DMG|2AART|3ZMB|1VULN	19DMG|2VULN|39BEXP|4RCR|579ZMB|68AART|9BPWR|aDUST
14	14132 23222	 * 	184.67	DCR|2AART|2DMG|1VULN|1CDMG|1ZMB|1DUR	1FEWX|2CDMG|3ZMB|4aAART|5DUR|67DMG|8VULN|9RCR
15	23335 53222	   	184.67	DCR|2AART|2DMG|1VULN|1CDMG|1ZMB|1DUR	16DMG|2FEWX|3CDMG|4aAART|5ZMB|7DUR|8VULN|9RCR
16	26125 11323	   	184.60	ACR|4VULN|1AART|1DMG|1ZMB	1DMG|268aVULN|3BEXP|4RCR|5ZMB|7CGEN|9AART
17	26126 15323	   	184.50	ACR|4VULN|1AART|1DMG|1ZMB	1DMG|268aVULN|3BEXP|4RCR|5TLV|7ZMB|9AART
