0	Index      	 *	Score 	Summary	Detail	
1	25111 15335	 * 	194.95	DCR|3DMG|2AART|2VULN|1DUR	14AART|256DMG|3AIRHEL|7aVULN|8DUR|9RCR
2	25215 32123	   	192.57	DCR|3DMG|2VULN|1AART|1ZMB	1AART|25aDMG|3LWND|4aVULN|6TLV|7RCR|8ZMB|9aCGEN|aBPWR
3	25261 32123	   	192.57	DCR|3DMG|2VULN|1AART|1ZMB	1AART|24aDMG|3LWND|5aVULN|6TLV|7RCR|8ZMB|9aCGEN|aBPWR
4	25211 32123	 * 	192.57	DCR|3VULN|2DMG|1AART|1ZMB	1AART|2aDMG|3LWND|46aVULN|5ERES|7RCR|8ZMB|9aCGEN|aBPWR
5	25215 12163	   	192.47	DCR|3DMG|2VULN|1AART|1ZMB	1AART|25aDMG|3LWND|4aVULN|6CGEN|7RCR|8ZMB|9aERES|aBPWR
6	25261 12163	   	192.47	DCR|3DMG|2VULN|1AART|1ZMB	1AART|24aDMG|3LWND|5aVULN|6CGEN|7RCR|8ZMB|9aERES|aBPWR
7	25215 32163	   	192.37	DCR|3DMG|2VULN|1AART|1ZMB	1AART|25aDMG|3LWND|4aVULN|6TLV|7RCR|8ZMB|9aERES|aBPWR
8	25261 32163	   	192.37	DCR|3DMG|2VULN|1AART|1ZMB	1AART|24aDMG|3LWND|5aVULN|6TLV|7RCR|8ZMB|9aERES|aBPWR
9	25461 21113	   	192.21	DCR|3DMG|2VULN|1AART|1ZMB|1DUR	1AART|249DMG|3DUR|56VULN|7ZMB|8LIT|aRCR
10	25215 12136	 * 	190.47	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|25DMG|3LWND|4aVULN|6CGEN|7RCR|8ZMB|9CDMG
11	25261 12136	   	190.47	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|24DMG|3LWND|5aVULN|6CGEN|7RCR|8ZMB|9CDMG
12	25111 34532	   	190.41	DCR|3DMG|2AART|2VULN	14AART|25aDMG|3AIRHEL|69VULN|7CGEN|8RCR
13	23262 17254	   	188.61	DCR|3VULN|2DMG|1AART|1DUR	1AART|2BELT|369BEXP|4MBVNT|569VULN|69BPWR|7RCR|89DMG|aDUR
14	25411 21234	   	188.60	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|29DMG|3DUR|49VULN|5ERES|6RCR|7DUST|89TLV|9BPWR|aCDMG
15	25211 42123	   	188.36	DCR|2AART|2VULN|2DMG|1ZMB	16AART|2aDMG|3LWND|4aVULN|5ERES|7RCR|8ZMB|9aCGEN|aBPWR
16	12541 61111	 * 	187.73	ACR|3DMG|2VULN|1AART|1ASPD	1ASPD|29aDMG|3AART|47VULN|5RCR|6RCVC|8LIT
17	12541 63211	   	187.73	ACR|3DMG|2VULN|1AART|1ASPD	1ASPD|29aDMG|3AART|48VULN|5RCR|6RCVC|7LIT
18	12543 32431	   	187.11	DCR|3VULN|2DMG|1AART|1ASPD	1ASPD|29DMG|3AART|458VULN|6DUST|7RCR|aRPLT
19	12543 32432	   	187.11	DCR|3VULN|2DMG|1AART|1ASPD	1ASPD|29DMG|3AART|458VULN|6DUST|7RCR|aLHND
20	12543 32433	   	187.11	DCR|3VULN|2DMG|1AART|1ASPD	1ASPD|29DMG|3AART|458VULN|6DUST|7RCR|aLWND
21	21413 54221	 * 	186.25	DCR|3AART|2VULN|1DMG|2CDMG|1DUR	123AART|47LHND|57CDMG|67VULN|7BPWR|8DUR|9RCR|aDMG
22	21423 54221	   	186.25	DCR|3AART|2VULN|1DMG|2CDMG|1DUR	123AART|47FEWX|57CDMG|67VULN|7BPWR|8DUR|9RCR|aDMG
23	24313 22434	   	186.16	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2aCGEN|3DUST|4aVULN|5ZMB|6RCR|7DUR|8MBVNT|9aDMG|aBPWR
24	21241 32434	 * 	186.13	DCR|3VULN|2AART|1DMG|1ZMB	12AART|3DUST|48aVULN|5ZMB|6TLV|7RCR|9DMG
25	25164 13121	   	185.91	DCR|3DMG|2VULN|1AART|1DUR	1AART|25aDMG|3AIRHEL|4LHND|69VULN|7DUR|8RCR
26	25215 21113	   	185.27	DCR|3DMG|2VULN|1AART|1ZMB	1AART|259DMG|3LWND|46VULN|7ZMB|8LIT|aRCR
27	25261 21113	   	185.27	DCR|3DMG|2VULN|1AART|1ZMB	1AART|249DMG|3LWND|56VULN|7ZMB|8LIT|aRCR
28	12541 41111	   	185.23	ACR|3DMG|2VULN|1AART|1ASPD	1ASPD|29aDMG|3AART|47VULN|5RCR|6DMSP|8LIT
29	12541 43211	   	185.23	ACR|3DMG|2VULN|1AART|1ASPD	1ASPD|29aDMG|3AART|48VULN|5RCR|6DMSP|7LIT
30	25412 12335	 * 	184.37	DCR|3VULN|1AART|1DMG|1FLTHEA|1DUR	1AART|2DMG|3DUR|48aVULN|5DUST|6FEWX|7RCR|9FLTHEA
31	25215 12133	 * 	184.33	DCR|2AART|2DMG|1VULN|1CDMG|1ZMB	1aAART|25DMG|3LWND|4VULN|6CGEN|7RCR|8ZMB|9CDMG
32	25261 12133	   	184.33	DCR|2AART|2DMG|1VULN|1CDMG|1ZMB	1aAART|24DMG|3LWND|5VULN|6CGEN|7RCR|8ZMB|9CDMG
33	12542 53213	 * 	184.01	DCR|2VULN|1AART|1DMG|2ASPD|2DUR|1ZMB	19ASPD|2DMG|3AART|49VULN|5LIT|6LWND|7RCR|89DUR|9BPWR|aZMB
