0	Index      	 *	Score 	Summary	Detail	
1	22152 24361	 * 	207.47	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG|2ZMB	19ZMB|2CGEN|39ASPD|4DMG|5DUST|6MDPS|79VULN|8AART|9BPWR|aRCR
2	62222 55414	 * 	203.85	DCR|2VULN|1MDPS|2DMG|1AART	1LEGI|2MBVNT|39VULN|4BEXP|59DMG|6RCR|79BASFIG|8AART|9BPWR|aMDPS
3	44212 22226	   	203.49	DCR|2VULN|1AART|1ASPD|1DMG|2DUR|1ZMB	1ERES|2ZMB|34DUR|58VULN|6DMG|7AART|9ASPD|aRCR
4	62234 53821	 * 	203.16	DCR|3VULN|2DMG|2DUR|1ZMB	1LEGI|2MBVNT|38aVULN|4aDUR|5ZMB|6RCR|7BEXP|9aDMG|aBPWR
5	25311 23456	 * 	202.39	ACR|3DMG|2VULN|3ZMB|2CDMG	157ZMB|2RCVC|3MBVNT|4RCR|57aBPWR|67aDMG|8aVULN|9aCDMG
6	24362 51341	 * 	201.51	DCR|2VULN|2DMG|3ZMB|1ASPD	128ZMB|3MBVNT|48DMG|5DUST|6LIT|78VULN|8BPWR|9RCR|aASPD
7	44232 22226	   	201.35	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1ERES|2ZMB|3DUR|4RCVC|58VULN|6DMG|7AART|9ASPD|aRCR
8	62215 32427	 * 	200.95	DCR|3VULN|1AART|2CDMG|1DMG	1LEGI|2MBVNT|347VULN|57CDMG|6AART|7BPWR|8TLV|9DMG|aRCR
9	13651 13142	 * 	200.93	DCR|4VULN|1MDPS|1AART|2CDMG	1FEWX|26CDMG|3MDPS|4AART|569aVULN|6BPWR|7LWND|8RCR
10	22154 42333	 * 	200.86	DCR|2DMG|1VULN|1AART|1ASPD|2ZMB|1DUR	16ZMB|2CGEN|3ASPD|46DMG|5AART|6BPWR|7LIT|8DUR|9RCR|aVULN
11	62235 52221	 * 	200.11	DCR|2VULN|2DMG|1ASPD|3DUR	1LEGI|2MBVNT|3aVULN|47aDUR|5ASPD|6RCR|8BEXP|9aDMG|aBPWR
12	13615 13611	 * 	200.02	DCR|4VULN|1MDPS|1ASPD|1CDMG|1ZMB	1FEWX|2CDMG|3MDPS|4ASPD|5679VULN|8RCR|aZMB
13	32156 13432	 * 	198.63	DCR|2DMG|2ASPD|1VULN|1AART	1DUST|2RCVC|37ASPD|49DMG|5VULN|6ERES|8RCR|aAART
14	62224 52821	   	197.92	DCR|3VULN|2DMG|1ZMB|1DUR	1LEGI|2MBVNT|38aVULN|4aBEXP|5ZMB|6RCR|7DUR|9aDMG|aBPWR
15	62314 52821	   	197.72	DCR|3VULN|2DMG|1ZMB|1DUR	1LEGI|2MBVNT|3aDUST|48aVULN|5ZMB|6RCR|7DUR|9aDMG|aBPWR
16	66224 31112	 * 	197.07	DCR|3ASPD|1MDPS|1VULN|1DMG|1CDMG|1ZMB	1LEGI|2MDPS|3DMG|45aASPD|6RCR|7CDMG|8ZMB|9VULN
17	62235 53421	   	196.97	DCR|2VULN|2DMG|1ASPD|2DUR	1LEGI|2MBVNT|3aVULN|4aDUR|5ASPD|6RCR|7BEXP|8RCVC|9aDMG|aBPWR
18	13615 13613	   	196.63	DCR|4VULN|1MDPS|1ASPD|1CDMG|1SPLREG	1FEWX|2CDMG|3MDPS|4ASPD|5679VULN|8RCR|aSPLREG
19	62232 52823	 * 	196.30	DCR|2VULN|2DMG|3DUR|1CDMG	1LEGI|2MBVNT|38VULN|478DUR|58DMG|6RCR|8BPWR|9LIT|aCDMG
20	62241 52823	   	196.30	DCR|2VULN|2DMG|3DUR|1CDMG	1LEGI|2MBVNT|38VULN|48DMG|578DUR|6RCR|8BPWR|9LIT|aCDMG
21	33611 26236	 * 	196.30	DCR|2VULN|2ASPD|2CDMG|1ZMB|1DUR	13DUST|23CDMG|3BPWR|4ZMB|5DUR|67ASPD|8RCR|9aVULN
22	25623 42223	   	195.90	DCR|2VULN|2ASPD|1AART|1ZMB	1ZMB|2RCVC|38VULN|4AME|5MLV|6RCR|7AART|9aASPD
23	44112 21341	   	195.84	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1ZMB	1ERES|2ZMB|3ASPD|4AAC|59VULN|6DMG|7RCR|8LWND|aAART
24	25532 42223	   	195.80	DCR|2VULN|2ASPD|1AART|1ZMB	1ZMB|2RCVC|3CGEN|4ERES|58VULN|6RCR|7AART|9aASPD
25	25621 42223	   	195.80	DCR|2VULN|2ASPD|1AART|1ZMB	1ZMB|2RCVC|38VULN|4AME|5ERES|6RCR|7AART|9aASPD
26	24623 42223	   	195.41	DCR|2VULN|2ASPD|1AART|2ZMB	12ZMB|38VULN|4AME|5MLV|6RCR|7AART|9aASPD
27	24532 42223	   	195.31	DCR|2VULN|2ASPD|1AART|2ZMB	12ZMB|3CGEN|4ERES|58VULN|6RCR|7AART|9aASPD
28	24621 42223	   	195.31	DCR|2VULN|2ASPD|1AART|2ZMB	12ZMB|38VULN|4AME|5ERES|6RCR|7AART|9aASPD
29	41232 34163	 * 	195.16	DCR|2VULN|2AART|1MDPS|1ASPD|2ZMB	19ERES|2LHND|38AART|4MDPS|59VULN|69ZMB|7RCR|9BPWR|aASPD
30	42122 23436	   	195.03	DCR|2DMG|2ASPD|1VULN|1AART	1ERES|2CGEN|37ASPD|4AME|5VULN|69DMG|8RCR|aAART
31	21256 54211	   	193.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1ZMB|2LHND|3AART|4MBVNT|5aVULN|6BELT|7DMG|8RCR|9ASPD
32	24363 31212	   	193.86	DCR|2VULN|2DMG|3ZMB|1DUR	12aZMB|3MBVNT|4aDMG|5AME|6DUR|7RCR|8RPLT|9aVULN|aBPWR
33	24368 31212	   	193.86	DCR|2VULN|2DMG|3ZMB|1DUR	12aZMB|3MBVNT|4aDMG|5DUR|6AME|7RCR|8RPLT|9aVULN|aBPWR
34	21652 23631	 * 	193.80	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1ZMB|2LHND|3DMSP|4DMG|5DUST|6RCR|7AART|8VULN|9ASPD|aCDMG
35	62215 38133	 * 	193.66	DCR|2VULN|2AART|1ASPD|1CDMG	1LEGI|2MBVNT|34VULN|5CDMG|6aAART|7ERES|8ASPD|9RCR
36	24623 42221	 * 	193.64	DCR|2VULN|3ZMB|1AART|1ASPD	12aZMB|38VULN|4AME|5MLV|6RCR|7AART|9ASPD
37	13651 23142	 * 	193.63	DCR|3VULN|2AART|1MDPS|1CDMG	1FEWX|2CDMG|3MDPS|46AART|59aVULN|7LWND|8RCR
38	24532 42221	   	193.54	DCR|2VULN|3ZMB|1AART|1ASPD	12aZMB|3CGEN|4ERES|58VULN|6RCR|7AART|9ASPD
39	24621 42221	   	193.54	DCR|2VULN|3ZMB|1AART|1ASPD	12aZMB|38VULN|4AME|5ERES|6RCR|7AART|9ASPD
40	41235 22143	 * 	193.53	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1ZMB	1ERES|2LHND|38AART|4MDPS|5DMG|6RCR|7VULN|9ZMB|aASPD
41	62212 24387	   	193.52	DCR|3VULN|1AART|1DMG|1CDMG	1LEGI|2MBVNT|347VULN|5DMG|6CDMG|8LHND|9AART|aRCR
42	62221 42177	   	193.52	DCR|3VULN|1AART|1DMG|1CDMG	1LEGI|2MBVNT|357VULN|4BEXP|6AART|8CDMG|9DMG|aRCR
43	63235 22143	   	193.43	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1ZMB	1LEGI|2ERES|38AART|4MDPS|5DMG|6RCR|7VULN|9ZMB|aASPD
