0	Index      	 *	Score 	Summary	Detail	
1	34134 23133	 * 	227.33	DCR|3DMG|2ASPD|1VULN|1CDMG|1AAC|1ZMB|1DUR	1CDMG|245DMG|35ASPD|5BPWR|6DUR|7RCR|8ZMB|9VULN|aAAC
2	34134 23121	   	223.99	DCR|3DMG|2ASPD|1VULN|1CDMG|1ZMB|1DUR	1CDMG|245DMG|35ASPD|5BPWR|6DUR|7RCR|8ZMB|9AME|aVULN
3	34134 23134	   	223.99	DCR|3DMG|2ASPD|1VULN|1CDMG|1ZMB|1DUR	1CDMG|245DMG|35ASPD|5BPWR|6DUR|7RCR|8ZMB|9VULN|aBEXP
4	34134 23131	   	223.89	DCR|3DMG|2ASPD|1VULN|1CDMG|1ZMB|1DUR	1CDMG|245DMG|35ASPD|5BPWR|6DUR|7RCR|8ZMB|9VULN|aLEGI
5	34134 23132	   	223.89	DCR|3DMG|2ASPD|1VULN|1CDMG|1ZMB|1DUR|1MSE	1CDMG|245DMG|35ASPD|5BPWR|6DUR|7RCR|8ZMB|9VULN|aMSE
6	34134 23135	   	223.89	DCR|3DMG|2ASPD|1VULN|1CDMG|1ZMB|1DUR	1CDMG|245DMG|35ASPD|5BPWR|6DUR|7RCR|8ZMB|9VULN|aDUST
7	34134 23136	   	223.89	DCR|3DMG|2ASPD|1VULN|1CDMG|1ZMB|1DUR	1CDMG|245DMG|35ASPD|5BPWR|6DUR|7RCR|8ZMB|9VULN|aTLV
8	34134 23151	   	223.89	DCR|3DMG|2ASPD|1VULN|1CDMG|1ZMB|1DUR	1CDMG|245DMG|35ASPD|5BPWR|6DUR|7RCR|8ZMB|9TLV|aVULN
9	34134 23333	   	221.16	DCR|3DMG|2ASPD|1VULN|1CDMG|1AAC|1DUR	1CDMG|245DMG|35ASPD|5BPWR|6DUR|7RCR|8RMIN|9VULN|aAAC
10	34134 23211	 * 	220.99	DCR|3DMG|2ASPD|1VULN|2CDMG|1DUR	19CDMG|245DMG|35ASPD|5BPWR|6DUR|7RCR|8LEGI|aVULN
11	34134 23511	   	220.99	DCR|3DMG|2ASPD|1VULN|2CDMG|1DUR	19CDMG|245DMG|35ASPD|5BPWR|6DUR|7RCR|8MBVNT|aVULN
12	34134 23321	   	217.82	DCR|3DMG|2ASPD|1VULN|1CDMG|1DUR	1CDMG|245DMG|35ASPD|5BPWR|6DUR|7RCR|8RMIN|9AME|aVULN
13	34134 23334	   	217.82	DCR|3DMG|2ASPD|1VULN|1CDMG|1DUR	1CDMG|245DMG|35ASPD|5BPWR|6DUR|7RCR|8RMIN|9VULN|aBEXP
14	34134 23331	   	217.72	DCR|3DMG|2ASPD|1VULN|1CDMG|1DUR	1CDMG|245DMG|35ASPD|5BPWR|6DUR|7RCR|8RMIN|9VULN|aLEGI
15	34134 23332	   	217.72	DCR|3DMG|2ASPD|1VULN|1CDMG|1DUR|1MSE	1CDMG|245DMG|35ASPD|5BPWR|6DUR|7RCR|8RMIN|9VULN|aMSE
16	34134 23335	   	217.72	DCR|3DMG|2ASPD|1VULN|1CDMG|1DUR	1CDMG|245DMG|35ASPD|5BPWR|6DUR|7RCR|8RMIN|9VULN|aDUST
17	34134 23336	   	217.72	DCR|3DMG|2ASPD|1VULN|1CDMG|1DUR	1CDMG|245DMG|35ASPD|5BPWR|6DUR|7RCR|8RMIN|9VULN|aTLV
18	34134 23351	   	217.72	DCR|3DMG|2ASPD|1VULN|1CDMG|1DUR	1CDMG|245DMG|35ASPD|5BPWR|6DUR|7RCR|8RMIN|9TLV|aVULN
19	64136 14134	 * 	216.61	DCR|4VULN|3CDMG|1DMG|1ZMB	1358VULN|239CDMG|3BPWR|4DMG|6MBVNT|7RCR|aZMB
20	34134 33121	   	215.59	DCR|3DMG|2ASPD|1VULN|1CDMG|1ZMB	1CDMG|245DMG|35ASPD|5BPWR|6LEGI|7RCR|8ZMB|9AME|aVULN
21	34134 33131	   	215.59	DCR|3DMG|2ASPD|1VULN|1CDMG|1ZMB	1CDMG|245DMG|35ASPD|5BPWR|6LEGI|7RCR|8ZMB|9VULN|aDMSP
22	34134 33132	   	215.59	DCR|3DMG|2ASPD|1VULN|1CDMG|1ZMB	1CDMG|245DMG|35ASPD|5BPWR|6LEGI|7RCR|8ZMB|9VULN|aBEXP
23	34134 33133	   	215.59	DCR|3DMG|2ASPD|1VULN|1CDMG|1ZMB	1CDMG|245DMG|35ASPD|5BPWR|6LEGI|7RCR|8ZMB|9VULN|aLHND
24	34134 33135	   	215.49	DCR|3DMG|2ASPD|1VULN|1CDMG|1ZMB	1CDMG|245DMG|35ASPD|5BPWR|6LEGI|7RCR|8ZMB|9VULN|aDUST
25	34134 33136	   	215.49	DCR|3DMG|2ASPD|1VULN|1CDMG|1ZMB	1CDMG|245DMG|35ASPD|5BPWR|6LEGI|7RCR|8ZMB|9VULN|aTLV
26	34134 33151	   	215.49	DCR|3DMG|2ASPD|1VULN|1CDMG|1ZMB	1CDMG|245DMG|35ASPD|5BPWR|6LEGI|7RCR|8ZMB|9TLV|aVULN
27	34134 23411	   	214.74	DCR|3DMG|2ASPD|1VULN|1CDMG|1DUR	1CDMG|245DMG|35ASPD|5BPWR|6DUR|7RCR|8RCVC|9DUST|aVULN
28	34134 33421	   	214.74	DCR|3DMG|2ASPD|1VULN|1CDMG|1DUR	1CDMG|245DMG|35ASPD|5BPWR|6LEGI|7RCR|8RCVC|9DUR|aVULN
29	64136 14131	   	214.58	DCR|4VULN|3CDMG|1DMG|1DUR	1358VULN|239CDMG|3BPWR|4DMG|6MBVNT|7RCR|aDUR
30	65513 13122	 * 	213.57	ACR|3DMG|2VULN|1MDPS|2ASPD|2DUR|1AAC	19VULN|24DUR|369DMG|5RCR|79ASPD|8AAC|9BPWR|aMDPS
31	34134 23224	   	213.56	DCR|3DMG|2ASPD|1VULN|1CDMG|1DUR	1CDMG|245DMG|35ASPD|5BPWR|6DUR|7RCR|8LEGI|9LHND|aVULN
32	34134 33221	   	213.56	DCR|3DMG|2ASPD|1VULN|1CDMG|1DUR	1CDMG|245DMG|35ASPD|5BPWR|6LEGI|7RCR|8DMSP|9DUR|aVULN
33	34134 23261	   	213.46	DCR|3DMG|2ASPD|1VULN|1CDMG|1DUR	1CDMG|245DMG|35ASPD|5BPWR|6DUR|7RCR|8LEGI|9CANSTR|aVULN
34	34536 14132	 * 	213.38	DCR|5VULN|2CDMG|1DMG	19CDMG|2DMG|3458aVULN|6MBVNT|7RCR
35	34134 42213	 * 	212.75	DCR|3DMG|1MDPS|2ASPD|1VULN|1CDMG	1CDMG|245DMG|35ASPD|5BPWR|6RCVC|7VULN|8DMSP|9RCR|aMDPS
36	34134 33311	   	212.68	DCR|3DMG|2ASPD|1VULN|2CDMG	19CDMG|245DMG|35ASPD|5BPWR|6LEGI|7RCR|8LHND|aVULN
37	34134 33511	   	212.58	DCR|3DMG|2ASPD|1VULN|2CDMG	19CDMG|245DMG|35ASPD|5BPWR|6LEGI|7RCR|8MBVNT|aVULN
38	36223 43611	 * 	212.16	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG|1DUR	1CDMG|2AART|3MDPS|4LWND|59VULN|6RCR|7ASPD|8DUR|aDMG
39	36233 43611	   	212.16	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG|1DUR	1CDMG|2AART|3MDPS|4BEXP|59VULN|6RCR|7ASPD|8DUR|aDMG
40	63513 13122	 * 	211.69	DCR|3DMG|2VULN|2ASPD|1AAC|1DUR	19VULN|2DUST|369DMG|4DUR|5AELBLL|79ASPD|8AAC|9BPWR|aRCR
41	33232 31266	 * 	210.60	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2LWND|3ZMB|45VULN|6DUR|7DMG|89AART|aRCR
42	64136 14241	 * 	209.26	DCR|3VULN|2DMG|2CDMG|1DUR	135VULN|23CDMG|3BPWR|4aDMG|6MBVNT|7RCR|8DUR|9LIT
43	36123 43212	 * 	209.09	DCR|2DMG|1VULN|1AART|2CDMG|1ASPD|1DUR	17CDMG|2AART|37BEXP|4DUR|5ASPD|67DMG|7BPWR|8VULN|9LHND|aRCR
44	36123 43222	   	208.99	DCR|2DMG|1VULN|1AART|2CDMG|1ASPD|1DUR	17CDMG|2AART|37BEXP|4DUR|5ASPD|67DMG|7BPWR|8VULN|9DUST|aRCR
45	64136 14122	   	207.52	DCR|4VULN|2CDMG|1DMG|1DUR	1358VULN|23CDMG|3BPWR|4DMG|6MBVNT|7RCR|9DUR|aLHND
46	64136 14121	   	207.42	DCR|4VULN|2CDMG|1DMG|1DUR	1358VULN|23CDMG|3BPWR|4DMG|6MBVNT|7RCR|9DUR|aERES
47	64136 14123	   	207.42	DCR|4VULN|2CDMG|1DMG|1DUR|1MSE	1358VULN|23CDMG|3BPWR|4DMG|6MBVNT|7RCR|9DUR|aMSE
48	64136 14124	   	207.42	DCR|4VULN|2CDMG|1DMG|1DUR	1358VULN|23CDMG|3BPWR|4DMG|6MBVNT|7RCR|9DUR|aLEGI
49	33632 31266	   	207.21	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1CDMG|2LWND|3RMIN|45VULN|6DUR|7DMG|89AART|aRCR
50	16211 15226	 * 	207.03	DCR|2VULN|2DMG|1AART|1CDMG|2DUR|1AAC	1LHND|2AAC|35VULN|45DUR|5BPWR|69DMG|7CDMG|8AART|aRCR
51	32352 42153	 * 	206.65	DCR|1SPLARM|2VULN|1AART|1ASPD|1CDMG|1ZMB	1CDMG|2SPLJET|3SPLARM|4DUST|5ASPD|6ZMB|7RCR|8aVULN|9AART
52	34134 33431	   	206.43	DCR|3DMG|2ASPD|1VULN|1CDMG	1CDMG|245DMG|35ASPD|5BPWR|6LEGI|7RCR|8RCVC|9LWND|aVULN
53	34134 33411	   	206.33	DCR|3DMG|2ASPD|1VULN|1CDMG	1CDMG|245DMG|35ASPD|5BPWR|6LEGI|7RCR|8RCVC|9DUST|aVULN
54	64136 14132	   	206.27	DCR|4VULN|3CDMG|1DMG	1358VULN|239CDMG|3BPWR|4DMG|6MBVNT|7RCR|aAME
55	64136 14133	   	206.27	DCR|4VULN|3CDMG|1DMG	1358VULN|239CDMG|3BPWR|4DMG|6MBVNT|7RCR|aAELBLL
56	64136 22423	 * 	205.74	DCR|3VULN|2CDMG|1ASPD|1DMG|1DUR	135VULN|23CDMG|3BPWR|4DMG|6DUR|7MBVNT|8ASPD|9LWND|aRCR
57	64136 13214	   	205.69	DCR|4VULN|2CDMG|1DMG|1DUR	1357VULN|23CDMG|3BPWR|4DMG|6MBVNT|8DUR|9RMIN|aRCR
58	64136 22114	   	205.69	DCR|4VULN|2CDMG|1DMG|1DUR	1358VULN|23CDMG|3BPWR|4DMG|6DUR|7MBVNT|9RMIN|aRCR
59	65112 33226	 * 	205.52	DCR|4VULN|1AART|1ASPD|1DUR	1459VULN|2DUR|3LEGI|6CGEN|7ASPD|8RCR|aAART
60	34134 33231	   	205.25	DCR|3DMG|2ASPD|1VULN|1CDMG	1CDMG|245DMG|35ASPD|5BPWR|6LEGI|7RCR|8DMSP|9LWND|aVULN
61	34134 33251	   	205.25	DCR|3DMG|2ASPD|1VULN|1CDMG	1CDMG|245DMG|35ASPD|5BPWR|6LEGI|7RCR|8DMSP|9LHND|aVULN
62	34134 33321	   	205.25	DCR|3DMG|2ASPD|1VULN|1CDMG	1CDMG|245DMG|35ASPD|5BPWR|6LEGI|7RCR|8LHND|9DMSP|aVULN
63	64136 14223	 * 	205.20	DCR|3VULN|1MDPS|2CDMG|1DMG|1DUR	135VULN|23CDMG|3BPWR|4DMG|6MBVNT|7RCR|8DUR|9RMIN|aMDPS
64	36543 22213	 * 	205.18	DCR|3VULN|1AART|2CDMG|1DMG	17CDMG|2AART|347VULN|57ERES|6RCVC|7BPWR|8LWND|9RCR|aDMG
65	34134 33211	   	205.15	DCR|3DMG|2ASPD|1VULN|1CDMG	1CDMG|245DMG|35ASPD|5BPWR|6LEGI|7RCR|8DMSP|9DUST|aVULN
66	34134 33333	   	205.15	DCR|3DMG|2ASPD|1VULN|1CDMG	1CDMG|245DMG|35ASPD|5BPWR|6LEGI|7RCR|8LHND|9DUST|aVULN
67	34134 33361	   	205.15	DCR|3DMG|2ASPD|1VULN|1CDMG	1CDMG|245DMG|35ASPD|5BPWR|6LEGI|7RCR|8LHND|9CANSTR|aVULN
68	36543 22313	   	205.08	DCR|3VULN|1AART|2CDMG|1DMG	17CDMG|2AART|347VULN|57ERES|6RCVC|7BPWR|8DUST|9RCR|aDMG
69	65513 13121	   	205.07	ACR|3DMG|2VULN|2ASPD|2DUR|1AAC|1ZMB	19VULN|24DUR|369DMG|5RCR|79ASPD|8AAC|9BPWR|aZMB
70	36461 23212	 * 	204.63	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1CDMG|2AART|3RMIN|4RPLT|5DUST|6RCR|7VULN|8DMG|9aASPD
71	34134 23124	   	204.38	DCR|3DMG|2ASPD|1CDMG|1ZMB|1DUR	1CDMG|245DMG|35ASPD|5BPWR|6DUR|7RCR|8ZMB|9AME|aRMIN
72	36124 63312	   	204.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1CDMG|2AART|3BEXP|4DUR|58VULN|6DMG|7ASPD|9LHND|aRCR
73	36533 63212	   	204.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1CDMG|2AART|38VULN|4DUR|5FEWX|6ASPD|7DMG|9LHND|aRCR
74	36536 23312	   	204.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1CDMG|2AART|38VULN|4DUR|5ASPD|6BEXP|7DMG|9LHND|aRCR
75	36534 22123	   	204.16	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG|1DUR	1CDMG|2AART|35VULN|4DUR|6MDPS|7ASPD|8RPLT|9DMG|aRCR
76	36124 63322	   	204.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1CDMG|2AART|3BEXP|4DUR|58VULN|6DMG|7ASPD|9DUST|aRCR
77	36533 63222	   	204.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1CDMG|2AART|38VULN|4DUR|5FEWX|6ASPD|7DMG|9DUST|aRCR
78	36536 23322	   	204.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1CDMG|2AART|38VULN|4DUR|5ASPD|6BEXP|7DMG|9DUST|aRCR
79	36332 13332	   	204.13	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2AART|35LIT|457VULN|5BPWR|6AME|8DUR|9RCR|aDMG
80	36335 13332	   	204.03	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2AART|3LIT|467VULN|5AME|8DUR|9RCR|aDMG
81	36336 13332	   	204.03	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2AART|3LIT|467VULN|5MLV|8DUR|9RCR|aDMG
82	31122 64153	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|2FEWX|3MULARM|4CANARM|5ASPD|6RCR|7aVULN|8DMG|9AART
83	36223 43211	   	203.85	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1CDMG|2AART|3MDPS|4LWND|59VULN|6RCR|7ASPD|8LHND|aDMG
84	36223 43411	   	203.85	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1CDMG|2AART|3MDPS|4LWND|59VULN|6RCR|7ASPD|8FEWX|aDMG
85	36233 43211	   	203.85	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1CDMG|2AART|3MDPS|4BEXP|59VULN|6RCR|7ASPD|8LHND|aDMG
86	36233 43411	   	203.85	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1CDMG|2AART|3MDPS|4BEXP|59VULN|6RCR|7ASPD|8FEWX|aDMG
87	14232 11226	   	203.81	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1LHND|2CDMG|3ZMB|45VULN|6BEXP|79DMG|8AART|aRCR
88	14232 21226	   	203.81	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1LHND|2CDMG|3ZMB|45VULN|6LWND|79DMG|8AART|aRCR
89	32122 64153	   	203.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|2SPLJET|3DUST|4CANARM|5ASPD|6RCR|7aVULN|8DMG|9AART
90	64136 14114	   	203.71	DCR|4VULN|2CDMG|1DMG	1358VULN|23CDMG|3BPWR|4DMG|6MBVNT|7RCR|9RMIN|aRCVC
91	36144 21321	 * 	203.68	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG|1DUR	1CDMG|2AART|3BEXP|45VULN|6MDPS|7DUR|8aDMG|9RCR
92	36233 16321	   	203.68	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG|1DUR	1CDMG|2AART|3MDPS|4BEXP|57VULN|6DUR|8aDMG|9RCR
93	34141 22226	   	203.50	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG|1DUR	1CDMG|29DMG|3ASPD|4DUR|5LHND|6RCVC|7VULN|8AART|aRCR
94	64131 23335	 * 	203.48	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	13VULN|23CDMG|3BPWR|4DMG|5MLV|6BELT|7CGEN|8ASPD|9AART|aRCR
95	64132 23335	   	203.48	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	13VULN|23CDMG|3BPWR|4DMG|5AME|6BELT|7CGEN|8ASPD|9AART|aRCR
96	34134 42212	   	203.38	DCR|3DMG|2ASPD|1VULN|1CDMG	1CDMG|245DMG|35ASPD|5BPWR|6RCVC|7VULN|8DMSP|9RCR|aRPLT
97	63553 13122	   	203.38	DCR|3DMG|2VULN|2ASPD|1AAC	19VULN|2DUST|369DMG|4FEWX|5AELBLL|79ASPD|8AAC|9BPWR|aRCR
98	64136 14112	   	203.38	DCR|4VULN|2CDMG|1DMG	1358VULN|23CDMG|3BPWR|4DMG|6MBVNT|7RCR|9RMIN|aMLV
99	34134 42211	   	203.28	DCR|3DMG|2ASPD|1VULN|1CDMG	1CDMG|245DMG|35ASPD|5BPWR|6RCVC|7VULN|8DMSP|9RCR|aDUST
100	64136 14111	   	203.28	DCR|4VULN|2CDMG|1DMG	1358VULN|23CDMG|3BPWR|4DMG|6MBVNT|7RCR|9RMIN|aDUST
101	64136 14113	   	203.28	DCR|4VULN|2CDMG|1DMG|1MSE	1358VULN|23CDMG|3BPWR|4DMG|6MBVNT|7RCR|9RMIN|aMSE
102	34536 14134	   	203.28	DCR|4VULN|2CDMG|1DMG	19CDMG|2DMG|3458VULN|6MBVNT|7RCR|aRMIN
103	64113 43113	 * 	202.65	DCR|3VULN|3CDMG|1AART|1DUR	138VULN|238CDMG|38BPWR|4AME|5DUR|68SNIFST|7RCR|9ERES|aAART
104	64113 43121	   	202.65	DCR|3VULN|3CDMG|1AART|1DUR	138VULN|238CDMG|38BPWR|4AME|5DUR|68SNIFST|7RCR|9CANARM|aAART
