0	Index      	 *	Score 	Summary	Detail	
1	33324 63223	 * 	215.78	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	1LHND|234VULN|5AART|6ASPD|7LIT|8CDMG|9RCR|aDMG
2	43634 13323	 * 	213.29	DCR|2DMG|2ASPD|1AART|2CDMG|1NUKE	17CDMG|2LWND|37ASPD|4LIT|5AME|67DMG|7BPWR|8AART|9RCR|aNUKE
3	53416 32223	 * 	212.17	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	1LWND|26VULN|3AART|45ASPD|7LIT|8CDMG|9RCR|aDMG
4	13223 64431	 * 	208.90	DCR|3VULN|3ASPD|1DMG	13FEWX|249VULN|578ASPD|6RCR|aDMG
5	13611 84721	 * 	207.88	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB	1FEWX|2VULN|36AART|4ASPD|5MBVNT|7RCR|8DMG|9CDMG|aZMB
6	13611 84743	 * 	207.19	DCR|2AART|2DMG|1VULN|1ASPD|1DUR	1FEWX|2VULN|36AART|4ASPD|5MBVNT|7RCR|8aDMG|9DUR
7	52634 13323	   	205.86	DCR|2DMG|2ASPD|1AART|1NUKE|1CDMG	17LWND|2CDMG|37ASPD|4LIT|5AME|67DMG|7BPWR|8AART|9RCR|aNUKE
8	13223 65131	   	205.53	DCR|3VULN|1AART|1ASPD|1DMG	13FEWX|247VULN|5ASPD|6RCR|8LWND|9DMG|aAART
9	13223 65531	   	205.53	DCR|3VULN|1AART|1ASPD|1DMG	13FEWX|247VULN|5ASPD|6RCR|8LHND|9DMG|aAART
10	13423 65131	   	205.53	DCR|3VULN|1AART|1ASPD|1DMG	1FEWX|247VULN|3DMSP|5ASPD|6RCR|8LWND|9DMG|aAART
11	13223 65331	   	205.43	DCR|3VULN|1AART|1ASPD|1DMG	13FEWX|247VULN|5ASPD|6RCR|8MBVNT|9DMG|aAART
12	13423 65331	   	205.43	DCR|3VULN|1AART|1ASPD|1DMG	1FEWX|247VULN|3DMSP|5ASPD|6RCR|8MBVNT|9DMG|aAART
13	33324 63222	 * 	205.08	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG	1LHND|234VULN|5AART|6ASPD|7LIT|8CDMG|9RCR|aMDPS
14	33324 32341	   	203.53	DCR|3VULN|1AART|1ASPD|1DMG	1LHND|234VULN|5AART|6LWND|7RCR|8DMG|9BEXP|aASPD
15	53324 12341	   	203.53	DCR|3VULN|1AART|1ASPD|1DMG	1LWND|234VULN|5AART|6LHND|7RCR|8DMG|9BEXP|aASPD
16	33324 32321	   	203.43	DCR|3VULN|1AART|1ASPD|1DMG	1LHND|234VULN|5AART|6LWND|7RCR|8DMG|9DUST|aASPD
17	53324 12321	   	203.43	DCR|3VULN|1AART|1ASPD|1DMG	1LWND|234VULN|5AART|6LHND|7RCR|8DMG|9DUST|aASPD
18	33324 32523	 * 	202.44	DCR|4VULN|1AART|1CDMG	1LHND|2349VULN|5AART|6LWND|7RCR|8SPLREG|aCDMG
19	53324 12523	   	202.44	DCR|4VULN|1AART|1CDMG	1LWND|2349VULN|5AART|6LHND|7RCR|8SPLREG|aCDMG
20	33411 62284	   	202.34	DCR|2VULN|2ASPD|1AART|1CDMG|1ZMB	1LHND|27VULN|3AART|48ASPD|5MBVNT|6ZMB|9RCR|aCDMG
21	12363 26533	 * 	202.17	DCR|2ASPD|1AART|1VULN|2CDMG|1DMG	17FEWX|27CDMG|3VULN|4AART|5LIT|67ASPD|7BPWR|8RCR|9RCVC|aDMG
22	13223 64131	   	201.92	DCR|2VULN|2ASPD|1AART|1DMG	13FEWX|24VULN|57ASPD|6RCR|8LWND|9DMG|aAART
23	13223 64531	   	201.92	DCR|2VULN|2ASPD|1AART|1DMG	13FEWX|24VULN|57ASPD|6RCR|8LHND|9DMG|aAART
24	13423 64131	   	201.92	DCR|2VULN|2ASPD|1AART|1DMG	1FEWX|24VULN|3DMSP|57ASPD|6RCR|8LWND|9DMG|aAART
25	13223 64331	   	201.82	DCR|2VULN|2ASPD|1AART|1DMG	13FEWX|24VULN|57ASPD|6RCR|8MBVNT|9DMG|aAART
26	13423 64331	   	201.82	DCR|2VULN|2ASPD|1AART|1DMG	1FEWX|24VULN|3DMSP|57ASPD|6RCR|8MBVNT|9DMG|aAART
27	53416 32222	 * 	201.47	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG	1LWND|26VULN|3AART|45ASPD|7LIT|8CDMG|9RCR|aMDPS
28	13632 84743	   	199.93	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1FEWX|2VULN|36AART|4ZMB|5MBVNT|7RCR|8ASPD|9DUR|aDMG
29	53432 12542	 * 	199.75	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB	1aLWND|2aVULN|3AART|4ZMB|5MBVNT|6BELT|7RCR|8DMG|9aCDMG|aBPWR
30	13223 65413	 * 	199.59	DCR|3VULN|2ASPD|1AART	13FEWX|247VULN|58ASPD|6RCR|9DUST|aAART
31	13611 84611	 * 	199.45	DCR|3VULN|2AART|1ASPD	1FEWX|28aVULN|36AART|4ASPD|5MBVNT|7RCR|9LIT
32	13223 61232	 * 	199.44	DCR|3VULN|2DMG|1ASPD|1AAC	13aFEWX|24aVULN|5ASPD|6RCR|7AAC|8AELBLL|9aDMG|aBPWR
33	13423 61232	   	199.44	DCR|3VULN|2DMG|1ASPD|1AAC	1aFEWX|24aVULN|3DMSP|5ASPD|6RCR|7AAC|8AELBLL|9aDMG|aBPWR
34	33324 32211	 * 	199.32	DCR|4VULN|1AART|1ASPD	1LHND|234aVULN|5AART|6LWND|7RCR|8ASPD|9LIT
