0	Index      	 *	Score 	Summary	Detail	
1	31632 33163	 * 	223.64	DCR|3VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2FEWX|34aVULN|5ZMB|67DMG|8CDMG|9RCR
2	33455 22133	 * 	221.77	DCR|2VULN|2DMG|2ASPD|1AART	1AART|2RPLT|3aVULN|4MBVNT|5LHND|6aASPD|7RCR|8aDMG|9RMIN|aBPWR
3	33456 22133	   	221.67	DCR|2VULN|2DMG|2ASPD|1AART	1AART|2RPLT|3aVULN|4MBVNT|5DUST|6aASPD|7RCR|8aDMG|9RMIN|aBPWR
4	33341 13316	 * 	221.37	DCR|3ASPD|2VULN|1AART|1CDMG|1ZMB	1AART|2RPLT|358ASPD|4aVULN|6RCR|7CDMG|9ZMB
5	33413 41363	 * 	220.07	DCR|3VULN|2AART|2DMG	16AART|2RPLT|37aVULN|4RMIN|58DMG|9RCR
6	33344 13351	 * 	219.45	DCR|3AART|2VULN|2ASPD|1CDMG	159AART|2RPLT|38ASPD|4aVULN|6RCR|7CDMG
7	33344 13363	   	219.45	DCR|3AART|2VULN|2ASPD|1CDMG	15aAART|2RPLT|38ASPD|49VULN|6RCR|7CDMG
8	36234 21222	 * 	218.19	DCR|2VULN|1AART|2CDMG|1DMG|3DUR|1ZMB	1AART|2RCVC|367DUR|47VULN|57CDMG|7BPWR|8DMG|9RCR|aZMB
9	36232 33166	   	217.85	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	1AART|2RCVC|3DUR|4aVULN|5ZMB|67DMG|8CDMG|9RCR
10	36234 21225	 * 	217.22	DCR|2VULN|1MDPS|1AART|2CDMG|1DMG|3DUR	1AART|2RCVC|367DUR|47VULN|57CDMG|7BPWR|8DMG|9RCR|aMDPS
11	53161 32216	 * 	217.03	DCR|3DMG|2VULN|1MDPS|2ASPD|1NUKE|2DUR	1NUKE|2MDPS|38ASPD|46VULN|568DMG|68BPWR|78DUR|9LHND|aRCR
12	53161 32236	   	217.03	DCR|3DMG|2VULN|1MDPS|2ASPD|1NUKE|2DUR	1NUKE|2MDPS|38ASPD|46VULN|568DMG|68BPWR|78DUR|9FEWX|aRCR
13	62213 43234	 * 	214.72	DCR|4VULN|3DMG	145aVULN|2RCVC|34aLIT|4aBPWR|6RCR|7MBVNT|89aDMG
14	33365 33216	 * 	214.42	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AART|2RPLT|3ASPD|4CDMG|5aVULN|6DMG|7RCR|8DUR|9RMIN
15	33344 13361	   	214.18	DCR|2VULN|2AART|2ASPD|1CDMG	15AART|2RPLT|38ASPD|49VULN|6RCR|7CDMG|aLWND
16	33344 13362	   	214.18	DCR|2VULN|2AART|2ASPD|1CDMG	15AART|2aRPLT|38ASPD|49VULN|6RCR|7CDMG
17	33344 13261	 * 	213.49	DCR|2VULN|2AART|1MDPS|1ASPD|1CDMG	15AART|2RPLT|3ASPD|49VULN|6RCR|7CDMG|8RMIN|aMDPS
18	62213 43264	 * 	213.32	DCR|5VULN|2DMG	1459aVULN|2RCVC|34aLIT|4aBPWR|6RCR|7MBVNT|8aDMG
19	63221 15235	 * 	213.09	DCR|1SPLARM|2VULN|1MDPS|1AART|1DMG|1SELL	18VULN|2LWND|3DMG|4RCVC|5SELL|6RCR|7SPLARM|9AART|aMDPS
20	33341 24212	 * 	212.31	1SPLARM|3ASPD|2VULN|1MDPS|1AART|1ZMB	1AART|2RPLT|356ASPD|46VULN|6BPWR|7ZMB|8SPLARM|9DUST|aMDPS
21	33341 24222	   	212.31	1SPLARM|3ASPD|2VULN|1MDPS|1AART|1ZMB|1MSE	1AART|2RPLT|356ASPD|46VULN|6BPWR|7ZMB|8SPLARM|9MSE|aMDPS
22	33341 24232	   	212.31	1SPLARM|3ASPD|2VULN|1MDPS|1AART|1ZMB	1AART|2RPLT|356ASPD|46VULN|6BPWR|7ZMB|8SPLARM|9LHND|aMDPS
23	33341 13261	 * 	211.63	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG	1AART|2RPLT|35ASPD|49VULN|6RCR|7CDMG|8RMIN|aMDPS
