0	Index      	 *	Score 	Summary	Detail	
1	52413 53311	 * 	290.78	DCR|2TLV|2DMG|1VULN|2AAC|1MLV|1CDMG	16DMG|2RAT|3CDMG|46TLV|5aAAC|6BPWR|7VULN|8RCR|9MLV
2	11631 23625	 * 	288.38	DCR|DCR|2VULN|1MLV|1DMG	13VULN|2BEXP|4RMIN|5LHND|6DMG|7LWND|8aRCR|9MLV
3	14121 23625	   	288.38	DCR|DCR|2VULN|1MLV|1DMG	12VULN|3AME|4DUST|5LHND|6DMG|7LWND|8aRCR|9MLV
4	14321 23625	   	288.28	DCR|DCR|2VULN|1MLV|1DMG	12VULN|3ERES|4DUST|5LHND|6DMG|7LWND|8aRCR|9MLV
5	16215 36122	 * 	284.47	DCR|DCR|1VULN|1TLV|1AAC|2RAT	1VULN|2CGEN|3LIT|46RAT|5TLV|7AAC|8aRCR|9DUR
6	13215 32122	   	284.37	DCR|DCR|1VULN|1TLV|1AAC|2RAT	1VULN|2ERES|3LIT|46RAT|5TLV|7AAC|8aRCR|9DUR
7	14661 32133	 * 	284.27	DCR|4VULN|2MLV|1DMG	1245VULN|34MLV|4BPWR|6DUR|7FEWX|8RCR|9AART|aDMG
8	52413 53312	 * 	281.99	DCR|2TLV|2DMG|1VULN|1MLV|2CDMG|1AAC	16DMG|2RAT|3aCDMG|46TLV|5AAC|6BPWR|7VULN|8RCR|9MLV
9	13215 62122	   	277.76	DCR|DCR|1VULN|1TLV|1AAC	1VULN|2ERES|3LIT|4RAT|5TLV|6RCVC|7AAC|8aRCR|9DUR
10	14632 72143	   	276.63	DCR|DCR|2VULN|1MLV	12VULN|3MLV|4FEWX|5MBVNT|6LHND|7aRCR|8AART|9RPLT
11	14662 13112	 * 	276.58	DCR|3VULN|2MLV|1TLV|1ASPD	124VULN|34MLV|4BPWR|56BEXP|7LHND|8RCR|9ASPD|aTLV
12	14662 21112	   	276.58	DCR|3VULN|2MLV|1TLV|1ASPD	124VULN|34MLV|4BPWR|5BEXP|6ERES|7RMIN|8RCR|9ASPD|aTLV
13	14662 22112	   	276.58	DCR|3VULN|2MLV|1TLV|1ASPD	124VULN|34MLV|4BPWR|5BEXP|6ERES|7ZMB|8RCR|9ASPD|aTLV
14	14662 33112	   	276.58	DCR|3VULN|2MLV|1TLV|1ASPD	124VULN|34MLV|4BPWR|5BEXP|6AEBURN|7LHND|8RCR|9ASPD|aTLV
15	11562 42423	   	276.30	DCR|DCR|2VULN|1DMG|1NUKE	14VULN|2BEXP|3DMG|5MBVNT|6LWND|79RCR|8RAT|aNUKE
16	11562 72423	   	276.30	DCR|DCR|2VULN|1DMG|1NUKE	14VULN|2BEXP|3DMG|5MBVNT|6LHND|79RCR|8RAT|aNUKE
