0	Index      	 *	Score 	Summary	Detail	
1	25633 32223	 * 	211.33	DCR|3VULN|2AART|2DMG	139LWND|269VULN|48AART|59DMG|7BELT|9BPWR|aRCR
2	45133 35223	 * 	204.03	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	127VULN|3FEWX|4AART|5BEXP|6DUR|8ASPD|9RCR|aCDMG
3	45135 31223	 * 	202.17	DCR|2VULN|2AART|1ASPD|1CDMG|1DUR	12VULN|3FEWX|46AART|5ASPD|7DUR|8DUST|9RCR|aCDMG
4	45432 21442	 * 	201.97	DCR|3VULN|2AART|1CDMG|1ZMB	127VULN|3MBVNT|4aAART|5CDMG|6AME|8ZMB|9RCR
5	46231 15332	 * 	201.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	16VULN|2CGEN|3AME|4AART|5BELT|7RCR|8DMG|9ASPD|aCDMG
6	42231 35532	   	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	18VULN|2TLV|3AME|4AART|5BELT|6DMG|7RCR|9ASPD|aCDMG
7	42431 15332	   	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	16VULN|2TLV|3CGEN|4AART|5BELT|7RCR|8DMG|9ASPD|aCDMG
8	42631 15332	   	201.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	16VULN|2TLV|3ERES|4AART|5BELT|7RCR|8DMG|9ASPD|aCDMG
9	33242 53611	 * 	199.65	DCR|3VULN|2DMG|1ASPD|1DUR	18DUST|28LWND|3DUR|47DMG|568VULN|8BPWR|9ASPD|aRCR
10	41235 21262	 * 	199.55	DCR|3VULN|1MDPS|2DMG|1ASPD|1DUR	168VULN|2MDPS|38DUST|4DUR|5LHND|78DMG|8BPWR|9ASPD|aRCR
11	41236 11262	   	199.55	DCR|3VULN|1MDPS|2DMG|1ASPD|1DUR	158VULN|2MDPS|38DUST|4DUR|6LHND|78DMG|8BPWR|9ASPD|aRCR
12	41236 21262	   	199.55	DCR|3VULN|2DMG|1MDPS|1ASPD|1DUR	158VULN|2MDPS|38DUST|4DUR|6FEWX|78DMG|8BPWR|9ASPD|aRCR
13	46231 15321	 * 	199.32	DCR|4VULN|1AART|1DMG	169aVULN|2CGEN|3AME|4AART|5BELT|7RCR|8DMG
14	42231 35521	   	199.22	DCR|4VULN|1AART|1DMG	189aVULN|2TLV|3AME|4AART|5BELT|6DMG|7RCR
15	42431 15321	   	199.22	DCR|4VULN|1AART|1DMG	169aVULN|2TLV|3CGEN|4AART|5BELT|7RCR|8DMG
16	42631 15321	   	199.12	DCR|4VULN|1AART|1DMG	169aVULN|2TLV|3ERES|4AART|5BELT|7RCR|8DMG
17	45432 32431	   	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	12VULN|3MBVNT|4AART|5CDMG|6AELBLL|7RPLT|8ASPD|9RCR|aDMG
18	45333 26121	 * 	197.58	DCR|2VULN|2AART|1ASPD|1DMG	12VULN|3LWND|4aAART|5DMG|6LEGI|7ASPD|8TLV|9RCR
19	35136 15332	 * 	197.52	DCR|3VULN|1AART|1ASPD|1NUKE|1CDMG	1DUST|259VULN|3NUKE|4DMSP|6ASPD|7CDMG|8RCR|aAART
20	41122 36611	 * 	196.74	DCR|4VULN|1MDPS|1ASPD|2DUR|2ZMB	1578VULN|2MDPS|38ZMB|4DMSP|68DUR|8BPWR|9ASPD|aRCR
21	25633 32523	   	195.26	DCR|3VULN|2DMG|1AART	139LWND|269VULN|4AART|59DMG|7BELT|8DMSP|9BPWR|aRCR
22	43433 34113	   	195.16	DCR|3VULN|2DMG|1AART|1AAC	168VULN|28LHND|3RCVC|4AART|58DMG|7AAC|8BPWR|9CGEN|aRCR
23	35533 52223	 * 	194.88	DCR|2AART|2DMG|1VULN|1ASPD	1DUST|2VULN|3MLV|48AART|5BEXP|6aDMG|7ASPD|9RCR
24	45432 34232	   	193.86	DCR|2VULN|2AART|1ASPD|1CDMG	12VULN|3MBVNT|47AART|5CDMG|6AELBLL|8ASPD|9RCR|aBEXP
25	45432 34231	   	193.76	DCR|2VULN|2AART|1ASPD|1CDMG|1SELL	12VULN|3MBVNT|47AART|5CDMG|6AELBLL|8ASPD|9RCR|aSELL
26	45432 34233	   	193.76	DCR|2VULN|2AART|1ASPD|1CDMG|1MSE	12VULN|3MBVNT|47AART|5CDMG|6AELBLL|8ASPD|9RCR|aMSE
27	45432 34234	   	193.76	DCR|2VULN|2AART|1ASPD|1CDMG	12VULN|3MBVNT|47AART|5CDMG|6AELBLL|8ASPD|9RCR|aDUST
28	42254 13232	 * 	193.15	DCR|2VULN|2ASPD|1DMG|1AAC|1ZMB	14VULN|2TLV|3AME|56ASPD|7RCR|8ZMB|9DMG|aAAC
29	45333 31225	   	193.02	DCR|3VULN|1AART|1DMG|2DUR	126VULN|3LWND|4AART|5DMG|7aDUR|8BEXP|9RCR
30	45333 31325	   	193.02	DCR|3VULN|1AART|1DMG|2DUR	126VULN|3LWND|4AART|5DMG|7aDUR|8FEWX|9RCR
31	45333 11225	   	192.78	DCR|2VULN|2DMG|1AART|2DUR	12VULN|3LWND|4AART|56DMG|7aDUR|8BEXP|9RCR
32	45333 11325	   	192.78	DCR|2VULN|2DMG|1AART|2DUR	12VULN|3LWND|4AART|56DMG|7aDUR|8FEWX|9RCR
33	42254 13333	 * 	192.68	DCR|3ASPD|2VULN|1AART	14VULN|2TLV|3AME|569ASPD|7RCR|8LIT|aAART
34	11322 16653	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1DUR	1AAC|2LIT|3RMIN|4DMG|5CDMG|6RCR|78VULN|9AART|aDUR
35	11623 44332	 * 	191.68	DCR|3VULN|2CDMG|1DMG|1AAC|1DUR	1AAC|2LIT|36CDMG|46aVULN|5RMIN|6BPWR|7RCR|8DMG|9DUR
36	23256 35221	   	191.26	DCR|2VULN|2AART|1ASPD|2DUR	1LWND|2LHND|36DUR|4aAART|57VULN|8ASPD|9RCR
37	45335 11313	 * 	191.00	4VULN|2DMG|2ASPD|1AART|1CDMG	1289VULN|3LWND|4AART|59ASPD|69DMG|7BELT|9BPWR|aCDMG
38	45333 32313	   	191.00	4VULN|2DMG|2ASPD|1AART|1CDMG	1269VULN|3LWND|4AART|59DMG|7BELT|89ASPD|9BPWR|aCDMG
39	45333 51313	   	191.00	4VULN|2DMG|2ASPD|1AART|1CDMG	1289VULN|3LWND|4AART|59DMG|69ASPD|7BELT|9BPWR|aCDMG
40	45335 11311	 * 	190.83	4VULN|2AART|2DMG|2ASPD	1289VULN|3LWND|4aAART|59ASPD|69DMG|7BELT|9BPWR
41	45333 32311	   	190.83	4VULN|2AART|2DMG|2ASPD	1269VULN|3LWND|4aAART|59DMG|7BELT|89ASPD|9BPWR
42	45333 51311	   	190.83	4VULN|2AART|2DMG|2ASPD	1289VULN|3LWND|4aAART|59DMG|69ASPD|7BELT|9BPWR
43	46231 15322	   	190.25	DCR|3VULN|1AART|1DMG|1AAC	169VULN|2CGEN|3AME|4AART|5BELT|7RCR|8DMG|aAAC
44	42231 35522	   	190.15	DCR|3VULN|1AART|1DMG|1AAC	189VULN|2TLV|3AME|4AART|5BELT|6DMG|7RCR|aAAC
45	42431 15322	   	190.15	DCR|3VULN|1AART|1DMG|1AAC	169VULN|2TLV|3CGEN|4AART|5BELT|7RCR|8DMG|aAAC
46	42631 15322	   	190.05	DCR|3VULN|1AART|1DMG|1AAC	169VULN|2TLV|3ERES|4AART|5BELT|7RCR|8DMG|aAAC
47	41235 21242	   	189.82	DCR|3VULN|2DMG|1MDPS|1ZMB|1DUR	168VULN|2MDPS|38DUST|4DUR|5LHND|78DMG|8BPWR|9ZMB|aRCR
48	41236 11242	   	189.82	DCR|3VULN|2DMG|1MDPS|1ZMB|1DUR	158VULN|2MDPS|38DUST|4DUR|6LHND|78DMG|8BPWR|9ZMB|aRCR
49	41236 21242	   	189.82	DCR|3VULN|2DMG|1MDPS|1ZMB|1DUR	158VULN|2MDPS|38DUST|4DUR|6FEWX|78DMG|8BPWR|9ZMB|aRCR
50	35232 63434	   	188.73	DCR|3VULN|2DMG|2DUR	19DUST|269VULN|3aDUR|4MBVNT|5CGEN|79DMG|8RCR|9BPWR
51	35237 53434	   	188.73	DCR|3VULN|2DMG|2DUR	19DUST|259VULN|3aDUR|4MBVNT|6CGEN|79DMG|8RCR|9BPWR
52	45422 33434	   	188.73	DCR|3VULN|2DMG|2DUR	129VULN|3MBVNT|49DUST|5CGEN|6aDUR|79DMG|8RCR|9BPWR
53	11222 16652	   	188.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	1AAC|2LIT|3CGEN|4DMG|5CDMG|6RCR|7DUR|89VULN|aASPD
54	45333 25121	   	187.85	DCR|2VULN|2AART|1DMG|1ZMB	12VULN|3LWND|4aAART|5DMG|6LEGI|7ZMB|8TLV|9RCR
55	45133 35222	   	187.78	DCR|3VULN|1AART|1ASPD|1DUR	127VULN|3FEWX|4AART|5BEXP|6DUR|8ASPD|9RCR|aBELT
56	45332 35221	   	187.78	DCR|3VULN|1AART|1ASPD|1DUR	127VULN|3LWND|4AART|5FEWX|6DUR|8ASPD|9RCR|aDMSP
57	45332 35223	   	187.78	DCR|3VULN|1AART|1ASPD|1DUR	127VULN|3LWND|4AART|5aFEWX|6DUR|8ASPD|9RCR
58	45333 31221	   	187.78	DCR|3VULN|1AART|1DMG|1DUR	126VULN|3LWND|4AART|5DMG|7DUR|8BEXP|9RCR|aDMSP
59	45333 31223	   	187.78	DCR|3VULN|1AART|1DMG|1DUR	126VULN|3LWND|4AART|5DMG|7DUR|8BEXP|9RCR|aFEWX
60	45333 31226	   	187.78	DCR|3VULN|1AART|1DMG|1DUR	126VULN|3LWND|4AART|5DMG|7DUR|8BEXP|9RCR|aRPLT
61	45333 31321	   	187.78	DCR|3VULN|1AART|1DMG|1DUR	126VULN|3LWND|4AART|5DMG|7DUR|8FEWX|9RCR|aDMSP
