0	Index      	 *	Score 	Summary	Detail	
1	33122 63354	 * 	196.99	DCR|2AART|2DMG|1VULN|2CDMG|3DUR	14aDUR|2aDMG|39AART|5VULN|6RCR|7DUST|8aCDMG|aBPWR
2	34432 22612	 * 	192.20	DCR|2AART|2VULN|2DMG|1ZMB|1DUR	1DUR|23AART|4MLV|5aVULN|67DMG|8RCR|9ZMB
3	43611 51232	 * 	190.91	DCR|3VULN|2DMG|2ZMB|1CDMG|1ASPD	19ZMB|2DMSP|359VULN|4CGEN|6RCR|7ASPD|89DMG|9BPWR|aCDMG
4	34432 21612	 * 	190.27	DCR|3VULN|2AART|1DMG|1ZMB|1DUR	1DUR|23AART|4MLV|57aVULN|6DMG|8RCR|9ZMB
5	34222 63314	   	186.04	DCR|2DMG|1AART|1VULN|2CDMG|3DUR	14aDUR|2AART|3aDMG|5VULN|6RCR|79DUST|8aCDMG|aBPWR
6	33122 63314	   	185.44	DCR|2DMG|1AART|1VULN|2CDMG|3DUR	14aDUR|2aDMG|3AART|5VULN|6RCR|79DUST|8aCDMG|aBPWR
7	34222 31636	   	184.56	DCR|3VULN|2AART|1DMG|2DUR	14DUR|2aAART|3DMG|569VULN|7CGEN|8RCR
8	34222 31612	   	184.12	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	14DUR|2AART|3DMG|56aVULN|7CGEN|8RCR|9ZMB
9	33122 31636	   	183.96	DCR|3VULN|2AART|1DMG|2DUR	14DUR|2DMG|3aAART|569VULN|7CGEN|8RCR
10	33122 31612	   	183.52	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	14DUR|2DMG|3AART|56aVULN|7CGEN|8RCR|9ZMB
11	33123 64238	 * 	183.06	DCR|2VULN|2DMG|1AART|3DUR	14aDUR|2aDMG|3AART|5LHND|6RCR|7MBVNT|8DUST|9aVULN|aBPWR
12	33323 64238	   	182.46	DCR|2VULN|2DMG|1AART|3DUR	15aDUR|2aDMG|3LWND|4AART|6RCR|7MBVNT|8DUST|9aVULN|aBPWR
13	34222 62212	   	182.40	DCR|2VULN|1AART|1DMG|2DUR|1ZMB|1ASPD	14DUR|2AART|3DMG|5aVULN|6RCR|7RCVC|8ASPD|9ZMB
