0	Index      	 *	Score 	Summary	Detail	
1	34433 23353	 * 	185.40	DCR|3VULN|2DMG|1AART|2DUR	179ERES|29DUR|3AART|457VULN|67DMG|79BPWR|89FEWX|aRCR
2	14333 52513	   	176.27	DCR|3VULN|2DMG|1AART	1aLIT|2AART|3CGEN|4aDMG|57aVULN|6BELT|8RMIN|9RCR|aBPWR
3	14133 52513	   	176.17	DCR|3VULN|2DMG|1AART	1aLIT|2AART|3ERES|4aDMG|57aVULN|6BELT|8RMIN|9RCR|aBPWR
4	13233 52513	   	175.57	DCR|3VULN|2DMG|1AART	1aLIT|2ERES|3AART|4aDMG|57aVULN|6BELT|8RMIN|9RCR|aBPWR
5	13252 52513	   	175.57	DCR|3VULN|2DMG|1AART	1aLIT|2ERES|3AART|47aVULN|5aDMG|6BELT|8RMIN|9RCR|aBPWR
6	15331 35114	 * 	175.22	ACR|2VULN|2DMG|1AART|2DUR|1SELL	1LIT|2aDMG|38DUR|4RCR|5SELL|6AART|79VULN
7	31433 23453	   	172.97	DCR|3VULN|2DMG|1AART	179ERES|2BEXP|3AART|457VULN|67DMG|7BPWR|8LWND|aRCR
8	33463 23423	   	172.87	DCR|3VULN|2DMG|1AART	17ERES|2DUST|3AART|457VULN|67DMG|7BPWR|8LWND|9DLOT|aRCR
9	34433 42324	   	172.31	DCR|3VULN|1AART|1DMG|2DUR	167ERES|27DUR|3AART|457VULN|7BPWR|8RCR|9MBVNT|aDMG
10	15331 35126	 * 	171.28	ACR|2VULN|1AART|1DMG|1CDMG|2DUR|1SELL	1LIT|2DMG|38DUR|4RCR|5SELL|6AART|7aVULN|9CDMG
11	11725 32418	 * 	170.27	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1LIT|2MBVNT|3AART|4CDMG|5ZMB|6RCR|7ASPD|8DMG|9VULN|aDUR
12	15331 35512	 * 	169.93	ACR|2VULN|2DMG|1AART|1DUR|1SELL	1LIT|28DMG|3DUR|4RCR|5SELL|6AART|79VULN|aLHND
13	11723 36641	 * 	169.91	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LIT|2MBVNT|3AART|4CDMG|5CGEN|6RCR|79VULN|8DMG|aDUR
14	15331 35511	 * 	169.83	ACR|2VULN|2DMG|1AART|1DUR|1SELL	1LIT|28DMG|3DUR|4RCR|5SELL|6AART|79VULN|aDUST
15	11725 32417	 * 	169.64	DCR|1AART|1VULN|1DMG|2CDMG|1ZMB|1ASPD	1LIT|2MBVNT|3AART|4aCDMG|5ZMB|6RCR|7ASPD|8DMG|9VULN
16	11724 26644	 * 	169.50	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|2MBVNT|3AART|4CDMG|5RCR|6ERES|79VULN|8DMG|aZMB
17	32661 62223	 * 	169.49	ACR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1ERES|2NUKE|3RCR|4ZMB|5CDMG|69aVULN|7DMG|8DUR
18	32626 11152	 * 	169.03	ACR|3DMG|2VULN|1CDMG	14ERES|2NUKE|3RCR|57VULN|68aDMG|9CDMG
19	15331 35115	 * 	168.64	ACR|2VULN|1AART|1DMG|2DUR|1ZMB|1SELL	1LIT|2DMG|38DUR|4RCR|5SELL|6AART|79VULN|aZMB
20	15331 31642	 * 	168.38	ACR|2DMG|2AART|1CDMG|1ZMB|1DUR|1SELL	1LIT|29DMG|3DUR|4RCR|5SELL|68AART|7ZMB|aCDMG
21	11728 42134	 * 	167.74	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1LIT|2MBVNT|35AART|4CDMG|6RCR|7DMG|8TLV|9VULN|aZMB
