0	Index      	 *	Score 	Summary	Detail	
1	63144 13221	 * 	193.72	DCR|3VULN|2DMG|1AART|1CDMG	17CANHEL|2AART|3CDMG|4RPLT|57DMG|67aVULN|7BPWR|8RCR|9RCVC
2	15211 34311	 * 	192.04	ACR|3VULN|2DMG|1AART|1CDMG	1aLHND|2ERES|38aVULN|4RCR|5LIT|6CDMG|7AART|9aDMG|aBPWR
3	31211 34311	   	191.94	ACR|3VULN|2DMG|1AART|1CDMG	1aTLV|2LWND|38aVULN|4RCR|5LIT|6CDMG|7AART|9aDMG|aBPWR
4	44621 43111	 * 	190.56	DCR|2AART|2VULN|2DMG|1ZMB	18AART|2ZMB|3MBVNT|49VULN|5LIT|6RCR|7aDMG
5	44621 43112	 * 	186.63	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	18AART|2ZMB|3MBVNT|49VULN|5LIT|6RCR|7DMG|aCDMG
6	63631 22141	 * 	185.98	DCR|3VULN|2AART|1DMG|1CDMG	1CANHEL|23AART|46LIT|567VULN|6BPWR|8RCR|9DMG|aCDMG
7	63412 12161	 * 	184.92	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	1CANHEL|2AART|39VULN|4FEWX|5DUR|69CDMG|7TLV|89DMG|9BPWR|aRCR
8	43621 43631	 * 	184.76	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1ASPD	1AART|2ASPD|3MBVNT|49VULN|5LIT|6RCR|7DMG|8CDMG|aFLTHEA
9	15215 11621	   	184.13	ACR|3VULN|2DMG|1AART|1DUR	1aLHND|2ERES|38aVULN|4RCR|5DUR|6MLV|7aDMG|9AART|aBPWR
10	31215 11221	   	184.03	ACR|3VULN|2DMG|1AART|1DUR	1aTLV|2LWND|38aVULN|4RCR|5DUR|6MLV|7aDMG|9AART|aBPWR
11	31215 21621	   	183.93	ACR|3VULN|2DMG|1AART|1DUR	1aTLV|2LWND|38aVULN|4RCR|5DUR|6ERES|7aDMG|9AART|aBPWR
12	63144 13213	   	183.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	17CANHEL|2AART|3CDMG|4RPLT|57DMG|67VULN|7BPWR|8RCR|9FEWX|aDUR
13	63144 13233	   	183.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	17CANHEL|2AART|3CDMG|4RPLT|57DMG|67VULN|7BPWR|8RCR|9BEXP|aDUR
14	43628 33234	 * 	181.97	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	1AART|2ASPD|3MBVNT|4VULN|59aDMG|6CDMG|7RMIN|8RCR
15	44362 21311	   	181.08	DCR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB|1DUR	1AART|2ZMB|3LIT|4CDMG|5RCVC|6RCR|7DUR|8VULN|9DMG|aFLTHEA
16	31143 35243	   	181.02	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	19TLV|2LWND|39CDMG|4AART|5DMG|6RCR|7aDUR|89VULN|9BPWR
17	44613 12114	 * 	180.39	ACR|4VULN|1AART|1CDMG|1ZMB	1AART|2ZMB|3MBVNT|4TLV|5RCR|6789VULN|aCDMG
18	31143 32365	   	180.32	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1TLV|2LWND|3CDMG|4AART|57DMG|6RCR|8ZMB|9VULN|aASPD
19	43621 42311	   	179.92	DCR|2AART|2VULN|1DMG|1ZMB|1ASPD	17AART|2ASPD|3MBVNT|49VULN|5LIT|6RCR|8ZMB|aDMG
20	44621 43121	   	179.92	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	18AART|2ZMB|3MBVNT|4aVULN|5LIT|6RCR|7DMG|9DUR
21	42356 23131	 * 	179.18	ACR|2AART|2VULN|2DMG	19AART|2RCVC|3RMIN|48DMG|5RCR|68LIT|78VULN|8BPWR|aLWND
22	42356 23133	   	179.18	ACR|2AART|2VULN|2DMG	19AART|2RCVC|3RMIN|48DMG|5RCR|68aLIT|78VULN|8BPWR
23	44621 43211	   	179.12	DCR|2VULN|2DMG|1AART|1ZMB	1AART|2ZMB|3MBVNT|49VULN|5LIT|6RCR|7aDMG|8DMSP
24	42356 23132	   	179.08	ACR|2AART|2VULN|2DMG	19AART|2RCVC|3RMIN|48DMG|5RCR|68LIT|78VULN|8BPWR|aERES
25	32212 53415	   	178.67	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1TLV|2FEWX|36VULN|4RCR|58DMG|7DUR|9ZMB|aAART
26	53453 11111	 * 	178.49	ACR|3VULN|2AART|1DMG|1DUR	1LIT|2DUR|379VULN|48AART|5RCR|6BEXP|aDMG
27	53153 51111	   	178.49	ACR|3VULN|2AART|1DMG|1DUR	1LIT|2DUR|3FEWX|48AART|5RCR|679VULN|aDMG
28	53353 51111	   	178.49	ACR|3VULN|2AART|1DMG|1DUR	1LIT|2DUR|3BEXP|48AART|5RCR|679VULN|aDMG
29	53453 31111	   	178.39	ACR|3VULN|2AART|1DMG|1DUR	1LIT|2DUR|379VULN|48AART|5RCR|6DUST|aDMG
30	63144 13222	   	178.07	DCR|2VULN|2DMG|1AART|1CDMG	17CANHEL|2AART|3CDMG|4RPLT|57DMG|67VULN|7BPWR|8RCR|9RCVC|aLHND
31	63111 32161	   	177.98	DCR|2VULN|2DMG|1AART|2CDMG	1CANHEL|2AART|39CDMG|4LHND|5BEXP|69VULN|7TLV|89DMG|9BPWR|aRCR
32	63144 13223	   	177.97	DCR|2VULN|2DMG|1AART|1CDMG	17CANHEL|2AART|3CDMG|4RPLT|57DMG|67VULN|7BPWR|8RCR|9RCVC|aTLV
33	44613 41114	 * 	177.74	ACR|3VULN|2AART|1CDMG|1ZMB	16AART|2ZMB|3MBVNT|4TLV|5RCR|789VULN|aCDMG
34	31214 11521	   	177.69	ACR|3VULN|2DMG|1AART	1aTLV|2LWND|39aVULN|4RCR|5LHND|6MLV|7aDMG|8AART|aBPWR
35	43433 33332	 * 	177.66	DCR|2AART|2DMG|1VULN|2ASPD|1DUR	15AART|23ASPD|3BPWR|4TLV|6DUR|79DMG|8RCR|aVULN
36	31213 61551	   	177.59	ACR|3VULN|2DMG|1AART	1aTLV|2LWND|39aVULN|4RCR|5ERES|6LHND|7aDMG|8AART|aBPWR
37	31214 21551	   	177.59	ACR|3VULN|2DMG|1AART	1aTLV|2LWND|39aVULN|4RCR|5LHND|6ERES|7aDMG|8AART|aBPWR
38	31143 32364	 * 	177.23	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	1TLV|2LWND|3CDMG|4AART|57DMG|6RCR|8aZMB|9VULN
39	32214 11221	   	177.09	ACR|3VULN|2DMG|1AART	1aTLV|2FEWX|38aVULN|4RCR|5LWND|6MLV|7aDMG|9AART|aBPWR
40	25214 11621	   	176.99	ACR|3VULN|2DMG|1AART	1aDUST|2ERES|38aVULN|4RCR|5LWND|6MLV|7aDMG|9AART|aBPWR
41	31213 31621	   	176.99	ACR|3VULN|2DMG|1AART	1aTLV|2LWND|38aVULN|4RCR|5ERES|6FEWX|7aDMG|9AART|aBPWR
42	31213 51421	   	176.99	ACR|3VULN|2DMG|1AART	1aTLV|2LWND|36aVULN|4RCR|5ERES|7BEXP|8aDMG|9AART|aBPWR
43	32213 61621	   	176.99	ACR|3VULN|2DMG|1AART	1aTLV|2FEWX|38aVULN|4RCR|5ERES|6LHND|7aDMG|9AART|aBPWR
44	32214 21621	   	176.99	ACR|3VULN|2DMG|1AART	1aTLV|2FEWX|38aVULN|4RCR|5LWND|6ERES|7aDMG|9AART|aBPWR
45	43333 15352	   	176.92	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1AART|2ASPD|3LIT|4DMG|578VULN|6CANSTR|9RCR|aZMB
46	41256 21332	   	176.85	DCR|2VULN|2DMG|1AART|2DUR	1AART|29DUST|37DUR|4MBVNT|59DMG|69VULN|8RCR|9BPWR|aRCVC
47	44223 31431	 * 	176.84	DCR|3VULN|1AART|3ZMB|1DUR	1AART|29aZMB|3DUR|49aVULN|5LHND|6CGEN|79aERES|8RCR|9aBPWR
48	15211 34111	   	176.38	ACR|2VULN|2DMG|1AART|1CDMG	1aLHND|2ERES|3aVULN|4RCR|58LIT|6CDMG|7AART|9aDMG|aBPWR
49	63144 13211	   	176.36	DCR|2VULN|2DMG|1AART|1CDMG	17CANHEL|2AART|3CDMG|4RPLT|57DMG|67VULN|7BPWR|8RCR|9FEWX|aDUST
50	63144 13212	   	176.36	DCR|2VULN|2DMG|1AART|1CDMG	17CANHEL|2AART|3CDMG|4RPLT|57DMG|67VULN|7BPWR|8RCR|9FEWX|aMBVNT
51	63144 13231	   	176.36	DCR|2VULN|2DMG|1AART|1CDMG	17CANHEL|2AART|3CDMG|4RPLT|57DMG|67VULN|7BPWR|8RCR|9BEXP|aDUST
52	63144 13232	   	176.36	DCR|2VULN|2DMG|1AART|1CDMG	17CANHEL|2AART|3CDMG|4RPLT|57DMG|67VULN|7BPWR|8RCR|9BEXP|aMBVNT
53	43613 12114	   	176.33	ACR|4VULN|1AART|1CDMG|1ASPD	1AART|2ASPD|3MBVNT|4TLV|5RCR|6789VULN|aCDMG
54	31211 34111	   	176.28	ACR|2VULN|2DMG|1AART|1CDMG	1aTLV|2LWND|3aVULN|4RCR|58LIT|6CDMG|7AART|9aDMG|aBPWR
55	43621 43121	   	175.85	DCR|2AART|2VULN|1DMG|1ASPD|1DUR	18AART|2ASPD|3MBVNT|4aVULN|5LIT|6RCR|7DMG|9DUR
56	43621 43115	   	175.85	DCR|2AART|2VULN|1DMG|1ASPD|1DUR	18AART|2ASPD|3MBVNT|49VULN|5LIT|6RCR|7DMG|aDUR
57	31143 35241	   	175.73	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	19TLV|2LWND|39CDMG|4AART|5DMG|6RCR|7DUR|89VULN|9BPWR|aBEXP
58	31143 33243	   	175.73	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	19TLV|2LWND|39CDMG|4AART|5DMG|6RCR|7LHND|89VULN|9BPWR|aDUR
59	31143 35242	   	175.63	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	19TLV|2LWND|39CDMG|4AART|5DMG|6RCR|7DUR|89VULN|9BPWR|aERES
60	41256 21333	   	175.55	DCR|2VULN|2DMG|1AART|2DUR	1AART|29DUST|37DUR|4MBVNT|59DMG|69VULN|8RCR|9BPWR|aLIT
61	43621 42314	   	175.51	DCR|3VULN|2AART|1ZMB|1ASPD	17AART|2ASPD|3MBVNT|49aVULN|5LIT|6RCR|8ZMB
62	41256 21331	   	175.45	DCR|2VULN|2DMG|1AART|2DUR	1AART|29DUST|37DUR|4MBVNT|59DMG|69VULN|8RCR|9BPWR|aAIRHEA
63	41256 21334	   	175.45	DCR|2VULN|2DMG|1AART|2DUR	1AART|29aDUST|37DUR|4MBVNT|59DMG|69VULN|8RCR|9BPWR
64	44621 43212	   	175.18	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2ZMB|3MBVNT|49VULN|5LIT|6RCR|7DMG|8DMSP|aCDMG
65	45314 13311	   	174.98	DCR|3VULN|1AART|1DMG|1ZMB	1AART|26LHND|3LIT|4MLV|569VULN|6BPWR|7RCR|8ZMB|aDMG
66	46314 13311	   	174.98	DCR|3VULN|1AART|1DMG|1ZMB	1AART|26BEXP|3LIT|4MLV|569VULN|6BPWR|7RCR|8ZMB|aDMG
67	56513 13411	   	174.92	DCR|2VULN|2DMG|1AART|1ZMB	1LIT|27DMG|3BEXP|4ZMB|5MBVNT|6RCR|8AART|9aVULN
68	42543 33332	   	174.86	DCR|2AART|2DMG|1VULN|1DUR|1ASPD	15AART|2RCVC|3MLV|4ASPD|6DUR|79DMG|8RCR|aVULN
69	42243 33332	   	174.76	DCR|2AART|2DMG|1VULN|1DUR|1ASPD	15AART|2RCVC|3TLV|4ASPD|6DUR|79DMG|8RCR|aVULN
70	32212 53425	   	174.61	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1TLV|2FEWX|36VULN|4RCR|58DMG|7DUR|9ASPD|aAART
71	44621 43114	   	174.28	DCR|2AART|2VULN|1DMG|1ZMB	18AART|2ZMB|3MBVNT|49VULN|5LIT|6RCR|7DMG|aRCVC
72	23112 63536	 * 	174.21	ACR|3VULN|1DMG|2FLTHEA|3DUR	179DUST|257DUR|3RCR|4BELT|679VULN|79BPWR|89FLTHEA|aDMG
73	23114 23536	   	174.21	ACR|3VULN|1DMG|2FLTHEA|3DUR	179DUST|267DUR|3RCR|4BELT|579VULN|79BPWR|89FLTHEA|aDMG
74	45124 11223	 * 	173.99	DCR|3VULN|1AART|2CDMG|1ZMB	1AART|2LHND|37CDMG|456VULN|8RCR|9RCVC|aZMB
75	42421 41312	   	173.89	DCR|3VULN|1AART|1DMG|1ZMB	1AART|2RCVC|346VULN|46BPWR|567LWND|8ZMB|9RCR|aDMG
76	42431 41312	   	173.89	DCR|3VULN|1AART|1DMG|1ZMB	1AART|2RCVC|346VULN|567LWND|6BPWR|8ZMB|9RCR|aDMG
77	31142 32632	 * 	173.82	DCR|2AART|2DMG|1VULN|1CDMG	1TLV|2LWND|3CDMG|4aAART|5CGEN|6RCR|79DMG|8VULN
78	44613 12113	   	173.68	ACR|4VULN|1AART|1ZMB|1DUR	1AART|2ZMB|3MBVNT|4TLV|5RCR|6789VULN|aDUR
79	43613 12714	   	173.67	ACR|3VULN|2AART|1CDMG|1ASPD	18AART|2ASPD|3MBVNT|4TLV|5RCR|679VULN|aCDMG
80	43613 41114	   	173.67	ACR|3VULN|2AART|1CDMG|1ASPD	16AART|2ASPD|3MBVNT|4TLV|5RCR|789VULN|aCDMG
81	31215 36421	   	173.57	ACR|2VULN|2DMG|1AART|2DUR	1aTLV|2LWND|3aVULN|4RCR|56DUR|7ERES|8aDMG|9AART|aBPWR
82	31142 32634	   	173.38	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1TLV|2LWND|3CDMG|4AART|5CGEN|6RCR|79DMG|8VULN|aZMB
83	31143 32361	   	173.38	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1TLV|2LWND|3CDMG|4AART|57DMG|6RCR|8ZMB|9VULN|aCGEN
84	31143 32362	   	173.38	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1TLV|2LWND|3CDMG|4AART|57DMG|6RCR|8ZMB|9VULN|aRMIN
85	31143 32363	   	173.38	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1TLV|2LWND|3CDMG|4AART|57DMG|6RCR|8ZMB|9VULN|aMLV
86	31143 32366	   	173.38	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1TLV|2LWND|3CDMG|4AART|57DMG|6RCR|8ZMB|9VULN|aFEWX
87	42412 13116	   	173.30	DCR|3VULN|1AART|1CDMG|2DUR	1AART|2RCVC|36aVULN|48DUR|5AIRHEA|7RCR|9CDMG
88	31143 31634	   	173.28	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1TLV|2LWND|3CDMG|4AART|59DMG|6RCR|7ERES|8VULN|aZMB
89	31143 32358	   	173.28	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1TLV|2LWND|3CDMG|4AART|57DMG|6RCR|8ZMB|9MBVNT|aVULN
90	63422 13133	 * 	173.27	DCR|4VULN|1AART|3DUR	1CANHEL|2AART|369aVULN|458DUR|7RCR
91	63426 23133	   	173.27	DCR|4VULN|1AART|3DUR	1CANHEL|2AART|359aVULN|468DUR|7RCR
92	43621 43137	 * 	173.18	DCR|3AART|2VULN|1DMG|1ASPD	189AART|2ASPD|3MBVNT|4aVULN|5LIT|6RCR|7DMG
93	13114 21161	 * 	173.14	ACR|3VULN|1AART|3DUR|1FLTHEA	189LHND|2BEXP|3RCR|4BELT|589VULN|689DUR|7AART|89BPWR|aFLTHEA
