0	Index      	 *	Score 	Summary	Detail	
1	23612 32442	 * 	199.75	DCR|3DMG|2VULN|1AART|1ZMB|1ASPD|1DUR	1aVULN|236DMG|4AART|5DUR|7ZMB|8ASPD|9RCR
2	23612 33332	   	195.21	DCR|3DMG|2VULN|1AART|1ZMB|1DUR	1aVULN|236DMG|4AART|5DUR|7BEXP|8RCR|9ZMB
3	25442 31331	 * 	193.76	ACR|4VULN|1AART|1DMG|2CDMG	1238VULN|4RCR|568LHND|78CDMG|8BPWR|9AART|aDMG
4	23331 31624	 * 	190.53	DCR|4VULN|1AART|1DMG|2ASPD	189aVULN|2DMG|38MLV|48ASPD|5RPLT|6RCR|7AART|8BPWR
5	23612 33342	   	189.50	DCR|3DMG|2VULN|1AART|2DUR	1aVULN|236DMG|4AART|59DUR|7BEXP|8RCR
6	23612 33336	 * 	189.07	DCR|3DMG|2AART|1VULN|1ZMB|1DUR	1VULN|236DMG|4aAART|5DUR|7BEXP|8RCR|9ZMB
7	25315 22114	 * 	189.01	DCR|2AART|2VULN|2DMG|1CDMG	12VULN|3ERES|4aAART|59DMG|6CDMG|7RCR|8LWND
8	25315 22241	   	188.91	DCR|2AART|2VULN|2DMG|1CDMG	12VULN|3ERES|49AART|5aDMG|6CDMG|7RCR|8TLV
9	33463 23262	   	188.54	DCR|2VULN|2DMG|1AART|1CDMG|1DUR|1ASPD	1DUR|28DMG|3LWND|4aVULN|5ASPD|6CDMG|7RCR|9AART
10	25141 53331	 * 	187.89	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	12VULN|3RCVC|4RCR|5MLV|6AART|7CDMG|8aDMG|9ZMB
11	23331 31434	 * 	187.41	DCR|3VULN|2DMG|1AART|1ASPD	19aVULN|2aDMG|3MLV|4ASPD|5RPLT|6RCR|7AART|8aLIT|aBPWR
12	23331 31454	   	187.41	DCR|3DMG|2VULN|1AART|1ASPD	1aVULN|29aDMG|3MLV|4ASPD|5RPLT|6RCR|7AART|8aLIT|aBPWR
13	25442 31333	 * 	186.53	ACR|5VULN|1AART|2CDMG	1238aVULN|4RCR|568LHND|78CDMG|8BPWR|9AART
14	25141 53333	   	185.95	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	12aVULN|3RCVC|4RCR|5MLV|6AART|7CDMG|8DMG|9ZMB
15	25443 12331	   	185.75	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	123VULN|4RCR|57DUST|6AART|8CDMG|9ZMB|aDMG
16	25442 33331	   	185.35	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	123VULN|4RCR|56LHND|7AART|8CDMG|9ZMB|aDMG
17	25433 24121	 * 	184.33	DCR|3VULN|1AART|1DMG|1FLTHEA|1ZMB	123VULN|4CGEN|5LIT|6FLTHEA|7RCR|8AART|9DMG|aZMB
18	23612 33642	   	184.27	DCR|3DMG|2AART|1VULN|1ZMB|1DUR	1VULN|236DMG|48AART|5DUR|7BEXP|9ZMB|aRCR
19	23612 36142	   	184.27	DCR|3DMG|2AART|1VULN|1ZMB|1DUR	1VULN|236DMG|47AART|5DUR|8LHND|9ZMB|aRCR
20	22221 63366	 * 	184.21	DCR|2VULN|2DMG|1AART|1CDMG|2ASPD	1aVULN|2CGEN|3RPLT|4aDMG|5CDMG|6LHND|7aASPD|8AART|9RCR|aBPWR
