0	Index      	 *	Score 	Summary	Detail	
1	32244 33362	 * 	266.91	橙橙2易伤1攻速1全技能	1多重对甲2激光减费35易伤4全技能6挖尘7技能8攻速9a核
2	33522 55211	 * 	264.86	橙橙1易伤1伤害1攻速1暴击	1多重对甲2暴击3伤害4敌人爆炸5攻速68核7雷电9激光减费a易伤
3	23217 26513	 * 	263.76	橙橙1易伤2攻速3时间	17雷电2加一37攻速4基地爆炸5易伤678时间7序列升级9a核
4	32241 22632	 * 	258.17	紫橙2易伤1伤害1暴击1全技能	1多重对甲2激光减费36易伤4全技能5a核7伤害8暴击9低血量敌人
5	32241 22642	   	258.17	紫橙2易伤1伤害1暴击1全技能	1多重对甲2激光减费36易伤4全技能5a核7伤害8暴击9敌人爆炸
6	22122 34152	   	254.89	紫橙1易伤1伤害1矿等2时间1攻速	1雷电2立即金币35时间47核6矿等8攻速9伤害a易伤
7	25161 53233	 * 	254.66	紫橙3易伤1矿等	15雷电2寒冰对甲38a易伤46核7基地爆炸9矿等
8	23883 44117	   	252.85	橙橙1易伤1矿等1平台1策反	1雷电2加一3平台4立即金币5时间6易伤7矿等8策反9a核
9	34331 78231	 * 	252.31	橙橙1易伤2暴击2时间	1多重对甲2加一39暴击47时间5雷电68核a易伤
10	33622 55231	   	251.21	橙橙1易伤2暴击1攻速	1多重对甲29暴击3技能4敌人爆炸5攻速68核7雷电a易伤
11	23218 73513	   	251.11	橙橙1易伤3时间1攻速	1雷电2加一3攻速4基地爆炸568时间7易伤9a核
12	33522 55221	   	250.30	橙橙1伤害1矿等1攻速1暴击	1多重对甲2暴击3伤害4敌人爆炸5攻速68核7雷电9挖尘a矿等
13	33522 55231	   	250.30	橙橙1伤害1矿等1攻速1暴击	1多重对甲2暴击3伤害4敌人爆炸5攻速68核7雷电9加一a矿等
14	63633 13154	   	248.78	橙橙1易伤1矿等1攻速	1双倍矿2矿等3额外掉落4易伤5赏金邻近6a核7立即金币8攻速9加一
15	23147 33544	 * 	247.93	紫橙2易伤2矿等	1雷电2加一3a核47易伤5金币生成68矿等9技能点
16	34331 78211	   	245.90	橙橙1易伤2时间1暴击	1多重对甲2加一3暴击47时间5雷电68核9激光减费a易伤
17	34331 76211	   	245.66	橙橙1易伤2暴击	1多重对甲2加一37暴击4时间5雷电68核9激光减费a易伤
18	23141 88334	   	245.44	紫橙3易伤	16雷电2加一3a核467易伤5立即金币6序列升级8金币生成9时间
19	23148 88334	   	245.44	紫橙3易伤	16雷电2加一3a核467易伤5双倍矿6序列升级8金币生成9时间
20	23141 88744	   	245.34	紫橙3易伤	16雷电2加一3a核467易伤5立即金币6序列升级8时间9技能点
21	23143 88334	   	245.24	紫橙3易伤	1雷电2加一3a核467易伤56激光减费6序列升级8金币生成9时间
22	23143 88744	   	245.14	紫橙3易伤	1雷电2加一3a核467易伤56激光减费6序列升级8时间9技能点
23	33622 55211	   	244.79	橙橙1易伤1攻速1暴击	1多重对甲2暴击3技能4敌人爆炸5攻速68核7雷电9激光减费a易伤
24	23335 62117	   	244.54	橙橙1易伤1矿等1平台1策反	1雷电2加一3双倍矿4敌人爆炸5易伤6矿等7平台8策反9a核
25	23345 62117	   	244.54	橙橙1易伤1矿等1平台1策反	1雷电2加一3双倍矿4低血量敌人5易伤6矿等7平台8策反9a核
26	23811 31117	   	244.54	橙橙1易伤1矿等1平台1策反	1雷电2加一3平台4矿等5等级6易伤7随机矿8策反9a核
27	23812 11117	   	244.54	橙橙1易伤1矿等1平台1策反	16雷电2加一3平台4矿等5低血量敌人7易伤8策反9a核
28	23813 11117	   	244.54	橙橙1易伤1矿等1平台1策反	16雷电2加一3平台4矿等5基地爆炸7易伤8策反9a核
29	23817 11117	   	244.54	橙橙1易伤1矿等1平台1策反	16雷电2加一3平台4矿等5最后敌人7易伤8策反9a核
30	23882 34117	   	244.54	橙橙1易伤1矿等1平台1策反	1雷电2加一3平台4立即金币5敌人爆炸6易伤7矿等8策反9a核
31	23811 51117	   	244.44	橙橙1易伤1矿等1平台1策反	1雷电2加一3平台4矿等5等级6技能点7易伤8策反9a核
32	23814 51117	   	244.44	橙橙1易伤1矿等1平台1策反	1雷电2加一3平台4矿等5随机矿6技能点7易伤8策反9a核
33	23818 31117	   	244.44	橙橙1易伤1矿等1平台1策反	1雷电2加一3平台4矿等5掉矿6易伤7随机矿8策反9a核
34	23315 27174	   	244.00	橙橙2易伤	17雷电2加一3双倍矿47基地爆炸57易伤6立即金币7序列升级8金币生成9a核
35	23362 12274	   	244.00	橙橙2易伤	18雷电2加一3双倍矿4等级58金币生成68易伤7随机矿8序列升级9a核
36	23374 12274	   	244.00	橙橙2易伤	18雷电2加一3双倍矿4金币生成58等级68易伤7随机矿8序列升级9a核
37	23345 83174	   	243.90	橙橙2易伤	1雷电2加一3双倍矿467低血量敌人56易伤6序列升级8金币生成9a核
38	23632 12274	   	243.90	橙橙2易伤	18雷电2加一38等级4激光减费5金币生成68易伤7随机矿8序列升级9a核
39	23373 11774	   	243.70	橙橙2易伤	1雷电2加一3双倍矿4金币生成5掉矿67易伤8随机矿9a核
40	23373 11874	   	243.60	橙橙2易伤	1雷电2加一3双倍矿4金币生成5掉矿67易伤8技能点9a核
41	43323 16126	   	243.09	橙橙1易伤1矿等1策反	1掉矿2时间3策反4易伤5基础对愈6金币生成79核8额外掉落a矿等
42	23145 13187	   	241.84	紫橙2易伤1矿等1平台1策反	1雷电2加一3a核48易伤5策反6平台7最后敌人9矿等
43	22122 34352	   	241.24	紫橙1易伤1伤害1矿等2时间	1雷电2立即金币35时间47核6矿等8随机矿9伤害a易伤
44	22122 34552	   	241.14	紫橙1易伤1伤害1矿等2时间	1雷电2立即金币35时间47核6矿等8掉矿9伤害a易伤
45	33112 36336	   	240.90	橙橙1易伤1暴击1平台	1多重对甲2暴击3易伤4赏金邻近5平台6最后敌人7雷电8技能9a核
46	33432 36336	   	240.90	橙橙1易伤1暴击1平台	1多重对甲2暴击3赏金邻近4易伤5平台6最后敌人7雷电8技能9a核
47	33112 66336	   	240.80	橙橙1易伤1暴击1平台	1多重对甲2暴击3易伤4赏金邻近5平台6挖尘7雷电8技能9a核
48	13323 24236	   	240.66	橙橙1易伤1暴击1平台1策反	1敌人爆炸2赏金塔3策反4平台5暴击6雷电7易伤8机枪对壮9a核
49	33112 36536	   	240.66	橙橙1易伤1暴击1平台1策反	1多重对甲2暴击3易伤4赏金邻近5平台6最后敌人7雷电8策反9a核
50	22122 34151	 * 	240.39	紫橙2伤害1矿等2时间1攻速	1雷电2立即金币35时间47核6矿等8攻速9a伤害
51	21361 34152	   	239.83	紫橙1易伤1伤害1矿等1攻速	1雷电27核3立即金币4技能点5掉矿6矿等8攻速9伤害a易伤
52	32241 12632	   	239.73	紫橙1易伤1伤害2全技能1暴击	1多重对甲2激光减费3易伤46全技能5a核7伤害8暴击9低血量敌人
53	32241 12642	   	239.73	紫橙1易伤1伤害2全技能1暴击	1多重对甲2激光减费3易伤46全技能5a核7伤害8暴击9敌人爆炸
