0	Index      	 *	Score 	Summary	Detail	
1	32642 23623	 * 	281.27	DCR|DCR|2DMG|1VULN|1CDMG|1RPLT|1SELL	1VULN|2RPLT|3BEXP|4SELL|5LWND|6aDMG|79RCR|8CDMG
2	33333 26641	 * 	274.78	DCR|4VULN|2DMG|2MLV	179aVULN|2BBNT|3BELT|4AELOIC|57MLV|67DMG|7BPWR|8RCR
3	33261 24412	 * 	274.17	DCR|DCR|2VULN|1MLV	13VULN|2BBNT|4AME|5DUR|6MLV|7MULARM|8DLOT|9aRCR
4	31152 23412	   	265.96	DCR|DCR|2VULN|1MLV	17VULN|2FEWX|3CANTOX|4TLV|5MLV|6TBNT|8DLOT|9aRCR
5	36152 23412	   	265.96	DCR|DCR|2VULN|1MLV	17VULN|2LWND|3CANTOX|4TLV|5MLV|6TBNT|8DLOT|9aRCR
6	33263 24412	   	265.86	DCR|DCR|2VULN|1MLV	13VULN|2BBNT|4AME|5LWND|6MLV|7MULARM|8DLOT|9aRCR
7	32642 23621	 * 	263.68	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT|1SELL	1VULN|2RPLT|3BEXP|4SELL|5LWND|6DMG|79RCR|8CDMG|aFEWX
8	32642 23622	 * 	263.68	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT|1SELL	1VULN|2RPLT|3BEXP|4SELL|5LWND|6DMG|79RCR|8CDMG|aLHND
9	33613 63412	   	263.28	DCR|DCR|2VULN|2DUR	17VULN|2BBNT|3CANTOX|46DUR|5FEWX|8DLOT|9aRCR
10	33352 31335	   	262.08	DCR|DCR|2VULN|1ASPD	15VULN|2BBNT|3BELT|4DLOT|6DUST|7FEWX|8ASPD|9aRCR
11	35352 31335	   	262.08	DCR|DCR|2VULN|1ASPD	15VULN|2TBNT|3BELT|4DLOT|6DUST|7FEWX|8ASPD|9aRCR
12	31363 43624	 * 	257.70	DCR|DCR|1VULN|1DMG|1MLV|1SELL	1VULN|2FEWX|3DMG|4LEGI|5AAC|6MBVNT|79RCR|8SELL|aMLV
13	21613 43412	   	256.73	DCR|DCR|2VULN	1TBNT|25FEWX|3BASICY|4DUR|67VULN|8DLOT|9aRCR
14	33613 43412	   	256.73	DCR|DCR|2VULN	17VULN|2BBNT|3CANTOX|4DUR|5FEWX|6DMSP|8DLOT|9aRCR
15	33261 61412	   	256.63	DCR|DCR|2VULN	13VULN|2BBNT|4AME|5DUR|6FLTFST|7RMIN|8DLOT|9aRCR
16	33333 26642	   	254.63	DCR|3VULN|2DMG|2MLV	179VULN|2BBNT|3aBELT|4AELOIC|57MLV|67DMG|7BPWR|8RCR
17	31362 63532	   	254.53	DCR|3VULN|2DMG|2MLV	179VULN|2FEWX|39DMG|4LEGI|5LWND|6CANARM|89MLV|9BPWR|aRCR
18	33333 26643	   	254.53	DCR|3VULN|2DMG|2MLV	179VULN|2BBNT|3BELT|4AELOIC|57MLV|67DMG|7BPWR|8RCR|aDUST
19	33333 26615	   	253.12	DCR|2VULN|2DMG|2MLV|1CDMG	17VULN|2BBNT|3BELT|4AELOIC|57MLV|67DMG|7BPWR|8RCR|9CDMG|aDUR
20	33333 26651	   	253.12	DCR|2VULN|2DMG|2MLV|1ASPD	17VULN|2BBNT|3BELT|4AELOIC|57MLV|67DMG|7BPWR|8RCR|9DUR|aASPD
21	33333 26652	   	253.12	DCR|2VULN|2DMG|2MLV|1CDMG	17VULN|2BBNT|3BELT|4AELOIC|57MLV|67DMG|7BPWR|8RCR|9DUR|aCDMG
