0	Index      	 *	Score 	Summary	Detail	
1	23453 51232	 * 	232.39	橙3易伤3攻速1双倍秒伤1全技能2暴击	1双倍秒伤259攻速3低血量敌人49a易伤69暴击7全技能8核9序列升级
2	23245 53121	   	218.43	橙3易伤1双倍秒伤2攻速1全技能1策反1时间	1双倍秒伤29攻速39金币生成4策反5时间6核7全技能89a易伤9序列升级
3	23453 51231	   	214.56	橙3攻速2易伤1双倍秒伤1全技能2暴击	1双倍秒伤259攻速3低血量敌人49易伤69暴击7全技能8核9序列升级a立即金币
4	23453 51233	   	214.56	橙3攻速2易伤1双倍秒伤1全技能2暴击	1双倍秒伤259攻速3a低血量敌人49易伤69暴击7全技能8核9序列升级
5	23215 53121	   	213.24	橙3易伤1双倍秒伤2攻速1全技能2时间1技能	1双倍秒伤29攻速3金币生成4技能59时间6核7全技能89a易伤9序列升级
6	23124 31136	 * 	210.16	橙2易伤1双倍秒伤1全技能1攻速1伤害1暴击1时间	1双倍秒伤2攻速3暴击4时间5伤害6敌人爆炸7核8全技能9a易伤
7	26241 33522	 * 	207.71	橙2易伤2伤害1双倍秒伤1全技能1暴击1策反	1双倍秒伤2双倍矿35易伤4策反6暴击79伤害8核a全技能
8	52532 33522	 * 	207.49	橙2伤害1全技能1易伤1攻速1暴击1策反	1金币生成2易伤3策反4攻速5基地爆炸6暴击79伤害8核a全技能
9	62532 33522	   	207.49	橙2伤害1易伤1全技能1攻速1暴击1策反	1矿等2易伤3策反4攻速5基地爆炸6暴击79伤害8核a全技能
10	52112 32525	   	204.16	橙2易伤1全技能1攻速1伤害1暴击1时间	1金币生成24易伤3时间5挖尘6暴击7伤害8攻速9全技能a核
11	62112 32525	   	204.16	橙2易伤1全技能1攻速1伤害1暴击1时间	1矿等24易伤3时间5挖尘6暴击7伤害8攻速9全技能a核
12	12112 32525	   	204.06	橙2易伤1全技能1攻速1伤害1暴击1时间	1掉矿24易伤3时间5挖尘6暴击7伤害8攻速9全技能a核
13	12151 32525	   	204.06	橙2易伤1全技能1攻速1伤害1暴击1时间	1掉矿25易伤3时间4挖尘6暴击7伤害8攻速9全技能a核
14	23231 61223	   	203.81	橙3易伤1双倍秒伤2攻速1暴击2时间	1双倍秒伤29攻速3金币生成49时间5低血量敌人6暴击7核89a易伤9序列升级
15	23413 61222	   	203.74	橙2易伤1双倍秒伤2攻速2暴击2时间1策反	1双倍秒伤29攻速3低血量敌人49时间5策反6a暴击7核89易伤9序列升级
16	23412 61223	   	203.71	橙3易伤1双倍秒伤2攻速1暴击2时间	1双倍秒伤29攻速3低血量敌人49时间5掉矿6暴击7核89a易伤9序列升级
17	52113 33346	 * 	203.62	橙4易伤1全技能1攻速1时间	1金币生成2458易伤3时间6矿等7攻速9核a全技能
18	52532 33523	 * 	202.54	橙1双倍秒伤2伤害1易伤1攻速1暴击1策反	1金币生成2易伤3策反4攻速5基地爆炸6暴击79伤害8核a双倍秒伤
19	62532 33523	   	202.54	橙1双倍秒伤2伤害1易伤1攻速1暴击1策反	1矿等2易伤3策反4攻速5基地爆炸6暴击79伤害8核a双倍秒伤
