0	Index      	 *	Score 	Summary	Detail	
1	22164 13334	 * 	292.01	DCR|DCR|3VULN|1DMG|1ZMB	15LWND|2DMG|3BEXP|459VULN|5BPWR|6aRCR|7ZMB|8BBNT
2	62331 12334	 * 	282.14	DCR|DCR|2VULN|1DMG|1ASPD	18VULN|2DMG|3LHND|4ERES|5ASPD|6aRCR|7AME|9BBNT
3	32164 12234	   	268.69	DCR|DCR|2VULN|1DMG	1AAC|24VULN|3BEXP|57LWND|6aRCR|8DMG|9BBNT
4	32364 11234	   	268.69	DCR|DCR|2VULN|1DMG	1AAC|24VULN|37LHND|5LWND|6aRCR|8DMG|9BBNT
5	32364 13234	   	268.69	DCR|DCR|2VULN|1DMG	1AAC|24VULN|3LHND|57LWND|6aRCR|8DMG|9BBNT
6	22364 11124	   	268.55	DCR|DCR|2VULN|1DMG|1ZMB	15LWND|2DMG|37LHND|45VULN|5BPWR|6aRCR|8TBNT|9ZMB
7	22364 11324	   	268.55	DCR|DCR|2VULN|1DMG|1ZMB	15LWND|2DMG|37LHND|45VULN|5BPWR|6aRCR|8BBNT|9ZMB
8	62324 11124	   	268.55	DCR|DCR|2VULN|1DMG|1ZMB	15VULN|2DMG|37LHND|45FEWX|5BPWR|6aRCR|8TBNT|9ZMB
9	62324 11324	   	268.55	DCR|DCR|2VULN|1DMG|1ZMB	15VULN|2DMG|37LHND|45FEWX|5BPWR|6aRCR|8BBNT|9ZMB
10	32334 25234	   	268.49	DCR|DCR|2VULN|1DMG	1AAC|25VULN|3LHND|4ERES|6AME|7aRCR|8DMG|9BBNT
11	22166 13334	   	268.45	DCR|DCR|2VULN|1DMG|1ZMB	15LWND|2DMG|3BEXP|49VULN|6aRCR|7ZMB|8BBNT
12	62134 13334	   	268.45	DCR|DCR|2VULN|1DMG|1ZMB	19VULN|2DMG|3BEXP|4RCVC|5LWND|6aRCR|7ZMB|8BBNT
13	62331 12534	 * 	266.52	DCR|DCR|1VULN|2ASPD|1DMG	1VULN|2DMG|3LHND|4ERES|59ASPD|6aRCR|7AME|8TBNT
14	42111 31161	   	265.18	DCR|DCR|1VULN|1MLV|1ASPD|3ZMB	123ZMB|4MLV|5ASPD|6CGEN|79RCR|8RCVC|aVULN
15	12231 13336	   	263.82	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1CGEN|2MDPS|3RPLT|4VULN|5CDMG|6BEXP|7DMG|8BELT|9aRCR
16	13651 12334	   	262.18	DCR|DCR|2VULN|1ASPD	1CGEN|2LHND|3AAC|48VULN|5ASPD|6aRCR|7AME|9BBNT
17	32331 12334	   	262.08	DCR|DCR|2VULN|1ASPD	1AAC|28VULN|3LHND|4ERES|5ASPD|6aRCR|7AME|9BBNT
18	32334 25134	   	262.08	DCR|DCR|2VULN|1ASPD	1AAC|25VULN|3LHND|4ERES|6AME|7aRCR|8TBNT|9ASPD
