0	Index      	 *	Score 	Summary	Detail	
1	33252 24324	 * 	288.41	ACR|DCR|2VULN|2DMG|3CDMG|1RPLT	158CDMG|28VULN|3aRCR|4MDPS|68DMG|7RPLT|8BPWR|9FEWX
2	33242 13433	 * 	283.60	ACR|DCR|4VULN|1ASPD|1CDMG	1CDMG|2489VULN|3aRCR|5LHND|6ASPD|7LIT
3	33245 13433	   	283.60	ACR|DCR|4VULN|1ASPD|1CDMG	1CDMG|2489VULN|3aRCR|5LWND|6ASPD|7LIT
4	33246 13433	   	283.60	ACR|DCR|4VULN|1ASPD|1CDMG	1CDMG|2489VULN|3aRCR|5ASPD|6LWND|7LIT
5	33246 33433	   	283.60	ACR|DCR|4VULN|1ASPD|1CDMG	1CDMG|2489VULN|3aRCR|5ASPD|6BEXP|7LIT
6	33243 13433	   	283.50	ACR|DCR|4VULN|1ASPD|1CDMG	1CDMG|2489VULN|3aRCR|5DUST|6ASPD|7LIT
7	33242 13423	 * 	276.88	ACR|DCR|3VULN|2ASPD|1CDMG	1CDMG|248VULN|3aRCR|5LHND|69ASPD|7LIT
8	33245 13423	   	276.88	ACR|DCR|3VULN|2ASPD|1CDMG	1CDMG|248VULN|3aRCR|5LWND|69ASPD|7LIT
9	33246 13423	   	276.88	ACR|DCR|3VULN|2ASPD|1CDMG	1CDMG|248VULN|3aRCR|59ASPD|6LWND|7LIT
10	33246 33423	   	276.88	ACR|DCR|3VULN|2ASPD|1CDMG	1CDMG|248VULN|3aRCR|59ASPD|6BEXP|7LIT
11	33243 13423	   	276.78	ACR|DCR|3VULN|2ASPD|1CDMG	1CDMG|248VULN|3aRCR|5DUST|69ASPD|7LIT
12	33352 15431	 * 	274.72	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG|1AART	1CDMG|2VULN|3FEWX|4ASPD|58LHND|6aRCR|7DMG|9AART
13	33262 31661	   	272.02	ACR|DCR|2VULN|1DMG|1ASPD|1CDMG|1AART	1CDMG|28VULN|3aRCR|4LHND|5ASPD|6AART|7DMG|9BEXP
14	31242 31661	   	271.92	ACR|DCR|2VULN|1DMG|1ASPD|1CDMG|1AART	1CDMG|2LEGI|3aRCR|48VULN|5ASPD|6AART|7DMG|9BEXP
15	33231 14443	 * 	270.84	ACR|DCR|3VULN|1DMG|1CDMG	1CDMG|258VULN|3aRCR|4LIT|6DMG|7LHND|9RCVC
16	33231 24115	   	269.95	ACR|DCR|4VULN|1CDMG	1CDMG|256aVULN|38RCR|4LIT|7LWND|9FEWX
17	33231 25123	   	269.95	ACR|DCR|4VULN|1CDMG	1CDMG|256aVULN|38RCR|4LIT|7FEWX|9CGEN
18	33231 25135	   	269.95	ACR|DCR|4VULN|1CDMG	1CDMG|256aVULN|38RCR|4LIT|7FEWX|9BEXP
19	33231 24126	   	269.85	ACR|DCR|4VULN|1CDMG	1CDMG|256aVULN|38RCR|4LIT|7LWND|9MBVNT
20	33231 24133	   	269.85	ACR|DCR|4VULN|1CDMG	1CDMG|256aVULN|38RCR|4LIT|7LWND|9AME
21	33231 24155	   	269.85	ACR|DCR|4VULN|1CDMG	1CDMG|256aVULN|38RCR|4LIT|7LWND|9DUST
22	33231 24162	   	269.85	ACR|DCR|4VULN|1CDMG	1CDMG|256aVULN|38RCR|4LIT|7LWND|9BASARM
23	33231 25143	   	269.85	ACR|DCR|4VULN|1CDMG	1CDMG|256aVULN|38RCR|4LIT|7FEWX|9AME
24	33231 25155	   	269.85	ACR|DCR|4VULN|1CDMG	1CDMG|256aVULN|38RCR|4LIT|7FEWX|9DUST
25	33231 25162	   	269.85	ACR|DCR|4VULN|1CDMG	1CDMG|256aVULN|38RCR|4LIT|7FEWX|9BASARM
26	33231 25111	   	268.31	ACR|DCR|3VULN|1MLV|1CDMG	1CDMG|256VULN|38RCR|4LIT|79FEWX|aMLV
27	33231 23243	   	264.43	ACR|DCR|3VULN|1ASPD|1CDMG	1CDMG|256VULN|3aRCR|4LIT|7TLV|8CGEN|9ASPD
28	33231 24243	   	264.43	ACR|DCR|3VULN|1ASPD|1CDMG	1CDMG|256VULN|3aRCR|4LIT|7LWND|8RCVC|9ASPD
29	33231 24443	   	264.43	ACR|DCR|3VULN|1ASPD|1CDMG	1CDMG|256VULN|3aRCR|4LIT|78LWND|9ASPD
30	33231 25243	   	264.43	ACR|DCR|3VULN|1ASPD|1CDMG	1CDMG|256VULN|3aRCR|4LIT|7FEWX|8RCVC|9ASPD
31	33242 13443	   	264.43	ACR|DCR|3VULN|1ASPD|1CDMG	1CDMG|248VULN|3aRCR|5LHND|6ASPD|7LIT|9RCVC
32	33232 15433	   	264.43	ACR|DCR|3VULN|1ASPD|1CDMG	1CDMG|289VULN|3aRCR|4LIT|5FEWX|6ASPD|7RCVC
33	33232 65433	   	264.43	ACR|DCR|3VULN|1ASPD|1CDMG	1CDMG|289VULN|3aRCR|4LIT|5FEWX|6RCVC|7ASPD
34	33236 15433	   	264.43	ACR|DCR|3VULN|1ASPD|1CDMG	1CDMG|289VULN|3aRCR|4LIT|5BEXP|6ASPD|7RCVC
35	36242 33433	   	264.43	ACR|DCR|3VULN|1ASPD|1CDMG	1CDMG|2BEXP|3aRCR|489VULN|5ASPD|6DMSP|7LIT
36	36243 13433	   	264.43	ACR|DCR|3VULN|1ASPD|1CDMG	1CDMG|2BEXP|3aRCR|489VULN|5DMSP|6ASPD|7LIT
37	33332 15431	   	260.82	DCR|DCR|1VULN|1DMG|1CDMG|1AART|1ZMB	1CDMG|2VULN|3FEWX|4ZMB|58LHND|6aRCR|7DMG|9AART
38	33231 24113	   	260.44	ACR|DCR|3VULN|1CDMG|1AART	1CDMG|256VULN|38RCR|4LIT|7LWND|9FEWX|aAART
39	33231 24123	   	260.34	ACR|DCR|3VULN|1CDMG|1AART	1CDMG|256VULN|38RCR|4LIT|7LWND|9MBVNT|aAART
40	33231 24153	   	260.34	ACR|DCR|3VULN|1CDMG|1AART	1CDMG|256VULN|38RCR|4LIT|7LWND|9DUST|aAART
41	33231 25133	   	259.09	ACR|DCR|3VULN|1CDMG	1CDMG|256VULN|38RCR|4LIT|7FEWX|9BEXP|aDUR
42	33231 24163	   	258.99	ACR|DCR|3VULN|1CDMG	1CDMG|256VULN|38RCR|4LIT|7LWND|9BASARM|aDUR
