0	Index      	 *	Score 	Summary	Detail	
1	53311 11313	 * 	279.59	DCR|DCR|3VULN|1ASPD	1ASPD|2LHND|3BELT|4FEWX|59aVULN|68RCR|7MDPS
2	53311 11316	   	267.11	DCR|DCR|2VULN|1ASPD|1RPLT	1ASPD|2LHND|3BELT|4FEWX|59VULN|68RCR|7MDPS|aRPLT
3	36361 15111	   	267.01	DCR|DCR|2VULN|1CDMG|1RPLT	1RPLT|2MSLREG|34VULN|5FEWX|6AME|7CDMG|8aRCR|9LWND
4	36362 15111	   	267.01	DCR|DCR|2VULN|1CDMG|1RPLT	1RPLT|2MSLREG|34VULN|5BEXP|6AME|7CDMG|8aRCR|9LWND
5	36316 15111	   	258.34	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1RPLT|2MSLREG|3VULN|4TLV|5MLV|6AME|7CDMG|8aRCR|9LWND
6	53311 11311	   	257.45	DCR|DCR|2VULN|1ASPD	1ASPD|2LHND|3BELT|4FEWX|59VULN|68RCR|7MDPS|aCGEN
7	53311 11315	   	257.45	DCR|DCR|2VULN|1ASPD	1ASPD|2LHND|3BELT|4FEWX|59VULN|68RCR|7MDPS|aTBNT
8	53311 11363	   	257.45	DCR|DCR|2VULN|1ASPD	1ASPD|29LHND|3BELT|4FEWX|5aVULN|68RCR|7MDPS
9	63516 41241	   	257.45	DCR|DCR|2VULN|1ASPD	14LWND|2MBVNT|34VULN|4BPWR|5BASARM|6aRCR|7RMIN|8LHND|9ASPD
10	63516 41341	   	257.45	DCR|DCR|2VULN|1ASPD	14LWND|2MBVNT|34VULN|4BPWR|5BASARM|6aRCR|7RMIN|8BEXP|9ASPD
11	53311 11312	   	257.35	DCR|DCR|2VULN|1ASPD	1ASPD|2LHND|3BELT|4FEWX|59VULN|68RCR|7MDPS|aDUST
12	53311 11356	   	257.35	DCR|DCR|2VULN|1ASPD	1ASPD|2LHND|3BELT|4FEWX|5aVULN|68RCR|7MDPS|9AME
13	33333 33335	 * 	256.18	DCR|3VULN|2DMG|1MLV|1CDMG|1RPLT	1RPLT|28ERES|3CDMG|48aVULN|58DMG|6TBNT|7RCR|8BPWR|9MLV
14	34231 15161	   	255.76	DCR|DCR|1VULN|2DUR|1CDMG|1RPLT	1RPLT|2BEXP|35DUR|4MSLREG|6TLV|7CDMG|8aRCR|9VULN
15	36261 15111	   	255.66	DCR|DCR|1VULN|2DUR|1CDMG|1RPLT	1RPLT|2MSLREG|35DUR|4VULN|6AME|7CDMG|8aRCR|9LWND
16	36321 35111	   	255.66	DCR|DCR|1VULN|2DUR|1CDMG|1RPLT	1RPLT|26MSLREG|3VULN|4AME|56DUR|6BPWR|7CDMG|8aRCR|9LWND
17	36163 63131	 * 	255.52	DCR|DCR|1VULN|2CDMG|1RPLT	1RPLT|2MSLREG|3LWND|4VULN|56CDMG|7RMIN|8aRCR|9DUR
18	35233 62631	   	255.42	DCR|DCR|1VULN|2CDMG|1RPLT	1RPLT|2LEGI|3VULN|4LSRREG|56CDMG|7DUR|8aRCR|9RMIN
19	11233 23171	 * 	255.09	DCR|DCR|1VULN|1DMG|1MLV	1LHND|2RCVC|3MLV|4AIRHEA|5FEWX|6MBVNT|7DMG|8aRCR|9VULN
20	16233 23171	   	255.09	DCR|DCR|1VULN|1DMG|1MLV	12LHND|2BPWR|3MLV|4AIRHEA|5FEWX|6MBVNT|7DMG|8aRCR|9VULN
21	34163 32216	   	253.66	DCR|DCR|2VULN|1RPLT	1RPLT|27BEXP|37VULN|4LIT|5CANSTR|679CGEN|7BPWR|8aRCR
22	34163 33216	   	253.46	DCR|DCR|2VULN|1RPLT	1RPLT|2BEXP|37VULN|4LIT|5CANSTR|69CGEN|8aRCR
23	35263 32216	   	253.46	DCR|DCR|2VULN|1RPLT	1RPLT|2LEGI|37VULN|4LIT|57CANSTR|679CGEN|7BPWR|8aRCR
24	35263 33216	   	253.36	DCR|DCR|2VULN|1RPLT	1RPLT|2LEGI|37VULN|4LIT|5CANSTR|69CGEN|8aRCR
25	33333 33345	   	252.30	DCR|3VULN|2DMG|1ASPD|1CDMG|1RPLT	1RPLT|28ERES|3CDMG|48aVULN|58DMG|6TBNT|7RCR|8BPWR|9ASPD
26	22351 14841	   	251.56	DCR|DCR|2VULN|1ZMB	1ZMB|2DUST|3DUR|49VULN|5ERES|6aRCR|7MBVNT|8MGNSTR
