0	Index      	 *	Score 	Summary	Detail	
1	23351 25215	 * 	231.30	DCR|3VULN|2ASPD|1AART|1DMG|2DUR	18DUR|2DMG|356VULN|4aASPD|7RCR|9AART
2	23312 34364	 * 	230.76	DCR|4VULN|2DMG|1AART|2DUR	1aDUR|24DMG|349aVULN|4aBPWR|5aLWND|6AART|7RCR|8RMIN
3	33641 11512	 * 	229.38	DCR|3VULN|2AART|2DMG|1CDMG	168VULN|27DMG|3LHND|4aAART|5CDMG|9RCR
4	23312 34116	   	227.22	DCR|4VULN|2DMG|1AART|1DUR	1DUR|24DMG|349aVULN|4BPWR|5LWND|6AART|7RCR|8RCVC
5	23316 51141	 * 	225.81	DCR|3VULN|2DMG|1ASPD|1NUKE|1DUR	1DUR|24DMG|346VULN|4BPWR|5LIT|7RCR|8LWND|9ASPD|aNUKE
6	23312 34261	   	225.71	DCR|3VULN|2DMG|1AART|1CDMG|1DUR	1DUR|24DMG|34aVULN|4BPWR|5LWND|6AART|7RCR|8AME|9CDMG
7	23312 34461	   	225.71	DCR|3VULN|2DMG|1AART|1CDMG|1DUR	1DUR|24DMG|34aVULN|4BPWR|5LWND|6AART|7RCR|8CGEN|9CDMG
8	23312 34661	   	225.61	DCR|3VULN|2DMG|1AART|1CDMG|1DUR	1DUR|24DMG|34aVULN|4BPWR|5LWND|6AART|7RCR|8ERES|9CDMG
9	33251 25314	 * 	223.52	DCR|4VULN|2DMG|1ASPD|1ZMB	156aVULN|29DMG|3FEWX|4ASPD|7RCR|8ZMB
10	33251 25251	 * 	221.90	DCR|3VULN|2DMG|1ASPD|1CDMG|1DUR	156VULN|29DMG|3FEWX|4ASPD|7RCR|8DUR|aCDMG
11	23311 12531	 * 	221.77	DCR|2VULN|2AART|2DMG|1ASPD|1DUR	1DUR|24DMG|34VULN|4BPWR|5CGEN|67AART|8BELT|9ASPD|aRCR
12	23315 36321	 * 	221.66	DCR|3VULN|2DMG|3CDMG|2DUR	1aDUR|24DMG|34aVULN|4aBPWR|5DUST|6TLV|7RCR|89aCDMG
13	23316 51324	   	221.60	DCR|4VULN|2DMG|1ASPD|1DUR	1DUR|24DMG|3469VULN|4BPWR|5LIT|7RCR|8RPLT|aASPD
