0	Index      	 *	Score 	Summary	Detail	
1	23253 14341	 * 	228.01	DCR|3DMG|3ASPD|1AART|2CDMG	1AART|289LWND|39aASPD|4AELBLL|5aCDMG|6RCR|79aDMG|9aBPWR
2	22221 26318	 * 	227.07	DCR|1SPLARM|2VULN|2ASPD|1AART|1DMG|1AAC	1AART|2aLHND|3aASPD|4AAC|5SPLARM|6DMG|7aVULN|8RCR|9MBVNT|aBPWR
3	22221 26363	 * 	224.18	DCR|1SPLARM|2DMG|2ASPD|1VULN|1AART|1AAC	1AART|2LHND|39ASPD|4AAC|5SPLARM|6aDMG|7VULN|8RCR
4	23251 12156	 * 	212.20	DCR|2VULN|2AART|2ASPD|1DMG	16AART|28LWND|38ASPD|4AELBLL|5LIT|78VULN|8BPWR|9RCR|aDMG
5	22266 13742	 * 	211.77	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	1AART|2LHND|3ASPD|46aVULN|5ZMB|7MBVNT|8RCR|9DMG
6	22221 21212	   	209.96	DCR|1SPLARM|2DMG|1AART|1VULN|1ASPD|1AAC	1AART|2LHND|3ASPD|4AAC|5SPLARM|69DMG|7AME|8RCR|aVULN
7	22221 23212	   	209.96	DCR|1SPLARM|2DMG|1VULN|1AART|1ASPD|1AAC	1AART|2LHND|3ASPD|4AAC|5SPLARM|69DMG|7CGEN|8RCR|aVULN
8	22221 26324	   	209.96	DCR|1SPLARM|2DMG|1VULN|1AART|1ASPD|1AAC	1AART|2LHND|3ASPD|4AAC|5SPLARM|6aDMG|7VULN|8RCR|9CGEN
9	23221 21212	   	209.96	DCR|1SPLARM|2DMG|1AART|1VULN|1ASPD|1AAC	1AART|2LWND|3ASPD|4AAC|5SPLARM|69DMG|7AME|8RCR|aVULN
10	23221 23212	   	209.96	DCR|1SPLARM|2DMG|1AART|1VULN|1ASPD|1AAC	1AART|2LWND|3ASPD|4AAC|5SPLARM|69DMG|7CGEN|8RCR|aVULN
11	23221 26324	   	209.96	DCR|1SPLARM|2DMG|1AART|1VULN|1ASPD|1AAC	1AART|2LWND|3ASPD|4AAC|5SPLARM|6aDMG|7VULN|8RCR|9CGEN
12	26221 35212	   	209.96	DCR|1SPLARM|2DMG|1VULN|1AART|1ASPD|1AAC	1AART|2BEXP|3ASPD|4AAC|5SPLARM|6CGEN|79DMG|8RCR|aVULN
13	26221 45212	   	209.86	DCR|1SPLARM|2DMG|1VULN|1AART|1ASPD|1AAC	1AART|2BEXP|3ASPD|4AAC|5SPLARM|6TLV|79DMG|8RCR|aVULN
14	22253 14141	   	209.36	DCR|3DMG|2ASPD|1AART|1CDMG	1AART|29LHND|39ASPD|4AELBLL|5CDMG|6RCR|79aDMG|8RCVC|9BPWR
15	23253 14141	   	209.36	DCR|3DMG|2ASPD|1AART|1CDMG	1AART|29LWND|39ASPD|4AELBLL|5CDMG|6RCR|79aDMG|8RCVC|9BPWR
16	23225 36513	 * 	206.43	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1AAC	1AART|2LWND|3ASPD|4AAC|5RPLT|6RCR|7DMG|89VULN|aMDPS
17	24121 15136	 * 	206.23	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2ERES|35DMG|45VULN|5BPWR|6MLV|7SPLREG|8AME|9RCR|aASPD
18	22266 13464	 * 	206.19	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AART|2LHND|3ASPD|46VULN|5ZMB|7MBVNT|8CDMG|9DMG|aRCR
19	23266 13464	   	206.19	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AART|2LWND|3ASPD|46VULN|5ZMB|7MBVNT|8CDMG|9DMG|aRCR
20	13222 43341	 * 	205.42	DCR|3VULN|1AART|1ASPD|1CDMG	1AME|2RCVC|345VULN|6RCR|7CGEN|8AART|9CDMG|aASPD
21	53222 43341	   	205.42	DCR|3VULN|1AART|1ASPD|1CDMG	1MLV|2RCVC|345VULN|6RCR|7CGEN|8AART|9CDMG|aASPD
22	13222 41341	   	205.32	DCR|3VULN|1AART|1ASPD|1CDMG	1AME|2RCVC|345VULN|6RCR|7ERES|8AART|9CDMG|aASPD
23	53222 41341	   	205.32	DCR|3VULN|1AART|1ASPD|1CDMG	1MLV|2RCVC|345VULN|6RCR|7ERES|8AART|9CDMG|aASPD
24	23443 11141	 * 	204.81	DCR|3DMG|3CDMG|1AART|2ZMB	1AART|279LWND|3RCVC|4aZMB|59aCDMG|6RCR|89aDMG|9aBPWR
25	22253 14142	   	204.04	DCR|2DMG|2ASPD|1AART|1CDMG|1ZMB	1AART|29LHND|39ASPD|4AELBLL|5CDMG|6RCR|79DMG|8RCVC|9BPWR|aZMB
26	23253 14142	   	204.04	DCR|2DMG|2ASPD|1AART|1CDMG|1ZMB	1AART|29LWND|39ASPD|4AELBLL|5CDMG|6RCR|79DMG|8RCVC|9BPWR|aZMB
27	24121 33412	 * 	203.43	DCR|2VULN|2AART|2DMG|1ZMB	17AART|2ERES|35DMG|45VULN|5BPWR|6DUST|8MSLREG|9ZMB|aRCR
28	22253 14132	 * 	203.06	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1AART|2LHND|3ASPD|4AELBLL|5CDMG|6RCR|7aDMG|8RCVC|9VULN
29	23253 14132	   	203.06	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1AART|2LWND|3ASPD|4AELBLL|5CDMG|6RCR|7aDMG|8RCVC|9VULN
30	26253 14132	   	203.06	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1AART|2BEXP|3ASPD|4AELBLL|5CDMG|6RCR|7aDMG|8RCVC|9VULN
31	24121 33431	   	201.88	DCR|2VULN|2AART|2DMG|1AAC	17AART|2ERES|35DMG|45VULN|5BPWR|6DUST|8MSLREG|9RCR|aAAC
32	14322 43341	   	201.72	DCR|3VULN|1AART|1ASPD|1CDMG	13AME|245VULN|6RCR|7CGEN|8AART|9CDMG|aASPD
33	14322 41341	   	201.62	DCR|3VULN|1AART|1ASPD|1CDMG	13AME|245VULN|6RCR|7ERES|8AART|9CDMG|aASPD
34	24121 53225	   	201.29	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2ERES|35DMG|45VULN|5BPWR|69BEXP|7FEWX|8RCR|aASPD
35	13222 43345	 * 	201.21	DCR|4VULN|1AART|1CDMG	1AME|2RCVC|345aVULN|6RCR|7CGEN|8AART|9CDMG
36	24121 52225	   	201.19	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2ERES|35DMG|45VULN|5BPWR|69BEXP|7DUST|8RCR|aASPD
37	22253 14632	   	201.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1AART|2LHND|3ASPD|48AELBLL|5CDMG|6RCR|7aDMG|9VULN
38	23253 14332	   	201.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1AART|28LWND|3ASPD|4AELBLL|5CDMG|6RCR|7aDMG|9VULN
39	23253 14632	   	201.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1AART|2LWND|3ASPD|48AELBLL|5CDMG|6RCR|7aDMG|9VULN
40	61251 12122	 * 	201.09	DCR|3DMG|2VULN|1MDPS|2CDMG|1DUR	1LEGI|279DMG|3MDPS|4BELT|57VULN|67CDMG|7BPWR|8DUR|aRCR
41	24113 14612	   	201.06	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1AART|2ERES|37DMG|4RMIN|5CDMG|6RCR|8LIT|9ASPD|aVULN
42	23251 12155	   	200.44	DCR|2VULN|2AART|2ASPD|1DUR	16AART|28LWND|38ASPD|4AELBLL|5LIT|78VULN|8BPWR|9RCR|aDUR
43	24113 14141	 * 	200.36	DCR|3DMG|1AART|2CDMG|1ASPD|1NUKE	1AART|29ERES|379DMG|4RMIN|59CDMG|6RCR|8NUKE|9BPWR|aASPD
44	23253 14342	   	200.10	DCR|2DMG|2ASPD|1AART|1CDMG|1DUR	1AART|289LWND|39ASPD|4AELBLL|5CDMG|6RCR|79DMG|9BPWR|aDUR
45	24212 63262	 * 	199.90	DCR|3VULN|2ASPD|1AART|1AAC|1DUR	1AART|28ERES|389VULN|4DUR|5AAC|6MULARM|78ASPD|8BPWR|aRCR
46	12266 24133	 * 	199.56	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	19AME|2VENFST|39CDMG|4ZMB|5VULN|6RCVC|7RCR|89DMG|9BPWR|aAART
47	12231 24133	   	199.56	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	19AME|2VENFST|39CDMG|4VULN|5ZMB|6RCVC|7RCR|89DMG|9BPWR|aAART
48	52231 24133	   	199.56	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	19MLV|2VENFST|39CDMG|4VULN|5ZMB|6RCVC|7RCR|89DMG|9BPWR|aAART
49	14132 15212	   	199.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1AME|2VULN|3LIT|4ASPD|5LHND|68DMG|7RCR|9AART|aCDMG
50	54132 15212	   	199.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1MLV|2VULN|3LIT|4ASPD|5LHND|68DMG|7RCR|9AART|aCDMG
51	24113 14143	 * 	199.12	DCR|3DMG|1MDPS|1AART|2CDMG|1NUKE	1AART|29ERES|379DMG|4RMIN|59CDMG|6RCR|8NUKE|9BPWR|aMDPS
52	24121 53241	 * 	199.06	DCR|3VULN|2DMG|1AART	1AART|2ERES|35DMG|459VULN|5BPWR|6BEXP|7FEWX|8RCR|aLHND
