0	Index      	 *	Score 	Summary	Detail	
1	31423 14115	 * 	318.59	DCR|DCR|1VULN|1TLV|2ASPD|1MLV|1CDMG	1BEXP|26ASPD|3VULN|4MLV|5CDMG|7aRCR|8DUST|9TLV
2	15113 32115	 * 	305.54	DCR|DCR|2VULN|1TLV|1DMG|1CDMG	1LHND|2DMG|3RMIN|4DUST|5TLV|69VULN|7CDMG|8aRCR
3	15223 32115	   	305.54	DCR|DCR|2VULN|1TLV|1DMG|1CDMG	1LHND|2DMG|3DUST|4AME|5TLV|69VULN|7CDMG|8aRCR
4	36223 42115	 * 	302.03	DCR|DCR|2VULN|1MLV|1DMG|1CDMG	1BEXP|29VULN|3AME|4MLV|5CDMG|6DMG|7LHND|8aRCR
5	36323 42115	   	301.93	DCR|DCR|2VULN|1MLV|1DMG|1CDMG	1BEXP|29VULN|3ERES|4MLV|5CDMG|6DMG|7LHND|8aRCR
6	11113 32115	   	301.72	DCR|DCR|2VULN|1TLV|1ASPD|1CDMG	1LHND|2ASPD|3RMIN|4DUST|5TLV|69VULN|7CDMG|8aRCR
7	11223 32115	   	301.72	DCR|DCR|2VULN|1TLV|1ASPD|1CDMG	1LHND|2ASPD|3DUST|4AME|5TLV|69VULN|7CDMG|8aRCR
8	31323 14415	   	298.41	DCR|DCR|1VULN|1TLV|2ASPD|1CDMG	1BEXP|26ASPD|3DUR|4AME|5CDMG|7aRCR|8VULN|9TLV
9	31423 32115	   	298.22	DCR|DCR|2VULN|1MLV|1ASPD|1CDMG	1BEXP|2ASPD|39VULN|4MLV|5CDMG|6AME|7LHND|8aRCR
10	31423 36115	   	298.22	DCR|DCR|2VULN|1MLV|1ASPD|1CDMG	1BEXP|2ASPD|39VULN|4MLV|5CDMG|6AME|7FEWX|8aRCR
11	36223 12115	   	298.22	DCR|DCR|2VULN|1MLV|1ASPD|1CDMG	1BEXP|29VULN|3AME|4MLV|5CDMG|6ASPD|7LHND|8aRCR
12	36223 16115	   	298.22	DCR|DCR|2VULN|1MLV|1ASPD|1CDMG	1BEXP|29VULN|3AME|4MLV|5CDMG|6ASPD|7FEWX|8aRCR
13	36323 12115	   	298.12	DCR|DCR|2VULN|1MLV|1ASPD|1CDMG	1BEXP|29VULN|3ERES|4MLV|5CDMG|6ASPD|7LHND|8aRCR
14	36323 16115	   	298.12	DCR|DCR|2VULN|1MLV|1ASPD|1CDMG	1BEXP|29VULN|3ERES|4MLV|5CDMG|6ASPD|7FEWX|8aRCR
15	31113 14415	   	290.01	DCR|DCR|1VULN|1TLV|2ASPD|1CDMG	1BEXP|26ASPD|3RMIN|4DUST|5CDMG|7aRCR|8VULN|9TLV
16	31223 14415	   	290.01	DCR|DCR|1VULN|1TLV|2ASPD|1CDMG	1BEXP|26ASPD|3DUST|4AME|5CDMG|7aRCR|8VULN|9TLV
17	24611 22633	 * 	288.62	ACR|DCR|2VULN|1TLV|1AAC|1ASPD|1CDMG	1RAT|2AAC|3LWND|4ASPD|57RCR|6CDMG|8aVULN|9TLV
