0	Index      	 *	Score 	Summary	Detail	
1	35643 32132	 * 	265.00	DCR|DCR|2DMG|1VULN|1RPLT	15FEWX|2BBNT|3MBVNT|45DMG|5BPWR|6aRCR|7LHND|8VULN|9RPLT
2	36123 12411	   	260.97	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1FEWX|2DLOT|3AAC|4DMG|5RPLT|69RCR|7VULN|8BBNT|aCDMG
3	36123 12416	   	255.62	DCR|DCR|1VULN|1DMG|1RPLT	1FEWX|2DLOT|3AAC|4DMG|5RPLT|69RCR|7VULN|8BBNT|aDUR
4	31325 35251	   	255.19	DCR|DCR|1VULN|1DMG|1MLV	1FEWX|247LWND|3MLV|5DUST|6aRCR|8VULN|9DMG
5	21325 51251	 * 	254.12	ACR|DCR|1VULN|1DMG|1ASPD|1CDMG|1AART	1ASPD|2AART|3aRCR|4DUR|5BEXP|6CDMG|7LIT|8VULN|9DMG
6	21321 51251	   	254.02	ACR|DCR|1VULN|1DMG|1ASPD|1CDMG|1AART	1ASPD|2AART|3aRCR|4DUR|5LEGI|6CDMG|7LIT|8VULN|9DMG
7	41124 13243	 * 	253.50	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	13DMG|2AART|467VULN|56DUR|6BPWR|8SPLJET|9CDMG|aRCR
8	41135 13243	   	253.50	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	13DMG|2AART|46DUR|567VULN|6BPWR|8SPLJET|9CDMG|aRCR
9	12361 11126	 * 	253.16	DCR|DCR|2VULN|1RPLT	1RPLT|24VULN|347ERES|4BPWR|5LWND|6SNITOX|8aRCR|9VENICY
10	12364 11126	   	253.06	DCR|DCR|2VULN|1RPLT	1RPLT|24VULN|347ERES|4BPWR|5DUST|6SNITOX|8aRCR|9VENICY
11	21123 11112	   	252.29	DCR|DCR|1DMG|1ASPD|1CDMG|1AART|1RPLT	1ASPD|2AART|3DMG|4FEWX|5RPLT|6aRCR|7CDMG|89LHND
12	21123 11132	   	252.19	DCR|DCR|1DMG|1ASPD|1CDMG|1AART|1RPLT	1ASPD|2AART|3DMG|4FEWX|5RPLT|6aRCR|7CDMG|8LHND|9AELOIC
13	21146 13325	   	248.31	DCR|3VULN|2DMG|1ASPD|1AART|1RPLT	1ASPD|2AART|36DMG|46aVULN|5RMIN|6BPWR|7SPLARM|8RPLT|9RCR
14	36123 12412	   	247.32	DCR|DCR|1VULN|1DMG|1RPLT	1FEWX|2DLOT|3AAC|4DMG|5RPLT|69RCR|7VULN|8BBNT|aLIT
15	36123 12413	   	247.32	DCR|DCR|1VULN|1DMG|1RPLT	1FEWX|2DLOT|3aAAC|4DMG|5RPLT|69RCR|7VULN|8BBNT
16	36123 12414	   	247.32	DCR|DCR|1VULN|1DMG|1RPLT	1FEWX|2DLOT|3AAC|4DMG|5RPLT|69RCR|7VULN|8BBNT|aRMIN
