0	Index      	 *	Score 	Summary	Detail	
1	54332 71142	 * 	280.56	DCR|DCR|2VULN|1ASPD|1CDMG|1RPLT	1CDMG|26VULN|3ASPD|4RPLT|5MBVNT|7FLTFST|8DUST|9aRCR
2	16125 22313	 * 	278.40	DCR|DCR|1VULN|1DMG|1MLV|1CDMG|1AART	1MLV|2AART|3DMG|4LWND|5CDMG|6LEGI|7MULARM|8aRCR|9VULN
3	16125 26313	   	278.40	DCR|DCR|1VULN|1DMG|1MLV|1CDMG|1AART	1MLV|2AART|3DMG|4LWND|5CDMG|6LEGI|7SNIFST|8aRCR|9VULN
4	13316 44321	 * 	271.45	DCR|DCR|2DMG|2MLV|2DUR	18MLV|2BBNT|38DMG|4BEXP|5LIT|6TBNT|78DUR|8BPWR|9aRCR
5	31523 51161	   	265.75	DCR|DCR|2VULN|1CDMG	1FEWX|2DMSP|3DUR|4LIT|5CDMG|6MDPS|79VULN|8aRCR
6	36323 51161	   	265.75	DCR|DCR|2VULN|1CDMG	13FEWX|2DUR|4LIT|5CDMG|6MDPS|79VULN|8aRCR
7	11112 13146	   	264.65	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1MLV|2DLOT|3DMG|4BEXP|5RPLT|6aRCR|7AME|8VULN|9CANSTR
8	11112 13166	   	264.65	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1MLV|2DLOT|3DMG|4BEXP|5RPLT|6aRCR|7AME|8VULN|9MULARM
9	11122 13146	   	264.65	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1MLV|2DLOT|3DMG|4LWND|5RPLT|6aRCR|7AME|8VULN|9CANSTR
10	11122 13166	   	264.65	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1MLV|2DLOT|3DMG|4LWND|5RPLT|6aRCR|7AME|8VULN|9MULARM
11	11115 53114	 * 	262.13	DCR|3VULN|2DMG|2MLV|1CDMG	1aMLV|2DLOT|3aDMG|4BEXP|5CDMG|68aVULN|7RCR|9MDPS|aBPWR
12	11125 53114	   	262.13	DCR|3VULN|2DMG|2MLV|1CDMG	1aMLV|2DLOT|3aDMG|4LWND|5CDMG|68aVULN|7RCR|9MDPS|aBPWR
13	54332 21142	 * 	260.67	DCR|DCR|1VULN|2CDMG|1ASPD|1RPLT	16CDMG|2VULN|3ASPD|4RPLT|5MBVNT|7FLTFST|8DUST|9aRCR
14	12125 22313	   	258.34	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1MLV|2AAC|3AART|4LWND|5CDMG|6LEGI|7MULARM|8aRCR|9VULN
15	12125 26313	   	258.34	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1MLV|2AAC|3AART|4LWND|5CDMG|6LEGI|7SNIFST|8aRCR|9VULN
16	16625 22313	   	258.34	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1MLV|2AART|3AAC|4LWND|5CDMG|6LEGI|7MULARM|8aRCR|9VULN
17	61125 22313	   	258.34	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1AAC|2MLV|3AART|4LWND|5CDMG|6LEGI|7MULARM|8aRCR|9VULN
18	61125 26313	   	258.34	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1AAC|2MLV|3AART|4LWND|5CDMG|6LEGI|7SNIFST|8aRCR|9VULN
19	11112 33554	   	258.14	DCR|3VULN|2DMG|2MLV|1RPLT	1aMLV|2DLOT|3aDMG|4BEXP|5RPLT|6DUST|79aVULN|8RCR|aBPWR
20	35324 35111	   	257.55	DCR|DCR|2VULN|1CDMG	13FEWX|25VULN|49LIT|6CDMG|7BBNT|8aRCR
21	23321 56521	   	255.29	DCR|DCR|1VULN|1DMG|1MLV	1CGEN|2BBNT|3DMG|4TLV|5TBNT|6LIT|7VULN|8MLV|9aRCR
22	13321 56121	   	255.29	DCR|DCR|1VULN|1DMG|1MLV	1MLV|2BBNT|3DMG|4TLV|5TBNT|6LIT|7VULN|8RMIN|9aRCR
23	15321 56121	   	255.29	DCR|DCR|1VULN|1DMG|1MLV	1MLV|2TBNT|3DMG|4TLV|5BBNT|6LIT|7VULN|8RMIN|9aRCR
24	16125 22333	   	254.61	DCR|DCR|1DMG|1MLV|1CDMG|1AART	1MLV|2AART|3DMG|4LWND|5CDMG|6LEGI|7MULARM|8aRCR|9DUR
25	16125 26333	   	254.61	DCR|DCR|1DMG|1MLV|1CDMG|1AART	1MLV|2AART|3DMG|4LWND|5CDMG|6LEGI|7SNIFST|8aRCR|9DUR
26	54513 31333	 * 	251.83	DCR|4VULN|1DMG|2CDMG|2DUR	13CDMG|238aVULN|3BPWR|47DUR|5DMG|6TBNT|9RCR
