0	Index      	 *	Score 	Summary	Detail	
1	35332 12625	 * 	215.50	DCR|3VULN|3DMG|1ASPD|1DUR	17AELBLL|2MULARM|357VULN|467DMG|7BPWR|8ASPD|9DUR|aRCR
2	21621 22632	 * 	211.97	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	1MLV|25aVULN|3AART|45AME|5BPWR|6ASPD|7ZMB|8RCR|9DMG
3	21446 33133	 * 	211.61	DCR|2VULN|2DMG|2ASPD|1AART	1MLV|29VULN|3AME|4LIT|5AART|69DMG|7TLV|89ASPD|9BPWR|aRCR
4	21621 52632	 * 	209.49	DCR|3VULN|2DMG|1AART|1ZMB	1MLV|25aVULN|3AART|45AME|5BPWR|69DMG|7ZMB|8RCR
5	35332 12615	   	208.80	DCR|3VULN|3DMG|1ASPD	17AELBLL|2MULARM|357VULN|467DMG|7BPWR|8ASPD|9RCVC|aRCR
6	21621 22631	   	208.35	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	1MLV|25VULN|3AART|45AME|5BPWR|6aASPD|7ZMB|8RCR|9DMG
7	35332 12255	   	207.20	DCR|3VULN|3DMG|1ASPD	17AELBLL|2MULARM|357VULN|467DMG|7BPWR|8BEXP|9ASPD|aRCR
8	42612 36321	 * 	207.10	DCR|2VULN|2DMG|1AART|2CDMG	1aCDMG|2LHND|3aDMG|459FEWX|6aVULN|7RCR|8AART|aBPWR
9	21635 21326	   	206.23	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1MLV|2aVULN|3AART|4BEXP|57ASPD|6DUR|8RCR|9DMG
10	21635 21323	 * 	204.67	DCR|1MDPS|2ASPD|1VULN|1AART|1DMG|1DUR	1MLV|2VULN|3AART|4BEXP|57ASPD|6DUR|8RCR|9DMG|aMDPS
11	51635 21323	   	204.57	DCR|1MDPS|2ASPD|1VULN|1AART|1DMG|1AAC|1DUR	1AAC|2VULN|3AART|4BEXP|57ASPD|6DUR|8RCR|9DMG|aMDPS
12	35332 12365	 * 	202.98	DCR|4VULN|3DMG	17AELBLL|2MULARM|3578VULN|467DMG|7BPWR|9AME|aRCR
13	35332 12315	   	202.88	DCR|4VULN|3DMG	17AELBLL|2MULARM|3578VULN|467DMG|7BPWR|9ERES|aRCR
14	21621 22635	   	202.44	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1MLV|25VULN|3AART|45AME|5BPWR|6ASPD|7ZMB|8RCR|9DMG|aDUR
15	21133 24788	 * 	201.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1MLV|24VULN|34ERES|4BPWR|5MBVNT|6AART|7RCR|8CDMG|9DMG|aASPD
16	33541 26222	   	201.66	DCR|2DMG|2ASPD|1AART|1VULN|1ZMB	19AELBLL|2ZMB|39ASPD|4VULN|5LWND|6AART|7BELT|89DMG|9BPWR|aRCR
17	21661 21632	   	201.63	DCR|3VULN|1AART|1ASPD|1DMG	1MLV|25aVULN|3AART|45CGEN|5BPWR|6ASPD|7AME|8RCR|9DMG
18	21661 22632	   	201.63	DCR|3VULN|1AART|1ASPD|1DMG	1MLV|25aVULN|3AART|45CGEN|5BPWR|6ASPD|7RMIN|8RCR|9DMG
19	21133 24631	 * 	201.58	DCR|2VULN|2AART|1ASPD|1DMG	1MLV|24VULN|34ERES|4BPWR|5MBVNT|68AART|7RCR|9DMG|aASPD
20	21433 23731	   	201.53	DCR|3VULN|1AART|1ASPD|1DMG	1MLV|247VULN|34AME|4BPWR|5MBVNT|6AART|8RCR|9DMG|aASPD
21	21161 21632	   	201.43	DCR|3VULN|1AART|1ASPD|1DMG	1MLV|25aVULN|35ERES|4AART|5BPWR|6ASPD|7AME|8RCR|9DMG
22	21161 22632	   	201.43	DCR|3VULN|1AART|1ASPD|1DMG	1MLV|25aVULN|35ERES|4AART|5BPWR|6ASPD|7RMIN|8RCR|9DMG
23	21165 12632	   	201.43	DCR|3VULN|1AART|1DMG|1ASPD	1MLV|27aVULN|3ERES|4AART|5ASPD|6AME|8RCR|9DMG
24	21453 23731	   	201.43	DCR|3VULN|1AART|1ASPD|1DMG	1MLV|247VULN|3AME|5MBVNT|6AART|8RCR|9DMG|aASPD
25	21133 22731	   	201.33	DCR|3VULN|1AART|1ASPD|1DMG	1MLV|247VULN|34ERES|4BPWR|5MBVNT|6AART|8RCR|9DMG|aASPD
26	51161 21632	   	201.33	DCR|3VULN|1AART|1ASPD|1DMG|1AAC	1AAC|25aVULN|35ERES|4AART|5BPWR|6ASPD|7AME|8RCR|9DMG
27	51161 23632	   	201.33	DCR|3VULN|1AART|1ASPD|1DMG|1AAC	1AAC|25aVULN|35ERES|4AART|5BPWR|6ASPD|7MLV|8RCR|9DMG
28	41126 23613	 * 	201.22	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG|1DUR|1SELL	1CDMG|27DMG|3LIT|4ASPD|5VULN|6DUR|8SELL|9AART|aRCR
29	41233 56222	 * 	201.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1CDMG|25DMG|35MLV|4RPLT|5BPWR|6ASPD|7RCR|8RCVC|9AART|aVULN
30	36333 42325	   	201.08	DCR|3DMG|2VULN|1ASPD|1DUR	17AELBLL|278DMG|3RCVC|4ASPD|5SNIFST|67VULN|7BPWR|9DUR|aRCR
31	22541 23622	 * 	201.02	DCR|4VULN|1AART|1ASPD	1MLV|2RCVC|3ASPD|479aVULN|5LWND|6AART|8RCR
32	41242 23421	   	199.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|2DMG|3MLV|4ASPD|57VULN|6FEWX|8RCR|9AART|aAME
33	41242 23422	   	199.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|2DMG|3aMLV|4ASPD|57VULN|6FEWX|8RCR|9AART
34	41242 33421	   	199.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|2DMG|3MLV|4ASPD|57VULN|6BEXP|8RCR|9AART|aAME
35	41242 33422	   	199.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|2DMG|3aMLV|4ASPD|57VULN|6BEXP|8RCR|9AART
36	41242 23423	   	199.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|2DMG|3MLV|4ASPD|57VULN|6FEWX|8RCR|9AART|aDUST
37	41242 33423	   	199.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|2DMG|3MLV|4ASPD|57VULN|6BEXP|8RCR|9AART|aDUST
38	21133 24642	 * 	199.35	DCR|3VULN|2AART|1ASPD	1MLV|24aVULN|34ERES|4BPWR|5MBVNT|68AART|7RCR|9ASPD
39	21161 51632	   	198.96	DCR|3VULN|2DMG|1AART	1MLV|25aVULN|35ERES|4AART|5BPWR|69DMG|7AME|8RCR
40	21161 52632	   	198.96	DCR|3VULN|2DMG|1AART	1MLV|25aVULN|35ERES|4AART|5BPWR|69DMG|7RMIN|8RCR
41	21621 52631	   	198.43	DCR|2VULN|2DMG|1AART|1AAC|1ZMB	1MLV|25VULN|3AART|45AME|5BPWR|69DMG|7ZMB|8RCR|aAAC
42	21661 21631	   	198.02	DCR|2VULN|2ASPD|1AART|1DMG	1MLV|25VULN|3AART|45CGEN|5BPWR|6aASPD|7AME|8RCR|9DMG
43	21661 22631	   	198.02	DCR|2VULN|2ASPD|1AART|1DMG	1MLV|25VULN|3AART|45CGEN|5BPWR|6aASPD|7RMIN|8RCR|9DMG
44	21161 21631	   	197.82	DCR|2VULN|2ASPD|1AART|1DMG	1MLV|25VULN|35ERES|4AART|5BPWR|6aASPD|7AME|8RCR|9DMG
45	21161 22631	   	197.82	DCR|2VULN|2ASPD|1AART|1DMG	1MLV|25VULN|35ERES|4AART|5BPWR|6aASPD|7RMIN|8RCR|9DMG
46	21165 12631	   	197.82	DCR|2VULN|2ASPD|1AART|1DMG	1MLV|27VULN|3ERES|4AART|5aASPD|6AME|8RCR|9DMG
47	51161 21631	   	197.72	DCR|2VULN|2ASPD|1AART|1DMG|1AAC	1AAC|25VULN|35ERES|4AART|5BPWR|6aASPD|7AME|8RCR|9DMG
48	51161 23631	   	197.72	DCR|2VULN|2ASPD|1AART|1DMG|1AAC	1AAC|25VULN|35ERES|4AART|5BPWR|6aASPD|7MLV|8RCR|9DMG
49	35332 13325	   	197.47	DCR|3DMG|2VULN|1ASPD|1DUR	1AELBLL|2MULARM|35VULN|468DMG|7ASPD|9DUR|aRCR
50	21433 23742	   	197.32	DCR|4VULN|1AART|1ASPD	1MLV|247aVULN|34AME|4BPWR|5MBVNT|6AART|8RCR|9ASPD
51	21453 23742	   	197.22	DCR|4VULN|1AART|1ASPD	1MLV|247aVULN|3AME|5MBVNT|6AART|8RCR|9ASPD
52	21133 22742	   	197.12	DCR|4VULN|1AART|1ASPD	1MLV|247aVULN|34ERES|4BPWR|5MBVNT|6AART|8RCR|9ASPD
