0	Index      	 *	Score 	Summary	Detail	
1	32622 11535	 * 	205.51	DCR|2VULN|2AART|1ASPD|1NUKE	1FEWX|2RCVC|3ASPD|4LIT|56AART|7RCR|89VULN|aNUKE
2	62251 16111	 * 	204.34	DCR|2VULN|2AART|1MDPS|2ASPD|1DUR	1BELT|29LHND|39ASPD|46AART|5MDPS|7RCR|89VULN|9BPWR|aDUR
3	62251 36112	 * 	203.32	DCR|3ASPD|2VULN|1MDPS|1AART|1ZMB	1BELT|269LHND|369ASPD|4AART|5MDPS|69BPWR|7RCR|89VULN|aZMB
4	46214 63244	 * 	201.19	DCR|2VULN|2DMG|1AART|1ASPD	19ERES|2MBVNT|39DMG|4AME|5LHND|69VULN|7AART|8RCR|9BPWR|aASPD
5	32345 52133	 * 	201.06	DCR|2ASPD|1AART|1VULN|2CDMG|1DMG	1FEWX|2RCVC|35CDMG|45ASPD|5BPWR|6DMG|7LIT|8VULN|9AART|aRCR
6	52343 52133	   	201.06	DCR|2ASPD|1AART|1VULN|2CDMG|1DMG	1LWND|2RCVC|35CDMG|45ASPD|5BPWR|6DMG|7LIT|8VULN|9AART|aRCR
7	32616 32125	   	199.77	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1FEWX|2RCVC|3ASPD|4LWND|5AART|6DMG|7RCR|89VULN|aZMB
8	54213 32153	 * 	199.45	DCR|1SPLARM|2VULN|2AART|1DMG	1LWND|29AART|3RCVC|48VULN|5ERES|6DMG|7RCR|aSPLARM
9	61611 16111	 * 	199.40	DCR|2VULN|2AART|2DMG|1MDPS	1BELT|29BEXP|3aAART|49DMG|5MDPS|6DMSP|7RCR|89VULN|9BPWR
10	61611 36111	   	199.40	DCR|2VULN|2AART|2DMG|1MDPS	16BELT|29BEXP|3aAART|49DMG|5MDPS|7RCR|89VULN|9BPWR
11	62251 16113	   	199.37	DCR|2VULN|2AART|1MDPS|2ASPD|1AAC	1BELT|29LHND|39ASPD|46AART|5MDPS|7RCR|89VULN|9BPWR|aAAC
12	61611 26111	 * 	199.30	DCR|2MDPS|2VULN|2AART|2DMG	1BELT|29BEXP|3aAART|49DMG|56MDPS|7RCR|89VULN|9BPWR
13	24152 21231	 * 	198.46	DCR|3DMG|1AART|1VULN|1ASPD|1AAC	1LIT|2RMIN|3AAC|469DMG|5AART|7RCR|8ASPD|aVULN
14	62251 16112	   	196.03	DCR|2VULN|2AART|1MDPS|2ASPD	1BELT|29aLHND|39ASPD|46AART|5MDPS|7RCR|89VULN|9BPWR
15	61251 16111	   	196.03	DCR|2VULN|2AART|1MDPS|2ASPD	1BELT|29BEXP|39ASPD|4aAART|5MDPS|6DMSP|7RCR|89VULN|9BPWR
16	61251 36111	   	196.03	DCR|2VULN|2AART|1MDPS|2ASPD	16BELT|29BEXP|39ASPD|4aAART|5MDPS|7RCR|89VULN|9BPWR
