0	Index      	 *	Score 	Summary	Detail	
1	45263 32331	 * 	186.92	ACR|2VULN|2DMG|1AART|2ASPD|1DUR	1AART|2RMIN|39DMG|4RCR|59VULN|6BEXP|7FEWX|89ASPD|9BPWR|aDUR
2	41213 33435	 * 	186.73	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	17AART|28VULN|3BELT|4ZMB|5BEXP|6RCR|9CDMG|aDMG
3	41132 16422	 * 	186.58	DCR|4VULN|1AART|1DMG|1ZMB	1AART|234aVULN|5CGEN|6MLV|7DMG|8RCR|9ZMB
4	41135 13422	   	186.58	DCR|4VULN|1AART|1DMG|1ZMB	1AART|234aVULN|5DMG|6MLV|7CGEN|8RCR|9ZMB
5	41213 35431	 * 	184.97	DCR|4VULN|1AART|1CDMG|1ZMB	1AART|278aVULN|3BELT|4ZMB|5BEXP|6RCR|9CDMG
6	41122 53411	   	182.52	DCR|4VULN|1AART|1DMG|1ASPD	1AART|2367VULN|4LHND|5ASPD|8RCR|9DMG|aCGEN
7	41122 53412	   	182.52	DCR|4VULN|1AART|1DMG|1ASPD	1AART|2367VULN|4LHND|5ASPD|8RCR|9DMG|aRPLT
8	41122 23416	   	182.52	DCR|4VULN|1AART|1DMG|1ASPD	1AART|237aVULN|4LHND|5ASPD|6RCVC|8RCR|9DMG
9	41122 53413	   	182.42	DCR|4VULN|1AART|1DMG|1ASPD	1AART|2367VULN|4LHND|5ASPD|8RCR|9DMG|aDUST
10	41213 33431	 * 	182.32	DCR|3VULN|2AART|1CDMG|1ZMB	17AART|28aVULN|3BELT|4ZMB|5BEXP|6RCR|9CDMG
11	41216 33431	   	182.32	DCR|3VULN|2AART|1CDMG|1ZMB	17AART|28aVULN|3BELT|4ZMB|5FEWX|6RCR|9CDMG
12	41131 51324	 * 	182.23	DCR|4VULN|2AART|1DMG	17AART|2348VULN|5RPLT|6LHND|9DMG|aRCR
13	21341 22336	 * 	181.60	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1LHND|2DUR|3aVULN|48DMG|5CDMG|6FEWX|7RCR|9AART
14	41115 63231	   	180.91	DCR|4VULN|1AART|1CDMG|1DUR	1AART|238aVULN|4FEWX|5DUR|6RCR|7LIT|9CDMG
15	42123 63231	   	180.91	DCR|4VULN|1AART|1CDMG|1DUR	1AART|2DUR|358aVULN|4FEWX|6RCR|7LIT|9CDMG
16	13363 26334	 * 	180.58	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	1RCVC|26CDMG|3LSRREG|4DUR|567VULN|6BPWR|8DMG|9RCR|aAART
17	33363 26334	   	180.58	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	1DMSP|26CDMG|3LSRREG|4DUR|567VULN|6BPWR|8DMG|9RCR|aAART
18	45263 32333	   	179.98	ACR|2VULN|2DMG|1AART|2ASPD	1AART|2RMIN|39DMG|4RCR|59VULN|6BEXP|7FEWX|89ASPD|9BPWR|aCGEN
19	45263 32332	   	179.88	ACR|2VULN|2DMG|1AART|2ASPD	1AART|2RMIN|39DMG|4RCR|59VULN|6BEXP|7FEWX|89ASPD|9BPWR|aERES
20	21341 22536	   	179.87	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	18LHND|2DUR|38aVULN|4DMG|5CDMG|68FEWX|7RCR|8BPWR|9AART
