0	Index      	 *	Score 	Summary	Detail	
1	11245 24333	 * 	179.67	DCR|3VULN|2DMG|1AART	14MLV|24DMG|3RPLT|4BPWR|57aVULN|6RCR|8AART|9TLV
2	21323 53246	 * 	178.06	DCR|3VULN|1AART|2ZMB|1CDMG|1DUR	1DUR|2aZMB|3LIT|489VULN|5CDMG|6RCR|7AART
3	11245 24311	 * 	177.76	DCR|2VULN|2DMG|1AART|1CDMG	14MLV|24DMG|3RPLT|4BPWR|57VULN|6RCR|8AART|9CDMG|aLIT
4	11245 24312	   	177.66	DCR|2VULN|2DMG|1AART|1CDMG	14MLV|24DMG|3RPLT|4BPWR|57VULN|6RCR|8AART|9CDMG|aDUST
5	11245 24313	   	177.66	DCR|2VULN|2DMG|1AART|1CDMG	14MLV|24DMG|3RPLT|4BPWR|57VULN|6RCR|8AART|9CDMG|aERES
6	21323 53256	 * 	175.94	DCR|2VULN|3ZMB|1AART|1CDMG|1DUR	1DUR|29aZMB|3LIT|48VULN|5CDMG|6RCR|7AART
7	11245 21353	 * 	175.56	DCR|2VULN|2DMG|2AART	14MLV|24DMG|3RPLT|4BPWR|5aVULN|6RCR|7CGEN|89AART
8	34322 11266	 * 	174.24	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2CDMG|38VULN|4ASPD|5RCR|6MLV|7AART|9DMG|aZMB
9	34322 31266	   	174.24	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2CDMG|38VULN|4ASPD|5RCR|6CGEN|7AART|9DMG|aZMB
10	21323 53241	   	174.21	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|489VULN|5CDMG|6RCR|7AART|aLWND
11	21323 53242	   	174.21	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|489VULN|5CDMG|6RCR|7AART|aLHND
12	21323 53243	   	174.21	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|489VULN|5CDMG|6RCR|7AART|aBEXP
13	34322 21266	   	174.14	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2CDMG|38VULN|4ASPD|5RCR|6TLV|7AART|9DMG|aZMB
14	32123 22274	 * 	174.05	DCR|3VULN|2DMG|1CDMG|2DUR	18LIT|27DUR|38DMG|468VULN|5MBVNT|8BPWR|9RCR|aCDMG
15	32363 22274	   	174.05	DCR|3VULN|2DMG|1CDMG|2DUR	18LIT|27DUR|368VULN|48DMG|5MBVNT|8BPWR|9RCR|aCDMG
16	34313 23212	 * 	173.42	DCR|4VULN|2DMG|1CDMG	1LIT|2CDMG|3468VULN|5LWND|79DMG|aRCR
17	34322 11211	 * 	172.93	ACR|4VULN|1AART|1CDMG|1ASPD	1LIT|2CDMG|389aVULN|4ASPD|5RCR|6MLV|7AART
18	34322 31211	   	172.93	ACR|4VULN|1AART|1CDMG|1ASPD	1LIT|2CDMG|389aVULN|4ASPD|5RCR|6CGEN|7AART
19	34322 51211	   	172.93	ACR|4VULN|1AART|1CDMG|1ASPD	1LIT|2CDMG|389aVULN|4ASPD|5RCR|6RMIN|7AART
20	34322 21211	   	172.83	ACR|4VULN|1AART|1CDMG|1ASPD	1LIT|2CDMG|389aVULN|4ASPD|5RCR|6TLV|7AART
21	11245 23253	 * 	171.62	DCR|2DMG|2AART|1VULN|1CDMG	14MLV|24DMG|3RPLT|4BPWR|5VULN|6RCR|7RMIN|89AART|aCDMG
22	23534 21151	 * 	170.86	DCR|3VULN|1AART|1CDMG|1FLTHEA|1DUR	1DUR|2BEXP|3RPLT|46aVULN|5CDMG|7FLTHEA|8RCR|9AART
23	34362 23212	   	170.22	DCR|3VULN|2DMG|1CDMG|1ZMB	1LIT|2CDMG|368VULN|4ERES|5ZMB|79DMG|aRCR
24	34322 11213	   	169.83	ACR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1LIT|2CDMG|389VULN|4ASPD|5RCR|6MLV|7AART|aZMB
25	34322 31213	   	169.83	ACR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1LIT|2CDMG|389VULN|4ASPD|5RCR|6CGEN|7AART|aZMB
26	34322 51213	   	169.83	ACR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1LIT|2CDMG|389VULN|4ASPD|5RCR|6RMIN|7AART|aZMB
27	34322 21213	   	169.73	ACR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1LIT|2CDMG|389VULN|4ASPD|5RCR|6TLV|7AART|aZMB
28	11245 24222	   	169.01	DCR|3VULN|2DMG|1CDMG	14MLV|24DMG|3RPLT|4BPWR|579VULN|6RCR|8BELT|aCDMG
29	25615 21211	 * 	169.00	DCR|2VULN|1AART|2ASPD|1CDMG|2DUR	19DUR|2LWND|3AART|49FEWX|5CDMG|6RCR|7aVULN|89ASPD|9BPWR
30	41441 21231	 * 	168.58	DCR|3VULN|2FLTHEA|1DMG|1ZMB|1DUR	168VULN|2ZMB|38FEWX|4DUR|5LWND|78FLTHEA|8BPWR|9RCR|aDMG
31	41463 21231	   	168.58	DCR|3VULN|2FLTHEA|1DMG|1ZMB|1DUR	168VULN|2ZMB|38FEWX|4LWND|5DUR|78FLTHEA|8BPWR|9RCR|aDMG
32	34313 31514	 * 	168.31	DCR|4VULN|1AART|1CDMG|1DUR	1LIT|2CDMG|3489VULN|5LWND|6AART|7DUR|aRCR
33	21323 53146	 * 	167.70	DCR|2VULN|1AART|2ZMB|1CDMG|2DUR	18DUR|2aZMB|3LIT|49VULN|5CDMG|6RCR|7AART
34	11151 21333	 * 	167.58	DCR|3DMG|3CDMG|1VULN|1ZMB	1MLV|25aDMG|3RCVC|456CDMG|5BPWR|7ZMB|8VULN|9RCR
35	51151 21333	   	167.48	DCR|3DMG|3CDMG|1VULN|1ZMB	1TLV|25aDMG|3RCVC|456CDMG|5BPWR|7ZMB|8VULN|9RCR
36	32123 22277	   	167.34	DCR|3VULN|2DMG|2DUR|1ASPD	18LIT|27DUR|38DMG|468VULN|5MBVNT|8BPWR|9RCR|aASPD
37	32363 22277	   	167.34	DCR|3VULN|2DMG|2DUR|1ASPD	18LIT|27DUR|368VULN|48DMG|5MBVNT|8BPWR|9RCR|aASPD
38	34313 32514	 * 	167.33	DCR|3VULN|1AART|1DMG|1CDMG	1LIT|2CDMG|349VULN|5LWND|6AART|7DMG|8CGEN|aRCR
39	23534 21121	 * 	167.12	DCR|3VULN|1DMG|1CDMG|1FLTHEA|1DUR	1DUR|2BEXP|3RPLT|469VULN|5CDMG|7FLTHEA|8RCR|aDMG
40	24534 21121	   	167.12	DCR|3VULN|1DMG|1CDMG|1FLTHEA|1DUR	1DUR|2FEWX|3RPLT|469VULN|5CDMG|7FLTHEA|8RCR|aDMG
41	25534 21121	   	167.12	DCR|3VULN|1DMG|1CDMG|1FLTHEA|1DUR	1DUR|2LWND|3RPLT|469VULN|5CDMG|7FLTHEA|8RCR|aDMG
42	36213 15353	   	166.95	DCR|2VULN|2DMG|1AART|1DUR	18LIT|2RMIN|3AART|4CGEN|5RPLT|68DMG|78VULN|8BPWR|9RCR|aDUR
43	41123 24322	   	166.92	DCR|4VULN|1AART|1ZMB	157aVULN|2ZMB|3ERES|4RPLT|6RCR|8AART|9SNIHEL
