0	Index      	 *	Score 	Summary	Detail	
1	22132 23554	 * 	191.67	ACR|3DMG|1AART|1VULN|2CDMG|1ZMB	18TLV|28aDMG|3ZMB|4RCR|5BEXP|68CDMG|7AART|8BPWR|9VULN
2	21533 51225	 * 	187.43	DCR|3VULN|2AART|1DMG|1ZMB	1TLV|279VULN|3aAART|4ZMB|5DMG|6RCR|8LWND
3	21533 66322	 * 	186.77	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1TLV|29VULN|3AART|4ZMB|5aDMG|6CGEN|7CDMG|8RCR
4	21533 46322	   	186.67	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1TLV|29VULN|3AART|4ZMB|5aDMG|6ERES|7CDMG|8RCR
5	21533 66321	 * 	184.83	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1TLV|29aVULN|3AART|4ZMB|5DMG|6CGEN|7CDMG|8RCR
6	21533 46321	   	184.73	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1TLV|29aVULN|3AART|4ZMB|5DMG|6ERES|7CDMG|8RCR
7	46238 11324	 * 	184.34	ACR|5VULN|1AART|1ASPD|1DUR	1ASPD|2AART|3MBVNT|4RCR|5679aVULN|8DUR
8	46233 82422	 * 	184.19	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2AART|3MBVNT|4RCR|5CDMG|689VULN|7RMIN|aDMG
9	21523 31425	   	183.37	DCR|3VULN|2AART|1DMG|1DUR	1TLV|279VULN|3aAART|4MLV|5DMG|6RCR|8DUR
10	41112 15322	   	183.12	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD|1DUR|1SELL	1ASPD|279VULN|3SELL|4DUR|5ZMB|6AART|8RCR|aDMG
11	22132 23521	   	182.95	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB|1ASPD	18TLV|28DMG|3ZMB|4RCR|5BEXP|68CDMG|7AART|8BPWR|9ASPD|aVULN
12	22132 23553	   	182.95	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB|1DUR	18TLV|28DMG|3ZMB|4RCR|5BEXP|68CDMG|7AART|8BPWR|9VULN|aDUR
13	21533 51223	   	182.92	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1TLV|279VULN|3AART|4ZMB|5DMG|6RCR|8LWND|aDUR
14	21533 51421	   	182.82	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1TLV|279VULN|3AART|4ZMB|5DMG|6RCR|8DUR|aDUST
