0	Index      	 *	Score 	Summary	Detail	
1	63213 32262	 * 	208.75	DCR|3DMG|2VULN|3ZMB|2ASPD|1CDMG	158DMG|28VULN|3MLV|459ZMB|58BPWR|68ASPD|7RCR|aCDMG
2	63215 32253	 * 	205.37	DCR|4VULN|2DMG|2ASPD|1CDMG|1ZMB	18DMG|2589VULN|3MLV|4ZMB|68ASPD|7RCR|8BPWR|aCDMG
3	35151 11412	 * 	201.72	DCR|4VULN|3DMG|3CDMG	1378VULN|2VENICY|4RPLT|578DMG|678CDMG|78BPWR|9BEXP|aRCR
4	35151 11432	   	201.72	DCR|4VULN|3DMG|3CDMG	1378VULN|2VENICY|4RPLT|578DMG|678CDMG|78BPWR|9FEWX|aRCR
5	35151 11422	   	201.62	DCR|4VULN|3DMG|3CDMG	1378VULN|2VENICY|4RPLT|578DMG|678CDMG|78BPWR|9DUST|aRCR
6	63215 32243	 * 	200.82	DCR|3VULN|2DMG|1AART|2ASPD|1ZMB	18DMG|258VULN|3MLV|4ZMB|68ASPD|7RCR|8BPWR|9CGEN|aAART
7	63215 32233	   	200.72	DCR|3VULN|2DMG|1AART|2ASPD|1ZMB	18DMG|258VULN|3MLV|4ZMB|68ASPD|7RCR|8BPWR|9ERES|aAART
8	63213 32224	 * 	197.22	DCR|3VULN|3DMG|2ZMB|2ASPD	158DMG|28aVULN|3MLV|45ZMB|58BPWR|68ASPD|7RCR|9LWND
9	63213 32244	   	197.22	DCR|3VULN|3DMG|2ZMB|2ASPD	158DMG|28aVULN|3MLV|45ZMB|58BPWR|68ASPD|7RCR|9FEWX
10	63213 32254	   	197.12	DCR|3VULN|3DMG|2ZMB|2ASPD	158DMG|28aVULN|3MLV|45ZMB|58BPWR|68ASPD|7RCR|9DUST
11	63213 32236	   	195.12	DCR|3DMG|2VULN|2ZMB|2ASPD|1CDMG	158DMG|28VULN|3MLV|45ZMB|58BPWR|68ASPD|7RCR|9LSRHEA|aCDMG
12	63213 32222	   	195.10	DCR|3DMG|2VULN|3ZMB|2ASPD	158DMG|28VULN|3MLV|45aZMB|58BPWR|68ASPD|7RCR|9LWND
13	63213 32242	   	195.10	DCR|3DMG|2VULN|3ZMB|2ASPD	158DMG|28VULN|3MLV|45aZMB|58BPWR|68ASPD|7RCR|9FEWX
14	63213 32264	   	195.10	DCR|3DMG|2VULN|3ZMB|2ASPD	158DMG|28VULN|3MLV|459ZMB|58BPWR|68ASPD|7RCR|aFEWX
15	63213 32265	   	195.10	DCR|3DMG|2VULN|3ZMB|2ASPD	158DMG|28VULN|3MLV|459ZMB|58BPWR|68ASPD|7RCR|aRCVC
16	63213 32266	   	195.10	DCR|3DMG|2VULN|3ZMB|2ASPD	158DMG|28VULN|3MLV|459ZMB|58BPWR|68ASPD|7RCR|aLIT
17	63213 32252	   	195.00	DCR|3DMG|2VULN|3ZMB|2ASPD	158DMG|28VULN|3MLV|45aZMB|58BPWR|68ASPD|7RCR|9DUST
18	63213 32261	   	195.00	DCR|3DMG|2VULN|3ZMB|2ASPD	158DMG|28VULN|3MLV|459ZMB|58BPWR|68ASPD|7RCR|aCANHEL
19	63213 32263	   	195.00	DCR|3DMG|2VULN|3ZMB|2ASPD	158DMG|28VULN|3MLV|459ZMB|58BPWR|68ASPD|7RCR|aERES
20	63213 15532	   	192.60	DCR|3DMG|2VULN|3ZMB|1CDMG	157DMG|29VULN|3MLV|459ZMB|59BPWR|69ERES|8RCR|aCDMG
21	33452 36213	   	192.36	DCR|4VULN|3DMG|1DUR	159aVULN|2DUR|39aMLV|4BEXP|6RCR|7LIT|89aDMG|9aBPWR
22	63215 32252	   	191.72	DCR|4VULN|2DMG|2ASPD|1ZMB	18DMG|2589VULN|3MLV|4ZMB|68ASPD|7RCR|8BPWR|aRCVC
23	63212 32253	   	191.27	DCR|3VULN|2DMG|2ASPD|1CDMG|1ZMB	18DMG|289VULN|3MLV|4ZMB|5RCVC|68ASPD|7RCR|8BPWR|aCDMG
24	32613 54122	   	190.93	DCR|4VULN|2DMG|2CDMG|1ZMB	1589VULN|2LHND|39DMG|4CGEN|6ZMB|79CDMG|9BPWR|aRCR
