0	Index      	 *	Score 	Summary	Detail	
1	33236 26712	 * 	204.56	DCR|3VULN|2DMG|1AART|2ZMB|1DUR	18DMG|2LHND|3AART|48ZMB|5MBVNT|6RCR|78aVULN|8BPWR|9DUR
2	62243 31272	 * 	194.34	ACR|3DMG|2VULN|1AART|1CDMG	18BEXP|2TLV|3AART|4RCR|58VULN|6MBVNT|78aDMG|8BPWR|9CDMG
3	33236 26714	   	194.20	DCR|2VULN|2DMG|1AART|2ZMB|2DUR	18DMG|2LHND|3AART|48ZMB|5MBVNT|6RCR|78VULN|8BPWR|9aDUR
4	32511 11342	 * 	193.51	DCR|4VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DMG|2DUR|3456VULN|7CDMG|8ASPD|9AART|aRCR
5	62243 31242	 * 	191.69	ACR|3VULN|2DMG|1AART|1ZMB	18BEXP|2TLV|3AART|4RCR|589VULN|6MBVNT|78DMG|8BPWR|aZMB
6	32221 34322	 * 	191.55	DCR|2VULN|2DMG|1AART|2ASPD|1CDMG|1DUR	15DMG|2DUR|3AART|49ASPD|68VULN|7CDMG|aRCR
7	33221 34332	 * 	189.45	DCR|2AART|2VULN|2DMG|1CDMG|1ASPD	15DMG|2LHND|39AART|4ASPD|68VULN|7CDMG|aRCR
8	33236 26711	   	188.91	DCR|2VULN|2DMG|1AART|2ZMB|1DUR	18DMG|2LHND|3AART|48ZMB|5MBVNT|6RCR|78VULN|8BPWR|9DUR|aFEWX
9	33236 26713	   	188.91	DCR|2VULN|2DMG|1AART|2ZMB|1DUR	18DMG|2LHND|3AART|48ZMB|5MBVNT|6RCR|78VULN|8BPWR|9DUR|aLIT
10	33236 26742	   	188.91	DCR|2VULN|2DMG|1AART|2ZMB|1DUR	18DMG|2LHND|3AART|48ZMB|5MBVNT|6RCR|78VULN|8BPWR|9MLV|aDUR
11	62243 31212	 * 	187.48	ACR|2AART|2VULN|2DMG|1ZMB	18BEXP|2TLV|39AART|4RCR|58VULN|6MBVNT|78DMG|8BPWR|aZMB
12	32511 33442	 * 	187.32	DCR|3VULN|1AART|1DMG|2ZMB|1CDMG|1DUR	1DMG|2DUR|345VULN|67ZMB|8CDMG|9AART|aRCR
13	34511 11342	   	186.47	DCR|4VULN|1AART|1DMG|1CDMG|1ASPD	1DMG|2DUST|3456VULN|7CDMG|8ASPD|9AART|aRCR
14	31526 31212	   	186.11	DCR|3VULN|2DMG|1AART|1DUR	18DMG|2LWND|38aVULN|48CGEN|5AART|6MBVNT|7RCR|8BPWR|9DUR
15	31556 31212	   	185.91	DCR|3VULN|2DMG|1AART|1DUR	18DMG|2LWND|38aVULN|48ERES|5AART|6MBVNT|7RCR|8BPWR|9DUR
16	62243 31274	   	185.62	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	18BEXP|2TLV|3AART|4RCR|58VULN|6MBVNT|78DMG|8BPWR|9CDMG|aDUR
17	32221 34518	 * 	185.31	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	15aDMG|2DUR|3AART|4ASPD|6VULN|7CDMG|8MBVNT|9RCR
18	32221 34122	   	184.94	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD|1DUR	15DMG|2DUR|3AART|4ASPD|69VULN|7CDMG|8FEWX|aRCR
19	32221 34312	   	184.94	DCR|2VULN|2DMG|1AART|1CDMG|1DUR|1ASPD	15DMG|2DUR|3AART|4ASPD|68VULN|7CDMG|9LWND|aRCR
20	32221 34332	   	184.94	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD|1DUR	15DMG|2DUR|3AART|4ASPD|68VULN|7CDMG|9DMSP|aRCR
21	32221 34422	   	184.94	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD|1DUR	15DMG|2DUR|3AART|4ASPD|69VULN|7CDMG|8BEXP|aRCR
22	32221 36522	   	184.94	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD|1DUR	15DMG|2DUR|3AART|4ASPD|69VULN|7BEXP|8CDMG|aRCR
23	33226 26172	   	184.86	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	19DMG|2LHND|3AART|4ASPD|5MBVNT|6RCR|78VULN|aZMB
24	33236 26173	   	184.86	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	19DMG|2LHND|3AART|4ZMB|5MBVNT|6RCR|78VULN|aDUR
25	32221 34352	   	184.84	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD|1DUR	15DMG|2DUR|3AART|4ASPD|68VULN|7CDMG|9DUST|aRCR
26	33221 34322	   	184.61	DCR|2VULN|2DMG|1AART|2ASPD|1CDMG	15DMG|2LHND|3AART|49ASPD|68VULN|7CDMG|aRCR
27	34221 34322	   	184.51	DCR|2VULN|2DMG|1AART|2ASPD|1CDMG	15DMG|2DUST|3AART|49ASPD|68VULN|7CDMG|aRCR
28	31526 31216	   	184.10	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	18DMG|2LWND|38VULN|48CGEN|5AART|6MBVNT|7RCR|8BPWR|9DUR|aCDMG
29	32511 32462	   	184.07	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DMG|2DUR|345VULN|6ZMB|7LWND|8AART|9CDMG|aRCR
30	32211 41354	 * 	184.06	DCR|3DMG|2AART|2CDMG|2DUR	179DMG|26DUR|3aAART|47LIT|57CDMG|7BPWR|8RCR
31	35211 11551	 * 	183.98	DCR|3VULN|3DMG|2CDMG	14aDMG|2RCVC|348LWND|4aBPWR|56aVULN|7aCDMG|9RCR
32	32211 41361	 * 	183.96	DCR|2DMG|1AART|1VULN|2CDMG|2DUR|1ASPD	17DMG|26DUR|3AART|47LIT|57CDMG|7BPWR|8RCR|9VULN|aASPD
33	32211 41352	   	183.62	DCR|3DMG|1AART|2CDMG|2DUR|1ZMB	179DMG|26DUR|3AART|47LIT|57CDMG|7BPWR|8RCR|aZMB
34	33253 54322	   	183.50	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	17DMG|28LHND|3AART|47DUR|57VULN|6RMIN|7BPWR|9CDMG|aRCR
35	33236 26112	   	182.92	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DMG|2LHND|3AART|4ZMB|5MBVNT|6RCR|78aVULN|9DUR
36	31511 21551	 * 	182.33	DCR|4VULN|2DMG|2CDMG	1aDMG|268LWND|345aVULN|7aCDMG|9RCR|aBPWR
37	52243 11212	   	182.33	ACR|2AART|2DMG|1VULN|2DUR|1ZMB	18MLV|28DUR|39AART|4RCR|5VULN|6FEWX|78DMG|8BPWR|aZMB
38	52243 51212	   	182.33	ACR|2AART|2DMG|1VULN|2DUR|1ZMB	18MLV|28DUR|39AART|4RCR|5VULN|6BEXP|78DMG|8BPWR|aZMB
39	52243 61212	   	182.23	ACR|2AART|2DMG|1VULN|2DUR|1ZMB	18MLV|28DUR|39AART|4RCR|5VULN|6DUST|78DMG|8BPWR|aZMB
40	42243 11212	   	182.13	ACR|2AART|2DMG|1VULN|2DUR|1ZMB	18DUR|28TLV|39AART|4RCR|5VULN|6FEWX|78DMG|8BPWR|aZMB
41	42243 51212	   	182.13	ACR|2AART|2DMG|1VULN|2DUR|1ZMB	18DUR|28TLV|39AART|4RCR|5VULN|6BEXP|78DMG|8BPWR|aZMB
