0	Index      	 *	Score 	Summary	Detail	
1	32313 43363	 * 	209.76	DCR|2VULN|2ASPD|1AART|1CDMG|2DUR	18DUR|28CGEN|35ASPD|4CDMG|68VULN|7RCR|8BPWR|9DLOT|aAART
2	24256 33111	 * 	208.11	DCR|3VULN|2DMG|1ASPD|1DUR	1DMSP|29DMG|3DUR|469VULN|5RCVC|7RCR|89BASARM|9BPWR|aASPD
3	32313 43342	 * 	206.14	DCR|2VULN|2ASPD|1DMG|1CDMG|2DUR	18DUR|28CGEN|35ASPD|4CDMG|68VULN|7RCR|8BPWR|9LIT|aDMG
4	32313 43263	   	204.31	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	1DUR|2CGEN|35ASPD|4CDMG|68VULN|7RCR|9DLOT|aAART
5	42182 63422	 * 	203.85	DCR|3VULN|2ASPD|1AART|1AAC	1RCVC|2AAC|3MBVNT|48ASPD|58LWND|6RCR|78aVULN|8BPWR|9AART
6	32313 43242	   	200.70	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	1DUR|2CGEN|35ASPD|4CDMG|68VULN|7RCR|9LIT|aDMG
7	22182 63422	   	199.69	DCR|3VULN|2ASPD|1AART|1AAC	1DMSP|2AAC|3MBVNT|48ASPD|58LWND|6RCR|78aVULN|8BPWR|9AART
8	32313 43336	   	199.63	DCR|2VULN|2ASPD|1CDMG|2DUR|2ZMB	18DUR|28CGEN|35ASPD|4CDMG|68VULN|7RCR|8BPWR|9aZMB
9	24223 36224	   	197.49	DCR|2VULN|2DMG|1ASPD|2DUR|1ZMB	1DMSP|27DMG|37DUR|4ERES|5ZMB|67VULN|7BPWR|8ASPD|9RPLT|aRCR
10	24256 33113	 * 	197.41	DCR|3VULN|2DMG|1MDPS|1DUR	1DMSP|29DMG|3DUR|469VULN|5RCVC|7RCR|89BASARM|9BPWR|aMDPS
11	44322 24323	 * 	197.13	DCR|2AART|2DMG|1VULN|1CDMG	1RCVC|29DMG|3DUST|4ERES|5aAART|6VULN|7CDMG|8RCR
12	44411 21131	 * 	196.73	DCR|3DMG|1VULN|1AART|1ASPD	1RCVC|258DMG|3AME|4CGEN|6VULN|7AART|9ASPD|aRCR
13	44511 21131	   	196.63	DCR|3DMG|1VULN|1AART|1ASPD	1RCVC|258DMG|3TLV|4CGEN|6VULN|7AART|9ASPD|aRCR
14	32313 43331	   	196.41	DCR|2VULN|2ASPD|1CDMG|2DUR|1ZMB	18DUR|28CGEN|35ASPD|4CDMG|68VULN|7RCR|8BPWR|9ZMB|aLHND
15	32313 43334	   	196.41	DCR|2VULN|2ASPD|1CDMG|2DUR|1ZMB	18DUR|28CGEN|35ASPD|4CDMG|68VULN|7RCR|8BPWR|9ZMB|aLIT
16	32313 43344	   	196.41	DCR|2VULN|2ASPD|1CDMG|2DUR|1ZMB	18DUR|28CGEN|35ASPD|4CDMG|68VULN|7RCR|8BPWR|9LIT|aZMB
17	42182 63424	   	196.36	DCR|2VULN|2ASPD|1AART|1AAC|1ZMB	1RCVC|2AAC|3MBVNT|48ASPD|58LWND|6RCR|78VULN|8BPWR|9AART|aZMB
18	32313 43326	   	196.31	DCR|2VULN|2ASPD|1CDMG|2DUR|1ZMB	18DUR|28CGEN|35ASPD|4CDMG|68VULN|7RCR|8BPWR|9ERES|aZMB
19	32313 43332	   	196.31	DCR|2VULN|2ASPD|1CDMG|2DUR|1ZMB|1SELL	18DUR|28CGEN|35ASPD|4CDMG|68VULN|7RCR|8BPWR|9ZMB|aSELL
20	32313 43333	   	196.31	DCR|2VULN|2ASPD|1CDMG|2DUR|1ZMB	18DUR|28CGEN|35ASPD|4CDMG|68VULN|7RCR|8BPWR|9ZMB|aTLV
21	24252 33522	   	195.73	DCR|2DMG|1VULN|1AART|1CDMG|1ZMB|1DUR	1DMSP|29DMG|3DUR|4VULN|5AART|6CDMG|7ZMB|8RCR|aAME
22	24252 33523	   	195.73	DCR|2DMG|1VULN|1AART|1CDMG|1ZMB|1DUR	1aDMSP|29DMG|3DUR|4VULN|5AART|6CDMG|7ZMB|8RCR
23	24252 33521	   	195.63	DCR|2DMG|1VULN|1AART|1CDMG|1ZMB|1DUR|1MSE	1DMSP|29DMG|3DUR|4VULN|5AART|6CDMG|7ZMB|8RCR|aMSE
24	24252 33533	   	194.22	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DMSP|2DMG|3DUR|4VULN|5aAART|6CDMG|7ZMB|8RCR|9LWND
25	32313 43236	   	194.19	DCR|2VULN|2ASPD|1CDMG|2ZMB|1DUR	1DUR|2CGEN|35ASPD|4CDMG|68VULN|7RCR|9aZMB
26	32521 34226	 * 	193.57	DCR|2VULN|2AART|1MDPS|1CDMG|1DUR	1DUR|2CGEN|3LWND|45AART|6CDMG|79VULN|8RCR|aMDPS
27	32631 34226	   	193.57	DCR|2VULN|2AART|1MDPS|1CDMG|1DUR	1DUR|2CGEN|35AART|4LWND|6CDMG|79VULN|8RCR|aMDPS
28	32221 34226	   	193.47	DCR|2VULN|2AART|1MDPS|1CDMG|1DUR	1DUR|2CGEN|3LEGI|45AART|6CDMG|79VULN|8RCR|aMDPS
29	33221 34226	   	193.47	DCR|2VULN|2AART|1MDPS|1CDMG|1DUR	1DUR|2LHND|3ERES|45AART|6CDMG|79VULN|8RCR|aMDPS
30	33521 34226	   	193.47	DCR|2VULN|2AART|1MDPS|1CDMG|1DUR	1DUR|2LHND|3TLV|45AART|6CDMG|79VULN|8RCR|aMDPS
31	34221 34226	   	193.47	DCR|2VULN|2AART|1MDPS|1CDMG|1DUR	1DUR|2LWND|3ERES|45AART|6CDMG|79VULN|8RCR|aMDPS
32	24322 24323	   	192.97	DCR|2AART|2DMG|1VULN|1CDMG	1DMSP|29DMG|3DUST|4ERES|5aAART|6VULN|7CDMG|8RCR
33	24141 61131	   	192.56	DCR|3DMG|1VULN|1AART|1ASPD	14DMSP|258DMG|3LHND|6VULN|7AART|9ASPD|aRCR
34	24411 21131	   	192.56	DCR|3DMG|1VULN|1AART|1ASPD	1DMSP|258DMG|3AME|4CGEN|6VULN|7AART|9ASPD|aRCR
35	24511 21131	   	192.46	DCR|3DMG|1VULN|1AART|1ASPD	1DMSP|258DMG|3TLV|4CGEN|6VULN|7AART|9ASPD|aRCR
36	22182 63424	   	192.19	DCR|2VULN|2ASPD|1AART|1AAC|1ZMB	1DMSP|2AAC|3MBVNT|48ASPD|58LWND|6RCR|78VULN|8BPWR|9AART|aZMB
37	22182 63428	 * 	191.22	DCR|2VULN|1MDPS|2ASPD|1AART|1AAC	1DMSP|2AAC|3MBVNT|48ASPD|58LWND|6RCR|78VULN|8BPWR|9AART|aMDPS
38	32313 43341	 * 	191.13	DCR|2VULN|2ASPD|3DUR|1CDMG	18aDUR|28CGEN|35ASPD|4CDMG|68VULN|7RCR|8BPWR|9LIT
39	32653 32143	 * 	191.05	DCR|3AART|1VULN|1ASPD|1CDMG|1DUR	1DUR|2CGEN|358AART|4ASPD|6LEGI|7RCR|9CDMG|aVULN
40	32313 43231	   	190.97	DCR|2VULN|2ASPD|1CDMG|1ZMB|1DUR	1DUR|2CGEN|35ASPD|4CDMG|68VULN|7RCR|9ZMB|aLHND
41	32313 43234	   	190.97	DCR|2VULN|2ASPD|1CDMG|1ZMB|1DUR	1DUR|2CGEN|35ASPD|4CDMG|68VULN|7RCR|9ZMB|aLIT
42	32313 43244	   	190.97	DCR|2VULN|2ASPD|1CDMG|1ZMB|1DUR	1DUR|2CGEN|35ASPD|4CDMG|68VULN|7RCR|9LIT|aZMB
43	32313 43226	   	190.87	DCR|2VULN|2ASPD|1CDMG|1ZMB|1DUR	1DUR|2CGEN|35ASPD|4CDMG|68VULN|7RCR|9ERES|aZMB
44	32313 43232	   	190.87	DCR|2VULN|2ASPD|1CDMG|1ZMB|1DUR|1SELL	1DUR|2CGEN|35ASPD|4CDMG|68VULN|7RCR|9ZMB|aSELL
45	32313 43233	   	190.87	DCR|2VULN|2ASPD|1CDMG|1ZMB|1DUR	1DUR|2CGEN|35ASPD|4CDMG|68VULN|7RCR|9ZMB|aTLV
46	24256 33211	   	190.52	DCR|3VULN|1ASPD|1DMG|1DUR	1DMSP|2DMG|3DUR|46aVULN|5RCVC|7RCR|8ASPD|9RMIN
47	24252 62323	 * 	190.02	DCR|2VULN|2AART|1DMG|1DUR	1DMSP|2DMG|3DUR|4aVULN|56AART|7RCR|8RPLT|9FEWX
48	32653 32214	 * 	189.60	DCR|2AART|1VULN|1ASPD|1NUKE|1DUR	1DUR|2CGEN|35AART|4ASPD|6LEGI|7RCR|8RPLT|9VULN|aNUKE
49	32313 43311	   	189.32	DCR|2VULN|2ASPD|1CDMG|2DUR|1AAC	18DUR|28CGEN|35ASPD|4CDMG|68VULN|7RCR|8BPWR|9AAC|aLHND
50	32313 43312	   	189.32	DCR|2VULN|2ASPD|1CDMG|2DUR|1AAC|1SELL	18DUR|28CGEN|35ASPD|4CDMG|68VULN|7RCR|8BPWR|9AAC|aSELL
51	32313 43313	   	189.32	DCR|2VULN|2ASPD|1CDMG|2DUR|1AAC	18DUR|28CGEN|35ASPD|4CDMG|68VULN|7RCR|8BPWR|9AAC|aTLV
52	32313 43314	   	189.32	DCR|2VULN|2ASPD|1CDMG|2DUR|1AAC	18DUR|28CGEN|35ASPD|4CDMG|68VULN|7RCR|8BPWR|9AAC|aLIT
53	32313 43316	   	189.32	DCR|2VULN|2ASPD|1CDMG|2DUR|1AAC|1ZMB	18DUR|28CGEN|35ASPD|4CDMG|68VULN|7RCR|8BPWR|9AAC|aZMB
54	32313 43354	   	189.32	DCR|2VULN|2ASPD|1CDMG|1AAC|2DUR	18DUR|28CGEN|35ASPD|4CDMG|68VULN|7RCR|8BPWR|9DUST|aAAC
55	32313 43463	   	189.18	DCR|2ASPD|1AART|1VULN|1CDMG|2DUR	18DUR|2CGEN|35ASPD|4CDMG|6VULN|7RCR|9DLOT|aAART
56	32521 34233	   	189.15	DCR|3AART|1VULN|1ASPD|1CDMG|1DUR	1DUR|2CGEN|3LWND|45aAART|6CDMG|7VULN|8RCR|9ASPD
57	32631 34233	   	189.15	DCR|3AART|1VULN|1ASPD|1CDMG|1DUR	1DUR|2CGEN|35aAART|4LWND|6CDMG|7VULN|8RCR|9ASPD
58	32526 34233	   	189.13	DCR|2AART|1VULN|1ASPD|1CDMG|2DUR	15DUR|2CGEN|3LWND|4aAART|6CDMG|7VULN|8RCR|9ASPD
59	32636 34233	   	189.13	DCR|2AART|1VULN|1ASPD|1CDMG|2DUR	15DUR|2CGEN|3aAART|4LWND|6CDMG|7VULN|8RCR|9ASPD
60	32521 34232	   	189.13	DCR|2AART|1VULN|1ASPD|1CDMG|2DUR	1aDUR|2CGEN|3LWND|45AART|6CDMG|7VULN|8RCR|9ASPD
61	32631 34232	   	189.13	DCR|2AART|1VULN|1ASPD|1CDMG|2DUR	1aDUR|2CGEN|35AART|4LWND|6CDMG|7VULN|8RCR|9ASPD
62	32653 22233	 * 	189.12	DCR|3AART|2ASPD|1VULN|1DUR	1DUR|2CGEN|359AART|48ASPD|6BEXP|7RCR|aVULN
63	32332 56531	 * 	189.12	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|2DUR	14DUR|2CGEN|3ASPD|5AART|6RPLT|7CDMG|8VULN|9DMG|aRCR
64	32332 22233	   	189.10	DCR|2AART|2ASPD|1VULN|2DUR	14DUR|2CGEN|38ASPD|59AART|6BEXP|7RCR|aVULN
65	32656 22233	   	189.10	DCR|2AART|2ASPD|1VULN|2DUR	15DUR|2CGEN|39AART|48ASPD|6BEXP|7RCR|aVULN
66	42182 63421	 * 	189.06	DCR|2VULN|2ASPD|2AAC|1AART	1RCVC|2aAAC|3MBVNT|48ASPD|58LWND|6RCR|78VULN|8BPWR|9AART
67	32221 34233	   	189.05	DCR|3AART|1VULN|1ASPD|1CDMG|1DUR	1DUR|2CGEN|3LEGI|45aAART|6CDMG|7VULN|8RCR|9ASPD
68	33221 34233	   	189.05	DCR|3AART|1VULN|1ASPD|1CDMG|1DUR	1DUR|2LHND|3ERES|45aAART|6CDMG|7VULN|8RCR|9ASPD
