0	Index      	 *	Score 	Summary	Detail	
1	63232 43324	 * 	214.41	DCR|4VULN|1ASPD|1DMG|3DUR	128aVULN|38LHND|4DMG|5ASPD|689DUR|7RCR|8BPWR
2	63232 43532	 * 	212.61	DCR|3VULN|2ASPD|1DMG|1ZMB|1DUR	12aVULN|3LHND|4DMG|59ASPD|6DUR|7RCR|8ZMB
3	63232 43362	 * 	211.09	DCR|3VULN|2DMG|1ASPD|2DUR	128VULN|38LHND|4aDMG|5ASPD|68DUR|7RCR|8BPWR|9BELT
4	63432 23335	 * 	209.82	DCR|4VULN|2ASPD|1DMG	128aVULN|3BEXP|4DMG|59ASPD|6FEWX|7RCR
5	63232 43333	 * 	209.76	DCR|3VULN|1ASPD|1DMG|1CDMG|2DUR	128VULN|38LHND|4DMG|5ASPD|68DUR|7RCR|8BPWR|9BEXP|aCDMG
6	63432 33335	   	209.72	DCR|4VULN|2ASPD|1DMG	128aVULN|3BEXP|4DMG|59ASPD|6DUST|7RCR
7	63632 23335	   	209.72	DCR|4VULN|2ASPD|1DMG	128aVULN|3DUST|4DMG|59ASPD|6FEWX|7RCR
8	66231 21335	 * 	209.23	DCR|3DMG|2VULN|1AART|1CDMG	19VULN|2BELT|35LHND|457DMG|5BPWR|6CDMG|8AART|aRCR
9	66331 21335	   	209.23	DCR|3DMG|2VULN|1AART|1CDMG	19VULN|2BELT|357DMG|45LWND|5BPWR|6CDMG|8AART|aRCR
10	62112 43324	 * 	208.56	DCR|4VULN|2ASPD|1NUKE|3DUR	148aVULN|24LHND|3NUKE|48BPWR|58ASPD|689DUR|7RCR
11	62132 43324	   	208.46	DCR|4VULN|2ASPD|1NUKE|3DUR	148aVULN|2LHND|3NUKE|58ASPD|689DUR|7RCR|8BPWR
12	63613 23433	 * 	207.97	DCR|3VULN|1SPLARM|2AART|1ASPD	128VULN|3DUST|49AART|5BELT|6SPLARM|7ASPD|aRCR
13	62112 43362	 * 	207.73	DCR|3VULN|2ASPD|1DMG|1NUKE|2DUR	148VULN|24LHND|3NUKE|48BPWR|58ASPD|68DUR|7RCR|9BELT|aDMG
14	62132 43362	   	207.63	DCR|3VULN|2ASPD|1DMG|1NUKE|2DUR	148VULN|2LHND|3NUKE|58ASPD|68DUR|7RCR|8BPWR|9BELT|aDMG
15	61112 63336	 * 	207.10	DCR|3VULN|3ASPD|1DMG|1NUKE	148VULN|24BEXP|3NUKE|48BPWR|589ASPD|68LHND|7RCR|aDMG
16	61132 63336	   	207.00	DCR|3VULN|3ASPD|1DMG|1NUKE	148VULN|2BEXP|3NUKE|589ASPD|68LHND|7RCR|8BPWR|aDMG
17	63232 43341	 * 	206.21	DCR|3VULN|1MDPS|1ASPD|1DMG|2DUR|1AAC	128VULN|38LHND|4DMG|5ASPD|68DUR|7RCR|8BPWR|9MDPS|aAAC
18	63432 63323	   	204.51	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	128VULN|38BEXP|4DMG|5ASPD|68LHND|7RCR|8BPWR|9DUR|aCDMG
19	63232 43223	   	204.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	129VULN|3LHND|4DMG|5ASPD|6DUR|7RCR|8FEWX|aCDMG
20	63432 43123	   	204.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	129VULN|3BEXP|4DMG|5ASPD|6DUR|7RCR|8LHND|aCDMG
21	63432 43333	   	204.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	128VULN|3BEXP|4DMG|5ASPD|6DUR|7RCR|9FEWX|aCDMG
22	63432 23323	   	204.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	128VULN|3BEXP|4DMG|5ASPD|6FEWX|7RCR|9DUR|aCDMG
23	63432 23423	   	204.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	129VULN|3BEXP|4DMG|5ASPD|6FEWX|7RCR|8DUR|aCDMG
24	63632 63323	   	204.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	128VULN|38DUST|4DMG|5ASPD|68LHND|7RCR|8BPWR|9DUR|aCDMG
25	63232 43125	   	204.21	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	129VULN|3LHND|4DMG|5ASPD|6DUR|7RCR|8LEGI|aCDMG
26	63632 43123	   	204.21	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	129VULN|3DUST|4DMG|5ASPD|6DUR|7RCR|8LHND|aCDMG
27	63632 43333	   	204.21	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	128VULN|3DUST|4DMG|5ASPD|6DUR|7RCR|9FEWX|aCDMG
28	63432 33323	   	204.21	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	128VULN|3BEXP|4DMG|5ASPD|6DUST|7RCR|9DUR|aCDMG
29	63432 33423	   	204.21	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	129VULN|3BEXP|4DMG|5ASPD|6DUST|7RCR|8DUR|aCDMG
30	63632 23323	   	204.21	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	128VULN|3DUST|4DMG|5ASPD|6FEWX|7RCR|9DUR|aCDMG
31	63632 23423	   	204.21	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	129VULN|3DUST|4DMG|5ASPD|6FEWX|7RCR|8DUR|aCDMG
32	63232 43253	 * 	204.07	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	12VULN|3LHND|49DMG|5ASPD|6DUR|7RCR|8FEWX|aCDMG
33	62112 43333	 * 	203.91	DCR|3VULN|2ASPD|1NUKE|1CDMG|2DUR	148VULN|24LHND|3NUKE|48BPWR|58ASPD|68DUR|7RCR|9BEXP|aCDMG
34	62132 43333	   	203.81	DCR|3VULN|2ASPD|1NUKE|1CDMG|2DUR	148VULN|2LHND|3NUKE|58ASPD|68DUR|7RCR|8BPWR|9BEXP|aCDMG
35	63432 23123	 * 	203.53	DCR|3VULN|1AART|1ASPD|1DMG	129VULN|3BEXP|4DMG|5ASPD|6FEWX|7RCR|8LHND|aAART
36	63432 63223	   	203.53	DCR|3VULN|1AART|1ASPD|1DMG	129VULN|3BEXP|4DMG|5ASPD|6LHND|7RCR|8FEWX|aAART
37	63432 23523	   	203.43	DCR|3VULN|1AART|1ASPD|1DMG	129VULN|3BEXP|4DMG|5ASPD|6FEWX|7RCR|8LEGI|aAART
38	63432 33123	   	203.43	DCR|3VULN|1AART|1ASPD|1DMG	129VULN|3BEXP|4DMG|5ASPD|6DUST|7RCR|8LHND|aAART
39	63632 23123	   	203.43	DCR|3VULN|1AART|1ASPD|1DMG	129VULN|3DUST|4DMG|5ASPD|6FEWX|7RCR|8LHND|aAART
40	63632 63223	   	203.43	DCR|3VULN|1AART|1ASPD|1DMG	129VULN|3DUST|4DMG|5ASPD|6LHND|7RCR|8FEWX|aAART
41	63432 33523	   	203.33	DCR|3VULN|1AART|1ASPD|1DMG	129VULN|3BEXP|4DMG|5ASPD|6DUST|7RCR|8LEGI|aAART
42	63632 23523	   	203.33	DCR|3VULN|1AART|1ASPD|1DMG	129VULN|3DUST|4DMG|5ASPD|6FEWX|7RCR|8LEGI|aAART
43	63432 23153	 * 	203.29	DCR|2VULN|2DMG|1AART|1ASPD	12VULN|3BEXP|49DMG|5ASPD|6FEWX|7RCR|8LHND|aAART
44	61112 63332	 * 	203.29	DCR|3VULN|3ASPD|1NUKE|1CDMG	148VULN|24BEXP|3NUKE|48BPWR|589ASPD|68LHND|7RCR|aCDMG
