0	Index      	 *	Score 	Summary	Detail	
1	13636 31151	 * 	210.42	紫1基础对甲1伤害1基础对冰1基地爆炸1全技能1暴击	1策反2基础对冰3暴击4低血量敌人5核6伤害7敌人爆炸8基础对甲9基地爆炸a全技能
2	36226 42331	 * 	209.30	紫1基础对甲2伤害1全技能1暴击1技能1易伤1卖塔	1技能24伤害3卖塔5核6最后敌人7易伤8暴击9全技能a基础对甲
3	36226 52331	 * 	209.30	紫1基础对甲2伤害1暴击1全技能1技能1易伤1卖塔	1技能24伤害3卖塔5核6低血量敌人7易伤8暴击9全技能a基础对甲
4	13636 31125	 * 	209.01	紫1基础对甲2伤害1基础对冰1暴击1技能	1策反2基础对冰3暴击4低血量敌人5核6a伤害7敌人爆炸8基础对甲9技能
5	13636 31121	   	205.08	紫1基础对甲1伤害1基础对冰1全技能1暴击1技能	1策反2基础对冰3暴击4低血量敌人5核6伤害7敌人爆炸8基础对甲9技能a全技能
6	13636 31131	   	203.71	紫1基础对甲1伤害1基础对冰1全技能1暴击1易伤	1策反2基础对冰3暴击4低血量敌人5核6伤害7敌人爆炸8基础对甲9易伤a全技能
7	13636 31115	   	200.61	紫1基础对甲2伤害1基础对冰1暴击	1策反2基础对冰3暴击4低血量敌人5核6a伤害7敌人爆炸8基础对甲9掉矿
8	13636 31152	   	196.77	紫1基础对甲1基础对冰1伤害1基地爆炸1暴击	1策反2基础对冰3暴击4低血量敌人5核6伤害7敌人爆炸8基础对甲9基地爆炸a平台
9	13636 31161	   	196.77	紫1基础对甲1伤害1基础对冰1全技能1暴击	1策反2基础对冰3暴击4低血量敌人5核6伤害7敌人爆炸8基础对甲9最后敌人a全技能
10	13636 31111	   	196.67	紫1基础对甲1伤害1基础对冰1全技能1暴击	1策反2基础对冰3暴击4低血量敌人5核6伤害7敌人爆炸8基础对甲9掉矿a全技能
11	36236 42331	   	191.61	紫1基础对甲1伤害1全技能1暴击1技能1易伤1卖塔	1技能2伤害3卖塔4火球减费5核6最后敌人7易伤8暴击9全技能a基础对甲
12	36236 52331	   	191.61	紫1基础对甲1伤害1全技能1暴击1技能1易伤1卖塔	1技能2伤害3卖塔4火球减费5核6低血量敌人7易伤8暴击9全技能a基础对甲
13	13636 31123	   	191.43	紫1基础对甲1伤害1基础对冰1暴击1技能	1策反2基础对冰3暴击4低血量敌人5核6伤害7敌人爆炸8基础对甲9技能a时间
14	13636 31124	   	191.43	紫1基础对甲1伤害1基础对冰1暴击1技能	1策反2基础对冰3暴击4低血量敌人5核6伤害7敌人爆炸8基础对甲9技能a最后敌人
15	13636 31122	   	191.33	紫1基础对甲1伤害1基础对冰1暴击1技能	1策反2基础对冰3暴击4低血量敌人5核6伤害7敌人爆炸8基础对甲9技能a磁铁减费
16	13636 36121	   	191.33	紫1基础对甲1伤害1基础对冰1暴击1技能	1策反2基础对冰3暴击49低血量敌人5核6伤害7喷火对黄8技能a基础对甲
17	36226 21261	 * 	190.82	紫3伤害2基地爆炸2易伤1技能1卖塔	1技能24a伤害3卖塔5核6等级7a易伤8立即金币9a基地爆炸a序列升级
18	13636 31132	   	190.06	紫1基础对甲1伤害1基础对冰1暴击1易伤	1策反2基础对冰3暴击4低血量敌人5核6伤害7敌人爆炸8基础对甲9易伤a平台
19	13636 31134	   	190.06	紫1基础对甲1伤害1基础对冰1暴击1易伤	1策反2基础对冰3暴击4低血量敌人5核6伤害7a敌人爆炸8基础对甲9易伤
20	13636 31135	   	190.06	紫1基础对甲1伤害1基础对冰1暴击1易伤	1策反2基础对冰3暴击4低血量敌人5核6伤害7敌人爆炸8基础对甲9易伤a时间
21	13636 31136	   	190.06	紫1基础对甲1伤害1基础对冰1暴击1易伤	1策反2基础对冰3暴击4低血量敌人5核6伤害7敌人爆炸8基础对甲9易伤a金币生成
22	13636 31142	   	189.96	紫1基础对甲1伤害1基础对冰1暴击1易伤	1策反2基础对冰3暴击4低血量敌人5核6伤害7敌人爆炸8基础对甲9双倍秒伤a易伤
23	13552 31523	 * 	189.53	紫1基础对甲1攻速1伤害1基础对冰	1策反2基础对冰3敌人爆炸4低血量敌人5核6攻速7金币生成8平台9伤害a基础对甲
24	13562 31523	   	189.53	紫1基础对甲1攻速1伤害1基础对冰	1策反2基础对冰3敌人爆炸4最后敌人5核6攻速7金币生成8平台9伤害a基础对甲
25	13552 32523	   	189.43	紫1基础对甲1攻速1伤害1基础对冰	1策反2基础对冰3敌人爆炸4低血量敌人5核6攻速7掉矿8平台9伤害a基础对甲
26	13552 33523	   	189.43	紫1基础对甲1攻速1伤害1基础对冰	1策反2基础对冰3敌人爆炸4低血量敌人5核6攻速7技能点8平台9伤害a基础对甲
27	13562 32523	   	189.43	紫1基础对甲1攻速1伤害1基础对冰	1策反2基础对冰3敌人爆炸4最后敌人5核6攻速7掉矿8平台9伤害a基础对甲
28	13562 33523	   	189.43	紫1基础对甲1攻速1伤害1基础对冰	1策反2基础对冰3敌人爆炸4最后敌人5核6攻速7技能点8平台9伤害a基础对甲
29	13636 36331	 * 	189.33	紫1基础对甲1伤害1基础对冰2暴击	1策反2基础对冰39暴击4低血量敌人5核6伤害7喷火对黄8随机矿a基础对甲
