0	Index      	 *	Score 	Summary	Detail	
1	62331 42352	 * 	309.61	DCR|DCR|2TLV|3ASPD|2DMG	13aASPD|23DMG|3aBPWR|4aAEWIND|5aTLV|69RCR|7RMIN|8TBNT
2	42353 23253	 * 	296.49	DCR|DCR|2DMG|1VULN|1MLV|1ASPD	1MLV|2ASPD|3LWND|4VULN|5aDMG|6CGEN|79RCR|8DUST
3	62231 42352	   	296.29	DCR|DCR|2TLV|2DMG|2ASPD	1aASPD|2aDMG|3AEBURN|4AEWIND|5aTLV|69RCR|7RMIN|8TBNT|aBPWR
4	62331 41351	   	290.42	DCR|DCR|2DMG|1TLV|2ASPD	13ASPD|23DMG|3BPWR|4AEWIND|5TLV|69RCR|7CGEN|8TBNT|aAART
5	62331 42351	   	290.42	DCR|DCR|2DMG|1TLV|2ASPD	13ASPD|23DMG|3BPWR|4AEWIND|5TLV|69RCR|7RMIN|8TBNT|aAART
6	62331 43351	   	290.32	DCR|DCR|2DMG|1TLV|2ASPD	13ASPD|23DMG|3BPWR|4AEWIND|5TLV|69RCR|7ERES|8TBNT|aAART
7	42353 23252	   	287.21	DCR|DCR|1VULN|1MLV|1DMG|1ASPD	1MLV|2ASPD|3LWND|4VULN|5DMG|6CGEN|79RCR|8DUST|aDUR
8	21343 34423	 * 	284.97	DCR|2VULN|2MLV|2DMG|1TLV	1RMIN|28VULN|3NUKE|4DUR|58DMG|68MLV|7AETHUN|8BPWR|9RCR|aTLV
9	42531 32224	 * 	284.64	DCR|DCR|2TLV|2ASPD|1MLV	1MLV|23ASPD|4AEWIND|56TLV|7aRCR|8RCVC|9AEFBLL
10	26331 11632	   	283.91	DCR|DCR|2TLV|1MLV|1ASPD|1CDMG	1RMIN|2CGEN|3MLV|4CDMG|5LWND|6ASPD|79TLV|8aRCR
11	41334 11632	   	283.91	DCR|DCR|2TLV|1MLV|1ASPD|1CDMG	1MLV|2RMIN|3LWND|4CGEN|5CDMG|6ASPD|79TLV|8aRCR
12	41431 11632	   	283.91	DCR|DCR|2TLV|1MLV|1ASPD|1CDMG	1MLV|2RMIN|3CGEN|4CDMG|5LWND|6ASPD|79TLV|8aRCR
13	41324 11632	   	283.81	DCR|DCR|2TLV|1MLV|1ASPD|1CDMG	1MLV|2RMIN|3LWND|4ERES|5CDMG|6ASPD|79TLV|8aRCR
14	62331 41352	   	282.11	DCR|DCR|2DMG|1TLV|2ASPD	13ASPD|23DMG|3BPWR|4AEWIND|5TLV|69RCR|7CGEN|8TBNT|aLWND
15	62331 41353	   	282.01	DCR|DCR|2DMG|1TLV|2ASPD	13ASPD|23DMG|3BPWR|4AEWIND|5TLV|69RCR|7CGEN|8TBNT|aERES
16	62331 42353	   	282.01	DCR|DCR|2DMG|1TLV|2ASPD	13ASPD|23DMG|3BPWR|4AEWIND|5TLV|69RCR|7RMIN|8TBNT|aERES
17	62331 43352	   	282.01	DCR|DCR|2DMG|1TLV|2ASPD	13ASPD|23DMG|3BPWR|4AEWIND|5TLV|69RCR|7ERES|8TBNT|aLWND
18	62331 43353	   	281.91	DCR|DCR|2DMG|1TLV|2ASPD	13ASPD|23DMG|3BPWR|4AEWIND|5TLV|69RCR|7aERES|8TBNT
19	21311 56352	 * 	280.13	DCR|DCR|1VULN|1TLV|1AAC|2DUR	1RMIN|2VULN|3NUKE|4TLV|5aDUR|6AETHUN|79RCR|8AAC
