0	Index      	 *	Score 	Summary	Detail	
1	13213 53531	 * 	284.84	DCR|DCR|2TLV|2ASPD|1MLV	15FEWX|2LIT|37TLV|45ASPD|5BPWR|6MLV|8AEPOI|9aRCR
2	24533 53332	 * 	278.35	DCR|DCR|1TLV|1DMG|1ASPD|2DUR|1CDMG	1RCVC|2CDMG|3ASPD|4DMG|5TLV|69RCR|7aDUR|8AEPOI
3	24223 53323	   	277.31	DCR|DCR|1TLV|1MLV|1AAC|1CDMG	1RCVC|2CDMG|3TLV|4RAT|5MLV|6CGEN|7aRCR|8AAC|9RMIN
4	24223 13323	   	277.21	DCR|DCR|1TLV|1MLV|1AAC|1CDMG	1RCVC|2CDMG|3TLV|4RAT|5MLV|6ERES|7aRCR|8AAC|9RMIN
5	42312 46232	 * 	276.69	DCR|DCR|1TLV|1MLV|1DMG|1AAC	1DUST|2DMG|3LWND|4MLV|5DMSP|6aRCR|7AAC|8AME|9TLV
6	42332 46232	   	276.69	DCR|DCR|1TLV|1MLV|1DMG|1AAC	1DUST|2DMG|34LWND|5MLV|6aRCR|7AAC|8AME|9TLV
7	24223 53223	   	276.67	DCR|DCR|1TLV|1MLV|1ASPD|1CDMG	1RCVC|2CDMG|3TLV|4RAT|5MLV|6CGEN|7aRCR|8ASPD|9RMIN
8	24223 13223	   	276.57	DCR|DCR|1TLV|1MLV|1ASPD|1CDMG	1RCVC|2CDMG|3TLV|4RAT|5MLV|6ERES|7aRCR|8ASPD|9RMIN
9	24533 32532	   	271.80	DCR|DCR|1TLV|1DMG|1ASPD|1CDMG	1RCVC|2CDMG|3ASPD|4DMG|5TLV|6AEPOI|7FEWX|89RCR|aDUR
10	24244 13132	   	271.70	DCR|DCR|1TLV|1DMG|1ASPD|1CDMG	1RCVC|2CDMG|3TLV|4AEWIND|5ASPD|69RCR|7DMG|8BEXP|aDUR
11	24533 53331	   	271.70	DCR|DCR|1TLV|1DMG|1ASPD|1CDMG	1RCVC|2CDMG|3ASPD|4DMG|5TLV|69RCR|7DUR|8AEPOI|aMDPS
12	24533 53333	   	271.70	DCR|DCR|1TLV|1DMG|1ASPD|1CDMG	1RCVC|2CDMG|3ASPD|4DMG|5TLV|69RCR|7DUR|8AEPOI|aBASARM
13	24233 52532	 * 	269.82	DCR|DCR|2TLV|1DMG|1CDMG	1RCVC|2CDMG|35TLV|4DMG|6ZMB|7FEWX|89RCR|aDUR
14	35142 13413	 * 	268.10	DCR|3VULN|3DMG|1MLV	1LEGI|28aVENICY|3DUR|48aDMG|5LIT|6MLV|78aVULN|8aBPWR|9RCR
15	35262 13413	   	268.10	DCR|3VULN|3DMG|1MLV	1LEGI|28aVENICY|3LIT|48aDMG|5DUR|6MLV|78aVULN|8aBPWR|9RCR
16	22162 55243	 * 	266.02	DCR|2VULN|2DMG|1TLV|1MLV|2RAT	1RCVC|28RAT|3TLV|48DMG|5AETHUN|68VULN|7MBVNT|8BPWR|9RCR|aMLV
17	24533 32533	   	263.49	DCR|DCR|1TLV|1DMG|1ASPD|1CDMG	1RCVC|2CDMG|3ASPD|4DMG|5TLV|6AEPOI|7FEWX|89RCR|aCGEN
18	24244 13133	   	263.39	DCR|DCR|1TLV|1DMG|1ASPD|1CDMG	1RCVC|2CDMG|3TLV|4AEWIND|5ASPD|69RCR|7DMG|8BEXP|aCGEN
19	24533 32531	   	263.39	DCR|DCR|1TLV|1DMG|1ASPD|1CDMG	1RCVC|2CDMG|3ASPD|4DMG|5TLV|6AEPOI|7FEWX|89RCR|aMDPS
20	24244 13131	   	263.29	DCR|DCR|1TLV|1DMG|1ASPD|1CDMG	1RCVC|2CDMG|3TLV|4AEWIND|5ASPD|69RCR|7DMG|8BEXP|aMDPS
21	24233 52533	   	261.52	DCR|DCR|2TLV|1DMG|1CDMG	1RCVC|2CDMG|35TLV|4DMG|6ZMB|7FEWX|89RCR|aCGEN
22	24233 52531	   	261.42	DCR|DCR|2TLV|1DMG|1CDMG	1RCVC|2CDMG|35TLV|4DMG|6ZMB|7FEWX|89RCR|aMDPS
23	24533 51323	 * 	261.06	DCR|2VULN|2TLV|1DMG|1ASPD|1CDMG	1RCVC|2CDMG|3ASPD|4DMG|58TLV|6RCR|7aVULN|9AART
24	66312 42232	 * 	259.85	DCR|4VULN|1MLV|1AAC	1LHND|2679VULN|3AAC|4MLV|5AART|8RCR|aDUR
25	22142 55243	 * 	259.21	DCR|2VULN|1TLV|2ASPD|1MLV|2RAT	1RCVC|28RAT|3TLV|48ASPD|5AETHUN|68VULN|7MBVNT|8BPWR|9RCR|aMLV
26	63215 33331	   	258.64	DCR|DCR|2TLV|2ASPD	1LHND|2LIT|37TLV|45ASPD|6DMSP|8CGEN|9aRCR
27	63212 33531	   	258.54	DCR|DCR|2TLV|2ASPD	1LHND|2LIT|37TLV|46ASPD|5CGEN|8AEBURN|9aRCR
28	63215 33631	   	258.54	DCR|DCR|2TLV|2ASPD	1LHND|2LIT|37TLV|45ASPD|6DMSP|8ERES|9aRCR
29	32612 33531	   	258.44	DCR|DCR|2TLV|2ASPD	1LEGI|27TLV|3LIT|46ASPD|5CGEN|8AEBURN|9aRCR
30	33312 44351	 * 	255.68	DCR|3VULN|2MLV|1AAC	1LEGI|29LWND|3AAC|49MLV|5AART|69aVULN|7BELT|8RCR|9BPWR
