0	Index      	 *	Score 	Summary	Detail	
1	61151 43232	 * 	295.54	DCR|DCR|2VULN|1DMG|1MLV|1AART|1ZMB	1AART|2TBNT|39VULN|4DMG|5ZMB|6MDPS|7aRCR|8MLV
2	61131 25412	 * 	289.03	DCR|DCR|3VULN|2AART|2ZMB	18AART|2TBNT|369VULN|4NUKE|59ZMB|7aRCR|9BPWR
3	23132 26265	 * 	276.90	DCR|DCR|2VULN|1DMG	1LHND|29VULN|3CGEN|4DUR|5MBVNT|6DMG|7AAC|8aRCR
4	21142 24265	   	276.65	DCR|DCR|2VULN|1DMG|1ZMB	1LHND|2DUR|3CGEN|49VULN|5MBVNT|6DMG|7ZMB|8aRCR
5	23132 24265	   	276.65	DCR|DCR|2VULN|1DMG|1ZMB	1LHND|29VULN|3CGEN|4DUR|5MBVNT|6DMG|7ZMB|8aRCR
6	63613 43332	   	275.48	DCR|DCR|2VULN|1MLV|1AART|1ZMB	1AART|29VULN|3ZMB|4TBNT|5MDPS|6MLV|7AAC|8aRCR
7	61131 43232	   	275.38	DCR|DCR|2VULN|1MLV|1AART|1ZMB	1AART|2TBNT|39VULN|4NUKE|5ZMB|6MDPS|7aRCR|8MLV
8	61116 23632	   	271.84	DCR|DCR|2VULN|1ASPD|1AART	1AART|2TBNT|34VULN|4BPWR|5RCVC|6DUST|7aRCR|8ASPD|9AAC
9	22641 11352	   	271.74	DCR|DCR|2VULN|1ASPD|1AART	1LHND|2DUST|3AAC|47VULN|5MDPS|6aRCR|8ASPD|9AART
10	23331 11352	   	271.74	DCR|DCR|2VULN|1ASPD|1AART	1LHND|27VULN|3DUST|4AAC|5MDPS|6aRCR|8ASPD|9AART
11	22541 11352	   	271.49	DCR|DCR|2VULN|1ASPD|1AART|1ZMB	1LHND|2DUST|3ZMB|47VULN|5MDPS|6aRCR|8ASPD|9AART
12	63331 35252	   	269.46	DCR|DCR|1VULN|1MLV|1ASPD|1AART|1ZMB	1AART|2VULN|3LHND|4ASPD|5DUR|6CGEN|7MLV|8aRCR|9ZMB
13	63331 25252	   	269.36	DCR|DCR|1VULN|1MLV|1ASPD|1AART|1ZMB	1AART|2VULN|3LHND|4ASPD|5DUR|6ERES|7MLV|8aRCR|9ZMB
14	23312 26265	   	268.49	DCR|DCR|2VULN|1DMG	1LHND|29VULN|3DUST|4CGEN|5MBVNT|6DMG|7AAC|8aRCR
15	23632 24365	   	268.49	DCR|DCR|2VULN|1DMG	1LHND|29VULN|3AAC|4BEXP|5MBVNT|6DMG|7aRCR|8AME
16	31634 23325	   	268.49	DCR|DCR|2VULN|1DMG	1LSRICY|2AME|3CGEN|4TBNT|5BLASTR|68RCR|7aVULN|9DMG
17	23532 24365	   	268.25	DCR|DCR|2VULN|1DMG|1ZMB	1LHND|29VULN|3ZMB|4BEXP|5MBVNT|6DMG|7aRCR|8AME
