0	Index      	 *	Score 	Summary	Detail	
1	26432 42122	 * 	226.78	DCR|1SPLARM|3ASPD|2DMG|1AART|1VULN	19CGEN|2AART|3SPLARM|49DMG|579ASPD|6RCR|8RPLT|9BPWR|aVULN
2	63121 36326	 * 	218.74	DCR|2DMG|2ASPD|1VULN|1AART|2CDMG	17ASPD|2RCVC|3CGEN|47CDMG|57DMG|6AART|7BPWR|8VULN|9LHND|aRCR
3	63321 36326	   	218.64	DCR|2DMG|2ASPD|1AART|1VULN|2CDMG	17ASPD|2RCVC|3TLV|47CDMG|57DMG|6AART|7BPWR|8VULN|9LHND|aRCR
4	41213 33155	 * 	215.89	DCR|3VULN|1ASPD|1DMG|1CDMG|2DUR|1ZMB	15aVULN|2ASPD|3CDMG|46DUR|7ZMB|8DMG|9RCR
5	61213 33155	   	215.89	DCR|3VULN|1ASPD|1DMG|1CDMG|2DUR|1ZMB	1ASPD|25aVULN|3CDMG|46DUR|7ZMB|8DMG|9RCR
6	41442 11213	 * 	215.20	DCR|3VULN|3DMG|1MDPS|1ASPD|1DUR	168VULN|2ASPD|359DMG|4MDPS|7DUR|aRCR
7	61442 11213	   	215.20	DCR|3VULN|3DMG|1MDPS|1ASPD|1DUR	1ASPD|268VULN|359DMG|4MDPS|7DUR|aRCR
8	62411 23421	 * 	214.29	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1ASPD|2RPLT|3AART|4CDMG|5LIT|6RCR|7ZMB|89VULN|aDMG
9	41233 83724	 * 	214.07	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	15VULN|29ASPD|3CDMG|4MBVNT|6AART|7BEXP|8RCR|aDMG
10	61233 83724	   	214.07	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	19ASPD|25VULN|3CDMG|4MBVNT|6AART|7BEXP|8RCR|aDMG
11	41425 21311	 * 	213.38	DCR|4VULN|1AART|1ASPD|1DMG	1479VULN|2ASPD|3DMG|5AART|6RMIN|8AME|aRCR
12	61425 21311	   	213.38	DCR|4VULN|1AART|1ASPD|1DMG	1ASPD|2479VULN|3DMG|5AART|6RMIN|8AME|aRCR
13	51413 32522	 * 	212.96	DCR|3ASPD|2VULN|2DMG|1DUR	1DUST|247ASPD|34DMG|4BPWR|5DUR|6BEXP|8RCR|9aVULN
14	41233 83723	 * 	211.84	DCR|3VULN|2ASPD|1AART|1CDMG	15aVULN|29ASPD|3CDMG|4MBVNT|6AART|7BEXP|8RCR
