0	Index      	 *	Score 	Summary	Detail	
1	51345 32312	 * 	222.36	DCR|3VULN|1MDPS|1AART|1ASPD|1DMG	1MLV|289VULN|3DMG|4ASPD|5AART|6FEWX|7RCR|aMDPS
2	61331 13441	 * 	218.85	DCR|3VULN|1SPLARM|2CDMG|1ASPD|1ZMB	13CDMG|23aVULN|3BPWR|4LHND|5ZMB|6DUST|7ASPD|8SPLARM|9RCR
3	51345 32212	 * 	218.75	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG	1MLV|29VULN|3DMG|48ASPD|5AART|6FEWX|7RCR|aMDPS
4	51223 36222	 * 	215.42	DCR|3VULN|2DMG|1AART|1ASPD	17MLV|247VULN|34LWND|47BPWR|5ASPD|67DMG|8LHND|9AART|aRCR
5	43411 33362	 * 	215.41	DCR|2VULN|2DMG|2ASPD|1AART	1TSLFST|24ASPD|34VULN|4BPWR|5LHND|6MBVNT|7AART|8RCR|9aDMG
6	61311 43611	 * 	214.17	DCR|3VULN|1MDPS|3CDMG|1AART	137CDMG|239VULN|3BPWR|4RCVC|5CGEN|6AART|8RCR|aMDPS
7	51345 32311	   	213.87	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	1MLV|289VULN|3DMG|4ASPD|5AART|6FEWX|7RCR|aZMB
8	51223 36232	 * 	212.47	DCR|3VULN|1MDPS|2DMG|1ASPD	17MLV|247VULN|34LWND|47BPWR|5ASPD|67DMG|8LHND|9RCR|aMDPS
9	51243 36222	   	211.71	DCR|2VULN|2DMG|2ASPD|1AART	17MLV|27VULN|3LWND|45ASPD|67DMG|7BPWR|8LHND|9AART|aRCR
10	61232 33663	 * 	211.44	DCR|4VULN|2ASPD|2CDMG|1AAC	1aCDMG|249aVULN|3ERES|5SNIFST|6AAC|7aASPD|8RCR|aBPWR
11	12223 61154	 * 	211.39	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1ZMB	1DUST|2SNIFST|3AART|49DMG|5VULN|6RCR|7ZMB|8ASPD|aCDMG
12	61324 35133	 * 	210.62	DCR|3VULN|2DMG|3CDMG|1DUR	136CDMG|237VULN|37BPWR|47CGEN|57DMG|8DUR|9SPLJET|aRCR
13	51345 32211	   	210.25	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	1MLV|29VULN|3DMG|48ASPD|5AART|6FEWX|7RCR|aZMB
14	14326 32311	   	210.21	DCR|3VULN|1AART|1ASPD|1DMG|1AAC	1DUST|2FEWX|3AART|4DMG|5ASPD|689VULN|7RCR|aAAC
15	14326 32342	 * 	210.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DUST|2FEWX|3AART|4DMG|5ASPD|68VULN|7RCR|9DUR|aCDMG
16	43412 33421	 * 	209.80	DCR|2VULN|2AART|2ASPD|1DMG	1TSLFST|24ASPD|34VULN|4BPWR|5DUST|6MBVNT|78AART|9DMG|aRCR
17	51243 36232	 * 	208.76	DCR|2VULN|1MDPS|2DMG|2ASPD	17MLV|27VULN|3LWND|45ASPD|67DMG|7BPWR|8LHND|9RCR|aMDPS
18	14326 32361	   	208.45	DCR|2VULN|2AART|1ASPD|1DMG|1AAC	1DUST|2FEWX|39AART|4DMG|5ASPD|68VULN|7RCR|aAAC
19	14363 11211	   	208.21	DCR|3VULN|1AART|1ASPD|1DMG|1AAC	1DUST|2FEWX|3AART|459VULN|6ASPD|7DMG|8RCR|aAAC
20	15363 11211	   	208.21	DCR|3VULN|1AART|1ASPD|1DMG|1AAC	1DUST|2BEXP|3AART|459VULN|6ASPD|7DMG|8RCR|aAAC
