0	Index      	 *	Score 	Summary	Detail	
1	45612 33123	 * 	221.70	DCR|3VULN|3ASPD|1DMG|3DUR	157DUR|2DMG|378VULN|4BELT|67aASPD|7BPWR|9RCR
2	45612 33122	   	215.72	DCR|3VULN|2ASPD|1DMG|3DUR	157DUR|2DMG|378VULN|4BELT|67ASPD|7BPWR|9RCR|aSPLREG
3	63132 33214	 * 	214.91	DCR|4VULN|1MDPS|2DMG|1AART	1MBVNT|2aLIT|345aVULN|6MDPS|7AART|8RCR|9aDMG|aBPWR
4	36223 63484	 * 	213.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1LWND|2MBVNT|3AART|458VULN|6RCR|7DUR|9ASPD|aDMG
5	61223 63484	   	213.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1MBVNT|2LWND|3AART|458VULN|6RCR|7DUR|9ASPD|aDMG
6	36223 63334	 * 	212.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LWND|2MBVNT|3AART|45VULN|6RCR|7DUR|8CDMG|9DMG|aASPD
7	61223 63334	   	212.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1MBVNT|2LWND|3AART|45VULN|6RCR|7DUR|8CDMG|9DMG|aASPD
8	63141 63714	   	211.46	DCR|3VULN|2DMG|1AART|1DUR	1MBVNT|2aLIT|38aVULN|4DUR|5LWND|6RCR|7AART|9aDMG|aBPWR
9	63445 84221	 * 	209.94	DCR|3VULN|2ASPD|1AART|1CDMG	1MBVNT|2aLIT|3aASPD|4CANSTR|5AART|6CDMG|78aVULN|9RCR|aBPWR
10	11153 13213	 * 	209.19	DCR|4VULN|2DMG|1ASPD	18TLV|268aVULN|34BEXP|5ASPD|78DMG|8BPWR|9RCR
11	45612 33121	   	208.78	DCR|3VULN|2ASPD|1DMG|3DUR	157DUR|2DMG|378VULN|4BELT|67ASPD|7BPWR|9RCR|aBEXP
12	63135 73214	   	207.46	DCR|3VULN|2DMG|1AART|1DUR	1MBVNT|2aLIT|34aVULN|5BEXP|6DUR|7AART|8RCR|9aDMG|aBPWR
13	36223 61484	   	205.33	DCR|3VULN|1AART|1ASPD|1DMG	1LWND|2MBVNT|3AART|458VULN|6RCR|7LEGI|9ASPD|aDMG
14	61223 61484	   	205.33	DCR|3VULN|1AART|1ASPD|1DMG	1MBVNT|2LWND|3AART|458VULN|6RCR|7LEGI|9ASPD|aDMG
15	46284 34134	 * 	205.07	DCR|3ASPD|1VULN|1AART|1DMG|3DUR	135DUR|2MBVNT|458ASPD|5BPWR|6DMG|7VULN|9AART|aRCR
16	63445 83321	 * 	205.03	DCR|3ASPD|2VULN|1AART|1CDMG	1MBVNT|2aLIT|37aASPD|4CANSTR|5AART|6CDMG|8aVULN|9RCR|aBPWR
17	36223 64181	   	204.01	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1LWND|2MBVNT|3AART|45aVULN|6RCR|7ZMB|8DUR|9ASPD
18	61223 64181	   	204.01	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1MBVNT|2LWND|3AART|45aVULN|6RCR|7ZMB|8DUR|9ASPD
19	36223 65334	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1LWND|2MBVNT|3AART|45VULN|6RCR|7BEXP|8CDMG|9DMG|aASPD
20	61223 65334	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1MBVNT|2LWND|3AART|45VULN|6RCR|7BEXP|8CDMG|9DMG|aASPD
21	63113 21427	 * 	203.84	DCR|4VULN|3ZMB|1DMG	1MBVNT|28aLIT|389aVULN|4DMG|5CGEN|6RCR|78aZMB|8aBPWR
22	36223 61334	   	203.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1LWND|2MBVNT|3AART|45VULN|6RCR|7LEGI|8CDMG|9DMG|aASPD
23	61223 61334	   	203.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1MBVNT|2LWND|3AART|45VULN|6RCR|7LEGI|8CDMG|9DMG|aASPD
24	35612 32352	 * 	203.29	DCR|2AART|2DMG|1VULN|1ASPD|1DUR	1LWND|27DMG|3VULN|4BELT|5DUR|6ASPD|8aAART|9RCR
25	45612 33222	   	203.28	DCR|2VULN|2ASPD|1DMG|3DUR|1ZMB	157DUR|2DMG|37VULN|4BELT|67ASPD|7BPWR|8RCR|9RMIN|aZMB
26	45612 33212	   	203.18	DCR|2VULN|2ASPD|1DMG|3DUR|1ZMB	157DUR|2DMG|37VULN|4BELT|67ASPD|7BPWR|8RCR|9ERES|aZMB
27	63121 63714	   	203.16	DCR|3VULN|2DMG|1AART	1MBVNT|2aLIT|38aVULN|4BEXP|5LWND|6RCR|7AART|9aDMG|aBPWR
28	35615 33123	   	203.10	DCR|3VULN|3ASPD|1DMG	157LWND|2DMG|378VULN|4BELT|67aASPD|7BPWR|9RCR
29	11153 13212	 * 	202.71	DCR|3VULN|1MDPS|2DMG|1ASPD	18TLV|268VULN|34BEXP|5ASPD|78DMG|8BPWR|9RCR|aMDPS
