0	Index      	 *	Score 	Summary	Detail	
1	63361 21243	 * 	219.99	DCR|3VULN|3ASPD|1MDPS|3DUR|1CDMG	1RMIN|29aDUR|3CDMG|4MDPS|5BELT|69aASPD|79aVULN|8RCR|9aBPWR
2	22121 55235	 * 	219.71	DCR|3VULN|2AART|1ASPD|1DMG	1MLV|25aVULN|35LWND|49AART|5BPWR|6ASPD|7RCR|8DMG
3	22221 55235	   	219.71	DCR|3VULN|2AART|1ASPD|1DMG	1MLV|25aVULN|35BEXP|49AART|5BPWR|6ASPD|7RCR|8DMG
4	22121 55215	 * 	219.48	DCR|4VULN|1AART|1ASPD|1DMG	1MLV|259aVULN|35LWND|4AART|5BPWR|6ASPD|7RCR|8DMG
5	22221 55215	   	219.48	DCR|4VULN|1AART|1ASPD|1DMG	1MLV|259aVULN|35BEXP|4AART|5BPWR|6ASPD|7RCR|8DMG
6	22121 55216	 * 	217.85	DCR|3VULN|2ASPD|1AART|1DMG	1MLV|259VULN|35LWND|4AART|5BPWR|6aASPD|7RCR|8DMG
7	22221 55216	   	217.85	DCR|3VULN|2ASPD|1AART|1DMG	1MLV|259VULN|35BEXP|4AART|5BPWR|6aASPD|7RCR|8DMG
8	22121 55236	 * 	216.10	DCR|2VULN|2AART|2ASPD|1DMG	1MLV|25VULN|35LWND|49AART|5BPWR|6aASPD|7RCR|8DMG
9	22221 55236	   	216.10	DCR|2VULN|2AART|2ASPD|1DMG	1MLV|25VULN|35BEXP|49AART|5BPWR|6aASPD|7RCR|8DMG
10	31434 84145	 * 	216.07	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	1aDUST|2aASPD|3MBVNT|4CDMG|5DMG|6AART|7RCR|8RMIN|9aVULN|aBPWR
11	31434 84541	   	212.09	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1DUST|2ASPD|3MBVNT|4CDMG|5DMG|6AART|7RCR|8ZMB|9aVULN
12	12331 33261	 * 	211.47	DCR|4VULN|1AART|1ASPD|1CDMG	1CGEN|248aVULN|3CDMG|5ERES|6ASPD|7AART|9RCR
13	31434 84544	 * 	210.53	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1DUST|2ASPD|3MBVNT|4CDMG|5DMG|6AART|7RCR|8ZMB|9VULN|aMDPS
14	64521 33331	 * 	205.29	DCR|2VULN|2DMG|1AART|1ASPD	1RMIN|23DMG|3BPWR|4AART|5CGEN|6RCR|7RPLT|8aVULN|9ASPD
15	64522 33331	   	205.29	DCR|2VULN|2DMG|1AART|1ASPD	1RMIN|23DMG|3BPWR|4AART|5AME|6RCR|7RPLT|8aVULN|9ASPD
16	22121 55613	 * 	204.63	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	1MLV|25VULN|358LWND|4AART|5BPWR|6ASPD|7RCR|9DMG|aMDPS
17	22121 55226	   	204.53	DCR|2VULN|1MDPS|1AART|1DMG|1ASPD	1MLV|25VULN|35LWND|4AART|5BPWR|6ASPD|7RCR|8DMG|9TSLARM|aMDPS
18	22121 55241	   	204.53	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1MSE	1MLV|25VULN|35LWND|4AART|5BPWR|6ASPD|7RCR|8DMG|9MSE|aMDPS
19	22221 55226	   	204.53	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	1MLV|25VULN|35BEXP|4AART|5BPWR|6ASPD|7RCR|8DMG|9TSLARM|aMDPS
20	22221 55241	   	204.53	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1MSE	1MLV|25VULN|35BEXP|4AART|5BPWR|6ASPD|7RCR|8DMG|9MSE|aMDPS
21	36263 63113	 * 	204.01	DCR|3VULN|2CDMG|1ASPD|1ZMB|1DUR	1DUST|24CDMG|34aVULN|4BPWR|5LIT|6RCR|7ASPD|8ZMB|9DUR
22	22336 31325	 * 	203.94	DCR|3VULN|2DMG|1CDMG|1AAC|1DUR	1aMLV|24aVULN|3CDMG|5DUR|6RCR|7DMSP|8aDMG|9AAC|aBPWR
23	22121 55125	   	203.83	DCR|3VULN|1AART|1ASPD|1DMG	19MLV|259VULN|35LWND|4AART|59BPWR|6ASPD|7RCR|89CGEN|aDMG
24	22221 55125	   	203.83	DCR|3VULN|1AART|1ASPD|1DMG	19MLV|259VULN|35BEXP|4AART|59BPWR|6ASPD|7RCR|89CGEN|aDMG
25	22121 55115	   	203.63	DCR|3VULN|1AART|1ASPD|1DMG	1MLV|259VULN|35LWND|4AART|5BPWR|6ASPD|7RCR|8CGEN|aDMG
26	22121 55212	   	203.63	DCR|3VULN|1AART|1ASPD|1DMG	1MLV|259VULN|35LWND|4AART|5BPWR|6ASPD|7RCR|8DMG|aCGEN
27	22121 55214	   	203.63	DCR|3VULN|1AART|1ASPD|1DMG	1aMLV|259VULN|35LWND|4AART|5BPWR|6ASPD|7RCR|8DMG
28	22221 55115	   	203.63	DCR|3VULN|1AART|1ASPD|1DMG	1MLV|259VULN|35BEXP|4AART|5BPWR|6ASPD|7RCR|8CGEN|aDMG
29	22221 55212	   	203.63	DCR|3VULN|1AART|1ASPD|1DMG	1MLV|259VULN|35BEXP|4AART|5BPWR|6ASPD|7RCR|8DMG|aCGEN
30	22221 55214	   	203.63	DCR|3VULN|1AART|1ASPD|1DMG	1aMLV|259VULN|35BEXP|4AART|5BPWR|6ASPD|7RCR|8DMG
31	22221 55323	   	203.63	DCR|3VULN|1AART|1ASPD|1DMG	1MLV|259VULN|35BEXP|4AART|5BPWR|6ASPD|7RCR|8LHND|aDMG
32	22621 55212	   	203.63	DCR|3VULN|1AART|1ASPD|1DMG	1MLV|259VULN|35FEWX|4AART|5BPWR|6ASPD|7RCR|8DMG|aCGEN
33	22621 55323	   	203.63	DCR|3VULN|1AART|1ASPD|1DMG	1MLV|259VULN|35FEWX|4AART|5BPWR|6ASPD|7RCR|8LHND|aDMG
34	22121 25216	   	203.63	DCR|3VULN|1AART|1ASPD|1DMG	1MLV|259VULN|35LWND|4AART|5BPWR|6RMIN|7RCR|8DMG|aASPD
35	22221 25216	   	203.63	DCR|3VULN|1AART|1ASPD|1DMG	1MLV|259VULN|35BEXP|4AART|5BPWR|6RMIN|7RCR|8DMG|aASPD
36	22621 25216	   	203.63	DCR|3VULN|1AART|1ASPD|1DMG	1MLV|259VULN|35FEWX|4AART|5BPWR|6RMIN|7RCR|8DMG|aASPD
37	22121 55211	   	203.53	DCR|3VULN|1AART|1ASPD|1DMG|1MSE	1MLV|259VULN|35LWND|4AART|5BPWR|6ASPD|7RCR|8DMG|aMSE
38	22121 55213	   	203.53	DCR|3VULN|1AART|1ASPD|1DMG	1MLV|259VULN|35LWND|4AART|5BPWR|6ASPD|7RCR|8DMG|aERES
39	22121 55326	   	203.53	DCR|3VULN|1AART|1ASPD|1DMG	1MLV|259VULN|35LWND|4AART|5BPWR|6ASPD|7RCR|8LEGI|aDMG
40	22221 55211	   	203.53	DCR|3VULN|1AART|1ASPD|1DMG|1MSE	1MLV|259VULN|35BEXP|4AART|5BPWR|6ASPD|7RCR|8DMG|aMSE
41	22221 55213	   	203.53	DCR|3VULN|1AART|1ASPD|1DMG	1MLV|259VULN|35BEXP|4AART|5BPWR|6ASPD|7RCR|8DMG|aERES
42	22621 55211	   	203.53	DCR|3VULN|1AART|1ASPD|1DMG|1MSE	1MLV|259VULN|35FEWX|4AART|5BPWR|6ASPD|7RCR|8DMG|aMSE
43	22621 55213	   	203.53	DCR|3VULN|1AART|1ASPD|1DMG	1MLV|259VULN|35FEWX|4AART|5BPWR|6ASPD|7RCR|8DMG|aERES
44	22123 65215	   	203.53	DCR|3VULN|1AART|1ASPD|1DMG	16MLV|29aVULN|3LWND|4AART|5ASPD|7RCR|8DMG
45	22223 65215	   	203.53	DCR|3VULN|1AART|1ASPD|1DMG	16MLV|29aVULN|3BEXP|4AART|5ASPD|7RCR|8DMG
46	22336 33513	   	202.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1MLV|24VULN|3CDMG|5DUR|6RCR|7ZMB|8BEXP|9ASPD|aAART
47	22336 33226	 * 	202.43	DCR|2VULN|1AART|1ASPD|1NUKE|1CDMG|1ZMB|1DUR	1MLV|24VULN|3CDMG|5DUR|6RCR|7ZMB|8NUKE|9ASPD|aAART
48	22336 33613	   	202.43	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1MLV|24VULN|3CDMG|5DUR|6RCR|7ZMB|8DUST|9ASPD|aAART
49	12331 33263	   	202.40	DCR|3VULN|1AART|1ASPD|1CDMG|1AAC	1CGEN|248VULN|3CDMG|5ERES|6ASPD|7AART|9RCR|aAAC
50	22121 55232	   	201.88	DCR|2VULN|2AART|1ASPD|1DMG	1MLV|25VULN|35LWND|49AART|5BPWR|6ASPD|7RCR|8DMG|aCGEN
51	22121 55234	   	201.88	DCR|2VULN|2AART|1ASPD|1DMG	1aMLV|25VULN|35LWND|49AART|5BPWR|6ASPD|7RCR|8DMG
52	22221 55232	   	201.88	DCR|2VULN|2AART|1ASPD|1DMG	1MLV|25VULN|35BEXP|49AART|5BPWR|6ASPD|7RCR|8DMG|aCGEN
53	22221 55234	   	201.88	DCR|2VULN|2AART|1ASPD|1DMG	1aMLV|25VULN|35BEXP|49AART|5BPWR|6ASPD|7RCR|8DMG
54	22621 55232	   	201.88	DCR|2VULN|2AART|1ASPD|1DMG	1MLV|25VULN|35FEWX|49AART|5BPWR|6ASPD|7RCR|8DMG|aCGEN
55	22121 25236	   	201.88	DCR|2VULN|2AART|1ASPD|1DMG	1MLV|25VULN|35LWND|49AART|5BPWR|6RMIN|7RCR|8DMG|aASPD
56	22221 25236	   	201.88	DCR|2VULN|2AART|1ASPD|1DMG	1MLV|25VULN|35BEXP|49AART|5BPWR|6RMIN|7RCR|8DMG|aASPD
57	22621 25236	   	201.88	DCR|2VULN|2AART|1ASPD|1DMG	1MLV|25VULN|35FEWX|49AART|5BPWR|6RMIN|7RCR|8DMG|aASPD
