0	Index      	 *	Score 	Summary	Detail	
1	14323 11463	 * 	211.68	ACR|3DMG|2VULN|1AART|1CDMG|1ZMB|1ASPD	124DMG|246BPWR|3RCR|56VULN|7ASPD|8AART|9CDMG|aZMB
2	11414 12533	 * 	207.83	DCR|3VULN|2DMG|1AART|2FLTHEA|1ZMB	1aDMG|2LHND|34aVULN|5AART|6BEXP|7ZMB|8RCR|9aFLTHEA|aBPWR
3	16483 44221	 * 	206.84	ACR|4VULN|3DMG|1AART	178DMG|2LIT|3MBVNT|4RCR|578VENICY|678aVULN|78BPWR|9AART
4	14323 11415	   	204.97	ACR|3DMG|2VULN|1AART|1ZMB|1DUR|1ASPD	124DMG|246BPWR|3RCR|56VULN|7ASPD|8AART|9ZMB|aDUR
5	15322 22313	   	203.78	ACR|3DMG|2VULN|1AART|1CDMG|1ASPD	145DMG|2RCVC|3RCR|4BPWR|6ASPD|7CDMG|8aVULN|9AART
6	14332 22313	   	203.18	ACR|3DMG|2VULN|1AART|1CDMG|1ASPD	125DMG|2BPWR|3RCR|4RCVC|6ASPD|7CDMG|8aVULN|9AART
7	14323 11428	   	202.58	ACR|3VULN|3DMG|1AART|1ASPD	124DMG|246BPWR|3RCR|56aVULN|7ASPD|8AART|9MBVNT
8	14323 11461	   	200.68	ACR|3DMG|2VULN|1AART|1CDMG|1ASPD	124DMG|246BPWR|3RCR|56VULN|7ASPD|8AART|9CDMG|aLIT
9	11353 14241	 * 	200.59	ACR|4VULN|3DMG|2ZMB	169DMG|29LHND|3RCR|4BEXP|567aVULN|69BPWR|89ZMB
10	11353 15323	   	199.19	ACR|4VULN|3DMG|1CDMG	169DMG|2LHND|3RCR|4BEXP|568aVULN|6BPWR|7CDMG
11	14323 15316	 * 	198.37	ACR|3DMG|2VULN|2AART|1DUR	124DMG|246BPWR|3RCR|56VULN|7MBVNT|89AART|aDUR
12	14323 11411	   	198.03	ACR|3DMG|2VULN|1AART|1ZMB|1ASPD	124DMG|246BPWR|3RCR|56VULN|7ASPD|8AART|9ZMB|aLWND
13	14323 11412	   	197.93	ACR|3DMG|2VULN|1AART|1ZMB|1ASPD	124DMG|246BPWR|3RCR|56VULN|7ASPD|8AART|9ZMB|aAIRHEA
14	14323 11414	   	197.93	ACR|3DMG|2VULN|1AART|1ZMB|1ASPD	124DMG|246BPWR|3RCR|56VULN|7ASPD|8AART|9ZMB|aDUST
15	15322 22314	   	197.64	ACR|3DMG|2AART|1VULN|1CDMG|1ASPD	145DMG|2RCVC|3RCR|4BPWR|6ASPD|7CDMG|8VULN|9aAART
16	15322 22315	   	197.20	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	145DMG|2RCVC|3RCR|4BPWR|6ASPD|7CDMG|8VULN|9AART|aZMB
17	14332 22314	   	197.04	ACR|3DMG|2AART|1VULN|1CDMG|1ASPD	125DMG|2BPWR|3RCR|4RCVC|6ASPD|7CDMG|8VULN|9aAART
18	14332 22315	   	196.60	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	125DMG|2BPWR|3RCR|4RCVC|6ASPD|7CDMG|8VULN|9AART|aZMB
19	11366 31221	 * 	196.03	ACR|3DMG|3ZMB|3CDMG|1AART	178DMG|29LHND|3RCR|478CDMG|578ZMB|6RMIN|78BPWR|aAART
20	14323 15337	   	195.64	ACR|3VULN|3DMG|1AART	124DMG|246BPWR|3RCR|56aVULN|7MBVNT|8AART|9BEXP
