0	Index      	 *	Score 	Summary	Detail	
1	41411 52232	 * 	200.63	ACR|4VULN|2DMG|2ZMB|1CDMG|1DUR	169aVULN|2DUR|39ZMB|4CDMG|5RCR|7FEWX|89DMG|9BPWR
2	43411 52232	   	193.69	ACR|4VULN|2DMG|2ZMB|1CDMG	169aVULN|2LHND|39ZMB|4CDMG|5RCR|7FEWX|89DMG|9BPWR
3	41411 31232	 * 	192.84	ACR|3VULN|2DMG|2CDMG|2ZMB|1DUR	19aVULN|2DUR|39ZMB|47CDMG|5RCR|6BEXP|89DMG|9BPWR
4	43411 41232	   	192.84	ACR|3VULN|2DMG|2CDMG|2ZMB|1DUR	19aVULN|2LHND|39ZMB|47CDMG|5RCR|6DUR|89DMG|9BPWR
5	42411 41232	   	192.74	ACR|3VULN|2DMG|2CDMG|2ZMB|1DUR	19aVULN|2DUST|39ZMB|47CDMG|5RCR|6DUR|89DMG|9BPWR
6	41411 42232	   	191.82	ACR|3VULN|2DMG|2ZMB|1CDMG|2DUR	19aVULN|26DUR|39ZMB|4CDMG|5RCR|7FEWX|89DMG|9BPWR
7	41411 26232	   	187.87	ACR|3VULN|2DMG|1CDMG|2DUR|1ZMB	19aVULN|29DUR|3ZMB|4CDMG|5RCR|6NUKE|7RMIN|89DMG|9BPWR
8	41411 35232	   	186.53	ACR|3VULN|2DMG|2ZMB|1CDMG|1DUR	19aVULN|2DUR|39ZMB|4CDMG|5RCR|6BEXP|7RCVC|89DMG|9BPWR
9	41411 52231	   	186.53	ACR|3VULN|2DMG|2ZMB|1CDMG|1DUR	169VULN|2DUR|39ZMB|4CDMG|5RCR|7FEWX|89DMG|9BPWR|aBEXP
10	41411 52233	   	186.43	ACR|3VULN|2DMG|2ZMB|1CDMG|1DUR	169VULN|2DUR|39ZMB|4CDMG|5RCR|7FEWX|89DMG|9BPWR|aERES
11	43411 31232	   	185.90	ACR|3VULN|2DMG|2CDMG|2ZMB	19aVULN|2LHND|39ZMB|47CDMG|5RCR|6BEXP|89DMG|9BPWR
12	42411 31232	   	185.80	ACR|3VULN|2DMG|2CDMG|2ZMB	19aVULN|2DUST|39ZMB|47CDMG|5RCR|6BEXP|89DMG|9BPWR
13	13334 53336	 * 	185.70	DCR|2VULN|2DMG|1AART|2ASPD|2DUR	1aDUR|2DUST|3aASPD|4LWND|59VULN|6aDMG|7AART|8RCR|aBPWR
14	14411 51232	   	182.48	ACR|2VULN|2DMG|2CDMG|2ZMB|2DUR	19DUR|2FEWX|39ZMB|47CDMG|5RCR|6aVULN|89DMG|9BPWR
15	13411 51232	   	182.38	ACR|2VULN|2DMG|2CDMG|2ZMB|2DUR	19DUR|2DUST|39ZMB|47CDMG|5RCR|6aVULN|89DMG|9BPWR
16	41212 35216	 * 	180.31	DCR|2VULN|1AART|1DMG|1FLTHEA|2DUR|1ZMB	1aVULN|26DUR|3LWND|4FLTHEA|5ZMB|7RCR|8DMG|9AART
