0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21561 15232	10	 * 	303.20	橙4易伤3时间2伤害1等级	1367易伤29基地爆炸47伤害567时间67序列升级8核a等级
2	21531 15243	9	   	301.76	橙4易伤3时间1等级1伤害2攻速	1367易伤2基地爆炸47攻速567时间67序列升级8核9等级a伤害
3	22316 43511	7	 * 	300.33	橙3易伤3时间1等级3暴击1伤害	19a易伤2平台39a暴击4等级5全技能6伤害7核89a时间9a序列升级
4	21561 15224	10	 * 	295.24	橙5易伤3时间2伤害	1367a易伤2基地爆炸47伤害567时间67序列升级8核9加一
5	22361 13563	6	 * 	292.61	橙3易伤3时间2等级1伤害2暴击	149易伤2平台36暴击569时间69序列升级7核89等级a伤害
6	21531 15242	9	   	291.36	橙4易伤3时间1等级2攻速	1367易伤2基地爆炸47攻速567时间67序列升级8核9等级a全技能
7	21561 15321	7	   	290.65	橙4易伤3时间2伤害1暴击	1367易伤2基地爆炸47伤害567时间67序列升级8最后敌人9核a暴击
8	21561 15321	8	   	290.65	橙4易伤3时间2伤害1暴击	1367易伤2基地爆炸47伤害567时间67序列升级8低血量敌人9核a暴击
9	21561 15211	9	   	290.55	橙4易伤3时间2伤害1暴击	1367易伤2基地爆炸47伤害567时间67序列升级8核9挖尘a暴击
10	21561 15221	9	   	290.55	橙4易伤3时间2伤害1暴击	1367易伤2基地爆炸47伤害567时间67序列升级8核9加一a暴击
11	21531 15241	10	   	290.01	橙4易伤3时间1等级2攻速	1367易伤2基地爆炸47攻速567时间67序列升级8核9等级a雷电
12	21561 15212	10	   	286.56	橙4易伤3时间2伤害	1367易伤2基地爆炸47伤害567时间67序列升级8核9挖尘a全技能
13	21561 15222	10	   	286.56	橙4易伤3时间2伤害	1367易伤2基地爆炸47伤害567时间67序列升级8核9加一a全技能
14	21511 15243	9	   	285.61	橙4易伤3时间1等级1伤害	1367易伤2基地爆炸47策反567时间67序列升级8核9等级a伤害
15	21561 15211	8	   	285.30	橙4易伤3时间2伤害	1367易伤2a基地爆炸47伤害567时间67序列升级8核9雷电
16	21561 15213	8	   	285.30	橙4易伤3时间2伤害	1367易伤2基地爆炸47伤害567时间67序列升级8核9雷电a低血量敌人
17	21561 15212	8	   	285.20	橙4易伤3时间2伤害	1367易伤2基地爆炸47伤害567时间67序列升级8核9雷电a赏金塔
18	22361 13562	6	   	282.20	橙3易伤3时间2等级2暴击	149易伤2平台36暴击569时间69序列升级7核89等级a全技能
19	21531 15232	10	   	281.70	橙4易伤3时间1等级2攻速	1367易伤29基地爆炸47攻速567时间67序列升级8核a等级
20	21531 15241	9	   	281.70	橙4易伤3时间1等级2攻速	1367易伤2基地爆炸47攻速567时间67序列升级8核9等级a平台
21	21531 15243	10	   	281.70	橙4易伤3时间1等级2攻速	1367易伤2基地爆炸47攻速567时间67序列升级8核9等级a随机矿
22	21531 15242	10	   	281.60	橙4易伤3时间1等级2攻速	1367易伤2基地爆炸47攻速567时间67序列升级8核9等级a双倍物品
23	21531 15243	8	   	281.60	橙4易伤3时间1等级2攻速	1367易伤2基地爆炸47攻速567时间67序列升级8核9赏金塔a等级
24	21531 15531	7	   	281.60	橙4易伤3时间1等级2攻速	1367易伤2基地爆炸47攻速567时间67序列升级8掉矿9等级a核
25	21531 15631	8	   	281.60	橙4易伤3时间1等级2攻速	1367易伤2基地爆炸47攻速567时间67序列升级8掉矿9等级a核
26	22533 22243	4	 * 	279.43	橙4易伤3伤害2时间	1578易伤2平台358伤害4额外掉落58序列升级68时间9敌人爆炸a核
27	22533 63243	4	   	279.43	橙4易伤3伤害2时间	1568易伤2平台358伤害4额外掉落58序列升级78时间9敌人爆炸a核
28	22533 22233	4	   	279.33	橙4易伤3伤害2时间	1578易伤2平台358伤害4额外掉落58序列升级68时间9挖尘a核
29	22533 63233	4	   	279.33	橙4易伤3伤害2时间	1568易伤2平台358伤害4额外掉落58序列升级78时间9挖尘a核
30	21511 15234	8	   	277.75	橙5易伤3时间1伤害	1367a易伤2基地爆炸47策反567时间67序列升级8核9伤害
31	21561 12331	7	   	277.00	橙4易伤3时间2伤害	1369易伤2基地爆炸49伤害568时间69序列升级79低血量敌人a核
32	21561 13331	7	   	277.00	橙4易伤3时间2伤害	1369易伤2基地爆炸49伤害568时间69序列升级79最后敌人a核
33	21561 13331	6	   	277.00	橙4易伤3时间2伤害	1369易伤2基地爆炸49伤害568时间69序列升级79低血量敌人a核
34	21561 15111	9	   	277.00	橙4易伤3时间2伤害	1367易伤28基地爆炸47伤害567时间67序列升级9低血量敌人a核
35	21561 15121	9	   	277.00	橙4易伤3时间2伤害	1367易伤28基地爆炸47伤害567时间67序列升级9敌人爆炸a核
36	21561 15211	7	   	277.00	橙4易伤3时间2伤害	1367易伤2基地爆炸47伤害567时间67序列升级8矿等9金币生成a核
37	21561 15221	8	   	277.00	橙4易伤3时间2伤害	1367易伤2基地爆炸47伤害567时间67序列升级8核9随机矿a平台
38	21561 15222	8	   	277.00	橙4易伤3时间2伤害	1367易伤2基地爆炸47伤害567时间67序列升级8核9随机矿a双倍矿
39	21561 15223	8	   	277.00	橙4易伤3时间2伤害	1367易伤2a基地爆炸47伤害567时间67序列升级8核9随机矿
40	21561 15231	9	   	277.00	橙4易伤3时间2伤害	1367易伤29基地爆炸47伤害567时间67序列升级8核a随机矿
41	21561 15231	10	   	277.00	橙4易伤3时间2伤害	1367易伤29基地爆炸47伤害567时间67序列升级8核a立即金币
42	21561 15233	10	   	277.00	橙4易伤3时间2伤害	1367易伤29基地爆炸47伤害567时间67序列升级8核a金币生成
43	21561 15233	9	   	277.00	橙4易伤3时间2伤害	1367易伤29a基地爆炸47伤害567时间67序列升级8核
44	21561 15331	9	   	277.00	橙4易伤3时间2伤害	1367易伤29基地爆炸47伤害567时间67序列升级8低血量敌人a核
45	21561 15322	8	   	277.00	橙4易伤3时间2伤害	1367易伤2基地爆炸47伤害567时间67序列升级8低血量敌人9核a金币生成
46	21561 15322	7	   	277.00	橙4易伤3时间2伤害	1367易伤2基地爆炸47伤害567时间67序列升级8最后敌人9核a金币生成
47	21561 15212	9	   	276.90	橙4易伤3时间2伤害	1367易伤2基地爆炸47伤害567时间67序列升级8核9挖尘a金币生成
48	21561 15222	9	   	276.90	橙4易伤3时间2伤害	1367易伤2基地爆炸47伤害567时间67序列升级8核9加一a金币生成
49	21561 15231	8	   	276.90	橙4易伤3时间2伤害1核弹	1367易伤2基地爆炸47伤害567时间67序列升级8核9核弹a平台
50	21561 15232	8	   	276.90	橙4易伤3时间2伤害1核弹	1367易伤2基地爆炸47伤害567时间67序列升级8核9核弹a双倍矿
51	21561 15232	9	   	276.90	橙4易伤3时间2伤害	1367易伤29基地爆炸47伤害567时间67序列升级8核a掉矿
52	21561 15233	8	   	276.90	橙4易伤3时间2伤害1核弹	1367易伤2a基地爆炸47伤害567时间67序列升级8核9核弹
53	21561 15131	9	   	276.90	橙4易伤3时间2伤害	1367易伤28基地爆炸47伤害567时间67序列升级9挖尘a核
54	21561 15323	8	   	276.90	橙4易伤3时间2伤害	1367易伤2基地爆炸47伤害567时间67序列升级8低血量敌人9核a掉矿
55	21561 15323	7	   	276.90	橙4易伤3时间2伤害	1367易伤2基地爆炸47伤害567时间67序列升级8最后敌人9核a掉矿
56	21561 12331	6	   	276.80	橙4易伤3时间2伤害	1369易伤2基地爆炸49伤害568时间69序列升级79挖尘a核
57	21561 15213	9	   	276.80	橙4易伤3时间2伤害	1367易伤2基地爆炸47伤害567时间67序列升级8核9挖尘a掉矿
58	21561 15213	10	   	276.80	橙4易伤3时间2伤害	1367易伤2基地爆炸47伤害567时间67序列升级8核9挖尘a掉矿
59	21561 15223	9	   	276.80	橙4易伤3时间2伤害	1367易伤2基地爆炸47伤害567时间67序列升级8核9加一a掉矿
60	21561 15223	10	   	276.80	橙4易伤3时间2伤害	1367易伤2基地爆炸47伤害567时间67序列升级8核9加一a掉矿
61	21561 15224	9	   	276.80	橙4易伤3时间2伤害	1367易伤2基地爆炸47伤害567时间67序列升级8核9加一a挖青
62	21531 15236	10	   	275.56	橙4易伤3时间1伤害2攻速	1367易伤29基地爆炸47攻速567时间67序列升级8核a伤害
63	26531 15212	10	   	275.56	橙4易伤3时间1伤害2攻速	1367易伤29低血量敌人47攻速567时间67序列升级8伤害a核
64	21511 15242	9	   	275.21	橙4易伤3时间1等级	1367易伤2基地爆炸47策反567时间67序列升级8核9等级a全技能
65	22361 16351	10	   	274.17	橙4易伤3时间2暴击2雷电	149a易伤2平台36暴击56a时间6a序列升级7核8a雷电
66	21511 15241	10	   	273.86	橙4易伤3时间1等级	1367易伤2基地爆炸47策反567时间67序列升级8核9等级a雷电
67	21531 15224	8	   	273.84	橙5易伤3时间2攻速	1367a易伤2基地爆炸47攻速567时间67序列升级8核9随机矿
68	21531 15326	7	   	273.84	橙5易伤3时间2攻速	1367a易伤2基地爆炸47攻速567时间67序列升级8最后敌人9核
69	21531 15326	8	   	273.84	橙5易伤3时间2攻速	1367a易伤2基地爆炸47攻速567时间67序列升级8低血量敌人9核
70	21531 15216	9	   	273.74	橙5易伤3时间2攻速	1367a易伤2基地爆炸47攻速567时间67序列升级8核9挖尘
71	21531 15224	10	   	273.74	橙5易伤3时间2攻速	1367a易伤2基地爆炸47攻速567时间67序列升级8核9加一
72	21531 15227	9	   	273.74	橙5易伤3时间2攻速	1367a易伤2基地爆炸47攻速567时间67序列升级8核9加一
73	21531 15234	8	   	273.74	橙5易伤3时间2攻速1核弹	1367a易伤2基地爆炸47攻速567时间67序列升级8核9核弹
