0	Index      	 *	Score 	Summary	Detail	
1	26214 31633	 * 	213.65	DCR|3VULN|2ASPD|1AART|1DMG	12ASPD|2BPWR|3LIT|4AART|5ERES|678VULN|9RCR|aDMG
2	26211 54123	 * 	213.18	DCR|2VULN|2AART|2ASPD|1DUR	12ASPD|2BPWR|3LIT|4aAART|5DUR|6RCR|7SPLREG|89VULN
3	32264 52322	   	210.23	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1LWND|2FEWX|3DUR|4aASPD|5AART|6RCR|79VULN|8DMG
4	26212 35134	 * 	205.46	DCR|2DMG|2ASPD|1AART|1VULN|1ZMB	12ASPD|2BPWR|3LIT|4AART|5BEXP|6VULN|7ZMB|8RCR|9aDMG
5	32264 52321	 * 	205.37	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	1LWND|2FEWX|3DUR|4ASPD|5AART|6RCR|79VULN|8DMG|aMDPS
6	21212 84884	 * 	205.09	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|2TLV|3MBVNT|4FEWX|58VULN|6RCR|7aDMG|9AART
7	21533 56213	 * 	204.06	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2TLV|3MSLFST|4DUR|59VULN|6DMG|7AART|8CDMG|aRCR
8	26214 31631	 * 	202.95	DCR|3VULN|1MDPS|2ASPD|1AART	12ASPD|2BPWR|3LIT|4AART|5ERES|678VULN|9RCR|aMDPS
9	26211 54121	   	202.35	DCR|2VULN|2ASPD|1AART|2DUR	12ASPD|2BPWR|3LIT|4AART|5aDUR|6RCR|7SPLREG|89VULN
10	26211 51631	 * 	202.11	DCR|2AART|2ASPD|1VULN|1CDMG|1DUR	12ASPD|2BPWR|3LIT|4aAART|5DUR|6RCR|7LWND|8CDMG|9VULN
11	32564 32322	   	201.82	DCR|2VULN|2ASPD|1AART|1DMG	1LWND|2FEWX|3DUST|4aASPD|5AART|6RCR|79VULN|8DMG
12	26211 54122	   	201.27	DCR|2VULN|2ASPD|1AART|1DUR	12ASPD|2BPWR|3LIT|4AART|5DUR|6RCR|7SPLREG|89VULN|aRMIN
13	22121 52636	 * 	200.93	DCR|3VULN|1AART|1ASPD|1CDMG	1ASPD|2DLOT|3RCVC|4CDMG|5LHND|6AART|79aVULN|8RCR
14	24215 34133	   	200.09	DCR|2VULN|2ASPD|1AART|1DMG	15ASPD|2DMSP|3LIT|4AART|67VULN|8RMIN|9RCR|aDMG
15	21321 53463	   	200.01	DCR|2AART|2ASPD|1VULN|1CDMG|1DUR	1aASPD|2TLV|3CDMG|4LWND|5VULN|6DUR|7RCR|89AART
16	21324 13463	   	200.01	DCR|2AART|2ASPD|1VULN|1CDMG|1DUR	1aASPD|2TLV|3CDMG|4LWND|5DUR|6VULN|7RCR|89AART
17	26214 36233	   	199.82	DCR|2VULN|2ASPD|1AART|1DMG	12ASPD|2BPWR|3LIT|4AART|5ERES|6aVULN|7RCR|8DMSP|9DMG
18	24214 31633	   	199.43	DCR|3VULN|1AART|1ASPD|1DMG	1ASPD|2DMSP|3LIT|4AART|5ERES|678VULN|9RCR|aDMG
19	24211 54123	   	198.96	DCR|2VULN|2AART|1ASPD|1DUR	1ASPD|2DMSP|3LIT|4aAART|5DUR|6RCR|7SPLREG|89VULN
20	26622 12522	 * 	198.27	DCR|2VULN|2ASPD|1AART|1CDMG	12ASPD|2BPWR|3SPLJET|4FEWX|5aVULN|6RMIN|7AART|8RCR|9CDMG
21	21212 81884	   	197.84	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1ASPD|2TLV|3MBVNT|4FEWX|58VULN|6RCR|7ZMB|9AART|aDMG
22	21212 83184	   	197.84	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1ASPD|2TLV|3MBVNT|4FEWX|58VULN|6RCR|7AART|9ZMB|aDMG
