0	Index      	 *	Score 	Summary	Detail	
1	53621 13126	 * 	227.51	DCR|3VULN|2DMG|1AART|1CDMG|1DUR	1DUR|279VULN|3AART|4ERES|5aDMG|6RCR|8CDMG
2	53621 12126	 * 	225.76	DCR|2VULN|2AART|2DMG|1CDMG|1DUR	1DUR|29VULN|37AART|4ERES|5aDMG|6RCR|8CDMG
3	53222 65132	 * 	220.59	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DUR|28VULN|3ZMB|4LWND|5CDMG|6AART|7RCR|9DMG|aASPD
4	23223 33635	 * 	218.94	DCR|2VULN|2DMG|1AART|1ASPD|2DUR	1LHND|2aVULN|3ASPD|4DUST|5aDUR|6RCR|7FEWX|8aDMG|9AART|aBPWR
5	53212 65132	   	218.36	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|28aVULN|3ZMB|4LHND|5CDMG|6AART|7RCR|9DMG
6	53232 65132	   	218.36	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|28aVULN|3ZMB|4BEXP|5CDMG|6AART|7RCR|9DMG
7	53641 13122	   	215.27	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	1aDUR|279VULN|3AART|4CGEN|5DMG|6RCR|8CDMG
8	53651 13122	   	215.27	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	1aDUR|279VULN|3AART|4MLV|5DMG|6RCR|8CDMG
9	53621 13122	   	215.17	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	1aDUR|279VULN|3AART|4ERES|5DMG|6RCR|8CDMG
10	53641 12122	   	213.51	DCR|2VULN|2AART|1DMG|1CDMG|2DUR	1aDUR|29VULN|37AART|4CGEN|5DMG|6RCR|8CDMG
11	53651 12122	   	213.51	DCR|2VULN|2AART|1DMG|1CDMG|2DUR	1aDUR|29VULN|37AART|4MLV|5DMG|6RCR|8CDMG
12	53621 12122	   	213.41	DCR|2VULN|2AART|1DMG|1CDMG|2DUR	1aDUR|29VULN|37AART|4ERES|5DMG|6RCR|8CDMG
13	26236 35243	 * 	213.15	ACR|3VULN|2DMG|2ASPD|1AART	19LHND|2RCR|36ASPD|4AART|59DMG|79aVULN|8MBVNT|9BPWR
14	33244 13126	 * 	212.95	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB	1BEXP|27VULN|3ZMB|4ERES|5AART|6RCR|8CDMG|9ASPD|aMDPS
