0	Index      	 *	Score 	Summary	Detail	
1	32474 41425	 * 	306.66	橙橙2矿等1易伤2攻速2暴击	1额外掉落2加一39攻速4易伤5全技能69暴击7a核89矿等9序列升级
2	33325 32334	 * 	300.81	橙橙2易伤1伤害1矿等	1额外掉落28易伤3矿等4全技能5平台6立即金币7伤害9a核
3	32574 42335	   	287.17	橙橙2易伤1伤害1暴击	1额外掉落2加一3金币生成48易伤5全技能6暴击7伤害9a核
4	32744 42335	   	287.17	橙橙2易伤1伤害1暴击	1额外掉落2加一38易伤4金币生成5全技能6暴击7伤害9a核
5	32674 13335	   	287.07	橙橙2易伤1伤害1暴击	1额外掉落2加一3伤害47易伤5暴击6掉矿8全技能9a核
6	32711 13335	   	287.07	橙橙2易伤1伤害1暴击	1额外掉落2加一37易伤4掉矿5伤害6暴击8全技能9a核
7	32714 42335	   	287.07	橙橙2易伤1伤害1暴击	1额外掉落2加一38易伤4掉矿5全技能6暴击7伤害9a核
8	33613 12334	   	283.28	橙橙2易伤1伤害	1额外掉落28易伤3立即金币4伤害5金币生成6全技能7平台9a核
9	35225 32334	   	283.28	橙橙2易伤1伤害	1额外掉落2金币生成38易伤4全技能5平台6立即金币7伤害9a核
10	33612 12334	   	283.18	橙橙2易伤1伤害	1额外掉落28易伤3立即金币4伤害5掉矿6全技能7平台9a核
11	32471 12187	 * 	282.44	橙橙2伤害1易伤1攻速1暴击	1额外掉落2加一3攻速4易伤59伤害6暴击7双倍秒伤8a核
12	32335 72373	   	279.10	橙橙2矿等1易伤1伤害	1额外掉落2加一3时间4雷电5易伤69矿等7a核8伤害
