0	Index      	 *	Score 	Summary	Detail	
1	21381 26234	 * 	194.09	DCR|3DMG|2VULN|1AART|2CDMG|1SELL	1aVULN|2MBVNT|3MLV|47aDMG|5aCDMG|6SELL|8RCR|9AART|aBPWR
2	21124 35137	 * 	191.21	DCR|2VULN|2DMG|1AART|2ASPD|1CDMG	1aVULN|2MBVNT|3LIT|4AART|5aASPD|6CDMG|7RCR|8ERES|9aDMG|aBPWR
3	21881 74223	 * 	190.05	DCR|3VULN|3CDMG|3ASPD|1DMG|1ZMB	179VULN|2MBVNT|3RMIN|4DMG|579CDMG|679ASPD|79BPWR|8RCR|aZMB
4	21386 26234	 * 	187.92	DCR|3DMG|2VULN|1AART|2ASPD	1aVULN|2MBVNT|35MLV|47aDMG|6aASPD|8RCR|9AART|aBPWR
5	21442 28445	   	184.50	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1aVULN|2MBVNT|3DUR|4AART|5LHND|68DMG|7RCR|9CDMG
6	31342 28445	   	184.50	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|2MBVNT|3aVULN|4AART|5LHND|68DMG|7RCR|9CDMG
7	31441 28445	   	184.50	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|2MBVNT|3LWND|4AART|5aVULN|68DMG|7RCR|9CDMG
8	31341 22177	 * 	184.01	DCR|3VULN|2DMG|1AART|1DUR	1DUR|2MBVNT|36aVULN|4AART|56TLV|6BPWR|79DMG|8RCR
9	31346 22177	   	184.01	DCR|3VULN|2DMG|1AART|1DUR	1DUR|2MBVNT|36aVULN|4AART|56ERES|6BPWR|79DMG|8RCR
10	63262 35132	 * 	183.80	ACR|2VULN|2AART|1DMG|2ZMB|2ASPD	18ASPD|2MLV|38ZMB|4RCR|5ERES|6DMG|78VULN|8BPWR|9aAART
11	21442 28145	 * 	182.57	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	19aVULN|2MBVNT|3DUR|4AART|5LHND|6DMG|7RCR|8CDMG
12	31342 28145	   	182.57	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2MBVNT|39aVULN|4AART|5LHND|6DMG|7RCR|8CDMG
13	31441 28145	   	182.57	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2MBVNT|3LWND|4AART|59aVULN|6DMG|7RCR|8CDMG
14	21442 87822	 * 	182.30	DCR|4VULN|2AART|2DUR	1789VULN|2MBVNT|38DUR|4aAART|58LHND|6RCR|8BPWR
15	31342 87822	   	182.30	DCR|4VULN|2AART|2DUR	18DUR|2MBVNT|3789VULN|4aAART|58LHND|6RCR|8BPWR
16	31441 87822	   	182.30	DCR|4VULN|2AART|2DUR	18DUR|2MBVNT|38LWND|4aAART|5789VULN|6RCR|8BPWR
17	21742 17445	 * 	180.62	DCR|4VULN|1AART|1DMG|1DUR	167aVULN|2MBVNT|3RPLT|4AART|5DMG|8RCR|9DUR
18	32315 12526	 * 	180.39	DCR|3VULN|2AART|1CDMG|1ASPD|1DUR	1DUR|2LHND|368VULN|4CDMG|59AART|7RCR|aASPD
19	21432 11848	 * 	180.07	DCR|3VULN|3DMG|3DUR	18aVULN|2MBVNT|378DUR|4FEWX|5aCGEN|68aDMG|8aBPWR|9RCR
20	21472 11842	   	180.07	DCR|3VULN|3DMG|3DUR	18aVULN|2MBVNT|378DUR|4BEXP|5aCGEN|68aDMG|8aBPWR|9RCR
21	31332 11848	   	180.07	DCR|3VULN|3DMG|3DUR	178DUR|2MBVNT|38aVULN|4FEWX|5aCGEN|68aDMG|8aBPWR|9RCR
22	31372 11842	   	180.07	DCR|3VULN|3DMG|3DUR	178DUR|2MBVNT|38aVULN|4BEXP|5aCGEN|68aDMG|8aBPWR|9RCR
23	32352 16233	   	180.02	DCR|3DMG|2VULN|3DUR|1ZMB	19aDUR|2LHND|39VULN|4TLV|5ZMB|689DMG|7RCR|9BPWR
24	36352 16233	   	180.02	DCR|3DMG|2VULN|3DUR|1ZMB	19aDUR|2LWND|39VULN|4TLV|5ZMB|689DMG|7RCR|9BPWR
