0	Index      	 *	Score 	Summary	Detail	
1	43243 13314	 * 	205.09	ACR|3VULN|2DMG|1AART|2ZMB|1CDMG	18ZMB|2TLV|38aVULN|4DMSP|5RCR|6AART|78DMG|8BPWR|9CDMG
2	43243 13315	 * 	205.09	ACR|3DMG|2VULN|1AART|2ZMB|1CDMG	18ZMB|2TLV|38VULN|4DMSP|5RCR|6AART|78aDMG|8BPWR|9CDMG
3	43243 13313	   	196.38	ACR|2VULN|2DMG|1AART|2ZMB|1CDMG|1ASPD	18ZMB|2TLV|38VULN|4DMSP|5RCR|6AART|78DMG|8BPWR|9CDMG|aASPD
4	43243 13316	 * 	195.75	ACR|2VULN|2DMG|1AART|2CDMG|2ZMB	18ZMB|2TLV|38VULN|4DMSP|5RCR|6AART|78DMG|8BPWR|9aCDMG
5	42233 63141	 * 	192.97	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1ZMB|278DMG|3VULN|4DLOT|5ASPD|6RCR|9AART|aCDMG
6	42323 62125	 * 	192.37	DCR|3VULN|3ZMB|1AART|1DMG	179ZMB|2DMG|379MLV|479VULN|5RCVC|6RCR|79BPWR|8MBVNT|aAART
7	43243 13312	   	189.44	ACR|2VULN|2DMG|1AART|2ZMB|1CDMG	18ZMB|2TLV|38VULN|4DMSP|5RCR|6AART|78DMG|8BPWR|9CDMG|aRPLT
8	43243 13353	 * 	189.42	ACR|2VULN|2DMG|3ZMB|1AART	18aZMB|2aTLV|38VULN|4DMSP|5RCR|6AART|78DMG|8aBPWR|9aCGEN
9	43243 13336	   	189.32	ACR|2VULN|2DMG|3ZMB|1AART	18aZMB|2TLV|38VULN|4DMSP|5RCR|6AART|78DMG|8BPWR|9MLV
10	43243 13323	   	189.22	ACR|2VULN|2DMG|3ZMB|1AART	18aZMB|2aTLV|38VULN|4DMSP|5RCR|6AART|78DMG|8aBPWR|9aERES
11	43243 13326	   	189.22	ACR|2VULN|2DMG|3ZMB|1AART	18aZMB|2TLV|38VULN|4DMSP|5RCR|6AART|78DMG|8BPWR|9ERES
12	43243 12133	 * 	187.39	ACR|3DMG|3ZMB|1AART|1VULN	19aZMB|29aTLV|3VULN|4DMSP|5RCR|6AART|7CGEN|89aDMG|9aBPWR
13	42233 63115	 * 	186.76	DCR|3DMG|2VULN|1CDMG|1ZMB|1ASPD	1ZMB|278DMG|3aVULN|4DLOT|5ASPD|6RCR|9CDMG
14	42435 12231	 * 	185.58	ACR|3DMG|3ZMB|1AART|1CDMG	157ZMB|259DMG|3RCVC|4RCR|5BPWR|6CDMG|8AART|aFEWX
15	42435 12232	   	185.58	ACR|3DMG|3ZMB|1AART|1CDMG	157ZMB|259DMG|3RCVC|4RCR|5BPWR|6CDMG|8AART|aLHND
16	43243 13114	   	185.39	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1ZMB|2TLV|3aVULN|4DMSP|5RCR|6AART|78DMG|9CDMG
