0	Index      	 *	Score 	Summary	Detail	
1	12621 25513	 * 	193.42	DCR|3VULN|2DMG|1AART|1CDMG	136FEWX|29DMG|4AART|589VULN|7RCR|9BPWR|aCDMG
2	52261 63323	   	190.66	DCR|3VULN|2DMG|1AART|1CDMG|1DUR	1RMIN|24DMG|349VULN|4BPWR|5CDMG|6SNIHEL|7DUR|8AART|aRCR
3	52235 11323	 * 	190.30	DCR|3VULN|2DMG|3ZMB|2ASPD	1RMIN|28DMG|35aVULN|458ZMB|58BPWR|6DMSP|78ASPD|9RCR
4	12621 25511	   	186.71	DCR|3VULN|2DMG|1AART|1DUR	136FEWX|29DMG|4AART|589VULN|7RCR|9BPWR|aDUR
5	52261 12512	 * 	184.52	DCR|4VULN|2DMG|1CDMG|1ZMB	1RMIN|24DMG|3469VULN|4BPWR|5CDMG|7ZMB|8CGEN|aRCR
6	55261 33321	 * 	183.79	ACR|3DMG|2VULN|1AART	1RMIN|2AART|3RCR|4aLHND|57aDMG|6CGEN|8ERES|9aVULN|aBPWR
7	55231 23321	   	183.59	ACR|3DMG|2VULN|1AART	1RMIN|2AART|3RCR|4aDUST|57aDMG|6ERES|8CGEN|9aVULN|aBPWR
8	12521 11253	   	180.61	DCR|3VULN|2DMG|1AART|1DUR	1FEWX|25DMG|367VULN|4DUR|8RCR|9MGNLIT|aAART
9	52263 32211	 * 	180.52	DCR|4VULN|3DMG	1RMIN|24aDMG|346aVULN|4aBPWR|5MLV|7BEXP|8RCR|9aCGEN
10	52263 61211	   	180.52	DCR|4VULN|3DMG	1RMIN|24aDMG|347aVULN|4aBPWR|5MLV|6LHND|8RCR|9aCGEN
11	52263 41211	   	180.42	DCR|4VULN|3DMG	1RMIN|24aDMG|347aVULN|4aBPWR|5MLV|6DUST|8RCR|9aCGEN
12	52263 32221	   	180.32	DCR|4VULN|3DMG	1RMIN|24aDMG|346aVULN|4aBPWR|5MLV|7BEXP|8RCR|9aTLV
13	52263 61221	   	180.32	DCR|4VULN|3DMG	1RMIN|24aDMG|347aVULN|4aBPWR|5MLV|6LHND|8RCR|9aTLV
14	52263 41221	   	180.22	DCR|4VULN|3DMG	1RMIN|24aDMG|347aVULN|4aBPWR|5MLV|6DUST|8RCR|9aTLV
15	12621 25512	   	179.77	DCR|3VULN|2DMG|1AART	136FEWX|29DMG|4AART|589VULN|7RCR|9BPWR|aMLV
16	55231 25221	 * 	179.38	ACR|2AART|2VULN|2DMG	1RMIN|28AART|3RCR|4aDUST|5aDMG|6ERES|7CGEN|9aVULN|aBPWR
17	52261 12351	 * 	176.67	DCR|3VULN|2DMG|2ZMB|1CDMG	1RMIN|24DMG|346VULN|4BPWR|5CDMG|78ZMB|9RCR|aBEXP
18	52261 12353	   	176.43	DCR|3VULN|2DMG|2ZMB|1CDMG|1SELL	1RMIN|24DMG|346VULN|4BPWR|5CDMG|78ZMB|9RCR|aSELL
19	52262 13262	 * 	176.17	DCR|3DMG|2VULN|1AART	1RMIN|24aDMG|34VULN|4BPWR|5CGEN|6AART|7RPLT|8RCR|9BEXP
