0	Index      	 *	Score 	Summary	Detail	
1	27441 23436	 * 	287.02	DCR|4VULN|3DMG|3DUR|1RPLT	1MBVNT|2RCVC|3RPLT|49aDMG|589aVULN|69aDUR|7RCR|9aBPWR
2	33541 21226	 * 	280.10	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1DUR|2DMG|3MLV|4CDMG|5VULN|6aRCR|7LHND|8BELT|9RMIN
3	21744 38124	 * 	276.80	DCR|DCR|2VULN|1DMG	1MBVNT|2DUR|3DMG|49VULN|5VENFST|6aRCR|7LHND|8TLV
4	21744 84124	   	276.80	DCR|DCR|2VULN|1DMG	1MBVNT|2DUR|3DMG|49VULN|5VENFST|6FEWX|7aRCR|8TLV
5	21744 31438	   	276.70	DCR|DCR|2VULN|1DMG	1MBVNT|2DUR|3DMG|48VULN|5VENFST|6aRCR|7BBNT|9MDPS
6	21744 34438	   	276.70	DCR|DCR|2VULN|1DMG	1MBVNT|2DUR|3DMG|48VULN|5VENFST|6aRCR|7TBNT|9MDPS
7	21744 35124	   	276.70	DCR|DCR|2VULN|1DMG	1MBVNT|2DUR|3DMG|49VULN|5VENFST|6aRCR|7LEGI|8TLV
8	22764 44124	   	276.70	DCR|DCR|2VULN|1DMG	1MBVNT|2DUST|3DMG|4DUR|5CANSTR|69VULN|7aRCR|8TLV
9	21251 44571	   	270.28	DCR|DCR|2VULN|1CDMG	1MBVNT|2DUR|3AELOIC|4CDMG|58VULN|6LIT|7aRCR|9MULARM
10	33551 14122	 * 	261.92	DCR|2VULN|3MLV|1DMG|2DUR|1AART|1RPLT	18DUR|2DMG|389MLV|4AART|58VULN|6RPLT|7BELT|8BPWR|aRCR
11	63635 32313	   	258.62	DCR|DCR|1VULN|2DUR|1CDMG|1AART	1AIRHEA|2AART|3VULN|47DUR|5LWND|6CDMG|8RMIN|9aRCR
12	21744 36335	   	258.38	DCR|DCR|1VULN|1DMG|1RPLT	1MBVNT|2DUR|3DMG|4VULN|5VENFST|6aRCR|7RPLT|8FEWX|9FLTHEA
13	21744 36435	   	258.38	DCR|DCR|1VULN|1DMG|1RPLT	1MBVNT|2DUR|3DMG|4VULN|5VENFST|6aRCR|7RPLT|8LHND|9FLTHEA
14	21744 38435	   	258.38	DCR|DCR|1VULN|1DMG|1RPLT	1MBVNT|2DUR|3DMG|4VULN|5VENFST|6aRCR|7LHND|8RPLT|9FLTHEA
15	21744 84435	   	258.38	DCR|DCR|1VULN|1DMG|1RPLT	1MBVNT|2DUR|3DMG|4VULN|5VENFST|6FEWX|7aRCR|8RPLT|9FLTHEA
16	21744 35435	   	258.28	DCR|DCR|1VULN|1DMG|1RPLT	1MBVNT|2DUR|3DMG|4VULN|5VENFST|6aRCR|7LEGI|8RPLT|9FLTHEA
17	21744 36315	   	258.28	DCR|DCR|1VULN|1DMG|1RPLT	1MBVNT|2DUR|3DMG|4VULN|5VENFST|6aRCR|7RPLT|8FEWX|9BASARM
18	21744 36415	   	258.28	DCR|DCR|1VULN|1DMG|1RPLT	1MBVNT|2DUR|3DMG|4VULN|5VENFST|6aRCR|7RPLT|8LHND|9BASARM
19	21744 38415	   	258.28	DCR|DCR|1VULN|1DMG|1RPLT	1MBVNT|2DUR|3DMG|4VULN|5VENFST|6aRCR|7LHND|8RPLT|9BASARM
20	21744 84415	   	258.28	DCR|DCR|1VULN|1DMG|1RPLT	1MBVNT|2DUR|3DMG|4VULN|5VENFST|6FEWX|7aRCR|8RPLT|9BASARM
21	22764 44435	   	258.28	DCR|DCR|1VULN|1DMG|1RPLT	1MBVNT|2DUST|3DMG|4DUR|5CANSTR|6VULN|7aRCR|8RPLT|9FLTHEA
22	21744 35415	   	258.18	DCR|DCR|1VULN|1DMG|1RPLT	1MBVNT|2DUR|3DMG|4VULN|5VENFST|6aRCR|7LEGI|8RPLT|9BASARM
23	22764 44415	   	258.18	DCR|DCR|1VULN|1DMG|1RPLT	1MBVNT|2DUST|3DMG|4DUR|5CANSTR|6VULN|7aRCR|8RPLT|9BASARM
24	23543 63452	   	257.94	DCR|DCR|2VULN|1AART|1ZMB	1MBVNT|2AAC|34VULN|5TBNT|6AART|7aRCR|8ZMB|9RMIN
25	23543 63482	   	257.94	DCR|DCR|2VULN|1AART|1ZMB	1MBVNT|2AAC|34VULN|5TBNT|6AART|7aRCR|8ZMB|9CGEN
26	26727 12134	   	257.89	DCR|DCR|2VULN|1RPLT	1MBVNT|2RMIN|3MDPS|49VULN|5BLASTR|68RCR|7BASHEA|aRPLT
