0	Index      	 *	Score 	Summary	Detail	
1	31232 21434	 * 	286.70	DCR|DCR|2VULN|2MLV|1AART	19VULN|23LIT|45MLV|6AART|7aRCR|8AAC
2	32321 25451	 * 	277.61	DCR|DCR|2VULN|1DMG|1CDMG	14VULN|2TBNT|3RCVC|5LHND|69RCR|7DMG|8CDMG|aLIT
3	32321 25452	   	277.61	DCR|DCR|2VULN|1DMG|1CDMG	14VULN|2TBNT|3RCVC|5LHND|69RCR|7DMG|8CDMG|aBEXP
4	32321 25453	   	277.61	DCR|DCR|2VULN|1DMG|1CDMG	14VULN|2TBNT|3RCVC|5LHND|69RCR|7DMG|8CDMG|aCGEN
5	32323 25451	   	277.61	DCR|DCR|2VULN|1DMG|1CDMG	14VULN|2TBNT|3RCVC|5LWND|69RCR|7DMG|8CDMG|aLIT
6	32323 25452	   	277.61	DCR|DCR|2VULN|1DMG|1CDMG	14VULN|2TBNT|3RCVC|5LWND|69RCR|7DMG|8CDMG|aBEXP
7	32323 25453	   	277.61	DCR|DCR|2VULN|1DMG|1CDMG	14VULN|2TBNT|3RCVC|5LWND|69RCR|7DMG|8CDMG|aCGEN
8	23163 32227	   	273.28	DCR|DCR|2VULN|1DMG|1AART|1ZMB	1AAC|2AART|3CGEN|47VULN|5DMG|6MBVNT|8aRCR|9ZMB
9	23162 32257	   	273.28	DCR|DCR|2VULN|1DMG|1AART|1ZMB	1AAC|2AART|3CGEN|47VULN|5ZMB|6MBVNT|8aRCR|9DMG
10	31233 21434	   	271.09	DCR|DCR|2VULN|1MLV|1AART	19VULN|23LIT|4MLV|5RCVC|6AART|7aRCR|8AAC
11	34213 23414	 * 	270.70	DCR|DCR|2MLV|1VULN|1DMG	1VULN|2RCVC|3DMG|49MLV|5CGEN|6aRCR|7AME|8CANTOX
12	23162 32237	   	266.86	DCR|DCR|2VULN|1ASPD|1AART|1ZMB	1AAC|2AART|3CGEN|47VULN|5ZMB|6MBVNT|8aRCR|9ASPD
13	53143 32124	 * 	265.75	DCR|DCR|1VULN|2ASPD|1CDMG	1BBNT|2DUR|3CDMG|4LIT|59ASPD|6aRCR|7VULN|8RCVC
14	32321 25151	   	263.71	DCR|DCR|2VULN|1DMG|1SELL	14VULN|2TBNT|3RCVC|5LHND|69RCR|7DMG|8SELL|aLIT
15	32321 25152	   	263.71	DCR|DCR|2VULN|1DMG|1SELL	14VULN|2TBNT|3RCVC|5LHND|69RCR|7DMG|8SELL|aBEXP
16	32321 25153	   	263.71	DCR|DCR|2VULN|1DMG|1SELL	14VULN|2TBNT|3RCVC|5LHND|69RCR|7DMG|8SELL|aCGEN
17	32321 25155	   	263.71	DCR|DCR|2VULN|1DMG|1SELL	14VULN|2TBNT|3RCVC|5aLHND|69RCR|7DMG|8SELL
18	32321 25156	   	263.71	DCR|DCR|2VULN|1DMG|1SELL	14VULN|2TBNT|3RCVC|5LHND|69RCR|7DMG|8SELL|aFEWX
19	32323 25151	   	263.71	DCR|DCR|2VULN|1DMG|1SELL	14VULN|2TBNT|3RCVC|5LWND|69RCR|7DMG|8SELL|aLIT
20	32323 25152	   	263.71	DCR|DCR|2VULN|1DMG|1SELL	14VULN|2TBNT|3RCVC|5LWND|69RCR|7DMG|8SELL|aBEXP
21	32323 25153	   	263.71	DCR|DCR|2VULN|1DMG|1SELL	14VULN|2TBNT|3RCVC|5LWND|69RCR|7DMG|8SELL|aCGEN
22	32323 25155	   	263.71	DCR|DCR|2VULN|1DMG|1SELL	14VULN|2TBNT|3RCVC|5LWND|69RCR|7DMG|8SELL|aLHND
23	32323 25156	   	263.71	DCR|DCR|2VULN|1DMG|1SELL	14VULN|2TBNT|3RCVC|5LWND|69RCR|7DMG|8SELL|aBBNT
24	32321 25154	   	263.61	DCR|DCR|2VULN|1DMG|1SELL	14VULN|2TBNT|3RCVC|5LHND|69RCR|7DMG|8SELL|aDUST
25	32323 25154	   	263.61	DCR|DCR|2VULN|1DMG|1SELL	14VULN|2TBNT|3RCVC|5LWND|69RCR|7DMG|8SELL|aDUST
26	34113 22344	   	260.98	DCR|DCR|2VULN|1MLV|1ZMB	18VULN|2RCVC|3ZMB|4MLV|5CGEN|6aRCR|7FRZFST|9ERES
27	53143 32114	 * 	259.61	DCR|DCR|1VULN|2CDMG|1ASPD	1BBNT|2DUR|39CDMG|4LIT|5ASPD|6aRCR|7VULN|8RCVC
28	34461 22232	   	258.75	DCR|DCR|2VULN|2DUR	15VULN|2RCVC|35DUR|4AAC|5BPWR|6aRCR|7SNIFST|8FEWX|9TBNT
29	35363 12316	   	258.75	DCR|DCR|2VULN|2DUR	13VULN|23DUR|3BPWR|4AAC|5MDPS|6TBNT|7aRCR|8FEWX|9BELT
30	35363 22313	   	258.75	DCR|DCR|2VULN|2DUR	13VULN|23DUR|3BPWR|4AAC|5MDPS|6aRCR|7BEXP|8TLV|9BELT
31	35363 21151	   	258.51	DCR|DCR|2VULN|2DUR|1SELL	13VULN|23DUR|3BPWR|4AAC|5MDPS|69RCR|7LHND|8SELL|aLIT
32	35363 21152	   	258.51	DCR|DCR|2VULN|2DUR|1SELL	13VULN|23DUR|3BPWR|4AAC|5MDPS|69RCR|7LHND|8SELL|aBEXP
33	35363 21153	   	258.51	DCR|DCR|2VULN|2DUR|1SELL	13VULN|23DUR|3BPWR|4AAC|5MDPS|69RCR|7LHND|8SELL|aCGEN
34	35363 22151	   	258.51	DCR|DCR|2VULN|2DUR|1SELL	13VULN|23DUR|3BPWR|4AAC|5MDPS|69RCR|7BEXP|8SELL|aLIT
35	35363 22152	   	258.51	DCR|DCR|2VULN|2DUR|1SELL	13VULN|23DUR|3BPWR|4AAC|5MDPS|69RCR|7BEXP|8SELL|aFEWX
36	35363 22153	   	258.51	DCR|DCR|2VULN|2DUR|1SELL	13VULN|23DUR|3BPWR|4AAC|5MDPS|69RCR|7BEXP|8SELL|aCGEN
37	32112 32514	 * 	257.72	DCR|DCR|1VULN|2CDMG|1DMG	1VULN|2TBNT|39CDMG|4LHND|5RCVC|6LIT|7aRCR|8DMG
38	31143 36114	   	257.62	DCR|DCR|1VULN|2CDMG|1DMG	1VULN|2LIT|3TBNT|4DUST|59CDMG|6aRCR|7DMG|8RCVC
39	32143 32514	   	257.62	DCR|DCR|1VULN|1DMG|2CDMG	1VULN|2TBNT|39CDMG|4LIT|5ERES|6CGEN|7aRCR|8DMG
40	13631 22246	   	257.55	DCR|DCR|2VULN|1ASPD	1TLV|23CGEN|49VULN|5ASPD|6aRCR|7LHND|8BBNT
41	52143 32124	   	257.35	DCR|DCR|1VULN|2ASPD|1CDMG	1BBNT|2DUST|3CDMG|4LIT|59ASPD|6aRCR|7VULN|8RCVC
42	32144 32214	   	257.20	DCR|DCR|2VULN|1CDMG|1ZMB	18VULN|2TBNT|3CDMG|4LIT|5ZMB|6aRCR|7AELOIC|9BEXP
43	33314 61322	   	257.20	DCR|DCR|2VULN|1CDMG|1SELL	18VULN|2SELL|3LHND|4CDMG|5FEWX|6aRCR|7MSLTOX|9BBNT
44	33314 63322	   	257.20	DCR|DCR|2VULN|1CDMG|1SELL	18VULN|2SELL|3LHND|4CDMG|5FEWX|6aRCR|7LSRHEA|9BBNT
45	33414 61322	   	257.20	DCR|DCR|2VULN|1CDMG|1SELL	18VULN|2SELL|3BEXP|4CDMG|5FEWX|6aRCR|7MSLTOX|9BBNT
46	33414 63322	   	257.20	DCR|DCR|2VULN|1CDMG|1SELL	18VULN|2SELL|3BEXP|4CDMG|5FEWX|6aRCR|7LSRHEA|9BBNT
47	33514 61322	   	257.10	DCR|DCR|2VULN|1CDMG|1SELL	18VULN|2SELL|3DUST|4CDMG|5FEWX|6aRCR|7MSLTOX|9BBNT
48	33514 63322	   	257.10	DCR|DCR|2VULN|1CDMG|1SELL	18VULN|2SELL|3DUST|4CDMG|5FEWX|6aRCR|7LSRHEA|9BBNT
49	33341 63333	   	256.94	DCR|DCR|1VULN|1MLV|1ASPD|1SELL	1VULN|2SELL|3LHND|4BEXP|5BELT|6MLV|7DUR|8ASPD|9aRCR
