0	Index      	 *	Score 	Summary	Detail	
1	33131 51552	 * 	283.47	DCR|DCR|3VULN|1MLV	15BEXP|2MDPS|3MLV|4TBNT|67aVULN|89RCR
2	32422 21552	   	274.34	DCR|DCR|3VULN	1BEXP|2TBNT|3LHND|4DUR|57aVULN|6CGEN|89RCR
3	12332 31552	   	274.24	DCR|DCR|3VULN	1LHND|2TBNT|37aVULN|4AME|5BEXP|6DUR|89RCR
4	12352 31552	   	274.24	DCR|DCR|3VULN	1LHND|2TBNT|37aVULN|4ERES|5BEXP|6DUR|89RCR
5	62332 31552	   	274.24	DCR|DCR|3VULN	1FEWX|2TBNT|37aVULN|4AME|5BEXP|6DUR|89RCR
6	15516 23123	 * 	273.62	DCR|DCR|2VULN|1DMG|1RPLT	1LHND|2LIT|34VULN|5TLV|69RCR|7FEWX|8DMG|aRPLT
7	35516 23123	   	273.62	DCR|DCR|2VULN|1DMG|1RPLT	1BEXP|2LIT|34VULN|5TLV|69RCR|7FEWX|8DMG|aRPLT
8	15513 23123	   	273.52	DCR|DCR|2VULN|1DMG|1RPLT	1LHND|2LIT|34VULN|5CGEN|69RCR|7DUST|8DMG|aRPLT
9	15513 23124	   	273.52	DCR|DCR|2VULN|1DMG|1AART	1LHND|2LIT|34VULN|5CGEN|69RCR|7DUST|8DMG|aAART
10	15516 23121	   	272.27	DCR|DCR|2VULN|1DMG	1LHND|2LIT|34VULN|5TLV|69RCR|7FEWX|8DMG|aDUR
11	35516 23121	   	272.27	DCR|DCR|2VULN|1DMG	1BEXP|2LIT|34VULN|5TLV|69RCR|7FEWX|8DMG|aDUR
12	15513 23121	   	272.17	DCR|DCR|2VULN|1DMG	1LHND|2LIT|34VULN|5CGEN|69RCR|7DUST|8DMG|aDUR
13	31234 74727	 * 	270.74	ACR|DCR|3VULN|1DMG|1ASPD	1BEXP|26RCR|3ASPD|4MBVNT|5LIT|79aVULN|8DMG
14	32126 21552	   	265.94	DCR|DCR|3VULN	1BEXP|2TBNT|3CGEN|4DUST|57aVULN|6FEWX|89RCR
15	32126 31552	   	265.94	DCR|DCR|3VULN	1BEXP|2TBNT|3CGEN|4DUST|57aVULN|6LHND|89RCR
16	33231 51552	   	265.94	DCR|DCR|3VULN	15BEXP|2MDPS|3TLV|4TBNT|67aVULN|89RCR
17	12331 21552	   	265.84	DCR|DCR|3VULN	1LHND|2TBNT|37aVULN|4AME|5DUST|6BEXP|89RCR
18	12332 41552	   	265.84	DCR|DCR|3VULN	1LHND|2TBNT|37aVULN|4AME|5BEXP|6DUST|89RCR
19	12351 21552	   	265.84	DCR|DCR|3VULN	1LHND|2TBNT|37aVULN|4ERES|5DUST|6BEXP|89RCR
20	13422 31552	   	265.84	DCR|DCR|3VULN	14LHND|2MDPS|3BBNT|57aVULN|6ERES|89RCR
21	32331 21552	   	265.84	DCR|DCR|3VULN	1BEXP|2TBNT|37aVULN|4AME|5DUST|6FEWX|89RCR
22	32331 31552	   	265.84	DCR|DCR|3VULN	1BEXP|2TBNT|37aVULN|4AME|5DUST|6LHND|89RCR
23	32351 21552	   	265.84	DCR|DCR|3VULN	1BEXP|2TBNT|37aVULN|4ERES|5DUST|6FEWX|89RCR
24	32351 31552	   	265.84	DCR|DCR|3VULN	1BEXP|2TBNT|37aVULN|4ERES|5DUST|6LHND|89RCR
25	62331 21552	   	265.84	DCR|DCR|3VULN	1FEWX|2TBNT|37aVULN|4AME|5DUST|6BEXP|89RCR
26	62331 31552	   	265.84	DCR|DCR|3VULN	1FEWX|2TBNT|37aVULN|4AME|5DUST|6LHND|89RCR
27	12336 21552	   	265.74	DCR|DCR|3VULN	1LHND|2TBNT|37aVULN|45AME|6MDPS|89RCR
28	53232 12433	 * 	264.60	DCR|3VULN|2MLV|1DMG|2CDMG|1ASPD	1CGEN|26MLV|3DMG|4aCDMG|568VULN|6BPWR|7ASPD|9RCR
29	15513 23125	   	263.86	DCR|DCR|2VULN|1DMG	1LHND|2LIT|34VULN|5CGEN|69RCR|7DUST|8DMG|aLWND
30	15516 23122	   	263.86	DCR|DCR|2VULN|1DMG|1MSE	1LHND|2LIT|34VULN|5TLV|69RCR|7FEWX|8DMG|aMSE
31	35516 23122	   	263.86	DCR|DCR|2VULN|1DMG|1MSE	1BEXP|2LIT|34VULN|5TLV|69RCR|7FEWX|8DMG|aMSE
32	53232 13435	 * 	263.80	DCR|4VULN|2MLV|1DMG|1CDMG	1CGEN|26MLV|3DMG|4CDMG|568aVULN|6BPWR|7TLV|9RCR
33	15513 23122	   	263.76	DCR|DCR|2VULN|1DMG|1MSE	1LHND|2LIT|34VULN|5CGEN|69RCR|7DUST|8DMG|aMSE
34	15513 23126	   	263.76	DCR|DCR|2VULN|1DMG	1LHND|2LIT|34VULN|5CGEN|69RCR|7DUST|8DMG|aAME
35	53232 11435	   	263.70	DCR|4VULN|2MLV|1DMG|1CDMG	1CGEN|26MLV|3DMG|4CDMG|568aVULN|6BPWR|7ERES|9RCR
36	31243 24226	 * 	263.33	ACR|DCR|3VULN|2ASPD	17BEXP|29RCR|37ASPD|4ERES|5LIT|67aVULN|7BPWR|8FEWX
37	33131 51553	   	261.33	DCR|DCR|2VULN|1MLV	15BEXP|2MDPS|3MLV|4TBNT|67VULN|89RCR|aAAC
38	52111 12552	   	261.33	DCR|DCR|2VULN|1MLV	1CGEN|2LHND|3ERES|4MLV|5FEWX|6aVULN|7BBNT|89RCR
39	33131 51551	   	261.23	DCR|DCR|2VULN|1MLV	15BEXP|2MDPS|3MLV|4TBNT|67VULN|89RCR|aAIRHEA
40	51311 12552	   	261.23	DCR|DCR|2VULN|1MLV	1CGEN|2ERES|3DUST|4MLV|5FEWX|6aVULN|7BBNT|89RCR
