0	Index      	 *	Score 	Summary	Detail	
1	12235 63325	 * 	316.17	DCR|DCR|3VULN|2MLV	19ERES|2LHND|39MLV|4DUST|5MSLREG|68RCR|79aVULN|9BPWR
2	21214 24212	   	314.19	DCR|DCR|2VULN|2MLV|1DMG	1DMG|29VULN|38MLV|4BBNT|5SNIFST|6aRCR|7LWND
3	21224 24212	   	314.19	DCR|DCR|2VULN|2MLV|1DMG	1DMG|29VULN|38MLV|4TBNT|5SNIFST|6aRCR|7LWND
4	21246 24212	   	314.19	DCR|DCR|2VULN|2MLV|1DMG	1DMG|29VULN|38MLV|4SNIFST|5BBNT|6aRCR|7LWND
5	21214 23112	 * 	305.97	DCR|DCR|2VULN|2DMG|1MLV	17DMG|29VULN|3MLV|4BBNT|5SNIFST|6aRCR|8LWND
6	21224 23112	   	305.97	DCR|DCR|2VULN|2DMG|1MLV	17DMG|29VULN|3MLV|4TBNT|5SNIFST|6aRCR|8LWND
7	21246 23112	   	305.97	DCR|DCR|2VULN|2DMG|1MLV	17DMG|29VULN|3MLV|4SNIFST|5BBNT|6aRCR|8LWND
8	21214 23512	   	305.87	DCR|DCR|2VULN|2DMG|1MLV	17DMG|29VULN|3MLV|4BBNT|5SNIFST|6aRCR|8BEXP
9	21224 23512	   	305.87	DCR|DCR|2VULN|2DMG|1MLV	17DMG|29VULN|3MLV|4TBNT|5SNIFST|6aRCR|8BEXP
10	21246 23512	   	305.87	DCR|DCR|2VULN|2DMG|1MLV	17DMG|29VULN|3MLV|4SNIFST|5BBNT|6aRCR|8BEXP
11	21214 23152	 * 	305.58	DCR|DCR|2MLV|2DMG|1VULN	17DMG|2VULN|39MLV|4BBNT|5SNIFST|6aRCR|8LWND
12	21224 23152	   	305.58	DCR|DCR|2MLV|2DMG|1VULN	17DMG|2VULN|39MLV|4TBNT|5SNIFST|6aRCR|8LWND
13	21246 23152	   	305.58	DCR|DCR|2MLV|2DMG|1VULN	17DMG|2VULN|39MLV|4SNIFST|5BBNT|6aRCR|8LWND
14	21214 23552	   	305.48	DCR|DCR|2MLV|2DMG|1VULN	17DMG|2VULN|39MLV|4BBNT|5SNIFST|6aRCR|8BEXP
15	21224 23552	   	305.48	DCR|DCR|2MLV|2DMG|1VULN	17DMG|2VULN|39MLV|4TBNT|5SNIFST|6aRCR|8BEXP
16	61242 18412	 * 	298.04	DCR|3VULN|3MLV|2TLV	138MLV|26aVULN|4aERES|5MBVNT|7aTLV|9RCR|aBPWR
17	61142 31212	   	294.76	DCR|3VULN|2MLV|2TLV|2CDMG	17MLV|257VULN|3CGEN|4FRZICY|67TLV|7BPWR|8aCDMG|9RCR
18	62135 63321	   	294.23	DCR|DCR|2VULN|2MLV	19MLV|2LHND|39CGEN|4DUST|5MSLREG|68RCR|79VULN|9BPWR|aRCVC
19	62135 63322	   	294.23	DCR|DCR|2VULN|2MLV	19MLV|2LHND|39CGEN|4DUST|5MSLREG|68RCR|79VULN|9BPWR|aRMIN
20	62135 63323	   	294.23	DCR|DCR|2VULN|2MLV	19MLV|2LHND|39CGEN|4DUST|5MSLREG|68RCR|79VULN|9BPWR|aRPLT
21	62325 63321	   	294.13	DCR|DCR|2VULN|2MLV	19MLV|2LHND|39BEXP|4CGEN|5MSLREG|68RCR|79VULN|9BPWR|aRCVC
22	62325 63322	   	294.13	DCR|DCR|2VULN|2MLV	19MLV|2LHND|39BEXP|4CGEN|5MSLREG|68RCR|79VULN|9BPWR|aRMIN
23	62325 63323	   	294.13	DCR|DCR|2VULN|2MLV	19MLV|2LHND|39BEXP|4CGEN|5MSLREG|68RCR|79VULN|9BPWR|aRPLT
24	12235 63321	   	294.03	DCR|DCR|2VULN|2MLV	19ERES|2LHND|39MLV|4DUST|5MSLREG|68RCR|79VULN|9BPWR|aRCVC
25	12235 63322	   	294.03	DCR|DCR|2VULN|2MLV	19ERES|2LHND|39MLV|4DUST|5MSLREG|68RCR|79VULN|9BPWR|aRMIN
26	12235 63323	   	294.03	DCR|DCR|2VULN|2MLV	19ERES|2LHND|39MLV|4DUST|5MSLREG|68RCR|79VULN|9BPWR|aRPLT
27	12235 63324	   	293.93	DCR|DCR|2VULN|2MLV	19ERES|2LHND|39MLV|4DUST|5MSLREG|68RCR|79VULN|9BPWR|aAEFRZ
28	12235 63326	   	293.93	DCR|DCR|2VULN|2MLV|1MSE	19ERES|2LHND|39MLV|4DUST|5MSLREG|68RCR|79VULN|9BPWR|aMSE
29	12235 63335	   	293.93	DCR|DCR|2VULN|2MLV	1ERES|2LHND|39MLV|4DUST|5MSLREG|68RCR|7aVULN
30	61142 31211	   	288.45	DCR|3VULN|2MLV|2TLV|1CDMG	17MLV|257VULN|3CGEN|4FRZICY|67TLV|7BPWR|8CDMG|9RCR|aLHND
31	61142 31214	   	288.45	DCR|3VULN|2MLV|2TLV|1CDMG	17MLV|257VULN|3CGEN|4FRZICY|67TLV|7BPWR|8CDMG|9RCR|aLIT
32	61142 31215	   	288.45	DCR|3VULN|2MLV|2TLV|1CDMG	17MLV|257VULN|3CGEN|4FRZICY|67TLV|7BPWR|8CDMG|9RCR|aLWND
33	21214 24612	   	288.38	DCR|DCR|2VULN|1MLV|1DMG	1DMG|29VULN|3MLV|4BBNT|5SNIFST|6aRCR|78LWND
34	21224 24612	   	288.38	DCR|DCR|2VULN|1MLV|1DMG	1DMG|29VULN|3MLV|4TBNT|5SNIFST|6aRCR|78LWND
35	61142 31213	   	288.35	DCR|3VULN|2MLV|2TLV|1CDMG	17MLV|257VULN|3CGEN|4FRZICY|67TLV|7BPWR|8CDMG|9RCR|aAETHUN
36	61142 31216	   	288.35	DCR|3VULN|2MLV|2TLV|1CDMG	17MLV|257VULN|3CGEN|4FRZICY|67TLV|7BPWR|8CDMG|9RCR|aLEGI
37	21214 21112	   	288.28	DCR|DCR|2VULN|1MLV|1DMG	1DMG|29VULN|3MLV|4BBNT|5SNIFST|6aRCR|7AEPOI|8LWND
38	21224 21112	   	288.28	DCR|DCR|2VULN|1MLV|1DMG	1DMG|29VULN|3MLV|4TBNT|5SNIFST|6aRCR|7AEPOI|8LWND
39	21246 21112	   	288.28	DCR|DCR|2VULN|1MLV|1DMG	1DMG|29VULN|3MLV|4SNIFST|5BBNT|6aRCR|7AEPOI|8LWND
40	22235 63312	   	288.28	DCR|DCR|2VULN|1MLV|1DMG	1DMG|2LHND|3MLV|4FEWX|5BLAICY|6aRCR|79VULN|8MDPS
41	21214 21512	   	288.18	DCR|DCR|2VULN|1MLV|1DMG	1DMG|29VULN|3MLV|4BBNT|5SNIFST|6aRCR|7AEPOI|8BEXP
42	21224 21512	   	288.18	DCR|DCR|2VULN|1MLV|1DMG	1DMG|29VULN|3MLV|4TBNT|5SNIFST|6aRCR|7AEPOI|8BEXP
43	21246 21512	   	288.18	DCR|DCR|2VULN|1MLV|1DMG	1DMG|29VULN|3MLV|4SNIFST|5BBNT|6aRCR|7AEPOI|8BEXP
