0	Index      	 *	Score 	Summary	Detail	
1	41344 13111	 * 	182.46	橙3易伤1全技能1伤害1暴击2时间	14时间2掉矿367易伤5全技能8暴击9核a伤害
31	61313 25321	   	169.17	橙4易伤2伤害	1挖尘2掉矿357a易伤49伤害6核8基地爆炸
32	61313 25632	   	169.17	橙4易伤2伤害	1挖尘2掉矿3578易伤49伤害6核a金币生成
33	41346 21231	 * 	169.14	橙2易伤2暴击1伤害3时间1策反	149时间2掉矿39易伤5矿等6核7策反89暴击9序列升级a伤害
34	44432 21231	   	169.14	橙2易伤2暴击1伤害3时间1策反	149时间2矿等39易伤5掉矿6核7策反89暴击9序列升级a伤害
35	24431 41222	   	169.11	橙3易伤2伤害3时间	19敌人爆炸2矿等39a易伤468时间59伤害7核9序列升级
36	44213 41222	   	169.11	橙3易伤2伤害3时间	168时间29矿等3敌人爆炸49伤害59a易伤7核9序列升级
37	44221 41222	   	169.11	橙3易伤2伤害3时间	168时间29矿等3敌人爆炸49a易伤59伤害7核9序列升级
38	33412 25431	   	169.07	橙4易伤2伤害	1等级2378易伤49伤害5挖尘6核a掉矿
39	61313 25133	   	169.07	橙4易伤2伤害	1挖尘28掉矿357a易伤49伤害6核
40	61313 25631	   	169.07	橙4易伤2伤害	1挖尘2a掉矿3578易伤49伤害6核
41	33421 63111	   	169.03	橙3易伤1全技能1伤害1暴击	1等级235易伤4立即金币6暴击7全技能8基地爆炸9核a伤害
42	33421 63411	   	169.03	橙3易伤1全技能1伤害1暴击	1等级235易伤4立即金币6暴击7全技能8敌人爆炸9核a伤害
43	21413 25521	   	169.02	橙4易伤2伤害1卖塔	1敌人爆炸2掉矿357a易伤49伤害6核8卖塔
44	21441 41222	   	169.01	橙3易伤2伤害3时间	19敌人爆炸2掉矿39a易伤468时间59伤害7核9序列升级
45	61313 25521	   	168.92	橙4易伤2伤害1卖塔	1挖尘2掉矿357a易伤49伤害6核8卖塔
46	36431 41222	   	168.91	橙3易伤2伤害3时间	19等级2基地爆炸39a易伤468时间59伤害7核9序列升级
47	41213 41222	   	168.91	橙3易伤2伤害3时间	168时间29掉矿3敌人爆炸49伤害59a易伤7核9序列升级
48	41221 41222	   	168.91	橙3易伤2伤害3时间	168时间29掉矿3敌人爆炸49a易伤59伤害7核9序列升级
49	21413 25324	 * 	168.81	橙3易伤2伤害1暴击	1敌人爆炸2掉矿357易伤49伤害6核8基地爆炸a暴击
50	33213 25324	   	168.81	橙3易伤2伤害1暴击	1等级257易伤3敌人爆炸49伤害6核8基地爆炸a暴击
51	33213 25624	   	168.81	橙3易伤2伤害1暴击	1等级257易伤3敌人爆炸49伤害6核8低血量敌人a暴击
52	34431 41222	   	168.81	橙3易伤2伤害3时间	19等级2挖尘39a易伤468时间59伤害7核9序列升级
53	61341 41222	   	168.81	橙3易伤2伤害3时间	19挖尘2掉矿39a易伤468时间59伤害7核9序列升级
54	33412 25224	   	168.71	橙3易伤2伤害1暴击	1等级237易伤49伤害5挖尘6核8敌人爆炸a暴击
55	61313 25324	   	168.71	橙3易伤2伤害1暴击	1挖尘2掉矿357易伤49伤害6核8基地爆炸a暴击
56	25422 32224	   	168.51	橙3易伤2伤害1策反1时间	16a敌人爆炸2策反34a易伤5掉矿7时间8核9a伤害a序列升级
57	33421 66211	   	168.43	橙3易伤1全技能1伤害1暴击	1等级235易伤4立即金币6暴击7敌人爆炸8全技能9核a伤害
58	21413 42226	 * 	168.31	橙3伤害2易伤1策反1时间	1敌人爆炸2掉矿35易伤469伤害7时间8核a策反
59	61313 42226	   	168.21	橙3伤害2易伤1策反1时间	1挖尘2掉矿35易伤469伤害7时间8核a策反
60	21413 42633	 * 	168.16	橙3易伤3伤害1时间	1敌人爆炸2掉矿358易伤469伤害7时间a核
61	33213 42433	   	168.16	橙3易伤3伤害1时间	1等级258易伤3敌人爆炸469伤害7时间a核
62	33412 42433	   	168.06	橙3易伤3伤害1时间	1等级238易伤469伤害5挖尘7时间a核
63	61313 42633	   	168.06	橙3易伤3伤害1时间	1挖尘2掉矿358易伤469伤害7时间a核
64	31414 21313	 * 	167.38	橙2易伤1全技能1伤害1喷火对愈1策反	1等级2低血量敌人39易伤4伤害5矿等6策反7核8喷火对愈a全技能
65	33614 21313	   	167.38	橙2易伤1全技能1伤害1喷火对愈1策反	1等级29易伤3低血量敌人4伤害5矿等6策反7核8喷火对愈a全技能
66	36414 21313	   	167.38	橙2易伤1全技能1伤害1喷火对愈1策反	1等级2基地爆炸39易伤4伤害5矿等6策反7核8喷火对愈a全技能
67	34414 21313	   	167.28	橙2易伤1全技能1伤害1喷火对愈1策反	1等级2挖尘39易伤4伤害5矿等6策反7核8喷火对愈a全技能
68	61314 21363	   	167.28	橙2易伤1全技能1伤害1喷火对愈1策反	1挖尘2掉矿39易伤4伤害5矿等6策反7核8喷火对愈a全技能
69	24431 41221	 * 	167.11	橙2易伤2伤害3时间1暴击	19敌人爆炸2矿等39易伤468时间59伤害7核9序列升级a暴击
70	44213 41221	   	167.11	橙2易伤2伤害3时间1暴击	168时间29矿等3敌人爆炸49伤害59易伤7核9序列升级a暴击
71	44221 41221	   	167.11	橙2易伤2伤害3时间1暴击	168时间29矿等3敌人爆炸49易伤59伤害7核9序列升级a暴击
72	21441 41221	   	167.01	橙2易伤2伤害3时间1暴击	19敌人爆炸2掉矿39易伤468时间59伤害7核9序列升级a暴击
73	36431 41221	   	166.91	橙2易伤2伤害3时间1暴击	19等级2基地爆炸39易伤468时间59伤害7核9序列升级a暴击
74	41213 41221	   	166.91	橙2易伤2伤害3时间1暴击	168时间29掉矿3敌人爆炸49伤害59易伤7核9序列升级a暴击
75	41221 41221	   	166.91	橙2易伤2伤害3时间1暴击	168时间29掉矿3敌人爆炸49易伤59伤害7核9序列升级a暴击
76	42114 63111	   	166.91	橙2易伤1全技能1伤害1暴击2时间	12时间2序列升级37易伤4随机矿5全技能6立即金币8暴击9核a伤害
77	42223 33111	   	166.91	橙2易伤1全技能1伤害1暴击2时间	12时间2序列升级3矿等4立即金币5全技能67易伤8暴击9核a伤害
78	42463 33111	   	166.91	橙2易伤1全技能1伤害1暴击2时间	12时间2序列升级3立即金币4矿等5全技能67易伤8暴击9核a伤害
79	21413 61521	   	166.87	橙4易伤2伤害	1敌人爆炸2掉矿358a易伤49伤害6最后敌人7核
80	34431 41221	   	166.81	橙2易伤2伤害3时间1暴击	19等级2挖尘39易伤468时间59伤害7核9序列升级a暴击
81	61341 41221	   	166.81	橙2易伤2伤害3时间1暴击	19挖尘2掉矿39易伤468时间59伤害7核9序列升级a暴击
82	61313 61521	   	166.77	橙4易伤2伤害	1挖尘2掉矿358a易伤49伤害6最后敌人7核
83	33213 42414	   	166.60	橙4易伤2伤害1时间	1等级2589易伤3敌人爆炸46伤害7时间a核
84	33213 61524	   	166.41	橙3易伤2伤害1暴击	1等级258易伤3敌人爆炸49伤害6最后敌人7核a暴击
85	15422 22324	   	166.37	橙3易伤2伤害1策反	17a低血量敌人2策反34a易伤5掉矿6核8基地爆炸9a伤害a序列升级
86	25422 22124	   	166.37	橙3易伤2伤害1策反	18a敌人爆炸2策反34a易伤5掉矿6核7低血量敌人9a伤害a序列升级
87	33213 25623	   	166.17	橙3易伤2伤害1策反	1等级257易伤3敌人爆炸49伤害6核8低血量敌人a策反
88	33412 25223	   	166.07	橙3易伤2伤害1策反	1等级237易伤49伤害5挖尘6核8敌人爆炸a策反
89	34413 25223	   	166.07	橙3易伤2伤害1策反	1等级2挖尘357易伤49伤害6核8敌人爆炸a策反
90	36413 25323	   	166.07	橙3易伤2伤害1策反	1等级2基地爆炸357易伤49伤害6核8挖尘a策反
91	21413 41222	   	166.02	橙3易伤3伤害	1敌人爆炸2掉矿35a易伤469伤害7基地爆炸8核
92	61313 41222	   	165.92	橙3易伤3伤害	1挖尘2掉矿35a易伤469伤害7敌人爆炸8核
93	42161 63131	   	165.46	橙2易伤1全技能1伤害2时间1策反	12时间2序列升级34易伤5雷电6基地爆炸7全技能8核9策反a伤害
94	33213 25434	   	165.23	橙4易伤1伤害1暴击	1等级2578易伤3敌人爆炸4伤害6核9挖青a暴击
95	21413 51221	   	165.00	橙3易伤2伤害2时间	1敌人爆炸2掉矿35a易伤49伤害68时间7核
96	44412 21322	   	165.00	橙3易伤2伤害2时间	19时间2矿等39a易伤49伤害568挖尘7核9序列升级
97	61313 51221	   	164.90	橙3易伤2伤害2时间	1挖尘2掉矿35a易伤49伤害68时间7核
98	11313 24356	   	164.51	橙2易伤2伤害1全技能	15低血量敌人2掉矿38易伤4a伤害6核7全技能9基地爆炸
99	11313 24366	   	164.51	橙2易伤2伤害1全技能	15低血量敌人2掉矿38易伤4a伤害6核7全技能9最后敌人
100	21411 25613	   	164.51	橙5易伤1伤害	1敌人爆炸2掉矿3789a易伤4伤害5立即金币6核
101	21413 24613	   	164.51	橙5易伤1伤害	1敌人爆炸2掉矿3589a易伤4伤害6核7双倍矿
102	21413 25611	   	164.51	橙5易伤1伤害	1a敌人爆炸2掉矿35789易伤4伤害6核
103	21413 25612	   	164.51	橙5易伤1伤害	1敌人爆炸2掉矿35789易伤4伤害6核a雷电
104	21413 25613	   	164.51	橙5易伤1伤害	1敌人爆炸2掉矿35789易伤4伤害6核a最后敌人
105	21413 25623	   	164.51	橙5易伤1伤害	19敌人爆炸2掉矿3578a易伤4伤害6核
106	33213 25411	   	164.51	橙5易伤1伤害	1等级25789易伤3a敌人爆炸4伤害6核
107	33213 25412	   	164.51	橙5易伤1伤害	1等级25789易伤3敌人爆炸4伤害6核a雷电
108	33213 25413	   	164.51	橙5易伤1伤害	1等级25789易伤3敌人爆炸4伤害6核a最后敌人
109	33213 25414	   	164.51	橙5易伤1伤害	1等级25789易伤3敌人爆炸4伤害6核a金币生成
110	11313 24316	   	164.41	橙2易伤2伤害1全技能	15低血量敌人2掉矿38易伤4a伤害6核7全技能9挖尘
111	33222 24451	   	164.41	橙2易伤2伤害1全技能	1等级24易伤3敌人爆炸5掉矿6核7全技能8基地爆炸9a伤害
112	21413 25113	   	164.41	橙5易伤1伤害	1敌人爆炸28掉矿3579a易伤4伤害6核
113	21413 25631	   	164.41	橙5易伤1伤害	1敌人爆炸2掉矿3578a易伤4伤害6核9挖青
114	33412 25411	   	164.41	橙5易伤1伤害	1等级23789易伤4伤害5挖尘6核a敌人爆炸
115	33412 25412	   	164.41	橙5易伤1伤害	1等级23789易伤4伤害5挖尘6核a立即金币
116	33412 25413	   	164.41	橙5易伤1伤害	1等级23789易伤4伤害5挖尘6核a最后敌人
117	61311 25613	   	164.41	橙5易伤1伤害	1挖尘2掉矿3789a易伤4伤害5立即金币6核
118	61313 24613	   	164.41	橙5易伤1伤害	1挖尘2掉矿3589a易伤4伤害6核7双倍矿
119	61313 25611	   	164.41	橙5易伤1伤害	1挖尘2掉矿35789易伤4伤害6核a敌人爆炸
120	61313 25612	   	164.41	橙5易伤1伤害	1挖尘2掉矿35789易伤4伤害6核a立即金币
121	61313 25613	   	164.41	橙5易伤1伤害	1挖尘2掉矿35789易伤4伤害6核a最后敌人
122	61313 25621	   	164.41	橙5易伤1伤害	1挖尘2掉矿3578a易伤4伤害6核9敌人爆炸
123	61213 65221	   	164.37	橙4易伤2伤害	1挖尘2掉矿3敌人爆炸49伤害567a易伤8核
124	61221 65221	   	164.37	橙4易伤2伤害	1挖尘2掉矿3敌人爆炸467a易伤59伤害8核
125	61313 35221	   	164.37	橙4易伤2伤害	1挖尘2掉矿357a易伤49伤害6敌人爆炸8核
126	61313 25113	   	164.31	橙5易伤1伤害	1挖尘28掉矿3579a易伤4伤害6核
127	33213 25415	   	164.26	橙5易伤1伤害1卖塔	1等级25789易伤3敌人爆炸4伤害6核a卖塔
128	42114 53312	   	164.16	橙2易伤1全技能2暴击2时间1策反	12时间2序列升级38易伤4随机矿5全技能67暴击9核a策反
129	44422 21331	   	164.15	橙3易伤1全技能2时间1策反	19时间2矿等349易伤5掉矿6核7策反89激光对冰9序列升级a全技能
130	21413 41225	 * 	164.01	橙3伤害2易伤1暴击	1敌人爆炸2掉矿35易伤469伤害7基地爆炸8核a暴击
131	15422 31124	   	163.97	橙3易伤2伤害1策反	1a低血量敌人2策反34a易伤5掉矿68敌人爆炸7核9a伤害a序列升级
132	61313 35224	   	163.91	橙3易伤2伤害1暴击	1挖尘2掉矿357易伤49伤害6敌人爆炸8核a暴击
133	61313 41225	   	163.91	橙3伤害2易伤1暴击	1挖尘2掉矿35易伤469伤害7敌人爆炸8核a暴击
134	34423 21324	   	163.77	橙3易伤2伤害1策反	1a等级2挖尘34a易伤5基地爆炸6策反7核8立即金币9a伤害a序列升级
135	33213 61523	   	163.77	橙3易伤2伤害1策反	1等级258易伤3敌人爆炸49伤害6最后敌人7核a策反
136	15226 32411	   	163.67	橙3易伤1全技能1暴击1策反	1低血量敌人2策反3敌人爆炸479易伤5全技能6暴击8核a金币生成
137	15226 32413	   	163.67	橙3易伤1全技能1暴击1策反	1低血量敌人2策反3敌人爆炸479易伤5全技能6暴击8核a最后敌人
138	33412 61523	   	163.67	橙3易伤2伤害1策反	1等级238易伤49伤害5挖尘6最后敌人7核a策反
139	33412 23614	 * 	163.58	橙3易伤3暴击1伤害	1a等级23a易伤4伤害5挖尘6核7平台89a暴击a序列升级
140	15226 32412	   	163.57	橙3易伤1全技能1暴击1策反	1低血量敌人2策反3敌人爆炸479易伤5全技能6暴击8核a挖尘
141	45422 23213	   	163.57	橙2易伤1全技能1伤害1策反1时间	1时间2策反34易伤5掉矿6核7平台8双倍物品9全技能a伤害
142	61314 21336	 * 	163.34	橙1全技能1易伤1伤害1喷火对愈1暴击1策反	1挖尘2掉矿3易伤4伤害5矿等6策反7核8喷火对愈9暴击a全技能
143	51216 23413	   	163.32	紫3伤害2易伤2时间	127雷电38易伤489伤害5核68时间8序列升级a最后敌人
144	11313 22652	   	163.31	橙2易伤2伤害1全技能	157低血量敌人2掉矿38易伤4a伤害6核9全技能
145	31413 22452	   	163.31	橙2易伤2伤害1全技能	1等级257低血量敌人38易伤4a伤害6核9全技能
146	33613 22452	   	163.31	橙2易伤2伤害1全技能	1等级28易伤357低血量敌人4a伤害6核9全技能
147	21413 23516	   	163.21	橙2易伤2伤害1全技能	1敌人爆炸2掉矿35易伤4a伤害6核7平台8挖尘9全技能
148	21413 26361	   	163.21	橙2易伤2伤害1全技能	1敌人爆炸2掉矿35易伤4a伤害6核7等级8雷电9全技能
149	33213 23516	   	163.21	橙2易伤2伤害1全技能	1等级25易伤3敌人爆炸4a伤害6核7平台8挖尘9全技能
150	41242 61212	 * 	163.17	橙2全技能1易伤1伤害1暴击1时间	1时间2掉矿3敌人爆炸4a全技能5雷电6核7暴击8易伤9伤害
151	61313 26361	   	163.11	橙2易伤2伤害1全技能	1挖尘2掉矿35易伤4a伤害6核7等级8雷电9全技能
152	41211 55311	   	163.07	橙2伤害1全技能1易伤1策反1时间	1时间2掉矿3敌人爆炸4a伤害5立即金币6全技能7核8易伤9策反
153	33515 33422	   	163.05	橙2易伤2伤害1全技能1时间	17等级27易伤3双倍矿47伤害5全技能6核弹7序列升级8时间9矿等a核
154	21413 51224	   	162.99	橙2易伤2伤害1暴击2时间	1敌人爆炸2掉矿35易伤49伤害68时间7核a暴击
155	33213 51224	   	162.99	橙2易伤2伤害1暴击2时间	1等级25易伤3敌人爆炸49伤害68时间7核a暴击
156	44412 21321	   	162.99	橙2易伤2伤害1暴击2时间	19时间2矿等39易伤49伤害568挖尘7核9序列升级a暴击
157	33412 51224	   	162.89	橙2易伤2伤害1暴击2时间	1等级23易伤49伤害5挖尘68时间7核a暴击
158	61313 51224	   	162.89	橙2易伤2伤害1暴击2时间	1挖尘2掉矿35易伤49伤害68时间7核a暴击
159	12123 24562	   	162.88	橙3易伤1全技能1伤害	1259低血量敌人29序列升级389易伤49敌人爆炸6核7全技能a伤害
160	13123 24562	   	162.88	橙3易伤1全技能1伤害	1259低血量敌人389易伤49敌人爆炸6核7全技能9序列升级a伤害
161	14422 21234	 * 	162.78	橙4易伤2暴击1策反	19低血量敌人2矿等349a易伤5掉矿6核7策反89暴击9序列升级
162	24422 21234	   	162.78	橙4易伤2暴击1策反	19敌人爆炸2矿等349a易伤5掉矿6核7策反89暴击9序列升级
163	41242 61211	   	162.73	橙1全技能1易伤1伤害1暴击1策反1时间	1时间2掉矿3敌人爆炸4全技能5雷电6核7暴击8易伤9伤害a策反
164	33213 25443	   	162.68	橙4易伤1伤害1策反	1等级2578易伤3敌人爆炸4伤害6核9低血量敌人a策反
165	33213 25453	   	162.68	橙4易伤1伤害1策反	1等级2578易伤3敌人爆炸4伤害6核9最后敌人a策反
166	21413 42224	 * 	162.60	橙3伤害2易伤2时间	1敌人爆炸2掉矿35易伤469伤害7a时间8核
167	21413 42251	   	162.60	橙3易伤2伤害2时间	1敌人爆炸2掉矿35a易伤46伤害79时间8核
168	21413 55222	   	162.60	橙3易伤2伤害2时间	1敌人爆炸2掉矿357易伤49伤害6a时间8核
169	21413 53221	   	162.60	橙3易伤2伤害2时间	1敌人爆炸2掉矿35a易伤49伤害67时间8核
170	41213 45221	   	162.60	橙3易伤2伤害2时间	16时间2掉矿3敌人爆炸49伤害57a易伤8核
171	41221 45221	   	162.60	橙3易伤2伤害2时间	16时间2掉矿3敌人爆炸47a易伤59伤害8核
172	31422 21234	   	162.58	橙4易伤2暴击1策反	19等级2低血量敌人349a易伤5掉矿6核7策反89暴击9序列升级
173	33213 25433	   	162.58	橙4易伤1伤害1策反	1等级2578易伤3敌人爆炸4伤害6核9挖青a策反
174	33412 25423	   	162.58	橙4易伤1伤害1策反	1等级2378易伤4伤害5挖尘6核9敌人爆炸a策反
175	36422 21234	   	162.58	橙4易伤2暴击1策反	19等级2基地爆炸349a易伤5掉矿6核7策反89暴击9序列升级
176	12132 24562	   	162.58	橙3易伤1全技能1伤害	129低血量敌人29序列升级389易伤459挖尘6核7全技能a伤害
177	12162 24512	   	162.58	橙3易伤1全技能1伤害	124低血量敌人24序列升级348易伤59挖尘6核7全技能a伤害
178	13132 24562	   	162.58	橙3易伤1全技能1伤害	129低血量敌人389易伤459挖尘6核7全技能9序列升级a伤害
179	13162 24512	   	162.58	橙3易伤1全技能1伤害	124低血量敌人348易伤4序列升级59挖尘6核7全技能a伤害
180	41312 45221	   	162.50	橙3易伤2伤害2时间	16时间2掉矿37a易伤49伤害5挖尘8核
181	61313 42224	   	162.50	橙3伤害2易伤2时间	1挖尘2掉矿35易伤469伤害7a时间8核
182	61313 42251	   	162.50	橙3易伤2伤害2时间	1挖尘2掉矿35a易伤46伤害79时间8核
183	61313 53221	   	162.50	橙3易伤2伤害2时间	1挖尘2掉矿35a易伤49伤害67时间8核
184	61313 55222	   	162.50	橙3易伤2伤害2时间	1挖尘2掉矿357易伤49伤害6a时间8核
185	33412 25611	   	162.48	橙4易伤1伤害1策反	1等级237a易伤4伤害5挖尘6核8策反9掉矿
186	34422 21234	   	162.48	橙4易伤2暴击1策反	19等级2挖尘349a易伤5掉矿6核7策反89暴击9序列升级
187	33222 24356	   	162.48	橙3易伤1全技能1伤害	1等级248易伤3敌人爆炸5掉矿6核7全技能9基地爆炸a伤害
188	33222 24366	   	162.48	橙3易伤1全技能1伤害	1等级248易伤3敌人爆炸5掉矿6核7全技能9最后敌人a伤害
189	41344 13113	   	162.40	橙3易伤1全技能1暴击2时间	14时间2掉矿367易伤5全技能8暴击9核a雷电
190	31422 24316	   	162.38	橙3易伤1全技能1伤害	1等级2低血量敌人348易伤5掉矿6核7全技能9挖尘a伤害
191	33222 24316	   	162.38	橙3易伤1全技能1伤害	1等级248易伤3敌人爆炸5掉矿6核7全技能9挖尘a伤害
192	33622 24316	   	162.38	橙3易伤1全技能1伤害	1等级248易伤3低血量敌人5掉矿6核7全技能9挖尘a伤害
193	23121 12342	 * 	162.37	橙1全技能1易伤1伤害1喷火对愈1暴击2时间	1敌人爆炸2低血量敌人3喷火对愈45时间6全技能7暴击8伤害9核a易伤
194	43126 12342	   	162.37	橙1全技能1易伤1伤害1喷火对愈1暴击2时间	14时间2低血量敌人3喷火对愈5最后敌人6全技能7暴击8伤害9核a易伤
195	34422 24312	   	162.28	橙3易伤1全技能1伤害	1等级29挖尘348易伤5掉矿6核7全技能a伤害
196	43122 16342	   	162.27	橙1全技能1易伤1伤害1喷火对愈1暴击2时间	14时间2低血量敌人3喷火对愈5挖尘6全技能7暴击8伤害9核a易伤
197	63121 16342	   	162.27	橙1全技能1易伤1伤害1喷火对愈1暴击2时间	1挖尘2低血量敌人3喷火对愈45时间6全技能7暴击8伤害9核a易伤
198	21413 25322	   	162.10	橙3易伤2伤害1时间	1敌人爆炸2掉矿357易伤49伤害6核8基地爆炸a时间
199	21413 25326	   	162.10	橙3易伤2伤害1攻速	1敌人爆炸2掉矿357易伤49伤害6核8基地爆炸a攻速
200	33213 25326	   	162.10	橙3易伤2伤害1攻速	1等级257易伤3敌人爆炸49伤害6核8基地爆炸a攻速
201	33213 25626	   	162.10	橙3易伤2伤害1攻速	1等级257易伤3敌人爆炸49伤害6核8低血量敌人a攻速
202	64413 22232	   	162.10	橙3易伤2伤害1时间	1挖尘2矿等35a易伤49伤害6核7低血量敌人8时间
203	33411 24123	   	162.07	橙4易伤2伤害	1等级2367易伤4a伤害5雷电8立即金币9核
204	33411 24623	   	162.07	橙4易伤2伤害	1等级2367易伤4a伤害58雷电9核
205	33412 24432	   	162.00	橙3易伤2伤害1时间	1等级238易伤49伤害5挖尘6核7双倍矿a时间
206	33412 25226	   	162.00	橙3易伤2伤害1攻速	1等级237易伤49伤害5挖尘6核8敌人爆炸a攻速
207	33512 25432	   	162.00	橙3易伤2伤害1时间	1等级278易伤3双倍矿49伤害5挖尘6核a时间
208	61313 25322	   	162.00	橙3易伤2伤害1时间	1挖尘2掉矿357易伤49伤害6核8基地爆炸a时间
209	35621 23513	 * 	161.98	橙2伤害1全技能1易伤1暴击1策反	1等级2金币生成3暴击4敌人爆炸56伤害7全技能8策反9易伤a核
210	33412 25332	   	161.90	橙3易伤2伤害1时间	1等级237易伤49伤害58挖尘6核a时间
211	33412 26432	   	161.90	橙3易伤2伤害1时间	17等级238易伤49伤害5挖尘6核a时间
212	34413 25332	   	161.90	橙3易伤2伤害1时间	1等级28挖尘357易伤49伤害6核a时间
213	31425 22224	   	161.89	紫3易伤2伤害1策反	1a等级27低血量敌人34a易伤5核6策反8敌人爆炸9a伤害a序列升级
214	15213 61124	   	161.86	橙2易伤2伤害1暴击1策反	1低血量敌人2策反38敌人爆炸49伤害56易伤7核a暴击
215	15213 61631	   	161.86	橙2易伤2伤害1暴击1策反	1低血量敌人2策反3敌人爆炸49伤害56易伤7核8雷电a暴击
216	15221 61124	   	161.86	橙2易伤2伤害1暴击1策反	1低血量敌人2策反38敌人爆炸46易伤59伤害7核a暴击
217	15221 61631	   	161.86	橙2易伤2伤害1暴击1策反	1低血量敌人2策反3敌人爆炸46易伤59伤害7核8雷电a暴击
218	41342 11224	   	161.86	橙2易伤2伤害3时间1策反	14a时间25掉矿3a易伤6策反7基地爆炸8核9a伤害a序列升级
219	41342 13224	   	161.86	橙2易伤2伤害3时间1策反	14a时间25掉矿3a易伤6策反7低血量敌人8核9a伤害a序列升级
220	31425 22324	   	161.79	紫3易伤2伤害1策反	1a等级27低血量敌人34a易伤5核6策反8挖尘9a伤害a序列升级
221	31414 21314	 * 	161.76	橙2易伤2伤害1喷火对愈1策反	1等级2低血量敌人39易伤4a伤害5矿等6策反7核8喷火对愈
222	33614 21314	   	161.76	橙2易伤2伤害1喷火对愈1策反	1等级29易伤3低血量敌人4a伤害5矿等6策反7核8喷火对愈
223	33224 61222	 * 	161.66	橙3易伤1全技能1喷火对愈1攻速1卖塔	1等级24a易伤3敌人爆炸5全技能6卖塔7核8攻速9喷火对愈
224	25422 31224	   	161.57	橙3易伤2伤害1策反	16a敌人爆炸2策反34a易伤5掉矿7基地爆炸8核9a伤害a序列升级
225	22125 32161	   	161.48	橙3易伤1全技能1伤害	124敌人爆炸27序列升级357易伤6核8伤害9全技能a最后敌人
